Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,12,1,0,District - Tawang  01,Rural,0-4,9,8,2,0,2,0,2,3,1,0
C4920,12,1,0,District - Tawang  01,Rural,5-9,15,8,8,4,10,4,9,2,4,0
C4920,12,1,0,District - Tawang  01,Rural,10-19,8,19,6,8,12,10,18,11,2,0
C4920,12,1,0,District - Tawang  01,Rural,20-29,72,19,7,5,2,6,11,4,6,3
C4920,12,1,0,District - Tawang  01,Rural,30-39,80,18,6,8,6,11,12,7,2,2
C4920,12,1,0,District - Tawang  01,Rural,40-49,79,27,7,15,11,11,10,3,1,0
C4920,12,1,0,District - Tawang  01,Rural,50-59,42,18,11,8,13,12,10,4,2,3
C4920,12,1,0,District - Tawang  01,Rural,60-69,52,38,13,6,25,29,14,14,1,3
C4920,12,1,0,District - Tawang  01,Rural,70-79,22,41,1,1,12,11,6,11,0,0
C4920,12,1,0,District - Tawang  01,Rural,80-89,19,22,0,0,11,4,0,7,0,0
C4920,12,1,0,District - Tawang  01,Rural,90+,1,1,0,0,1,2,0,0,0,0
C4920,12,1,0,District - Tawang  01,Rural,Age not stated,0,0,0,0,0,0,1,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,0-4,1,2,0,0,0,1,0,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,5-9,3,2,0,0,0,0,0,1,1,0
C4920,12,1,0,District - Tawang  01,Urban,10-19,3,6,0,0,2,2,0,1,0,0
C4920,12,1,0,District - Tawang  01,Urban,20-29,40,6,0,0,0,1,0,0,1,0
C4920,12,1,0,District - Tawang  01,Urban,30-39,54,10,1,1,0,0,0,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,40-49,27,3,0,0,0,0,1,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,50-59,13,2,1,0,0,0,0,0,1,0
C4920,12,1,0,District - Tawang  01,Urban,60-69,5,2,0,1,0,0,0,0,1,0
C4920,12,1,0,District - Tawang  01,Urban,70-79,1,0,0,0,0,1,0,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,80-89,0,1,0,0,0,0,0,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,12,1,0,District - Tawang  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Rural,0-4,44,28,0,0,1,1,7,1,1,0
C4920,12,2,0,District - West Kameng  02,Rural,5-9,34,38,4,13,4,4,12,7,1,3
C4920,12,2,0,District - West Kameng  02,Rural,10-19,70,64,13,14,11,8,27,13,6,7
C4920,12,2,0,District - West Kameng  02,Rural,20-29,270,56,17,13,15,6,12,15,7,2
C4920,12,2,0,District - West Kameng  02,Rural,30-39,354,83,13,13,16,15,19,8,2,4
C4920,12,2,0,District - West Kameng  02,Rural,40-49,290,44,25,15,26,14,11,7,2,1
C4920,12,2,0,District - West Kameng  02,Rural,50-59,172,28,13,9,27,16,19,4,2,3
C4920,12,2,0,District - West Kameng  02,Rural,60-69,78,25,6,12,34,21,16,14,7,2
C4920,12,2,0,District - West Kameng  02,Rural,70-79,26,14,6,3,12,8,4,7,0,2
C4920,12,2,0,District - West Kameng  02,Rural,80-89,14,7,0,2,7,3,6,4,0,0
C4920,12,2,0,District - West Kameng  02,Rural,90+,5,1,0,0,1,2,2,1,0,0
C4920,12,2,0,District - West Kameng  02,Rural,Age not stated,2,0,1,0,0,0,0,1,0,0
C4920,12,2,0,District - West Kameng  02,Urban,0-4,2,1,0,0,0,0,0,0,1,0
