Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,18,1,0,District - Kokrajhar  01,Rural,0-4,316,266,18,16,8,12,60,42,46,32
C4920,18,1,0,District - Kokrajhar  01,Rural,5-9,399,388,163,149,65,44,136,89,100,47
C4920,18,1,0,District - Kokrajhar  01,Rural,10-19,669,615,305,287,125,98,321,237,199,162
C4920,18,1,0,District - Kokrajhar  01,Rural,20-29,417,443,308,239,89,85,183,132,193,183
C4920,18,1,0,District - Kokrajhar  01,Rural,30-39,526,393,189,138,129,76,175,120,226,151
C4920,18,1,0,District - Kokrajhar  01,Rural,40-49,419,240,120,70,104,67,174,89,155,93
C4920,18,1,0,District - Kokrajhar  01,Rural,50-59,269,206,62,49,114,79,143,81,69,57
C4920,18,1,0,District - Kokrajhar  01,Rural,60-69,239,237,35,29,100,134,126,108,45,48
C4920,18,1,0,District - Kokrajhar  01,Rural,70-79,167,166,15,9,85,71,87,85,35,33
C4920,18,1,0,District - Kokrajhar  01,Rural,80-89,62,51,3,4,40,26,47,40,17,10
C4920,18,1,0,District - Kokrajhar  01,Rural,90+,28,11,3,1,8,8,13,12,5,1
C4920,18,1,0,District - Kokrajhar  01,Rural,Age not stated,5,4,0,0,1,0,1,1,2,0
C4920,18,1,0,District - Kokrajhar  01,Urban,0-4,6,15,0,0,0,0,1,4,0,2
C4920,18,1,0,District - Kokrajhar  01,Urban,5-9,16,17,5,2,0,1,14,4,3,2
C4920,18,1,0,District - Kokrajhar  01,Urban,10-19,44,42,13,11,4,3,27,18,13,18
C4920,18,1,0,District - Kokrajhar  01,Urban,20-29,25,43,14,9,4,3,16,8,19,11
C4920,18,1,0,District - Kokrajhar  01,Urban,30-39,49,38,9,5,5,4,28,9,14,10
C4920,18,1,0,District - Kokrajhar  01,Urban,40-49,54,13,9,4,5,3,23,12,10,7
C4920,18,1,0,District - Kokrajhar  01,Urban,50-59,39,23,6,5,5,4,11,3,7,5
C4920,18,1,0,District - Kokrajhar  01,Urban,60-69,25,23,3,2,9,13,17,7,0,3
C4920,18,1,0,District - Kokrajhar  01,Urban,70-79,15,11,0,1,6,5,7,6,0,0
C4920,18,1,0,District - Kokrajhar  01,Urban,80-89,6,4,0,0,0,3,3,4,2,1
C4920,18,1,0,District - Kokrajhar  01,Urban,90+,0,1,0,0,0,0,0,3,0,0
C4920,18,1,0,District - Kokrajhar  01,Urban,Age not stated,0,0,1,0,0,0,0,0,0,0
C4920,18,2,0,District - Dhubri  02,Rural,0-4,892,889,29,23,25,18,143,111,48,32
C4920,18,2,0,District - Dhubri  02,Rural,5-9,965,1017,207,162,88,80,250,148,88,55
C4920,18,2,0,District - Dhubri  02,Rural,10-19,1553,1222,366,327,223,161,584,364,258,187
C4920,18,2,0,District - Dhubri  02,Rural,20-29,1082,1019,240,181,96,94,321,202,252,169
C4920,18,2,0,District - Dhubri  02,Rural,30-39,1112,903,194,183,117,91,366,165,259,165
C4920,18,2,0,District - Dhubri  02,Rural,40-49,866,545,119,79,135,120,288,137,160,130
C4920,18,2,0,District - Dhubri  02,Rural,50-59,584,437,100,58,164,139,266,149,111,107
C4920,18,2,0,District - Dhubri  02,Rural,60-69,472,490,54,61,144,221,243,295,102,116
C4920,18,2,0,District - Dhubri  02,Rural,70-79,378,330,34,15,148,145,267,291,68,92
C4920,18,2,0,District - Dhubri  02,Rural,80-89,138,140,9,5,59,63,112,141,28,46
C4920,18,2,0,District - Dhubri  02,Rural,90+,64,80,3,7,21,27,53,76,12,23
C4920,18,2,0,District - Dhubri  02,Rural,Age not stated,17,6,4,1,6,1,11,3,6,2
C4920,18,2,0,District - Dhubri  02,Urban,0-4,100,73,7,3,2,1,11,4,2,2
C4920,18,2,0,District - Dhubri  02,Urban,5-9,111,101,13,22,2,4,29,21,4,8
C4920,18,2,0,District - Dhubri  02,Urban,10-19,244,228,51,30,17,19,72,36,49,35
C4920,18,2,0,District - Dhubri  02,Urban,20-29,207,210,33,21,20,15,78,27,54,28
C4920,18,2,0,District - Dhubri  02,Urban,30-39,199,145,25,20,12,10,60,28,58,36
C4920,18,2,0,District - Dhubri  02,Urban,40-49,161,98,22,5,20,11,50,21,46,22
C4920,18,2,0,District - Dhubri  02,Urban,50-59,108,67,12,8,17,12,41,20,21,15
C4920,18,2,0,District - Dhubri  02,Urban,60-69,84,105,7,13,17,19,59,25,25,12
C4920,18,2,0,District - Dhubri  02,Urban,70-79,51,49,3,6,16,16,41,14,6,8
C4920,18,2,0,District - Dhubri  02,Urban,80-89,10,27,1,1,5,8,9,9,1,1
C4920,18,2,0,District - Dhubri  02,Urban,90+,0,8,0,1,2,6,1,4,0,1
C4920,18,2,0,District - Dhubri  02,Urban,Age not stated,0,1,0,0,1,0,0,0,1,1
C4920,18,3,0,District - Goalpara  03,Rural,0-4,381,416,17,18,27,19,81,59,15,15
C4920,18,3,0,District - Goalpara  03,Rural,5-9,519,500,135,111,124,118,156,116,66,29
C4920,18,3,0,District - Goalpara  03,Rural,10-19,751,635,233,161,200,157,371,192,198,124
C4920,18,3,0,District - Goalpara  03,Rural,20-29,472,515,134,94,79,92,208,117,166,127
C4920,18,3,0,District - Goalpara  03,Rural,30-39,509,395,100,70,96,92,218,146,162,105
C4920,18,3,0,District - Goalpara  03,Rural,40-49,424,305,62,44,125,103,198,87,107,80
C4920,18,3,0,District - Goalpara  03,Rural,50-59,278,301,39,35,135,109,160,104,65,54
C4920,18,3,0,District - Goalpara  03,Rural,60-69,321,310,24,36,133,147,164,143,41,48
C4920,18,3,0,District - Goalpara  03,Rural,70-79,200,212,24,9,104,109,120,111,26,31
C4920,18,3,0,District - Goalpara  03,Rural,80-89,64,86,4,3,47,49,51,76,9,11
C4920,18,3,0,District - Goalpara  03,Rural,90+,30,39,0,1,17,11,21,30,6,8
C4920,18,3,0,District - Goalpara  03,Rural,Age not stated,10,8,0,0,4,0,7,1,1,0
C4920,18,3,0,District - Goalpara  03,Urban,0-4,29,30,0,1,1,0,3,6,1,2
C4920,18,3,0,District - Goalpara  03,Urban,5-9,29,21,8,8,4,3,12,8,3,3
C4920,18,3,0,District - Goalpara  03,Urban,10-19,68,72,20,21,8,4,23,8,20,9
C4920,18,3,0,District - Goalpara  03,Urban,20-29,42,46,14,16,4,0,10,14,26,10
C4920,18,3,0,District - Goalpara  03,Urban,30-39,50,37,11,6,7,3,13,8,25,8
C4920,18,3,0,District - Goalpara  03,Urban,40-49,47,40,3,4,4,6,14,6,5,12
C4920,18,3,0,District - Goalpara  03,Urban,50-59,29,18,6,3,3,5,12,9,4,2
C4920,18,3,0,District - Goalpara  03,Urban,60-69,23,27,1,0,12,10,12,7,6,9
C4920,18,3,0,District - Goalpara  03,Urban,70-79,13,21,3,1,7,4,8,6,4,6
C4920,18,3,0,District - Goalpara  03,Urban,80-89,12,5,1,0,0,4,6,2,0,1
C4920,18,3,0,District - Goalpara  03,Urban,90+,0,2,0,0,0,1,2,2,0,0
C4920,18,3,0,District - Goalpara  03,Urban,Age not stated,1,1,0,0,0,1,0,1,0,0
C4920,18,4,0,District - Bongaigaon  04,Rural,0-4,601,625,16,15,20,17,63,58,14,19
C4920,18,4,0,District - Bongaigaon  04,Rural,5-9,643,631,125,109,58,59,140,82,47,34
C4920,18,4,0,District - Bongaigaon  04,Rural,10-19,1047,887,275,222,145,106,299,195,164,128
C4920,18,4,0,District - Bongaigaon  04,Rural,20-29,718,676,187,156,64,73,220,100,191,135
C4920,18,4,0,District - Bongaigaon  04,Rural,30-39,669,548,134,106,84,85,226,83,192,139
C4920,18,4,0,District - Bongaigaon  04,Rural,40-49,525,367,101,65,126,84,223,93,114,76
C4920,18,4,0,District - Bongaigaon  04,Rural,50-59,352,297,44,46,114,106,141,77,75,54
C4920,18,4,0,District - Bongaigaon  04,Rural,60-69,296,343,40,34,143,164,116,128,57,66
C4920,18,4,0,District - Bongaigaon  04,Rural,70-79,214,213,16,19,144,118,133,115,27,40
C4920,18,4,0,District - Bongaigaon  04,Rural,80-89,92,73,6,8,46,53,74,71,16,16
C4920,18,4,0,District - Bongaigaon  04,Rural,90+,32,40,2,2,24,22,24,50,10,9
C4920,18,4,0,District - Bongaigaon  04,Rural,Age not stated,10,9,2,1,2,1,5,0,3,1
C4920,18,4,0,District - Bongaigaon  04,Urban,0-4,51,55,2,1,2,0,4,3,2,3
C4920,18,4,0,District - Bongaigaon  04,Urban,5-9,76,58,10,17,1,4,10,4,4,5
C4920,18,4,0,District - Bongaigaon  04,Urban,10-19,126,143,30,30,7,0,47,23,23,18
C4920,18,4,0,District - Bongaigaon  04,Urban,20-29,135,123,29,23,8,5,39,20,35,15
C4920,18,4,0,District - Bongaigaon  04,Urban,30-39,155,102,19,9,8,3,34,18,17,19
C4920,18,4,0,District - Bongaigaon  04,Urban,40-49,141,85,11,12,4,3,32,11,17,9
C4920,18,4,0,District - Bongaigaon  04,Urban,50-59,78,38,6,5,5,10,33,5,11,12
C4920,18,4,0,District - Bongaigaon  04,Urban,60-69,51,39,5,3,11,16,16,12,2,4
C4920,18,4,0,District - Bongaigaon  04,Urban,70-79,22,22,0,2,11,13,10,7,4,3
C4920,18,4,0,District - Bongaigaon  04,Urban,80-89,6,9,1,0,4,7,5,3,3,1
C4920,18,4,0,District - Bongaigaon  04,Urban,90+,1,0,0,1,1,1,0,2,0,0
C4920,18,4,0,District - Bongaigaon  04,Urban,Age not stated,1,0,0,0,0,0,0,0,0,1
C4920,18,5,0,District - Barpeta  05,Rural,0-4,442,377,32,23,22,30,168,109,23,27
C4920,18,5,0,District - Barpeta  05,Rural,5-9,461,460,241,172,121,111,279,187,84,45
C4920,18,5,0,District - Barpeta  05,Rural,10-19,770,636,449,357,236,170,602,348,267,206
C4920,18,5,0,District - Barpeta  05,Rural,20-29,532,474,288,294,129,127,408,225,283,200
C4920,18,5,0,District - Barpeta  05,Rural,30-39,621,411,243,160,162,112,425,225,301,180
C4920,18,5,0,District - Barpeta  05,Rural,40-49,533,333,168,84,161,141,350,150,192,114
C4920,18,5,0,District - Barpeta  05,Rural,50-59,449,329,85,72,158,165,300,144,124,102
C4920,18,5,0,District - Barpeta  05,Rural,60-69,397,438,63,43,188,217,285,280,89,105
C4920,18,5,0,District - Barpeta  05,Rural,70-79,355,343,32,19,157,185,230,266,71,82
C4920,18,5,0,District - Barpeta  05,Rural,80-89,152,150,13,5,76,64,113,151,29,36
C4920,18,5,0,District - Barpeta  05,Rural,90+,58,55,6,7,30,30,58,71,14,17
C4920,18,5,0,District - Barpeta  05,Rural,Age not stated,20,6,1,1,8,2,16,2,4,3
C4920,18,5,0,District - Barpeta  05,Urban,0-4,16,13,0,0,0,0,12,4,1,0
C4920,18,5,0,District - Barpeta  05,Urban,5-9,36,24,10,16,4,3,15,19,4,5
C4920,18,5,0,District - Barpeta  05,Urban,10-19,72,55,40,32,15,5,63,38,26,11
C4920,18,5,0,District - Barpeta  05,Urban,20-29,72,47,32,23,5,6,30,23,37,10
C4920,18,5,0,District - Barpeta  05,Urban,30-39,93,40,17,13,9,6,38,20,42,19
C4920,18,5,0,District - Barpeta  05,Urban,40-49,110,35,9,12,6,3,43,16,28,10
