Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,10,1,0,District - Pashchim Champaran  01,Rural,0-4,1171,1142,58,48,42,49,533,327,77,74
C4920,10,1,0,District - Pashchim Champaran  01,Rural,5-9,1430,1283,326,283,105,86,1266,708,165,134
C4920,10,1,0,District - Pashchim Champaran  01,Rural,10-19,1992,1538,660,383,246,126,2366,1066,403,177
C4920,10,1,0,District - Pashchim Champaran  01,Rural,20-29,1442,1193,365,191,142,88,1042,352,375,158
C4920,10,1,0,District - Pashchim Champaran  01,Rural,30-39,1459,1051,338,225,191,116,935,389,365,162
C4920,10,1,0,District - Pashchim Champaran  01,Rural,40-49,1288,818,263,173,159,130,870,333,253,119
C4920,10,1,0,District - Pashchim Champaran  01,Rural,50-59,1047,745,87,96,163,135,700,338,134,83
C4920,10,1,0,District - Pashchim Champaran  01,Rural,60-69,1055,941,83,73,198,184,714,470,101,80
C4920,10,1,0,District - Pashchim Champaran  01,Rural,70-79,505,461,27,26,125,96,361,202,44,28
C4920,10,1,0,District - Pashchim Champaran  01,Rural,80-89,159,125,6,4,40,23,100,62,10,8
C4920,10,1,0,District - Pashchim Champaran  01,Rural,90+,28,32,1,1,8,9,29,20,2,2
C4920,10,1,0,District - Pashchim Champaran  01,Rural,Age not stated,21,23,4,2,0,0,5,3,1,0
C4920,10,1,0,District - Pashchim Champaran  01,Urban,0-4,198,189,11,3,3,3,34,46,9,1
C4920,10,1,0,District - Pashchim Champaran  01,Urban,5-9,234,201,38,28,14,13,129,88,23,11
C4920,10,1,0,District - Pashchim Champaran  01,Urban,10-19,438,334,81,55,36,25,284,152,76,51
C4920,10,1,0,District - Pashchim Champaran  01,Urban,20-29,284,215,51,39,18,13,155,59,62,37
C4920,10,1,0,District - Pashchim Champaran  01,Urban,30-39,292,215,31,18,13,16,99,44,48,17
C4920,10,1,0,District - Pashchim Champaran  01,Urban,40-49,257,150,25,13,10,19,94,36,46,15
C4920,10,1,0,District - Pashchim Champaran  01,Urban,50-59,184,110,15,10,22,15,111,28,21,12
C4920,10,1,0,District - Pashchim Champaran  01,Urban,60-69,146,103,4,6,17,21,86,28,9,7
C4920,10,1,0,District - Pashchim Champaran  01,Urban,70-79,73,54,6,2,12,12,47,28,5,3
C4920,10,1,0,District - Pashchim Champaran  01,Urban,80-89,20,15,1,1,7,4,22,21,3,3
C4920,10,1,0,District - Pashchim Champaran  01,Urban,90+,3,6,0,0,1,0,7,3,1,1
C4920,10,1,0,District - Pashchim Champaran  01,Urban,Age not stated,5,4,0,0,0,0,0,0,0,0
C4920,10,2,0,District - Purba Champaran  02,Rural,0-4,5078,5009,111,107,66,39,754,502,306,279
C4920,10,2,0,District - Purba Champaran  02,Rural,5-9,6029,5317,653,510,171,114,1756,870,486,389
