Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,4,1,0,District - Chandigarh  01,Rural,0-4,56,42,3,3,3,1,14,5,4,4
C4920,4,1,0,District - Chandigarh  01,Rural,5-9,42,31,12,5,3,3,21,9,6,3
C4920,4,1,0,District - Chandigarh  01,Rural,10-19,104,59,21,13,7,7,57,36,30,18
C4920,4,1,0,District - Chandigarh  01,Rural,20-29,169,79,16,4,3,3,54,27,30,6
C4920,4,1,0,District - Chandigarh  01,Rural,30-39,105,50,8,2,4,2,40,12,19,10
C4920,4,1,0,District - Chandigarh  01,Rural,40-49,78,27,3,2,1,3,27,11,11,2
C4920,4,1,0,District - Chandigarh  01,Rural,50-59,25,17,0,0,2,2,25,6,9,2
C4920,4,1,0,District - Chandigarh  01,Rural,60-69,21,12,3,0,3,4,13,8,7,0
C4920,4,1,0,District - Chandigarh  01,Rural,70-79,12,10,1,1,3,4,5,4,1,0
C4920,4,1,0,District - Chandigarh  01,Rural,80-89,4,3,1,0,1,0,2,3,1,0
C4920,4,1,0,District - Chandigarh  01,Rural,90+,4,3,0,0,2,0,1,0,0,0
C4920,4,1,0,District - Chandigarh  01,Rural,Age not stated,0,0,0,1,0,0,0,0,0,0
C4920,4,1,0,District - Chandigarh  01,Urban,0-4,324,244,10,3,3,4,61,48,33,23
C4920,4,1,0,District - Chandigarh  01,Urban,5-9,370,313,72,47,36,15,166,100,76,60
C4920,4,1,0,District - Chandigarh  01,Urban,10-19,916,627,154,91,62,58,435,242,274,196
C4920,4,1,0,District - Chandigarh  01,Urban,20-29,876,582,99,62,56,35,435,226,215,138
C4920,4,1,0,District - Chandigarh  01,Urban,30-39,640,449,46,43,36,16,317,143,152,99
C4920,4,1,0,District - Chandigarh  01,Urban,40-49,582,372,40,25,16,19,305,134,99,57
C4920,4,1,0,District - Chandigarh  01,Urban,50-59,375,211,24,8,25,11,222,94,65,50
C4920,4,1,0,District - Chandigarh  01,Urban,60-69,179,134,18,9,22,18,155,93,37,21
C4920,4,1,0,District - Chandigarh  01,Urban,70-79,110,76,11,7,37,23,97,65,14,12
C4920,4,1,0,District - Chandigarh  01,Urban,80-89,27,24,8,4,22,20,35,43,4,5
C4920,4,1,0,District - Chandigarh  01,Urban,90+,18,9,0,1,7,5,10,15,2,1
C4920,4,1,0,District - Chandigarh  01,Urban,Age not stated,4,7,1,0,0,0,3,4,3,0
