Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,7,1,0,District - North West   *  01,Rural,0-4,71,61,2,4,5,2,29,23,7,2
C4920,7,1,0,District - North West   *  01,Rural,5-9,97,73,43,23,11,6,76,52,33,26
C4920,7,1,0,District - North West   *  01,Rural,10-19,183,122,76,38,20,17,235,137,106,49
C4920,7,1,0,District - North West   *  01,Rural,20-29,162,91,42,18,12,9,204,71,83,12
C4920,7,1,0,District - North West   *  01,Rural,30-39,156,79,17,17,8,4,158,65,49,16
C4920,7,1,0,District - North West   *  01,Rural,40-49,108,44,11,10,11,4,133,44,53,5
C4920,7,1,0,District - North West   *  01,Rural,50-59,48,49,12,5,9,7,84,31,9,9
C4920,7,1,0,District - North West   *  01,Rural,60-69,57,51,16,8,15,15,71,46,8,3
C4920,7,1,0,District - North West   *  01,Rural,70-79,38,37,4,4,12,14,39,18,6,4
C4920,7,1,0,District - North West   *  01,Rural,80-89,21,13,2,0,8,6,22,15,0,0
C4920,7,1,0,District - North West   *  01,Rural,90+,4,5,0,0,1,4,9,6,0,0
C4920,7,1,0,District - North West   *  01,Rural,Age not stated,4,4,0,0,0,0,0,0,1,1
C4920,7,1,0,District - North West   *  01,Urban,0-4,841,782,38,25,26,22,317,200,94,60
C4920,7,1,0,District - North West   *  01,Urban,5-9,997,886,296,195,51,60,701,430,329,206
C4920,7,1,0,District - North West   *  01,Urban,10-19,2229,1616,566,378,176,123,2038,1131,1023,649
C4920,7,1,0,District - North West   *  01,Urban,20-29,2217,1268,304,198,128,88,1700,728,701,396
C4920,7,1,0,District - North West   *  01,Urban,30-39,1751,1100,194,149,102,58,1167,468,481,284
C4920,7,1,0,District - North West   *  01,Urban,40-49,1395,792,129,78,76,63,1000,358,340,185
C4920,7,1,0,District - North West   *  01,Urban,50-59,809,473,72,40,79,53,733,262,160,77
C4920,7,1,0,District - North West   *  01,Urban,60-69,574,463,47,38,83,99,576,344,85,52
C4920,7,1,0,District - North West   *  01,Urban,70-79,315,266,27,17,94,96,305,229,22,31
C4920,7,1,0,District - North West   *  01,Urban,80-89,89,91,14,8,55,41,106,112,9,8
C4920,7,1,0,District - North West   *  01,Urban,90+,27,34,2,0,14,9,23,36,1,3
C4920,7,1,0,District - North West   *  01,Urban,Age not stated,53,26,3,1,1,4,11,3,3,1
C4920,7,2,0,District - North   *  02,Rural,0-4,16,13,1,0,0,1,9,7,1,1
C4920,7,2,0,District - North   *  02,Rural,5-9,17,35,3,4,2,1,18,10,14,5
C4920,7,2,0,District - North   *  02,Rural,10-19,51,34,13,2,4,3,43,17,22,12
C4920,7,2,0,District - North   *  02,Rural,20-29,39,34,3,1,3,0,24,13,10,1
C4920,7,2,0,District - North   *  02,Rural,30-39,45,17,1,1,4,0,21,11,7,3
C4920,7,2,0,District - North   *  02,Rural,40-49,17,11,1,0,1,0,18,6,3,1
C4920,7,2,0,District - North   *  02,Rural,50-59,7,4,0,3,0,2,9,0,0,0
C4920,7,2,0,District - North   *  02,Rural,60-69,10,15,1,0,4,1,6,5,2,1
C4920,7,2,0,District - North   *  02,Rural,70-79,5,3,0,0,1,4,3,2,0,0
C4920,7,2,0,District - North   *  02,Rural,80-89,1,1,0,0,0,0,1,2,0,0
C4920,7,2,0,District - North   *  02,Rural,90+,0,2,0,0,0,0,0,1,0,0
C4920,7,2,0,District - North   *  02,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,7,2,0,District - North   *  02,Urban,0-4,411,302,11,9,7,8,69,50,21,25
C4920,7,2,0,District - North   *  02,Urban,5-9,428,372,76,50,21,12,130,76,95,71
