Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,24,1,0,District - Kachchh  01,Rural,0-4,379,349,7,12,12,12,98,76,19,22
C4920,24,1,0,District - Kachchh  01,Rural,5-9,490,387,163,103,37,22,265,215,132,75
C4920,24,1,0,District - Kachchh  01,Rural,10-19,900,714,290,161,130,76,1060,715,368,210
C4920,24,1,0,District - Kachchh  01,Rural,20-29,803,484,167,87,71,44,982,519,321,173
C4920,24,1,0,District - Kachchh  01,Rural,30-39,793,455,136,82,80,70,665,374,302,216
C4920,24,1,0,District - Kachchh  01,Rural,40-49,705,451,79,59,118,95,503,274,229,169
C4920,24,1,0,District - Kachchh  01,Rural,50-59,647,550,68,59,137,132,398,287,122,118
C4920,24,1,0,District - Kachchh  01,Rural,60-69,853,952,59,51,222,271,445,365,69,89
C4920,24,1,0,District - Kachchh  01,Rural,70-79,635,857,33,23,211,271,230,259,24,47
C4920,24,1,0,District - Kachchh  01,Rural,80-89,274,421,6,16,96,172,58,133,7,21
C4920,24,1,0,District - Kachchh  01,Rural,90+,68,151,5,5,35,73,23,57,4,12
C4920,24,1,0,District - Kachchh  01,Rural,Age not stated,8,3,0,0,1,0,2,1,2,0
C4920,24,1,0,District - Kachchh  01,Urban,0-4,165,140,7,2,1,2,24,18,20,10
C4920,24,1,0,District - Kachchh  01,Urban,5-9,174,135,33,22,4,6,51,54,32,23
C4920,24,1,0,District - Kachchh  01,Urban,10-19,383,294,104,62,18,18,254,184,115,79
C4920,24,1,0,District - Kachchh  01,Urban,20-29,300,217,50,34,14,10,218,139,120,79
C4920,24,1,0,District - Kachchh  01,Urban,30-39,246,209,38,24,12,16,171,113,128,69
C4920,24,1,0,District - Kachchh  01,Urban,40-49,289,162,30,19,16,15,178,93,73,46
C4920,24,1,0,District - Kachchh  01,Urban,50-59,216,157,22,16,30,32,141,90,48,34
C4920,24,1,0,District - Kachchh  01,Urban,60-69,178,190,20,18,47,73,97,73,24,19
C4920,24,1,0,District - Kachchh  01,Urban,70-79,113,155,9,8,47,76,56,60,10,14
C4920,24,1,0,District - Kachchh  01,Urban,80-89,39,89,3,2,33,42,21,38,1,4
C4920,24,1,0,District - Kachchh  01,Urban,90+,9,27,0,0,3,19,6,10,0,2
C4920,24,1,0,District - Kachchh  01,Urban,Age not stated,5,3,0,0,1,0,1,1,2,0
C4920,24,2,0,District - Banas Kantha  02,Rural,0-4,1387,1235,53,36,40,41,349,235,43,35
C4920,24,2,0,District - Banas Kantha  02,Rural,5-9,1346,1093,472,244,176,142,834,587,253,120
C4920,24,2,0,District - Banas Kantha  02,Rural,10-19,2412,1768,887,349,498,272,2678,1549,615,347
C4920,24,2,0,District - Banas Kantha  02,Rural,20-29,1775,1444,364,152,260,122,2243,1053,546,228
C4920,24,2,0,District - Banas Kantha  02,Rural,30-39,1725,1048,244,121,247,158,1392,719,475,246
C4920,24,2,0,District - Banas Kantha  02,Rural,40-49,1436,919,141,89,246,174,1081,500,354,208
C4920,24,2,0,District - Banas Kantha  02,Rural,50-59,1206,1004,113,65,236,240,775,444,206,169
C4920,24,2,0,District - Banas Kantha  02,Rural,60-69,1107,1192,66,55,291,333,529,424,94,95
C4920,24,2,0,District - Banas Kantha  02,Rural,70-79,610,910,18,32,193,245,218,265,33,45
C4920,24,2,0,District - Banas Kantha  02,Rural,80-89,216,414,2,10,65,106,81,118,11,14
C4920,24,2,0,District - Banas Kantha  02,Rural,90+,63,150,2,4,25,44,28,43,1,2
C4920,24,2,0,District - Banas Kantha  02,Rural,Age not stated,11,5,0,0,1,0,4,1,0,1
C4920,24,2,0,District - Banas Kantha  02,Urban,0-4,89,66,3,5,3,2,43,22,12,6
C4920,24,2,0,District - Banas Kantha  02,Urban,5-9,96,69,40,23,9,7,75,57,24,13
C4920,24,2,0,District - Banas Kantha  02,Urban,10-19,206,181,87,62,26,18,276,188,89,55
