Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,2,1,0,District - Chamba  01,Rural,0-4,174,183,4,8,3,5,55,37,9,8
C4920,2,1,0,District - Chamba  01,Rural,5-9,196,163,86,58,28,24,107,74,31,46
C4920,2,1,0,District - Chamba  01,Rural,10-19,436,342,143,104,80,64,264,182,131,96
C4920,2,1,0,District - Chamba  01,Rural,20-29,319,279,99,47,50,17,254,138,118,65
C4920,2,1,0,District - Chamba  01,Rural,30-39,281,276,64,39,54,30,238,108,91,61
C4920,2,1,0,District - Chamba  01,Rural,40-49,274,188,47,28,56,35,207,106,78,46
C4920,2,1,0,District - Chamba  01,Rural,50-59,215,194,54,32,73,67,166,104,48,25
C4920,2,1,0,District - Chamba  01,Rural,60-69,245,260,37,33,121,99,185,105,28,24
C4920,2,1,0,District - Chamba  01,Rural,70-79,226,175,20,11,102,83,89,64,10,5
C4920,2,1,0,District - Chamba  01,Rural,80-89,99,117,5,6,60,49,58,41,4,4
C4920,2,1,0,District - Chamba  01,Rural,90+,53,36,1,1,13,28,13,22,2,1
C4920,2,1,0,District - Chamba  01,Rural,Age not stated,11,9,1,1,3,0,2,0,4,0
C4920,2,1,0,District - Chamba  01,Urban,0-4,31,20,0,0,0,0,0,1,1,0
C4920,2,1,0,District - Chamba  01,Urban,5-9,45,36,5,2,1,0,7,2,4,4
C4920,2,1,0,District - Chamba  01,Urban,10-19,124,82,4,3,1,2,10,5,9,16
C4920,2,1,0,District - Chamba  01,Urban,20-29,47,58,5,5,1,0,12,7,7,7
C4920,2,1,0,District - Chamba  01,Urban,30-39,50,37,4,5,0,1,14,12,7,4
C4920,2,1,0,District - Chamba  01,Urban,40-49,47,20,2,5,2,1,15,7,8,4
C4920,2,1,0,District - Chamba  01,Urban,50-59,26,18,0,0,3,3,10,8,4,5
C4920,2,1,0,District - Chamba  01,Urban,60-69,22,25,3,2,4,4,5,4,2,1
C4920,2,1,0,District - Chamba  01,Urban,70-79,15,6,0,0,2,1,5,5,0,0
C4920,2,1,0,District - Chamba  01,Urban,80-89,5,4,1,1,1,4,3,0,0,0
C4920,2,1,0,District - Chamba  01,Urban,90+,0,1,0,0,0,1,1,0,0,0
C4920,2,1,0,District - Chamba  01,Urban,Age not stated,1,0,0,0,0,0,0,0,0,1
C4920,2,2,0,District - Kangra  02,Rural,0-4,265,233,27,24,16,8,144,113,61,45
C4920,2,2,0,District - Kangra  02,Rural,5-9,347,290,198,125,49,46,265,185,186,119
C4920,2,2,0,District - Kangra  02,Rural,10-19,838,714,399,272,162,126,835,509,563,466
C4920,2,2,0,District - Kangra  02,Rural,20-29,624,559,253,149,138,77,1107,568,541,301
C4920,2,2,0,District - Kangra  02,Rural,30-39,563,535,164,118,94,88,823,402,437,221
C4920,2,2,0,District - Kangra  02,Rural,40-49,633,547,156,93,134,112,815,366,314,160
C4920,2,2,0,District - Kangra  02,Rural,50-59,594,564,151,100,182,176,671,370,188,116
C4920,2,2,0,District - Kangra  02,Rural,60-69,653,629,128,112,304,299,692,438,110,85
C4920,2,2,0,District - Kangra  02,Rural,70-79,561,570,73,66,272,266,481,337,67,65
C4920,2,2,0,District - Kangra  02,Rural,80-89,306,316,18,22,183,151,230,170,31,26
C4920,2,2,0,District - Kangra  02,Rural,90+,93,103,8,5,50,51,80,82,12,14
C4920,2,2,0,District - Kangra  02,Rural,Age not stated,17,7,2,3,6,2,13,4,4,0
C4920,2,2,0,District - Kangra  02,Urban,0-4,18,8,0,0,0,0,8,2,4,0
C4920,2,2,0,District - Kangra  02,Urban,5-9,18,12,6,4,1,1,9,6,10,2
C4920,2,2,0,District - Kangra  02,Urban,10-19,51,44,12,8,8,2,35,11,17,14
C4920,2,2,0,District - Kangra  02,Urban,20-29,49,36,10,6,3,4,30,20,20,14
C4920,2,2,0,District - Kangra  02,Urban,30-39,51,30,8,6,3,2,27,12,19,10
C4920,2,2,0,District - Kangra  02,Urban,40-49,59,26,8,5,3,4,49,13,13,5
C4920,2,2,0,District - Kangra  02,Urban,50-59,42,15,4,5,6,5,22,9,4,5
C4920,2,2,0,District - Kangra  02,Urban,60-69,28,24,8,4,8,10,14,9,6,5
C4920,2,2,0,District - Kangra  02,Urban,70-79,22,14,3,0,6,2,3,7,1,2
C4920,2,2,0,District - Kangra  02,Urban,80-89,7,8,0,0,2,2,2,6,1,3
C4920,2,2,0,District - Kangra  02,Urban,90+,3,2,0,0,0,0,1,1,0,0
C4920,2,2,0,District - Kangra  02,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Rural,0-4,8,13,0,0,0,0,0,1,1,1
C4920,2,3,0,District - Lahul & Spiti  03,Rural,5-9,11,13,6,3,1,0,3,4,5,1
C4920,2,3,0,District - Lahul & Spiti  03,Rural,10-19,37,23,2,7,1,5,10,9,4,7
C4920,2,3,0,District - Lahul & Spiti  03,Rural,20-29,64,23,7,0,5,3,13,7,9,3
C4920,2,3,0,District - Lahul & Spiti  03,Rural,30-39,56,20,4,4,3,2,6,13,5,3
C4920,2,3,0,District - Lahul & Spiti  03,Rural,40-49,27,15,3,3,2,3,8,6,4,0
C4920,2,3,0,District - Lahul & Spiti  03,Rural,50-59,31,14,1,0,3,2,13,7,1,1
C4920,2,3,0,District - Lahul & Spiti  03,Rural,60-69,19,21,2,0,5,3,8,6,1,1
C4920,2,3,0,District - Lahul & Spiti  03,Rural,70-79,10,19,0,2,6,10,11,8,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Rural,80-89,10,16,0,0,8,8,3,4,0,1
C4920,2,3,0,District - Lahul & Spiti  03,Rural,90+,3,4,0,0,2,1,2,1,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Rural,Age not stated,1,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,0-4,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,5-9,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,10-19,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,20-29,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,30-39,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,40-49,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,50-59,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,60-69,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,2,3,0,District - Lahul & Spiti  03,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,4,0,District - Kullu  04,Rural,0-4,107,100,4,5,1,4,33,40,10,8
C4920,2,4,0,District - Kullu  04,Rural,5-9,168,132,59,35,23,21,74,48,28,25
C4920,2,4,0,District - Kullu  04,Rural,10-19,354,282,121,83,90,77,233,144,98,84
C4920,2,4,0,District - Kullu  04,Rural,20-29,291,232,71,40,51,39,226,130,83,40
C4920,2,4,0,District - Kullu  04,Rural,30-39,257,205,73,52,44,47,171,74,61,43
C4920,2,4,0,District - Kullu  04,Rural,40-49,237,176,60,46,68,57,174,107,53,27
C4920,2,4,0,District - Kullu  04,Rural,50-59,199,160,72,61,109,77,140,86,38,22
C4920,2,4,0,District - Kullu  04,Rural,60-69,253,259,58,57,150,125,137,103,28,19
C4920,2,4,0,District - Kullu  04,Rural,70-79,196,170,31,26,138,105,88,74,13,9
C4920,2,4,0,District - Kullu  04,Rural,80-89,112,106,11,7,62,53,39,32,6,2
C4920,2,4,0,District - Kullu  04,Rural,90+,32,49,4,4,20,21,17,9,0,1
C4920,2,4,0,District - Kullu  04,Rural,Age not stated,3,8,0,1,2,2,4,0,0,1
C4920,2,4,0,District - Kullu  04,Urban,0-4,8,2,0,0,0,0,2,1,1,1
C4920,2,4,0,District - Kullu  04,Urban,5-9,11,4,3,1,0,1,8,3,1,4
C4920,2,4,0,District - Kullu  04,Urban,10-19,19,15,7,5,2,1,12,6,10,6
C4920,2,4,0,District - Kullu  04,Urban,20-29,21,17,4,2,1,1,8,7,7,5
C4920,2,4,0,District - Kullu  04,Urban,30-39,21,17,2,2,0,3,9,5,4,3
C4920,2,4,0,District - Kullu  04,Urban,40-49,18,7,1,2,1,1,9,9,6,2
C4920,2,4,0,District - Kullu  04,Urban,50-59,12,8,3,1,0,1,10,3,5,3
C4920,2,4,0,District - Kullu  04,Urban,60-69,5,5,1,2,2,2,10,4,1,3
C4920,2,4,0,District - Kullu  04,Urban,70-79,5,2,0,0,0,2,3,2,2,1
C4920,2,4,0,District - Kullu  04,Urban,80-89,0,1,1,0,3,3,1,2,1,1
C4920,2,4,0,District - Kullu  04,Urban,90+,1,4,0,1,1,0,1,1,0,0
C4920,2,4,0,District - Kullu  04,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,5,0,District - Mandi  05,Rural,0-4,241,221,15,15,9,9,97,76,39,31
C4920,2,5,0,District - Mandi  05,Rural,5-9,250,231,157,106,47,43,196,127,120,50
C4920,2,5,0,District - Mandi  05,Rural,10-19,586,452,240,193,148,142,674,427,331,261
C4920,2,5,0,District - Mandi  05,Rural,20-29,536,466,186,128,133,74,749,458,318,170
C4920,2,5,0,District - Mandi  05,Rural,30-39,500,442,133,99,112,100,636,321,238,130
C4920,2,5,0,District - Mandi  05,Rural,40-49,534,381,89,86,113,89,570,323,166,89
C4920,2,5,0,District - Mandi  05,Rural,50-59,525,365,110,73,163,162,531,340,120,68
C4920,2,5,0,District - Mandi  05,Rural,60-69,539,513,59,58,252,180,492,329,81,64
C4920,2,5,0,District - Mandi  05,Rural,70-79,518,453,55,37,257,179,310,261,38,23
C4920,2,5,0,District - Mandi  05,Rural,80-89,306,286,13,12,143,121,168,144,21,23
C4920,2,5,0,District - Mandi  05,Rural,90+,100,119,3,9,47,55,46,52,4,8
C4920,2,5,0,District - Mandi  05,Rural,Age not stated,31,15,3,4,3,0,9,4,1,1
C4920,2,5,0,District - Mandi  05,Urban,0-4,13,6,2,0,0,0,2,7,3,0
C4920,2,5,0,District - Mandi  05,Urban,5-9,14,4,7,12,3,0,11,2,3,6
C4920,2,5,0,District - Mandi  05,Urban,10-19,24,31,25,23,7,5,23,13,18,16
C4920,2,5,0,District - Mandi  05,Urban,20-29,47,23,7,5,3,5,46,18,15,8
C4920,2,5,0,District - Mandi  05,Urban,30-39,72,27,7,7,5,5,34,21,18,12
C4920,2,5,0,District - Mandi  05,Urban,40-49,95,28,9,2,5,5,47,19,17,11
C4920,2,5,0,District - Mandi  05,Urban,50-59,79,25,5,4,10,4,28,8,5,6
C4920,2,5,0,District - Mandi  05,Urban,60-69,55,34,2,4,6,4,23,21,3,2
C4920,2,5,0,District - Mandi  05,Urban,70-79,35,22,1,1,6,8,13,16,4,3
C4920,2,5,0,District - Mandi  05,Urban,80-89,11,8,3,1,5,4,9,7,0,3
C4920,2,5,0,District - Mandi  05,Urban,90+,3,5,0,0,0,0,0,3,0,1
C4920,2,5,0,District - Mandi  05,Urban,Age not stated,0,1,0,1,0,0,0,0,0,0
C4920,2,6,0,District - Hamirpur  06,Rural,0-4,186,144,6,6,5,3,57,29,23,9
C4920,2,6,0,District - Hamirpur  06,Rural,5-9,209,179,66,44,11,8,84,52,61,39
C4920,2,6,0,District - Hamirpur  06,Rural,10-19,526,548,92,63,46,25,241,173,235,144
C4920,2,6,0,District - Hamirpur  06,Rural,20-29,453,391,77,58,22,27,388,199,208,111
C4920,2,6,0,District - Hamirpur  06,Rural,30-39,309,294,50,42,40,37,336,202,173,80
C4920,2,6,0,District - Hamirpur  06,Rural,40-49,241,211,43,32,45,35,295,129,108,71
C4920,2,6,0,District - Hamirpur  06,Rural,50-59,226,201,29,17,30,40,278,159,68,32
C4920,2,6,0,District - Hamirpur  06,Rural,60-69,241,220,40,24,77,59,304,194,44,36
C4920,2,6,0,District - Hamirpur  06,Rural,70-79,191,237,23,20,103,77,214,154,26,28
C4920,2,6,0,District - Hamirpur  06,Rural,80-89,141,114,18,12,60,60,109,123,15,8
C4920,2,6,0,District - Hamirpur  06,Rural,90+,54,60,1,1,29,31,37,50,4,4
C4920,2,6,0,District - Hamirpur  06,Rural,Age not stated,9,4,0,1,0,1,1,1,1,1
C4920,2,6,0,District - Hamirpur  06,Urban,0-4,15,11,0,1,1,1,4,1,0,3
C4920,2,6,0,District - Hamirpur  06,Urban,5-9,24,22,7,4,0,0,4,3,6,3
C4920,2,6,0,District - Hamirpur  06,Urban,10-19,67,58,8,4,2,1,15,5,12,6
C4920,2,6,0,District - Hamirpur  06,Urban,20-29,51,34,1,2,2,2,17,15,10,7
C4920,2,6,0,District - Hamirpur  06,Urban,30-39,46,39,3,3,2,4,19,13,13,5
C4920,2,6,0,District - Hamirpur  06,Urban,40-49,51,24,1,3,1,0,23,9,11,7
C4920,2,6,0,District - Hamirpur  06,Urban,50-59,24,15,2,0,4,1,10,11,1,6
C4920,2,6,0,District - Hamirpur  06,Urban,60-69,16,19,5,0,4,3,13,11,4,3
C4920,2,6,0,District - Hamirpur  06,Urban,70-79,11,8,2,0,3,4,6,6,1,1
C4920,2,6,0,District - Hamirpur  06,Urban,80-89,7,5,0,1,2,3,3,1,1,0
C4920,2,6,0,District - Hamirpur  06,Urban,90+,1,1,0,0,2,0,1,0,1,0
C4920,2,6,0,District - Hamirpur  06,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,7,0,District - Una  07,Rural,0-4,113,104,8,4,1,1,64,31,12,12
C4920,2,7,0,District - Una  07,Rural,5-9,123,115,66,51,13,6,84,57,50,32
C4920,2,7,0,District - Una  07,Rural,10-19,271,279,139,83,39,18,346,199,163,121
C4920,2,7,0,District - Una  07,Rural,20-29,247,224,96,52,17,16,458,232,222,105
C4920,2,7,0,District - Una  07,Rural,30-39,210,208,44,26,23,15,325,160,164,81
C4920,2,7,0,District - Una  07,Rural,40-49,242,227,33,27,30,28,285,129,99,61
C4920,2,7,0,District - Una  07,Rural,50-59,220,215,36,15,36,16,279,118,61,35
C4920,2,7,0,District - Una  07,Rural,60-69,244,218,31,21,51,53,270,119,58,31
C4920,2,7,0,District - Una  07,Rural,70-79,206,178,19,9,67,48,188,112,26,25
C4920,2,7,0,District - Una  07,Rural,80-89,131,97,8,8,37,45,86,77,10,11
C4920,2,7,0,District - Una  07,Rural,90+,33,58,0,4,10,20,35,44,6,5
C4920,2,7,0,District - Una  07,Rural,Age not stated,8,2,0,1,0,0,6,1,0,0
C4920,2,7,0,District - Una  07,Urban,0-4,14,3,0,0,0,0,6,1,1,0
C4920,2,7,0,District - Una  07,Urban,5-9,18,6,6,2,7,3,8,6,14,7
C4920,2,7,0,District - Una  07,Urban,10-19,24,17,8,9,6,2,26,16,29,18
C4920,2,7,0,District - Una  07,Urban,20-29,12,9,5,2,2,3,25,12,15,9
C4920,2,7,0,District - Una  07,Urban,30-39,14,12,4,3,3,2,19,19,12,6
C4920,2,7,0,District - Una  07,Urban,40-49,10,8,2,2,0,1,33,20,4,3
C4920,2,7,0,District - Una  07,Urban,50-59,11,7,3,1,1,3,23,11,4,3
C4920,2,7,0,District - Una  07,Urban,60-69,10,8,2,2,2,4,18,6,2,0
C4920,2,7,0,District - Una  07,Urban,70-79,7,14,2,1,1,2,12,9,0,2
C4920,2,7,0,District - Una  07,Urban,80-89,3,6,0,2,0,5,4,4,0,2
C4920,2,7,0,District - Una  07,Urban,90+,0,2,0,0,1,1,2,1,0,0
C4920,2,7,0,District - Una  07,Urban,Age not stated,1,0,0,0,0,0,0,0,0,0
C4920,2,8,0,District - Bilaspur  08,Rural,0-4,132,111,5,8,7,4,49,36,14,5
C4920,2,8,0,District - Bilaspur  08,Rural,5-9,135,128,79,55,23,18,95,63,65,49
C4920,2,8,0,District - Bilaspur  08,Rural,10-19,339,295,128,82,65,33,315,189,204,158
C4920,2,8,0,District - Bilaspur  08,Rural,20-29,284,226,74,53,39,22,468,201,154,79
C4920,2,8,0,District - Bilaspur  08,Rural,30-39,227,219,56,27,41,22,395,199,124,69
C4920,2,8,0,District - Bilaspur  08,Rural,40-49,211,180,31,24,50,37,333,146,89,60
C4920,2,8,0,District - Bilaspur  08,Rural,50-59,196,200,34,15,55,40,276,124,41,45
C4920,2,8,0,District - Bilaspur  08,Rural,60-69,199,237,29,20,78,65,250,219,32,24
C4920,2,8,0,District - Bilaspur  08,Rural,70-79,224,191,18,16,95,80,169,159,28,19
C4920,2,8,0,District - Bilaspur  08,Rural,80-89,134,113,7,4,73,46,96,73,6,7
C4920,2,8,0,District - Bilaspur  08,Rural,90+,48,50,4,5,21,24,40,46,1,6
C4920,2,8,0,District - Bilaspur  08,Rural,Age not stated,7,1,0,0,4,1,8,0,2,1
C4920,2,8,0,District - Bilaspur  08,Urban,0-4,5,4,1,0,0,0,2,0,0,0
C4920,2,8,0,District - Bilaspur  08,Urban,5-9,10,6,0,2,0,1,5,2,5,2
C4920,2,8,0,District - Bilaspur  08,Urban,10-19,19,7,5,3,1,0,19,7,10,5
C4920,2,8,0,District - Bilaspur  08,Urban,20-29,14,11,3,2,3,1,19,11,11,5
C4920,2,8,0,District - Bilaspur  08,Urban,30-39,12,9,6,0,1,1,15,11,8,7
C4920,2,8,0,District - Bilaspur  08,Urban,40-49,14,10,4,2,2,1,24,8,5,3
C4920,2,8,0,District - Bilaspur  08,Urban,50-59,7,6,0,2,1,0,21,9,4,4
C4920,2,8,0,District - Bilaspur  08,Urban,60-69,6,8,2,1,0,0,10,4,2,1
C4920,2,8,0,District - Bilaspur  08,Urban,70-79,4,10,0,1,3,3,11,6,0,0
C4920,2,8,0,District - Bilaspur  08,Urban,80-89,3,2,0,0,3,1,3,0,1,0
C4920,2,8,0,District - Bilaspur  08,Urban,90+,1,0,0,2,0,0,3,4,0,0
C4920,2,8,0,District - Bilaspur  08,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,9,0,District - Solan  09,Rural,0-4,146,101,18,9,3,3,69,45,23,13
C4920,2,9,0,District - Solan  09,Rural,5-9,152,147,68,54,19,19,115,67,51,44
C4920,2,9,0,District - Solan  09,Rural,10-19,343,300,123,80,67,40,358,256,173,124
C4920,2,9,0,District - Solan  09,Rural,20-29,352,217,85,62,47,46,500,200,184,87
C4920,2,9,0,District - Solan  09,Rural,30-39,287,169,66,28,43,21,378,179,128,65
C4920,2,9,0,District - Solan  09,Rural,40-49,189,142,29,28,30,26,306,139,104,41
C4920,2,9,0,District - Solan  09,Rural,50-59,167,140,20,23,39,43,268,137,49,27
C4920,2,9,0,District - Solan  09,Rural,60-69,206,206,18,12,67,36,210,154,35,16
C4920,2,9,0,District - Solan  09,Rural,70-79,183,177,8,8,70,42,132,96,11,12
C4920,2,9,0,District - Solan  09,Rural,80-89,105,95,2,3,43,29,66,54,8,3
C4920,2,9,0,District - Solan  09,Rural,90+,31,37,1,1,27,20,18,21,1,0
C4920,2,9,0,District - Solan  09,Rural,Age not stated,13,9,8,10,7,4,9,3,7,1
C4920,2,9,0,District - Solan  09,Urban,0-4,15,9,1,0,0,0,6,7,3,3
C4920,2,9,0,District - Solan  09,Urban,5-9,11,10,6,2,3,1,12,12,14,6
C4920,2,9,0,District - Solan  09,Urban,10-19,53,25,10,9,2,6,18,26,26,16
C4920,2,9,0,District - Solan  09,Urban,20-29,92,44,10,3,1,3,50,31,21,8
C4920,2,9,0,District - Solan  09,Urban,30-39,49,25,8,3,4,3,33,16,20,7
C4920,2,9,0,District - Solan  09,Urban,40-49,42,18,1,5,5,1,36,16,9,6
C4920,2,9,0,District - Solan  09,Urban,50-59,27,7,2,2,3,3,22,11,6,5
C4920,2,9,0,District - Solan  09,Urban,60-69,9,7,2,1,1,4,10,15,4,2
C4920,2,9,0,District - Solan  09,Urban,70-79,2,5,1,0,10,6,13,12,1,2
C4920,2,9,0,District - Solan  09,Urban,80-89,3,4,0,0,3,4,3,5,2,0
C4920,2,9,0,District - Solan  09,Urban,90+,0,1,0,0,0,1,0,4,0,0
C4920,2,9,0,District - Solan  09,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,2,10,0,District - Sirmaur  10,Rural,0-4,158,150,14,6,8,13,53,43,17,15
C4920,2,10,0,District - Sirmaur  10,Rural,5-9,178,203,114,60,78,52,142,95,60,44
C4920,2,10,0,District - Sirmaur  10,Rural,10-19,417,402,211,103,173,137,388,232,171,139
C4920,2,10,0,District - Sirmaur  10,Rural,20-29,454,199,99,47,66,39,335,168,139,74
C4920,2,10,0,District - Sirmaur  10,Rural,30-39,416,199,71,47,75,62,280,126,108,63
C4920,2,10,0,District - Sirmaur  10,Rural,40-49,375,209,48,35,70,53,263,118,91,49
C4920,2,10,0,District - Sirmaur  10,Rural,50-59,383,272,50,22,82,67,273,129,73,45
C4920,2,10,0,District - Sirmaur  10,Rural,60-69,416,357,37,24,110,78,241,131,41,24
C4920,2,10,0,District - Sirmaur  10,Rural,70-79,339,255,9,8,83,68,148,85,16,3
C4920,2,10,0,District - Sirmaur  10,Rural,80-89,173,146,9,3,51,26,79,38,8,6
C4920,2,10,0,District - Sirmaur  10,Rural,90+,70,76,1,1,19,9,28,22,1,0
C4920,2,10,0,District - Sirmaur  10,Rural,Age not stated,10,9,1,0,0,1,4,0,2,0
