Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,20,1,0,District - Garhwa *  01,Rural,0-4,609,631,35,23,16,15,180,138,68,64
C4920,20,1,0,District - Garhwa *  01,Rural,5-9,701,700,161,125,52,37,525,333,144,112
C4920,20,1,0,District - Garhwa *  01,Rural,10-19,1096,808,276,167,96,42,1101,645,317,185
C4920,20,1,0,District - Garhwa *  01,Rural,20-29,664,584,135,98,49,23,500,209,273,154
C4920,20,1,0,District - Garhwa *  01,Rural,30-39,593,476,101,81,41,39,382,165,248,145
C4920,20,1,0,District - Garhwa *  01,Rural,40-49,456,340,64,40,45,39,330,158,164,98
C4920,20,1,0,District - Garhwa *  01,Rural,50-59,350,291,41,35,49,42,280,161,85,57
C4920,20,1,0,District - Garhwa *  01,Rural,60-69,369,317,44,28,78,80,364,271,68,45
C4920,20,1,0,District - Garhwa *  01,Rural,70-79,263,214,13,12,65,44,250,161,28,26
C4920,20,1,0,District - Garhwa *  01,Rural,80-89,109,64,5,1,31,14,95,70,8,10
C4920,20,1,0,District - Garhwa *  01,Rural,90+,29,14,2,1,8,9,35,21,5,0
C4920,20,1,0,District - Garhwa *  01,Rural,Age not stated,11,4,2,0,1,1,5,2,1,1
C4920,20,1,0,District - Garhwa *  01,Urban,0-4,25,18,1,0,0,0,4,1,4,2
C4920,20,1,0,District - Garhwa *  01,Urban,5-9,20,14,5,4,2,1,12,7,5,4
C4920,20,1,0,District - Garhwa *  01,Urban,10-19,40,28,12,8,4,1,55,27,14,10
C4920,20,1,0,District - Garhwa *  01,Urban,20-29,41,27,8,6,1,1,26,5,13,11
C4920,20,1,0,District - Garhwa *  01,Urban,30-39,33,21,5,2,2,0,20,3,17,5
C4920,20,1,0,District - Garhwa *  01,Urban,40-49,25,11,3,2,1,0,12,9,6,3
C4920,20,1,0,District - Garhwa *  01,Urban,50-59,16,14,0,0,0,1,14,5,5,1
C4920,20,1,0,District - Garhwa *  01,Urban,60-69,8,14,0,1,1,3,23,16,5,1
C4920,20,1,0,District - Garhwa *  01,Urban,70-79,9,4,1,0,2,1,12,8,1,0
C4920,20,1,0,District - Garhwa *  01,Urban,80-89,0,0,1,0,0,0,2,2,0,0
C4920,20,1,0,District - Garhwa *  01,Urban,90+,2,1,1,0,0,0,3,0,0,0
C4920,20,1,0,District - Garhwa *  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,20,2,0,District - Palamu  02,Rural,0-4,1441,1450,49,48,37,25,425,308,205,195
C4920,20,2,0,District - Palamu  02,Rural,5-9,1797,1747,385,265,106,84,1027,687,319,228
C4920,20,2,0,District - Palamu  02,Rural,10-19,2903,2350,579,403,248,168,2503,1499,788,502
C4920,20,2,0,District - Palamu  02,Rural,20-29,1784,1568,292,209,117,74,1128,505,630,397
C4920,20,2,0,District - Palamu  02,Rural,30-39,1745,1363,201,170,144,83,1023,452,655,362
C4920,20,2,0,District - Palamu  02,Rural,40-49,1423,943,142,107,102,117,981,408,450,264
C4920,20,2,0,District - Palamu  02,Rural,50-59,1037,749,88,73,144,121,734,449,212,139
C4920,20,2,0,District - Palamu  02,Rural,60-69,973,863,50,47,179,166,805,531,145,95
C4920,20,2,0,District - Palamu  02,Rural,70-79,587,431,43,30,118,100,512,355,75,52
C4920,20,2,0,District - Palamu  02,Rural,80-89,190,136,10,7,58,26,190,125,27,7
C4920,20,2,0,District - Palamu  02,Rural,90+,67,43,8,2,18,6,51,44,12,11
C4920,20,2,0,District - Palamu  02,Rural,Age not stated,96,26,1,2,5,0,14,0,2,1
C4920,20,2,0,District - Palamu  02,Urban,0-4,80,58,1,0,0,0,15,13,10,1
C4920,20,2,0,District - Palamu  02,Urban,5-9,86,66,22,27,4,8,55,45,15,13
C4920,20,2,0,District - Palamu  02,Urban,10-19,173,168,43,28,12,7,135,109,57,35
C4920,20,2,0,District - Palamu  02,Urban,20-29,103,83,25,16,8,5,104,43,48,24
C4920,20,2,0,District - Palamu  02,Urban,30-39,96,89,14,9,11,5,76,38,42,27
C4920,20,2,0,District - Palamu  02,Urban,40-49,85,66,15,6,11,1,88,23,26,16
C4920,20,2,0,District - Palamu  02,Urban,50-59,60,33,7,4,8,8,43,16,25,8
C4920,20,2,0,District - Palamu  02,Urban,60-69,55,23,6,2,9,12,42,29,9,6
C4920,20,2,0,District - Palamu  02,Urban,70-79,31,27,3,3,5,4,39,21,4,3
C4920,20,2,0,District - Palamu  02,Urban,80-89,12,6,2,0,7,3,9,7,0,1
C4920,20,2,0,District - Palamu  02,Urban,90+,3,4,0,0,2,1,4,1,1,1
C4920,20,2,0,District - Palamu  02,Urban,Age not stated,1,1,0,1,0,0,0,0,0,0
C4920,20,3,0,District - Chatra *  03,Rural,0-4,279,249,11,15,6,11,125,77,29,38
C4920,20,3,0,District - Chatra *  03,Rural,5-9,357,320,124,95,28,25,294,217,114,92
C4920,20,3,0,District - Chatra *  03,Rural,10-19,542,455,201,153,62,27,712,417,263,153
C4920,20,3,0,District - Chatra *  03,Rural,20-29,313,290,83,57,37,13,319,135,177,105
C4920,20,3,0,District - Chatra *  03,Rural,30-39,356,256,51,47,35,40,255,108,224,112
C4920,20,3,0,District - Chatra *  03,Rural,40-49,304,213,52,51,48,36,277,110,142,67
C4920,20,3,0,District - Chatra *  03,Rural,50-59,238,207,13,22,44,45,225,97,86,49
C4920,20,3,0,District - Chatra *  03,Rural,60-69,252,254,20,15,72,73,235,134,63,25
C4920,20,3,0,District - Chatra *  03,Rural,70-79,174,137,9,8,49,28,151,84,17,16
C4920,20,3,0,District - Chatra *  03,Rural,80-89,52,53,4,5,15,16,42,37,3,5
C4920,20,3,0,District - Chatra *  03,Rural,90+,25,13,1,1,5,3,18,12,1,3
C4920,20,3,0,District - Chatra *  03,Rural,Age not stated,16,2,1,1,2,0,2,0,1,0
C4920,20,3,0,District - Chatra *  03,Urban,0-4,15,14,0,0,2,0,5,4,2,2
C4920,20,3,0,District - Chatra *  03,Urban,5-9,19,17,4,12,0,2,22,12,8,7
C4920,20,3,0,District - Chatra *  03,Urban,10-19,42,26,12,5,4,2,47,30,30,12
