Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,14,1,0,District - Senapati  01,Rural,0-4,34,36,4,2,3,0,3,10,3,0
C4920,14,1,0,District - Senapati  01,Rural,5-9,46,48,7,8,3,1,10,7,9,4
C4920,14,1,0,District - Senapati  01,Rural,10-19,79,90,16,32,13,19,34,34,23,9
C4920,14,1,0,District - Senapati  01,Rural,20-29,78,76,13,19,13,10,30,27,25,21
C4920,14,1,0,District - Senapati  01,Rural,30-39,54,30,22,8,19,7,19,21,15,16
C4920,14,1,0,District - Senapati  01,Rural,40-49,44,29,9,9,23,20,16,17,12,8
C4920,14,1,0,District - Senapati  01,Rural,50-59,32,24,4,7,24,18,12,20,4,9
C4920,14,1,0,District - Senapati  01,Rural,60-69,33,32,5,3,29,29,31,22,7,4
C4920,14,1,0,District - Senapati  01,Rural,70-79,17,17,2,0,18,16,24,9,2,1
C4920,14,1,0,District - Senapati  01,Rural,80-89,4,5,0,0,6,8,8,6,0,0
C4920,14,1,0,District - Senapati  01,Rural,90+,0,3,0,0,0,2,1,1,0,0
C4920,14,1,0,District - Senapati  01,Rural,Age not stated,2,0,1,0,0,0,0,1,0,0
C4920,14,1,0,District - Senapati  01,Urban,0-4,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,5-9,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,10-19,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,20-29,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,30-39,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,40-49,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,50-59,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,60-69,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,14,1,0,District - Senapati  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Rural,0-4,16,9,2,0,2,3,4,9,2,3
C4920,14,2,0,District - Tamenglong  02,Rural,5-9,21,26,7,7,3,0,8,16,1,2
C4920,14,2,0,District - Tamenglong  02,Rural,10-19,64,57,19,17,8,7,18,22,14,11
C4920,14,2,0,District - Tamenglong  02,Rural,20-29,61,44,13,15,15,15,20,25,28,15
C4920,14,2,0,District - Tamenglong  02,Rural,30-39,44,36,12,14,17,13,20,23,18,14
C4920,14,2,0,District - Tamenglong  02,Rural,40-49,29,18,7,6,8,6,12,15,21,7
C4920,14,2,0,District - Tamenglong  02,Rural,50-59,23,14,8,6,16,9,10,13,6,5
C4920,14,2,0,District - Tamenglong  02,Rural,60-69,10,23,9,8,20,22,18,10,1,7
C4920,14,2,0,District - Tamenglong  02,Rural,70-79,18,7,3,1,17,18,15,11,1,3
C4920,14,2,0,District - Tamenglong  02,Rural,80-89,14,7,2,0,9,10,10,4,2,0
C4920,14,2,0,District - Tamenglong  02,Rural,90+,4,2,0,0,10,3,0,1,2,1
C4920,14,2,0,District - Tamenglong  02,Rural,Age not stated,6,1,0,0,4,2,3,6,0,1
C4920,14,2,0,District - Tamenglong  02,Urban,0-4,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,5-9,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,10-19,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,20-29,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,30-39,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,40-49,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,50-59,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,60-69,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,14,2,0,District - Tamenglong  02,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Rural,0-4,53,56,3,3,3,2,4,7,4,1
C4920,14,3,0,District - Churachandpur  03,Rural,5-9,73,66,8,16,7,3,20,8,6,8
C4920,14,3,0,District - Churachandpur  03,Rural,10-19,145,149,31,15,14,11,27,27,23,13
C4920,14,3,0,District - Churachandpur  03,Rural,20-29,97,111,43,23,19,14,33,23,44,31
C4920,14,3,0,District - Churachandpur  03,Rural,30-39,107,69,19,14,22,11,17,16,40,35
C4920,14,3,0,District - Churachandpur  03,Rural,40-49,73,48,13,12,31,28,25,13,16,20
C4920,14,3,0,District - Churachandpur  03,Rural,50-59,58,43,17,6,46,35,17,11,15,14
C4920,14,3,0,District - Churachandpur  03,Rural,60-69,53,30,6,8,44,53,19,11,6,5
C4920,14,3,0,District - Churachandpur  03,Rural,70-79,29,25,5,3,57,32,10,5,5,4
C4920,14,3,0,District - Churachandpur  03,Rural,80-89,8,9,2,1,15,22,3,5,3,3
C4920,14,3,0,District - Churachandpur  03,Rural,90+,4,2,3,0,2,6,1,0,0,0
C4920,14,3,0,District - Churachandpur  03,Rural,Age not stated,2,1,0,0,0,1,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,0-4,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,5-9,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,10-19,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,20-29,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,30-39,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,40-49,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,50-59,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,60-69,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,14,3,0,District - Churachandpur  03,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,14,4,0,District - Bishnupur  04,Rural,0-4,30,26,4,1,1,0,4,10,4,5
C4920,14,4,0,District - Bishnupur  04,Rural,5-9,44,25,9,15,5,3,11,4,5,5
C4920,14,4,0,District - Bishnupur  04,Rural,10-19,74,75,21,14,15,11,28,18,11,20
C4920,14,4,0,District - Bishnupur  04,Rural,20-29,62,54,11,12,9,5,32,23,37,18
C4920,14,4,0,District - Bishnupur  04,Rural,30-39,53,39,10,10,8,17,34,20,38,21
C4920,14,4,0,District - Bishnupur  04,Rural,40-49,83,47,10,11,8,11,23,19,33,22
C4920,14,4,0,District - Bishnupur  04,Rural,50-59,68,42,4,5,6,14,33,22,19,13
C4920,14,4,0,District - Bishnupur  04,Rural,60-69,64,39,10,8,13,21,34,32,22,26
C4920,14,4,0,District - Bishnupur  04,Rural,70-79,44,51,5,8,24,21,45,36,11,21
C4920,14,4,0,District - Bishnupur  04,Rural,80-89,23,23,1,2,8,12,21,21,3,9
C4920,14,4,0,District - Bishnupur  04,Rural,90+,4,6,0,1,1,2,7,5,1,3
C4920,14,4,0,District - Bishnupur  04,Rural,Age not stated,2,1,0,0,0,0,0,0,1,0
C4920,14,4,0,District - Bishnupur  04,Urban,0-4,12,9,3,1,0,0,4,5,7,4
C4920,14,4,0,District - Bishnupur  04,Urban,5-9,10,10,12,8,5,2,8,7,4,4
C4920,14,4,0,District - Bishnupur  04,Urban,10-19,35,41,13,9,4,4,23,9,16,14
C4920,14,4,0,District - Bishnupur  04,Urban,20-29,22,28,8,5,4,8,25,13,20,16
C4920,14,4,0,District - Bishnupur  04,Urban,30-39,27,18,5,3,5,4,17,3,28,23
C4920,14,4,0,District - Bishnupur  04,Urban,40-49,30,36,5,3,9,4,23,13,25,14
C4920,14,4,0,District - Bishnupur  04,Urban,50-59,24,20,5,3,6,12,20,11,18,17
C4920,14,4,0,District - Bishnupur  04,Urban,60-69,27,29,1,2,13,12,21,26,11,14
C4920,14,4,0,District - Bishnupur  04,Urban,70-79,39,22,5,3,16,22,26,19,14,7
C4920,14,4,0,District - Bishnupur  04,Urban,80-89,10,12,2,1,8,7,10,8,6,7
C4920,14,4,0,District - Bishnupur  04,Urban,90+,4,3,0,0,7,2,4,1,1,2
C4920,14,4,0,District - Bishnupur  04,Urban,Age not stated,5,0,2,5,0,1,3,0,3,4
C4920,14,5,0,District - Thoubal  05,Rural,0-4,39,56,4,2,2,0,25,35,28,17
C4920,14,5,0,District - Thoubal  05,Rural,5-9,47,53,18,14,7,3,24,11,10,15
C4920,14,5,0,District - Thoubal  05,Rural,10-19,76,67,37,37,18,11,59,40,46,32
C4920,14,5,0,District - Thoubal  05,Rural,20-29,67,64,32,25,10,11,72,35,51,48
