Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,15,1,0,District - Mamit *  01,Rural,0-4,10,13,0,0,1,0,7,5,0,1
C4920,15,1,0,District - Mamit *  01,Rural,5-9,14,5,10,7,1,5,14,12,5,3
C4920,15,1,0,District - Mamit *  01,Rural,10-19,26,18,18,16,9,17,19,17,24,13
C4920,15,1,0,District - Mamit *  01,Rural,20-29,23,12,15,8,14,3,22,20,28,14
C4920,15,1,0,District - Mamit *  01,Rural,30-39,13,9,6,1,11,4,14,9,15,16
C4920,15,1,0,District - Mamit *  01,Rural,40-49,12,10,10,2,15,9,12,5,12,19
C4920,15,1,0,District - Mamit *  01,Rural,50-59,6,6,1,3,13,7,10,5,11,7
C4920,15,1,0,District - Mamit *  01,Rural,60-69,9,9,1,2,16,5,17,14,1,5
C4920,15,1,0,District - Mamit *  01,Rural,70-79,7,8,1,1,8,7,7,4,4,1
C4920,15,1,0,District - Mamit *  01,Rural,80-89,1,5,0,0,3,1,1,5,0,0
C4920,15,1,0,District - Mamit *  01,Rural,90+,0,1,1,0,0,2,0,1,0,0
C4920,15,1,0,District - Mamit *  01,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,15,1,0,District - Mamit *  01,Urban,0-4,4,4,0,0,0,0,1,3,0,0
C4920,15,1,0,District - Mamit *  01,Urban,5-9,3,0,0,0,1,1,0,2,0,2
C4920,15,1,0,District - Mamit *  01,Urban,10-19,6,5,1,1,2,2,5,4,1,5
C4920,15,1,0,District - Mamit *  01,Urban,20-29,5,2,1,1,1,0,5,5,5,5
C4920,15,1,0,District - Mamit *  01,Urban,30-39,7,2,1,2,2,0,4,4,3,1
C4920,15,1,0,District - Mamit *  01,Urban,40-49,8,2,2,2,4,0,5,5,2,5
C4920,15,1,0,District - Mamit *  01,Urban,50-59,3,3,1,3,1,3,1,0,2,0
C4920,15,1,0,District - Mamit *  01,Urban,60-69,1,3,0,2,5,4,5,1,0,1
C4920,15,1,0,District - Mamit *  01,Urban,70-79,0,3,0,0,4,2,2,3,0,0
C4920,15,1,0,District - Mamit *  01,Urban,80-89,2,1,0,0,1,1,1,4,0,0
C4920,15,1,0,District - Mamit *  01,Urban,90+,0,0,0,0,1,0,0,1,0,0
C4920,15,1,0,District - Mamit *  01,Urban,Age not stated,0,0,0,0,0,0,0,0,0,1
C4920,15,2,0,District - Kolasib *  02,Rural,0-4,15,6,0,1,0,0,3,2,2,0
C4920,15,2,0,District - Kolasib *  02,Rural,5-9,11,7,4,5,4,2,5,5,2,2
C4920,15,2,0,District - Kolasib *  02,Rural,10-19,20,18,5,10,5,7,16,4,12,13
C4920,15,2,0,District - Kolasib *  02,Rural,20-29,30,14,8,6,7,4,5,9,10,7
C4920,15,2,0,District - Kolasib *  02,Rural,30-39,13,12,5,5,6,6,4,5,11,10
C4920,15,2,0,District - Kolasib *  02,Rural,40-49,17,9,5,5,8,3,8,8,6,9
C4920,15,2,0,District - Kolasib *  02,Rural,50-59,8,9,4,4,6,6,4,2,3,5
C4920,15,2,0,District - Kolasib *  02,Rural,60-69,6,9,4,2,10,11,1,2,2,0
C4920,15,2,0,District - Kolasib *  02,Rural,70-79,6,4,0,0,7,5,2,1,0,1
C4920,15,2,0,District - Kolasib *  02,Rural,80-89,1,5,0,0,6,3,1,0,0,0
C4920,15,2,0,District - Kolasib *  02,Rural,90+,1,0,0,0,0,1,0,1,0,0
C4920,15,2,0,District - Kolasib *  02,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,15,2,0,District - Kolasib *  02,Urban,0-4,13,13,1,1,0,0,5,2,2,0
C4920,15,2,0,District - Kolasib *  02,Urban,5-9,11,22,6,5,2,4,4,3,2,1
C4920,15,2,0,District - Kolasib *  02,Urban,10-19,47,23,2,8,8,8,15,5,8,13
C4920,15,2,0,District - Kolasib *  02,Urban,20-29,41,20,4,4,4,0,8,10,7,9
C4920,15,2,0,District - Kolasib *  02,Urban,30-39,24,16,5,2,5,6,8,4,16,14
C4920,15,2,0,District - Kolasib *  02,Urban,40-49,24,13,10,6,3,6,8,4,13,4
C4920,15,2,0,District - Kolasib *  02,Urban,50-59,12,10,4,1,6,4,7,2,5,8
C4920,15,2,0,District - Kolasib *  02,Urban,60-69,11,9,0,0,9,6,5,1,2,2
C4920,15,2,0,District - Kolasib *  02,Urban,70-79,7,5,0,0,1,2,7,0,2,0
C4920,15,2,0,District - Kolasib *  02,Urban,80-89,1,7,0,1,3,3,2,0,0,1
C4920,15,2,0,District - Kolasib *  02,Urban,90+,2,0,0,0,0,0,0,0,0,0
C4920,15,2,0,District - Kolasib *  02,Urban,Age not stated,2,1,0,0,0,0,0,0,1,0
C4920,15,3,0,District - Aizawl  03,Rural,0-4,30,35,2,2,2,0,4,5,1,2
C4920,15,3,0,District - Aizawl  03,Rural,5-9,35,29,15,5,1,1,11,10,4,6
C4920,15,3,0,District - Aizawl  03,Rural,10-19,76,81,15,15,6,13,22,22,41,38
C4920,15,3,0,District - Aizawl  03,Rural,20-29,70,57,23,21,15,18,34,22,43,35
C4920,15,3,0,District - Aizawl  03,Rural,30-39,69,34,26,18,14,16,26,21,32,28
C4920,15,3,0,District - Aizawl  03,Rural,40-49,53,27,30,23,20,13,16,12,23,20
C4920,15,3,0,District - Aizawl  03,Rural,50-59,43,19,13,16,27,17,16,15,13,19
C4920,15,3,0,District - Aizawl  03,Rural,60-69,25,16,10,8,18,12,17,10,11,15
C4920,15,3,0,District - Aizawl  03,Rural,70-79,16,18,7,4,24,17,9,5,5,2
C4920,15,3,0,District - Aizawl  03,Rural,80-89,6,3,0,2,7,8,1,3,0,3
C4920,15,3,0,District - Aizawl  03,Rural,90+,1,1,0,0,3,3,0,0,0,0
C4920,15,3,0,District - Aizawl  03,Rural,Age not stated,1,0,0,0,0,0,0,0,1,1
C4920,15,3,0,District - Aizawl  03,Urban,0-4,56,44,4,2,3,2,11,5,9,6
C4920,15,3,0,District - Aizawl  03,Urban,5-9,58,50,27,16,3,4,27,21,20,12
C4920,15,3,0,District - Aizawl  03,Urban,10-19,149,155,46,41,34,20,43,28,58,60
C4920,15,3,0,District - Aizawl  03,Urban,20-29,144,91,30,22,28,25,62,37,91,61
C4920,15,3,0,District - Aizawl  03,Urban,30-39,107,65,42,33,42,24,35,22,73,47
C4920,15,3,0,District - Aizawl  03,Urban,40-49,88,56,26,27,34,40,50,17,43,64
C4920,15,3,0,District - Aizawl  03,Urban,50-59,47,36,24,14,26,22,36,19,22,35
C4920,15,3,0,District - Aizawl  03,Urban,60-69,35,26,8,9,22,22,17,23,20,23
C4920,15,3,0,District - Aizawl  03,Urban,70-79,18,19,6,10,38,21,11,6,6,11
C4920,15,3,0,District - Aizawl  03,Urban,80-89,3,9,1,4,10,19,5,1,3,1
C4920,15,3,0,District - Aizawl  03,Urban,90+,3,4,0,0,1,0,1,1,2,0
C4920,15,3,0,District - Aizawl  03,Urban,Age not stated,0,1,0,0,0,0,0,0,0,0
C4920,15,4,0,District - Champhai *  04,Rural,0-4,18,18,0,4,4,0,5,3,1,2
C4920,15,4,0,District - Champhai *  04,Rural,5-9,18,26,7,7,6,2,7,6,9,2
C4920,15,4,0,District - Champhai *  04,Rural,10-19,52,53,21,28,29,19,35,14,31,24
