Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,13,1,0,District - Mon  01,Rural,0-4,30,39,2,6,14,8,3,7,6,5
C4920,13,1,0,District - Mon  01,Rural,5-9,52,56,17,17,16,16,17,14,10,8
C4920,13,1,0,District - Mon  01,Rural,10-19,92,81,62,51,48,49,42,33,39,35
C4920,13,1,0,District - Mon  01,Rural,20-29,87,80,66,63,72,57,42,30,45,36
C4920,13,1,0,District - Mon  01,Rural,30-39,72,54,55,56,58,43,54,27,31,36
C4920,13,1,0,District - Mon  01,Rural,40-49,58,34,40,43,43,34,38,23,43,22
C4920,13,1,0,District - Mon  01,Rural,50-59,49,32,28,19,36,33,32,20,17,16
C4920,13,1,0,District - Mon  01,Rural,60-69,73,54,17,18,59,47,30,28,11,12
C4920,13,1,0,District - Mon  01,Rural,70-79,56,30,13,11,41,38,25,33,11,9
C4920,13,1,0,District - Mon  01,Rural,80-89,56,44,11,11,49,30,29,18,6,3
C4920,13,1,0,District - Mon  01,Rural,90+,20,12,4,0,24,13,18,13,1,1
C4920,13,1,0,District - Mon  01,Rural,Age not stated,3,4,0,0,1,0,0,1,0,0
C4920,13,1,0,District - Mon  01,Urban,0-4,2,4,1,0,0,0,0,0,1,0
C4920,13,1,0,District - Mon  01,Urban,5-9,8,2,1,2,0,0,0,0,1,3
C4920,13,1,0,District - Mon  01,Urban,10-19,12,4,7,2,1,3,2,1,3,0
C4920,13,1,0,District - Mon  01,Urban,20-29,10,1,2,2,1,4,2,2,3,2
C4920,13,1,0,District - Mon  01,Urban,30-39,13,3,0,0,4,1,5,1,3,1
C4920,13,1,0,District - Mon  01,Urban,40-49,6,4,0,0,1,2,0,1,2,0
C4920,13,1,0,District - Mon  01,Urban,50-59,5,0,0,0,1,0,2,1,0,0
C4920,13,1,0,District - Mon  01,Urban,60-69,1,0,2,0,0,5,0,0,0,0
C4920,13,1,0,District - Mon  01,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,13,1,0,District - Mon  01,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,13,1,0,District - Mon  01,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,13,1,0,District - Mon  01,Urban,Age not stated,0,1,0,0,0,0,0,0,0,0
C4920,13,2,0,District - Tuensang  02,Rural,0-4,62,69,4,6,5,8,13,8,10,5
C4920,13,2,0,District - Tuensang  02,Rural,5-9,117,99,45,36,25,23,43,35,17,16
C4920,13,2,0,District - Tuensang  02,Rural,10-19,237,233,141,155,148,142,118,83,72,53
C4920,13,2,0,District - Tuensang  02,Rural,20-29,179,170,199,221,184,188,92,82,62,60
C4920,13,2,0,District - Tuensang  02,Rural,30-39,145,118,164,136,173,126,56,61,58,50
C4920,13,2,0,District - Tuensang  02,Rural,40-49,135,69,97,76,115,95,47,26,49,38
C4920,13,2,0,District - Tuensang  02,Rural,50-59,101,69,37,47,93,99,34,27,27,22
C4920,13,2,0,District - Tuensang  02,Rural,60-69,90,85,33,24,115,104,40,53,18,13
C4920,13,2,0,District - Tuensang  02,Rural,70-79,81,65,18,15,94,89,48,50,8,6
C4920,13,2,0,District - Tuensang  02,Rural,80-89,52,35,10,3,49,50,29,20,2,2
C4920,13,2,0,District - Tuensang  02,Rural,90+,27,7,2,3,34,19,14,9,4,0
C4920,13,2,0,District - Tuensang  02,Rural,Age not stated,5,3,1,2,6,1,4,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,0-4,2,5,0,0,0,0,1,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,5-9,5,3,0,0,1,0,2,5,0,0
C4920,13,2,0,District - Tuensang  02,Urban,10-19,11,7,6,5,4,1,5,3,3,0
C4920,13,2,0,District - Tuensang  02,Urban,20-29,11,7,1,3,5,3,3,3,0,0
C4920,13,2,0,District - Tuensang  02,Urban,30-39,5,6,2,4,3,0,3,0,1,2
C4920,13,2,0,District - Tuensang  02,Urban,40-49,5,0,3,0,5,1,3,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,50-59,4,3,1,1,1,2,2,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,60-69,2,0,0,0,4,2,1,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,70-79,0,0,0,0,0,1,0,0,0,1
C4920,13,2,0,District - Tuensang  02,Urban,80-89,1,0,0,0,0,0,0,1,0,1
C4920,13,2,0,District - Tuensang  02,Urban,90+,0,1,0,1,0,0,0,0,0,0
C4920,13,2,0,District - Tuensang  02,Urban,Age not stated,1,1,0,0,0,0,0,0,0,0
C4920,13,3,0,District - Mokokchung  03,Rural,0-4,21,20,0,1,1,3,6,4,3,1
C4920,13,3,0,District - Mokokchung  03,Rural,5-9,22,31,22,9,6,6,15,8,7,2
C4920,13,3,0,District - Mokokchung  03,Rural,10-19,102,73,53,42,19,21,41,27,33,31
C4920,13,3,0,District - Mokokchung  03,Rural,20-29,98,69,45,37,43,25,40,38,45,35
C4920,13,3,0,District - Mokokchung  03,Rural,30-39,64,42,31,28,21,18,24,14,30,16
C4920,13,3,0,District - Mokokchung  03,Rural,40-49,58,40,24,16,26,13,16,18,15,18
C4920,13,3,0,District - Mokokchung  03,Rural,50-59,44,23,15,12,17,15,16,16,13,10
C4920,13,3,0,District - Mokokchung  03,Rural,60-69,28,26,7,14,27,26,22,18,6,5
C4920,13,3,0,District - Mokokchung  03,Rural,70-79,19,22,5,5,40,43,16,23,7,1
C4920,13,3,0,District - Mokokchung  03,Rural,80-89,21,29,1,1,37,25,17,22,2,2
C4920,13,3,0,District - Mokokchung  03,Rural,90+,6,7,0,0,17,5,13,6,2,0
C4920,13,3,0,District - Mokokchung  03,Rural,Age not stated,1,3,1,1,1,0,0,1,0,0
C4920,13,3,0,District - Mokokchung  03,Urban,0-4,2,8,0,0,0,0,0,0,0,0
C4920,13,3,0,District - Mokokchung  03,Urban,5-9,4,4,1,1,0,0,1,0,1,0
C4920,13,3,0,District - Mokokchung  03,Urban,10-19,11,6,2,4,0,1,5,4,2,3
C4920,13,3,0,District - Mokokchung  03,Urban,20-29,22,10,1,3,1,0,3,2,7,1
C4920,13,3,0,District - Mokokchung  03,Urban,30-39,18,3,4,1,0,0,0,3,8,2
C4920,13,3,0,District - Mokokchung  03,Urban,40-49,6,3,2,2,0,1,0,1,1,2
C4920,13,3,0,District - Mokokchung  03,Urban,50-59,3,1,0,1,0,0,1,1,2,0
C4920,13,3,0,District - Mokokchung  03,Urban,60-69,0,0,1,0,1,0,0,3,0,1
C4920,13,3,0,District - Mokokchung  03,Urban,70-79,3,0,1,2,0,2,1,1,0,0
C4920,13,3,0,District - Mokokchung  03,Urban,80-89,1,1,0,0,0,0,0,0,0,0
C4920,13,3,0,District - Mokokchung  03,Urban,90+,0,0,0,0,1,0,0,0,0,0
C4920,13,3,0,District - Mokokchung  03,Urban,Age not stated,1,0,1,0,0,0,0,0,0,0
C4920,13,4,0,District - Zunheboto  04,Rural,0-4,32,35,2,1,1,5,14,9,3,1
C4920,13,4,0,District - Zunheboto  04,Rural,5-9,55,29,16,18,4,10,18,10,3,10
C4920,13,4,0,District - Zunheboto  04,Rural,10-19,90,94,40,34,15,23,37,41,29,23
C4920,13,4,0,District - Zunheboto  04,Rural,20-29,62,64,39,46,26,31,25,30,32,22
C4920,13,4,0,District - Zunheboto  04,Rural,30-39,41,41,45,42,35,28,21,21,20,25
C4920,13,4,0,District - Zunheboto  04,Rural,40-49,48,27,37,26,42,29,23,18,26,23
C4920,13,4,0,District - Zunheboto  04,Rural,50-59,41,38,25,15,37,26,13,13,17,3
C4920,13,4,0,District - Zunheboto  04,Rural,60-69,34,33,6,9,40,25,20,18,5,5
C4920,13,4,0,District - Zunheboto  04,Rural,70-79,26,24,3,2,26,26,11,21,0,4
C4920,13,4,0,District - Zunheboto  04,Rural,80-89,14,9,5,1,13,7,11,9,2,2
C4920,13,4,0,District - Zunheboto  04,Rural,90+,4,3,2,2,5,4,3,2,0,1
C4920,13,4,0,District - Zunheboto  04,Rural,Age not stated,0,0,2,0,1,0,2,1,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,0-4,3,9,0,0,0,1,0,0,1,1
C4920,13,4,0,District - Zunheboto  04,Urban,5-9,15,10,3,0,1,0,1,3,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,10-19,33,35,3,3,6,7,6,6,6,1
C4920,13,4,0,District - Zunheboto  04,Urban,20-29,19,11,1,4,1,2,5,2,1,0
C4920,13,4,0,District - Zunheboto  04,Urban,30-39,17,12,2,3,1,1,4,1,2,5
C4920,13,4,0,District - Zunheboto  04,Urban,40-49,12,3,0,1,1,2,1,2,2,1
C4920,13,4,0,District - Zunheboto  04,Urban,50-59,8,4,0,0,0,0,1,0,2,0
C4920,13,4,0,District - Zunheboto  04,Urban,60-69,2,3,1,0,1,0,2,0,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,70-79,2,0,1,0,2,0,0,0,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,90+,0,1,0,0,0,0,0,0,0,0
C4920,13,4,0,District - Zunheboto  04,Urban,Age not stated,2,2,0,0,0,0,0,0,0,0
C4920,13,5,0,District - Wokha  05,Rural,0-4,20,13,4,3,3,1,5,3,2,2
C4920,13,5,0,District - Wokha  05,Rural,5-9,29,21,16,22,9,9,17,21,5,4
C4920,13,5,0,District - Wokha  05,Rural,10-19,58,41,47,48,28,22,47,37,23,10
C4920,13,5,0,District - Wokha  05,Rural,20-29,39,36,28,26,11,14,23,30,18,17
C4920,13,5,0,District - Wokha  05,Rural,30-39,34,25,13,10,16,9,23,14,10,18
C4920,13,5,0,District - Wokha  05,Rural,40-49,27,20,8,10,15,9,28,12,6,4
C4920,13,5,0,District - Wokha  05,Rural,50-59,24,18,3,3,11,11,8,20,3,4
C4920,13,5,0,District - Wokha  05,Rural,60-69,30,28,5,5,13,12,14,13,4,3
C4920,13,5,0,District - Wokha  05,Rural,70-79,27,17,2,0,14,9,8,10,0,0
C4920,13,5,0,District - Wokha  05,Rural,80-89,6,17,1,1,8,9,5,14,0,1
C4920,13,5,0,District - Wokha  05,Rural,90+,2,3,1,0,5,4,1,0,0,0
C4920,13,5,0,District - Wokha  05,Rural,Age not stated,1,0,0,0,0,0,2,0,0,0
C4920,13,5,0,District - Wokha  05,Urban,0-4,6,7,0,1,0,3,0,2,0,0
C4920,13,5,0,District - Wokha  05,Urban,5-9,8,12,6,14,0,4,3,4,2,2
C4920,13,5,0,District - Wokha  05,Urban,10-19,29,22,8,8,3,2,2,2,6,1
C4920,13,5,0,District - Wokha  05,Urban,20-29,15,17,6,4,2,1,1,2,3,5
C4920,13,5,0,District - Wokha  05,Urban,30-39,17,13,3,4,0,3,0,0,2,1
C4920,13,5,0,District - Wokha  05,Urban,40-49,21,6,0,1,0,1,0,1,5,1
C4920,13,5,0,District - Wokha  05,Urban,50-59,9,2,1,0,0,2,0,1,3,0
C4920,13,5,0,District - Wokha  05,Urban,60-69,4,1,0,0,2,0,0,0,0,0
C4920,13,5,0,District - Wokha  05,Urban,70-79,2,2,0,0,0,0,0,0,0,0
C4920,13,5,0,District - Wokha  05,Urban,80-89,1,0,0,0,0,0,0,0,0,0
C4920,13,5,0,District - Wokha  05,Urban,90+,1,0,0,0,0,0,1,0,0,0
C4920,13,5,0,District - Wokha  05,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,13,6,0,District - Dimapur *  06,Rural,0-4,36,40,2,3,1,1,10,9,1,3
C4920,13,6,0,District - Dimapur *  06,Rural,5-9,50,37,21,16,11,11,17,14,19,2
C4920,13,6,0,District - Dimapur *  06,Rural,10-19,93,87,55,50,31,34,55,36,29,22
C4920,13,6,0,District - Dimapur *  06,Rural,20-29,120,78,37,29,29,30,40,34,30,17
C4920,13,6,0,District - Dimapur *  06,Rural,30-39,117,54,20,12,15,13,20,19,14,6
C4920,13,6,0,District - Dimapur *  06,Rural,40-49,62,30,10,3,14,6,20,15,10,10
C4920,13,6,0,District - Dimapur *  06,Rural,50-59,33,17,5,4,12,22,8,13,4,5
C4920,13,6,0,District - Dimapur *  06,Rural,60-69,27,22,3,2,19,23,6,16,1,4
C4920,13,6,0,District - Dimapur *  06,Rural,70-79,16,21,2,1,21,14,12,7,1,3
C4920,13,6,0,District - Dimapur *  06,Rural,80-89,6,9,1,0,7,6,4,6,2,0
C4920,13,6,0,District - Dimapur *  06,Rural,90+,2,3,0,1,2,3,2,3,0,0
C4920,13,6,0,District - Dimapur *  06,Rural,Age not stated,1,3,0,1,2,1,1,0,0,0
C4920,13,6,0,District - Dimapur *  06,Urban,0-4,22,24,0,1,0,0,6,3,2,2
C4920,13,6,0,District - Dimapur *  06,Urban,5-9,25,40,6,7,1,1,14,6,2,4
C4920,13,6,0,District - Dimapur *  06,Urban,10-19,90,56,16,14,3,2,32,15,15,17
C4920,13,6,0,District - Dimapur *  06,Urban,20-29,72,44,20,15,6,4,23,7,21,10
C4920,13,6,0,District - Dimapur *  06,Urban,30-39,79,39,3,9,3,2,14,5,10,9
C4920,13,6,0,District - Dimapur *  06,Urban,40-49,47,16,4,3,3,6,10,9,9,9
C4920,13,6,0,District - Dimapur *  06,Urban,50-59,29,13,2,1,6,3,13,2,4,2
C4920,13,6,0,District - Dimapur *  06,Urban,60-69,10,8,0,0,1,0,10,1,5,1
C4920,13,6,0,District - Dimapur *  06,Urban,70-79,5,3,0,0,4,1,0,2,0,2
C4920,13,6,0,District - Dimapur *  06,Urban,80-89,1,4,0,0,1,2,3,0,0,0
C4920,13,6,0,District - Dimapur *  06,Urban,90+,1,0,1,0,0,2,1,1,0,0
C4920,13,6,0,District - Dimapur *  06,Urban,Age not stated,3,0,0,0,0,0,0,0,0,0
C4920,13,7,0,District - Kohima  07,Rural,0-4,38,24,2,1,5,4,7,12,4,4
C4920,13,7,0,District - Kohima  07,Rural,5-9,57,37,15,19,11,16,29,20,8,5
C4920,13,7,0,District - Kohima  07,Rural,10-19,102,129,72,49,51,40,68,62,29,27
C4920,13,7,0,District - Kohima  07,Rural,20-29,78,84,48,37,69,57,66,43,40,33
C4920,13,7,0,District - Kohima  07,Rural,30-39,65,53,31,33,45,35,31,27,48,15
C4920,13,7,0,District - Kohima  07,Rural,40-49,67,34,35,30,23,20,26,20,16,14
C4920,13,7,0,District - Kohima  07,Rural,50-59,39,29,14,16,35,27,19,15,18,10
C4920,13,7,0,District - Kohima  07,Rural,60-69,25,35,13,8,38,26,9,7,5,6
C4920,13,7,0,District - Kohima  07,Rural,70-79,35,17,0,4,26,18,17,11,1,5
C4920,13,7,0,District - Kohima  07,Rural,80-89,14,18,1,4,15,15,16,9,0,1
C4920,13,7,0,District - Kohima  07,Rural,90+,7,5,1,1,2,6,5,3,0,0
C4920,13,7,0,District - Kohima  07,Rural,Age not stated,2,0,1,2,1,2,1,0,0,0
C4920,13,7,0,District - Kohima  07,Urban,0-4,15,14,0,0,1,0,4,2,1,2
C4920,13,7,0,District - Kohima  07,Urban,5-9,22,9,3,4,0,2,5,5,1,8
C4920,13,7,0,District - Kohima  07,Urban,10-19,35,27,15,10,1,3,14,9,4,7
