Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,21,1,0,District - Bargarh  *  01,Rural,0-4,598,551,29,27,21,14,201,160,40,33
C4920,21,1,0,District - Bargarh  *  01,Rural,5-9,749,685,212,186,84,70,354,241,115,86
C4920,21,1,0,District - Bargarh  *  01,Rural,10-19,1538,1482,382,367,229,160,1108,802,338,264
C4920,21,1,0,District - Bargarh  *  01,Rural,20-29,1406,1125,224,227,176,105,851,590,374,358
C4920,21,1,0,District - Bargarh  *  01,Rural,30-39,1640,1032,192,159,155,130,662,448,363,364
C4920,21,1,0,District - Bargarh  *  01,Rural,40-49,1463,814,127,94,160,169,594,348,264,237
C4920,21,1,0,District - Bargarh  *  01,Rural,50-59,1064,783,65,55,195,223,477,336,120,137
C4920,21,1,0,District - Bargarh  *  01,Rural,60-69,1232,1136,66,61,353,373,680,598,110,115
C4920,21,1,0,District - Bargarh  *  01,Rural,70-79,764,806,30,40,310,272,398,382,51,43
C4920,21,1,0,District - Bargarh  *  01,Rural,80-89,305,255,16,18,109,109,166,151,17,10
C4920,21,1,0,District - Bargarh  *  01,Rural,90+,70,60,3,1,24,26,50,56,1,1
C4920,21,1,0,District - Bargarh  *  01,Rural,Age not stated,54,40,1,1,3,1,14,8,6,4
C4920,21,1,0,District - Bargarh  *  01,Urban,0-4,67,59,5,3,1,1,15,7,7,1
C4920,21,1,0,District - Bargarh  *  01,Urban,5-9,90,85,24,31,6,2,20,11,32,25
C4920,21,1,0,District - Bargarh  *  01,Urban,10-19,183,191,62,27,13,15,56,46,59,31
C4920,21,1,0,District - Bargarh  *  01,Urban,20-29,204,164,18,16,4,6,60,23,41,32
C4920,21,1,0,District - Bargarh  *  01,Urban,30-39,207,157,13,11,2,13,41,23,25,12
C4920,21,1,0,District - Bargarh  *  01,Urban,40-49,200,109,10,5,4,10,41,17,17,10
