Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,33,1,0,District - Thiruvallur  01,Rural,0-4,521,539,22,25,17,19,152,122,56,48
C4920,33,1,0,District - Thiruvallur  01,Rural,5-9,600,578,224,154,50,53,252,194,174,118
C4920,33,1,0,District - Thiruvallur  01,Rural,10-19,1230,1205,421,358,180,140,1211,864,334,293
C4920,33,1,0,District - Thiruvallur  01,Rural,20-29,1318,1159,301,274,126,131,1211,654,275,228
C4920,33,1,0,District - Thiruvallur  01,Rural,30-39,1446,983,210,179,124,182,745,407,195,173
C4920,33,1,0,District - Thiruvallur  01,Rural,40-49,1286,902,194,131,154,170,784,371,149,101
C4920,33,1,0,District - Thiruvallur  01,Rural,50-59,1003,930,114,91,152,189,593,313,71,49
C4920,33,1,0,District - Thiruvallur  01,Rural,60-69,897,1038,66,78,156,207,459,259,47,50
C4920,33,1,0,District - Thiruvallur  01,Rural,70-79,519,573,33,41,119,129,212,115,16,18
C4920,33,1,0,District - Thiruvallur  01,Rural,80-89,185,190,5,10,36,30,60,44,4,6
C4920,33,1,0,District - Thiruvallur  01,Rural,90+,47,43,2,2,7,9,10,12,5,2
C4920,33,1,0,District - Thiruvallur  01,Rural,Age not stated,20,32,3,3,1,1,4,4,4,2
C4920,33,1,0,District - Thiruvallur  01,Urban,0-4,496,493,30,28,22,17,107,101,64,54
C4920,33,1,0,District - Thiruvallur  01,Urban,5-9,582,521,186,151,49,35,197,128,161,113
C4920,33,1,0,District - Thiruvallur  01,Urban,10-19,1498,1276,407,346,151,110,1004,730,444,315
C4920,33,1,0,District - Thiruvallur  01,Urban,20-29,1738,1376,364,315,132,114,1345,943,410,278
C4920,33,1,0,District - Thiruvallur  01,Urban,30-39,2082,1096,326,219,112,145,868,515,314,227
C4920,33,1,0,District - Thiruvallur  01,Urban,40-49,1763,785,239,137,98,145,850,350,174,147
C4920,33,1,0,District - Thiruvallur  01,Urban,50-59,1184,621,123,96,121,117,665,259,101,72
