Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,5,1,0,District - Uttarkashi  01,Rural,0-4,71,65,3,5,7,2,49,37,12,3
C4920,5,1,0,District - Uttarkashi  01,Rural,5-9,101,98,71,44,36,34,137,89,28,26
C4920,5,1,0,District - Uttarkashi  01,Rural,10-19,212,160,114,73,104,73,289,187,89,51
C4920,5,1,0,District - Uttarkashi  01,Rural,20-29,164,108,48,33,56,37,219,140,65,37
C4920,5,1,0,District - Uttarkashi  01,Rural,30-39,158,116,79,59,67,46,190,112,68,33
C4920,5,1,0,District - Uttarkashi  01,Rural,40-49,167,116,55,51,53,50,146,95,50,30
C4920,5,1,0,District - Uttarkashi  01,Rural,50-59,164,161,51,27,65,45,188,79,30,21
C4920,5,1,0,District - Uttarkashi  01,Rural,60-69,217,280,34,24,81,76,175,94,13,18
C4920,5,1,0,District - Uttarkashi  01,Rural,70-79,134,151,9,9,48,39,83,69,2,2
C4920,5,1,0,District - Uttarkashi  01,Rural,80-89,52,63,2,1,13,9,19,15,1,4
C4920,5,1,0,District - Uttarkashi  01,Rural,90+,7,11,0,1,1,4,5,3,0,0
C4920,5,1,0,District - Uttarkashi  01,Rural,Age not stated,5,0,0,1,0,0,2,0,1,0
C4920,5,1,0,District - Uttarkashi  01,Urban,0-4,6,2,0,0,0,0,1,2,0,0
C4920,5,1,0,District - Uttarkashi  01,Urban,5-9,17,6,4,1,2,1,4,5,3,2
C4920,5,1,0,District - Uttarkashi  01,Urban,10-19,17,11,7,4,5,1,28,12,15,5
C4920,5,1,0,District - Uttarkashi  01,Urban,20-29,18,15,5,2,3,1,21,12,4,1
C4920,5,1,0,District - Uttarkashi  01,Urban,30-39,11,12,2,1,4,4,14,5,4,3
C4920,5,1,0,District - Uttarkashi  01,Urban,40-49,12,7,4,2,4,4,10,8,0,2
C4920,5,1,0,District - Uttarkashi  01,Urban,50-59,10,8,4,2,3,2,7,4,1,0
C4920,5,1,0,District - Uttarkashi  01,Urban,60-69,3,4,2,0,3,1,10,5,0,0
C4920,5,1,0,District - Uttarkashi  01,Urban,70-79,7,2,0,0,1,1,3,2,0,0
C4920,5,1,0,District - Uttarkashi  01,Urban,80-89,1,0,0,0,1,2,2,2,0,0
C4920,5,1,0,District - Uttarkashi  01,Urban,90+,0,0,0,0,1,0,0,0,0,0
C4920,5,1,0,District - Uttarkashi  01,Urban,Age not stated,0,1,0,0,0,0,0,0,0,0
C4920,5,2,0,District - Chamoli  02,Rural,0-4,113,88,7,9,2,0,42,32,10,5
C4920,5,2,0,District - Chamoli  02,Rural,5-9,152,116,54,39,13,10,89,74,34,26
C4920,5,2,0,District - Chamoli  02,Rural,10-19,311,250,114,75,96,75,275,232,114,92
C4920,5,2,0,District - Chamoli  02,Rural,20-29,235,171,71,49,51,21,223,166,88,60
C4920,5,2,0,District - Chamoli  02,Rural,30-39,220,185,68,59,49,50,195,117,77,45
C4920,5,2,0,District - Chamoli  02,Rural,40-49,228,155,80,56,61,56,205,97,65,34
C4920,5,2,0,District - Chamoli  02,Rural,50-59,207,207,45,36,55,46,180,85,40,24
C4920,5,2,0,District - Chamoli  02,Rural,60-69,245,307,31,30,90,74,172,113,24,22
C4920,5,2,0,District - Chamoli  02,Rural,70-79,174,218,15,14,85,67,105,60,7,5
C4920,5,2,0,District - Chamoli  02,Rural,80-89,80,91,3,2,26,22,34,20,4,1
C4920,5,2,0,District - Chamoli  02,Rural,90+,10,30,1,1,9,9,4,7,0,1
C4920,5,2,0,District - Chamoli  02,Rural,Age not stated,44,21,3,0,3,0,2,0,0,2
C4920,5,2,0,District - Chamoli  02,Urban,0-4,14,5,0,1,0,0,3,3,0,0
C4920,5,2,0,District - Chamoli  02,Urban,5-9,29,22,0,4,1,1,9,11,2,1
C4920,5,2,0,District - Chamoli  02,Urban,10-19,64,44,25,9,2,7,33,16,16,13
C4920,5,2,0,District - Chamoli  02,Urban,20-29,66,46,13,7,7,3,30,19,6,7
C4920,5,2,0,District - Chamoli  02,Urban,30-39,69,40,5,5,5,1,28,16,13,5
C4920,5,2,0,District - Chamoli  02,Urban,40-49,38,21,9,6,0,4,11,6,5,6
C4920,5,2,0,District - Chamoli  02,Urban,50-59,23,20,3,1,4,2,11,6,2,0
C4920,5,2,0,District - Chamoli  02,Urban,60-69,17,18,5,4,7,8,7,4,2,1
C4920,5,2,0,District - Chamoli  02,Urban,70-79,6,9,2,2,4,2,4,3,1,1
C4920,5,2,0,District - Chamoli  02,Urban,80-89,5,3,0,0,3,1,1,1,0,0
C4920,5,2,0,District - Chamoli  02,Urban,90+,0,2,0,0,0,0,0,0,0,0
C4920,5,2,0,District - Chamoli  02,Urban,Age not stated,2,0,0,0,0,0,0,0,1,1
C4920,5,3,0,District - Rudraprayag *  03,Rural,0-4,121,113,8,2,3,4,30,30,7,4
C4920,5,3,0,District - Rudraprayag *  03,Rural,5-9,130,116,40,24,8,11,48,40,14,14
C4920,5,3,0,District - Rudraprayag *  03,Rural,10-19,315,287,72,53,48,29,153,125,60,40
C4920,5,3,0,District - Rudraprayag *  03,Rural,20-29,237,228,32,27,35,20,102,92,43,38
C4920,5,3,0,District - Rudraprayag *  03,Rural,30-39,239,207,54,33,23,27,77,58,36,25
C4920,5,3,0,District - Rudraprayag *  03,Rural,40-49,246,192,37,22,21,25,103,69,34,16
C4920,5,3,0,District - Rudraprayag *  03,Rural,50-59,191,168,21,16,30,35,102,70,14,7
C4920,5,3,0,District - Rudraprayag *  03,Rural,60-69,203,234,27,16,63,47,105,48,11,6
C4920,5,3,0,District - Rudraprayag *  03,Rural,70-79,143,162,10,7,59,49,57,34,8,5
C4920,5,3,0,District - Rudraprayag *  03,Rural,80-89,50,69,2,3,20,20,20,28,2,1
C4920,5,3,0,District - Rudraprayag *  03,Rural,90+,9,19,1,0,3,3,4,3,0,0
C4920,5,3,0,District - Rudraprayag *  03,Rural,Age not stated,6,2,0,0,0,1,1,1,2,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,0-4,0,1,0,0,0,0,0,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,5-9,1,0,0,0,0,0,0,1,0,1
C4920,5,3,0,District - Rudraprayag *  03,Urban,10-19,5,0,0,0,0,0,2,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,20-29,7,1,1,0,1,0,0,1,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,30-39,13,1,0,0,0,0,2,1,1,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,40-49,3,1,0,0,1,0,1,0,1,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,50-59,3,0,0,0,0,0,1,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,60-69,0,0,0,0,1,0,0,0,1,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,70-79,0,0,0,0,0,0,0,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,5,3,0,District - Rudraprayag *  03,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,5,4,0,District - Tehri Garhwal  04,Rural,0-4,207,185,5,12,17,8,64,55,19,18
C4920,5,4,0,District - Tehri Garhwal  04,Rural,5-9,220,189,97,76,64,54,202,123,75,55
C4920,5,4,0,District - Tehri Garhwal  04,Rural,10-19,471,383,192,139,163,159,493,364,188,145
C4920,5,4,0,District - Tehri Garhwal  04,Rural,20-29,297,307,104,76,80,70,380,241,184,105
C4920,5,4,0,District - Tehri Garhwal  04,Rural,30-39,324,241,129,110,86,62,317,210,170,82
C4920,5,4,0,District - Tehri Garhwal  04,Rural,40-49,367,266,87,69,73,78,282,184,130,66
C4920,5,4,0,District - Tehri Garhwal  04,Rural,50-59,384,342,61,48,83,100,311,192,66,38
C4920,5,4,0,District - Tehri Garhwal  04,Rural,60-69,386,561,50,39,150,171,344,241,50,29
C4920,5,4,0,District - Tehri Garhwal  04,Rural,70-79,367,464,17,8,133,128,200,141,12,23
C4920,5,4,0,District - Tehri Garhwal  04,Rural,80-89,144,166,9,6,61,49,52,64,4,4
C4920,5,4,0,District - Tehri Garhwal  04,Rural,90+,18,33,0,0,4,10,3,17,0,0
C4920,5,4,0,District - Tehri Garhwal  04,Rural,Age not stated,7,2,1,0,0,0,1,1,1,0
C4920,5,4,0,District - Tehri Garhwal  04,Urban,0-4,13,12,0,0,0,0,7,6,1,2
C4920,5,4,0,District - Tehri Garhwal  04,Urban,5-9,21,15,6,4,0,0,8,5,7,6
C4920,5,4,0,District - Tehri Garhwal  04,Urban,10-19,54,33,13,9,7,3,32,24,19,11
C4920,5,4,0,District - Tehri Garhwal  04,Urban,20-29,94,33,16,6,7,0,29,19,10,3
C4920,5,4,0,District - Tehri Garhwal  04,Urban,30-39,89,32,10,5,5,2,37,9,11,2
C4920,5,4,0,District - Tehri Garhwal  04,Urban,40-49,66,15,5,5,1,3,24,7,10,3
C4920,5,4,0,District - Tehri Garhwal  04,Urban,50-59,45,10,1,2,1,2,15,10,2,2
