State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
28,1,District - Adilabad,Rural,0-4,Male,In seeing,359
28,1,District - Adilabad,Rural,5-9,Male,In seeing,496
28,1,District - Adilabad,Rural,10-19,Male,In seeing,883
28,1,District - Adilabad,Rural,20-29,Male,In seeing,772
28,1,District - Adilabad,Rural,30-39,Male,In seeing,794
28,1,District - Adilabad,Rural,40-49,Male,In seeing,758
28,1,District - Adilabad,Rural,50-59,Male,In seeing,549
28,1,District - Adilabad,Rural,60-69,Male,In seeing,605
28,1,District - Adilabad,Rural,70-79,Male,In seeing,417
28,1,District - Adilabad,Rural,80-89,Male,In seeing,119
28,1,District - Adilabad,Rural,90+,Male,In seeing,30
28,1,District - Adilabad,Rural,Age not stated,Male,In seeing,14
28,1,District - Adilabad,Urban,0-4,Male,In seeing,101
28,1,District - Adilabad,Urban,5-9,Male,In seeing,147
28,1,District - Adilabad,Urban,10-19,Male,In seeing,311
28,1,District - Adilabad,Urban,20-29,Male,In seeing,263
28,1,District - Adilabad,Urban,30-39,Male,In seeing,269
28,1,District - Adilabad,Urban,40-49,Male,In seeing,274
28,1,District - Adilabad,Urban,50-59,Male,In seeing,139
28,1,District - Adilabad,Urban,60-69,Male,In seeing,82
28,1,District - Adilabad,Urban,70-79,Male,In seeing,53
28,1,District - Adilabad,Urban,80-89,Male,In seeing,16
28,1,District - Adilabad,Urban,90+,Male,In seeing,5
28,1,District - Adilabad,Urban,Age not stated,Male,In seeing,1
28,2,District - Adilabad,Rural,0-4,Male,In seeing,414
28,2,District - Adilabad,Rural,5-9,Male,In seeing,608
28,2,District - Adilabad,Rural,10-19,Male,In seeing,1069
28,2,District - Adilabad,Rural,20-29,Male,In seeing,998
28,2,District - Adilabad,Rural,30-39,Male,In seeing,1276
28,2,District - Adilabad,Rural,40-49,Male,In seeing,1128
28,2,District - Adilabad,Rural,50-59,Male,In seeing,920
28,2,District - Adilabad,Rural,60-69,Male,In seeing,949
28,2,District - Adilabad,Rural,70-79,Male,In seeing,624
28,2,District - Adilabad,Rural,80-89,Male,In seeing,175
28,2,District - Adilabad,Rural,90+,Male,In seeing,35
28,2,District - Adilabad,Rural,Age not stated,Male,In seeing,21
28,2,District - Adilabad,Urban,0-4,Male,In seeing,92
28,2,District - Adilabad,Urban,5-9,Male,In seeing,113
28,2,District - Adilabad,Urban,10-19,Male,In seeing,220
28,2,District - Adilabad,Urban,20-29,Male,In seeing,211
28,2,District - Adilabad,Urban,30-39,Male,In seeing,299
28,2,District - Adilabad,Urban,40-49,Male,In seeing,233
28,2,District - Adilabad,Urban,50-59,Male,In seeing,188
28,2,District - Adilabad,Urban,60-69,Male,In seeing,159
28,2,District - Adilabad,Urban,70-79,Male,In seeing,73
28,2,District - Adilabad,Urban,80-89,Male,In seeing,17
28,2,District - Adilabad,Urban,90+,Male,In seeing,2
28,2,District - Adilabad,Urban,Age not stated,Male,In seeing,2
28,3,District - Adilabad,Rural,0-4,Male,In seeing,503
28,3,District - Adilabad,Rural,5-9,Male,In seeing,708
28,3,District - Adilabad,Rural,10-19,Male,In seeing,1269
28,3,District - Adilabad,Rural,20-29,Male,In seeing,1626
28,3,District - Adilabad,Rural,30-39,Male,In seeing,2085
28,3,District - Adilabad,Rural,40-49,Male,In seeing,1841
28,3,District - Adilabad,Rural,50-59,Male,In seeing,1556
28,3,District - Adilabad,Rural,60-69,Male,In seeing,1758
28,3,District - Adilabad,Rural,70-79,Male,In seeing,1325
28,3,District - Adilabad,Rural,80-89,Male,In seeing,397
28,3,District - Adilabad,Rural,90+,Male,In seeing,63
28,3,District - Adilabad,Rural,Age not stated,Male,In seeing,25
28,3,District - Adilabad,Urban,0-4,Male,In seeing,201
28,3,District - Adilabad,Urban,5-9,Male,In seeing,269
28,3,District - Adilabad,Urban,10-19,Male,In seeing,681
28,3,District - Adilabad,Urban,20-29,Male,In seeing,710
28,3,District - Adilabad,Urban,30-39,Male,In seeing,829
28,3,District - Adilabad,Urban,40-49,Male,In seeing,888
28,3,District - Adilabad,Urban,50-59,Male,In seeing,407
28,3,District - Adilabad,Urban,60-69,Male,In seeing,199
28,3,District - Adilabad,Urban,70-79,Male,In seeing,106
28,3,District - Adilabad,Urban,80-89,Male,In seeing,31
28,3,District - Adilabad,Urban,90+,Male,In seeing,3
28,3,District - Adilabad,Urban,Age not stated,Male,In seeing,9
28,4,District - Adilabad,Rural,0-4,Male,In seeing,535
28,4,District - Adilabad,Rural,5-9,Male,In seeing,664
28,4,District - Adilabad,Rural,10-19,Male,In seeing,1260
28,4,District - Adilabad,Rural,20-29,Male,In seeing,1242
28,4,District - Adilabad,Rural,30-39,Male,In seeing,1553
28,4,District - Adilabad,Rural,40-49,Male,In seeing,1403
28,4,District - Adilabad,Rural,50-59,Male,In seeing,1201
28,4,District - Adilabad,Rural,60-69,Male,In seeing,1309
28,4,District - Adilabad,Rural,70-79,Male,In seeing,921
28,4,District - Adilabad,Rural,80-89,Male,In seeing,301
28,4,District - Adilabad,Rural,90+,Male,In seeing,55
28,4,District - Adilabad,Rural,Age not stated,Male,In seeing,29
28,4,District - Adilabad,Urban,0-4,Male,In seeing,93
28,4,District - Adilabad,Urban,5-9,Male,In seeing,130
28,4,District - Adilabad,Urban,10-19,Male,In seeing,206
28,4,District - Adilabad,Urban,20-29,Male,In seeing,301
28,4,District - Adilabad,Urban,30-39,Male,In seeing,273
28,4,District - Adilabad,Urban,40-49,Male,In seeing,234
28,4,District - Adilabad,Urban,50-59,Male,In seeing,135
28,4,District - Adilabad,Urban,60-69,Male,In seeing,90
28,4,District - Adilabad,Urban,70-79,Male,In seeing,34
28,4,District - Adilabad,Urban,80-89,Male,In seeing,16
28,4,District - Adilabad,Urban,90+,Male,In seeing,4
28,4,District - Adilabad,Urban,Age not stated,Male,In seeing,3
28,5,District - Adilabad,Rural,0-4,Male,In seeing,0
28,5,District - Adilabad,Rural,5-9,Male,In seeing,0
28,5,District - Adilabad,Rural,10-19,Male,In seeing,0
28,5,District - Adilabad,Rural,20-29,Male,In seeing,0
28,5,District - Adilabad,Rural,30-39,Male,In seeing,0
28,5,District - Adilabad,Rural,40-49,Male,In seeing,0
28,5,District - Adilabad,Rural,50-59,Male,In seeing,0
28,5,District - Adilabad,Rural,60-69,Male,In seeing,0
28,5,District - Adilabad,Rural,70-79,Male,In seeing,0
28,5,District - Adilabad,Rural,80-89,Male,In seeing,0
28,5,District - Adilabad,Rural,90+,Male,In seeing,0
28,5,District - Adilabad,Rural,Age not stated,Male,In seeing,0
28,5,District - Adilabad,Urban,0-4,Male,In seeing,998
28,5,District - Adilabad,Urban,5-9,Male,In seeing,1273
28,5,District - Adilabad,Urban,10-19,Male,In seeing,2807
28,5,District - Adilabad,Urban,20-29,Male,In seeing,2615
28,5,District - Adilabad,Urban,30-39,Male,In seeing,2324
28,5,District - Adilabad,Urban,40-49,Male,In seeing,1921
28,5,District - Adilabad,Urban,50-59,Male,In seeing,1275
28,5,District - Adilabad,Urban,60-69,Male,In seeing,835
28,5,District - Adilabad,Urban,70-79,Male,In seeing,408
28,5,District - Adilabad,Urban,80-89,Male,In seeing,100
28,5,District - Adilabad,Urban,90+,Male,In seeing,35
28,5,District - Adilabad,Urban,Age not stated,Male,In seeing,104
28,6,District - Adilabad,Rural,0-4,Male,In seeing,339
28,6,District - Adilabad,Rural,5-9,Male,In seeing,529
28,6,District - Adilabad,Rural,10-19,Male,In seeing,1033
28,6,District - Adilabad,Rural,20-29,Male,In seeing,1065
28,6,District - Adilabad,Rural,30-39,Male,In seeing,1284
28,6,District - Adilabad,Rural,40-49,Male,In seeing,1231
28,6,District - Adilabad,Rural,50-59,Male,In seeing,931
28,6,District - Adilabad,Rural,60-69,Male,In seeing,927
28,6,District - Adilabad,Rural,70-79,Male,In seeing,661
28,6,District - Adilabad,Rural,80-89,Male,In seeing,186
28,6,District - Adilabad,Rural,90+,Male,In seeing,34
28,6,District - Adilabad,Rural,Age not stated,Male,In seeing,16
28,6,District - Adilabad,Urban,0-4,Male,In seeing,388
28,6,District - Adilabad,Urban,5-9,Male,In seeing,577
28,6,District - Adilabad,Urban,10-19,Male,In seeing,1120
28,6,District - Adilabad,Urban,20-29,Male,In seeing,1571
28,6,District - Adilabad,Urban,30-39,Male,In seeing,1751
28,6,District - Adilabad,Urban,40-49,Male,In seeing,1548
28,6,District - Adilabad,Urban,50-59,Male,In seeing,902
28,6,District - Adilabad,Urban,60-69,Male,In seeing,561
28,6,District - Adilabad,Urban,70-79,Male,In seeing,220
28,6,District - Adilabad,Urban,80-89,Male,In seeing,64
28,6,District - Adilabad,Urban,90+,Male,In seeing,15
28,6,District - Adilabad,Urban,Age not stated,Male,In seeing,48
28,7,District - Adilabad,Rural,0-4,Male,In seeing,600
28,7,District - Adilabad,Rural,5-9,Male,In seeing,957
28,7,District - Adilabad,Rural,10-19,Male,In seeing,1578
28,7,District - Adilabad,Rural,20-29,Male,In seeing,1633
28,7,District - Adilabad,Rural,30-39,Male,In seeing,2155
28,7,District - Adilabad,Rural,40-49,Male,In seeing,2102
28,7,District - Adilabad,Rural,50-59,Male,In seeing,1849
28,7,District - Adilabad,Rural,60-69,Male,In seeing,2018
28,7,District - Adilabad,Rural,70-79,Male,In seeing,1418
28,7,District - Adilabad,Rural,80-89,Male,In seeing,434
28,7,District - Adilabad,Rural,90+,Male,In seeing,78
28,7,District - Adilabad,Rural,Age not stated,Male,In seeing,35
28,7,District - Adilabad,Urban,0-4,Male,In seeing,64
28,7,District - Adilabad,Urban,5-9,Male,In seeing,117
28,7,District - Adilabad,Urban,10-19,Male,In seeing,313
28,7,District - Adilabad,Urban,20-29,Male,In seeing,200
28,7,District - Adilabad,Urban,30-39,Male,In seeing,281
28,7,District - Adilabad,Urban,40-49,Male,In seeing,268
