State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
12,1,District - Tawang,Rural,0-4,Male,In seeing,9
12,1,District - Tawang,Rural,5-9,Male,In seeing,15
12,1,District - Tawang,Rural,10-19,Male,In seeing,8
12,1,District - Tawang,Rural,20-29,Male,In seeing,72
12,1,District - Tawang,Rural,30-39,Male,In seeing,80
12,1,District - Tawang,Rural,40-49,Male,In seeing,79
12,1,District - Tawang,Rural,50-59,Male,In seeing,42
12,1,District - Tawang,Rural,60-69,Male,In seeing,52
12,1,District - Tawang,Rural,70-79,Male,In seeing,22
12,1,District - Tawang,Rural,80-89,Male,In seeing,19
12,1,District - Tawang,Rural,90+,Male,In seeing,1
12,1,District - Tawang,Rural,Age not stated,Male,In seeing,0
12,1,District - Tawang,Urban,0-4,Male,In seeing,1
12,1,District - Tawang,Urban,5-9,Male,In seeing,3
12,1,District - Tawang,Urban,10-19,Male,In seeing,3
12,1,District - Tawang,Urban,20-29,Male,In seeing,40
12,1,District - Tawang,Urban,30-39,Male,In seeing,54
12,1,District - Tawang,Urban,40-49,Male,In seeing,27
12,1,District - Tawang,Urban,50-59,Male,In seeing,13
12,1,District - Tawang,Urban,60-69,Male,In seeing,5
12,1,District - Tawang,Urban,70-79,Male,In seeing,1
12,1,District - Tawang,Urban,80-89,Male,In seeing,0
12,1,District - Tawang,Urban,90+,Male,In seeing,0
12,1,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,2,District - Tawang,Rural,0-4,Male,In seeing,44
12,2,District - Tawang,Rural,5-9,Male,In seeing,34
12,2,District - Tawang,Rural,10-19,Male,In seeing,70
12,2,District - Tawang,Rural,20-29,Male,In seeing,270
12,2,District - Tawang,Rural,30-39,Male,In seeing,354
12,2,District - Tawang,Rural,40-49,Male,In seeing,290
12,2,District - Tawang,Rural,50-59,Male,In seeing,172
12,2,District - Tawang,Rural,60-69,Male,In seeing,78
12,2,District - Tawang,Rural,70-79,Male,In seeing,26
12,2,District - Tawang,Rural,80-89,Male,In seeing,14
12,2,District - Tawang,Rural,90+,Male,In seeing,5
