State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
18,1,District - Kokrajhar,Rural,0-4,Male,In seeing,316
18,1,District - Kokrajhar,Rural,5-9,Male,In seeing,399
18,1,District - Kokrajhar,Rural,10-19,Male,In seeing,669
18,1,District - Kokrajhar,Rural,20-29,Male,In seeing,417
18,1,District - Kokrajhar,Rural,30-39,Male,In seeing,526
18,1,District - Kokrajhar,Rural,40-49,Male,In seeing,419
18,1,District - Kokrajhar,Rural,50-59,Male,In seeing,269
18,1,District - Kokrajhar,Rural,60-69,Male,In seeing,239
18,1,District - Kokrajhar,Rural,70-79,Male,In seeing,167
18,1,District - Kokrajhar,Rural,80-89,Male,In seeing,62
18,1,District - Kokrajhar,Rural,90+,Male,In seeing,28
18,1,District - Kokrajhar,Rural,Age not stated,Male,In seeing,5
18,1,District - Kokrajhar,Urban,0-4,Male,In seeing,6
18,1,District - Kokrajhar,Urban,5-9,Male,In seeing,16
18,1,District - Kokrajhar,Urban,10-19,Male,In seeing,44
18,1,District - Kokrajhar,Urban,20-29,Male,In seeing,25
18,1,District - Kokrajhar,Urban,30-39,Male,In seeing,49
18,1,District - Kokrajhar,Urban,40-49,Male,In seeing,54
18,1,District - Kokrajhar,Urban,50-59,Male,In seeing,39
18,1,District - Kokrajhar,Urban,60-69,Male,In seeing,25
18,1,District - Kokrajhar,Urban,70-79,Male,In seeing,15
18,1,District - Kokrajhar,Urban,80-89,Male,In seeing,6
18,1,District - Kokrajhar,Urban,90+,Male,In seeing,0
18,1,District - Kokrajhar,Urban,Age not stated,Male,In seeing,0
18,2,District - Kokrajhar,Rural,0-4,Male,In seeing,892
18,2,District - Kokrajhar,Rural,5-9,Male,In seeing,965
18,2,District - Kokrajhar,Rural,10-19,Male,In seeing,1553
18,2,District - Kokrajhar,Rural,20-29,Male,In seeing,1082
18,2,District - Kokrajhar,Rural,30-39,Male,In seeing,1112
18,2,District - Kokrajhar,Rural,40-49,Male,In seeing,866
18,2,District - Kokrajhar,Rural,50-59,Male,In seeing,584
18,2,District - Kokrajhar,Rural,60-69,Male,In seeing,472
18,2,District - Kokrajhar,Rural,70-79,Male,In seeing,378
18,2,District - Kokrajhar,Rural,80-89,Male,In seeing,138
18,2,District - Kokrajhar,Rural,90+,Male,In seeing,64
18,2,District - Kokrajhar,Rural,Age not stated,Male,In seeing,17
18,2,District - Kokrajhar,Urban,0-4,Male,In seeing,100
18,2,District - Kokrajhar,Urban,5-9,Male,In seeing,111
18,2,District - Kokrajhar,Urban,10-19,Male,In seeing,244
18,2,District - Kokrajhar,Urban,20-29,Male,In seeing,207
18,2,District - Kokrajhar,Urban,30-39,Male,In seeing,199
18,2,District - Kokrajhar,Urban,40-49,Male,In seeing,161
18,2,District - Kokrajhar,Urban,50-59,Male,In seeing,108
18,2,District - Kokrajhar,Urban,60-69,Male,In seeing,84
18,2,District - Kokrajhar,Urban,70-79,Male,In seeing,51
18,2,District - Kokrajhar,Urban,80-89,Male,In seeing,10
18,2,District - Kokrajhar,Urban,90+,Male,In seeing,0
18,2,District - Kokrajhar,Urban,Age not stated,Male,In seeing,0
18,3,District - Kokrajhar,Rural,0-4,Male,In seeing,381
18,3,District - Kokrajhar,Rural,5-9,Male,In seeing,519
18,3,District - Kokrajhar,Rural,10-19,Male,In seeing,751
18,3,District - Kokrajhar,Rural,20-29,Male,In seeing,472
18,3,District - Kokrajhar,Rural,30-39,Male,In seeing,509
18,3,District - Kokrajhar,Rural,40-49,Male,In seeing,424
18,3,District - Kokrajhar,Rural,50-59,Male,In seeing,278
18,3,District - Kokrajhar,Rural,60-69,Male,In seeing,321
18,3,District - Kokrajhar,Rural,70-79,Male,In seeing,200
18,3,District - Kokrajhar,Rural,80-89,Male,In seeing,64
18,3,District - Kokrajhar,Rural,90+,Male,In seeing,30
18,3,District - Kokrajhar,Rural,Age not stated,Male,In seeing,10
18,3,District - Kokrajhar,Urban,0-4,Male,In seeing,29
18,3,District - Kokrajhar,Urban,5-9,Male,In seeing,29
18,3,District - Kokrajhar,Urban,10-19,Male,In seeing,68
18,3,District - Kokrajhar,Urban,20-29,Male,In seeing,42
18,3,District - Kokrajhar,Urban,30-39,Male,In seeing,50
18,3,District - Kokrajhar,Urban,40-49,Male,In seeing,47
18,3,District - Kokrajhar,Urban,50-59,Male,In seeing,29
18,3,District - Kokrajhar,Urban,60-69,Male,In seeing,23
18,3,District - Kokrajhar,Urban,70-79,Male,In seeing,13
18,3,District - Kokrajhar,Urban,80-89,Male,In seeing,12
18,3,District - Kokrajhar,Urban,90+,Male,In seeing,0
18,3,District - Kokrajhar,Urban,Age not stated,Male,In seeing,1
18,4,District - Kokrajhar,Rural,0-4,Male,In seeing,601
18,4,District - Kokrajhar,Rural,5-9,Male,In seeing,643
18,4,District - Kokrajhar,Rural,10-19,Male,In seeing,1047
