State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
1,1,District - Kupwara,Rural,0-4,Male,In seeing,760
1,1,District - Kupwara,Rural,5-9,Male,In seeing,913
1,1,District - Kupwara,Rural,10-19,Male,In seeing,1628
1,1,District - Kupwara,Rural,20-29,Male,In seeing,1017
1,1,District - Kupwara,Rural,30-39,Male,In seeing,892
1,1,District - Kupwara,Rural,40-49,Male,In seeing,688
1,1,District - Kupwara,Rural,50-59,Male,In seeing,459
1,1,District - Kupwara,Rural,60-69,Male,In seeing,379
1,1,District - Kupwara,Rural,70-79,Male,In seeing,223
1,1,District - Kupwara,Rural,80-89,Male,In seeing,114
1,1,District - Kupwara,Rural,90+,Male,In seeing,43
1,1,District - Kupwara,Rural,Age not stated,Male,In seeing,61
1,1,District - Kupwara,Urban,0-4,Male,In seeing,47
1,1,District - Kupwara,Urban,5-9,Male,In seeing,55
1,1,District - Kupwara,Urban,10-19,Male,In seeing,110
1,1,District - Kupwara,Urban,20-29,Male,In seeing,81
1,1,District - Kupwara,Urban,30-39,Male,In seeing,56
1,1,District - Kupwara,Urban,40-49,Male,In seeing,50
1,1,District - Kupwara,Urban,50-59,Male,In seeing,34
1,1,District - Kupwara,Urban,60-69,Male,In seeing,14
1,1,District - Kupwara,Urban,70-79,Male,In seeing,7
1,1,District - Kupwara,Urban,80-89,Male,In seeing,2
1,1,District - Kupwara,Urban,90+,Male,In seeing,1
1,1,District - Kupwara,Urban,Age not stated,Male,In seeing,2
1,2,District - Kupwara,Rural,0-4,Male,In seeing,1725
1,2,District - Kupwara,Rural,5-9,Male,In seeing,2148
1,2,District - Kupwara,Rural,10-19,Male,In seeing,3522
1,2,District - Kupwara,Rural,20-29,Male,In seeing,2029
1,2,District - Kupwara,Rural,30-39,Male,In seeing,1747
1,2,District - Kupwara,Rural,40-49,Male,In seeing,1610
1,2,District - Kupwara,Rural,50-59,Male,In seeing,1031
1,2,District - Kupwara,Rural,60-69,Male,In seeing,860
1,2,District - Kupwara,Rural,70-79,Male,In seeing,467
1,2,District - Kupwara,Rural,80-89,Male,In seeing,160
1,2,District - Kupwara,Rural,90+,Male,In seeing,77
