State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
32,1,District - Kasaragod  01,Rural,0-4, KERALA, Kasaragod,Male,In seeing,172
32,1,District - Kasaragod  01,Rural,5-9, KERALA, Kasaragod,Male,In seeing,188
32,1,District - Kasaragod  01,Rural,10-19, KERALA, Kasaragod,Male,In seeing,481
32,1,District - Kasaragod  01,Rural,20-29, KERALA, Kasaragod,Male,In seeing,387
32,1,District - Kasaragod  01,Rural,30-39, KERALA, Kasaragod,Male,In seeing,447
32,1,District - Kasaragod  01,Rural,40-49, KERALA, Kasaragod,Male,In seeing,594
32,1,District - Kasaragod  01,Rural,50-59, KERALA, Kasaragod,Male,In seeing,498
32,1,District - Kasaragod  01,Rural,60-69, KERALA, Kasaragod,Male,In seeing,641
32,1,District - Kasaragod  01,Rural,70-79, KERALA, Kasaragod,Male,In seeing,540
32,1,District - Kasaragod  01,Rural,80-89, KERALA, Kasaragod,Male,In seeing,219
32,1,District - Kasaragod  01,Rural,90+, KERALA, Kasaragod,Male,In seeing,43
32,1,District - Kasaragod  01,Rural,Age not stated, KERALA, Kasaragod,Male,In seeing,4
32,1,District - Kasaragod  01,Urban,0-4, KERALA, Kasaragod,Male,In seeing,29
32,1,District - Kasaragod  01,Urban,5-9, KERALA, Kasaragod,Male,In seeing,30
32,1,District - Kasaragod  01,Urban,10-19, KERALA, Kasaragod,Male,In seeing,137
32,1,District - Kasaragod  01,Urban,20-29, KERALA, Kasaragod,Male,In seeing,86
32,1,District - Kasaragod  01,Urban,30-39, KERALA, Kasaragod,Male,In seeing,84
32,1,District - Kasaragod  01,Urban,40-49, KERALA, Kasaragod,Male,In seeing,96
32,1,District - Kasaragod  01,Urban,50-59, KERALA, Kasaragod,Male,In seeing,111
32,1,District - Kasaragod  01,Urban,60-69, KERALA, Kasaragod,Male,In seeing,150
32,1,District - Kasaragod  01,Urban,70-79, KERALA, Kasaragod,Male,In seeing,88
32,1,District - Kasaragod  01,Urban,80-89, KERALA, Kasaragod,Male,In seeing,25
32,1,District - Kasaragod  01,Urban,90+, KERALA, Kasaragod,Male,In seeing,7
32,1,District - Kasaragod  01,Urban,Age not stated, KERALA, Kasaragod,Male,In seeing,2
32,2,District - Kannur  02,Rural,0-4, KERALA, Kannur,Male,In seeing,117
32,2,District - Kannur  02,Rural,5-9, KERALA, Kannur,Male,In seeing,136
32,2,District - Kannur  02,Rural,10-19, KERALA, Kannur,Male,In seeing,431
32,2,District - Kannur  02,Rural,20-29, KERALA, Kannur,Male,In seeing,413
32,2,District - Kannur  02,Rural,30-39, KERALA, Kannur,Male,In seeing,470
32,2,District - Kannur  02,Rural,40-49, KERALA, Kannur,Male,In seeing,523
32,2,District - Kannur  02,Rural,50-59, KERALA, Kannur,Male,In seeing,636
32,2,District - Kannur  02,Rural,60-69, KERALA, Kannur,Male,In seeing,748
32,2,District - Kannur  02,Rural,70-79, KERALA, Kannur,Male,In seeing,700
32,2,District - Kannur  02,Rural,80-89, KERALA, Kannur,Male,In seeing,319
32,2,District - Kannur  02,Rural,90+, KERALA, Kannur,Male,In seeing,82
32,2,District - Kannur  02,Rural,Age not stated, KERALA, Kannur,Male,In seeing,3
32,2,District - Kannur  02,Urban,0-4, KERALA, Kannur,Male,In seeing,127
32,2,District - Kannur  02,Urban,5-9, KERALA, Kannur,Male,In seeing,133
32,2,District - Kannur  02,Urban,10-19, KERALA, Kannur,Male,In seeing,500
32,2,District - Kannur  02,Urban,20-29, KERALA, Kannur,Male,In seeing,424
32,2,District - Kannur  02,Urban,30-39, KERALA, Kannur,Male,In seeing,409
32,2,District - Kannur  02,Urban,40-49, KERALA, Kannur,Male,In seeing,568
32,2,District - Kannur  02,Urban,50-59, KERALA, Kannur,Male,In seeing,619
32,2,District - Kannur  02,Urban,60-69, KERALA, Kannur,Male,In seeing,729
32,2,District - Kannur  02,Urban,70-79, KERALA, Kannur,Male,In seeing,653
32,2,District - Kannur  02,Urban,80-89, KERALA, Kannur,Male,In seeing,249
32,2,District - Kannur  02,Urban,90+, KERALA, Kannur,Male,In seeing,41
32,2,District - Kannur  02,Urban,Age not stated, KERALA, Kannur,Male,In seeing,2
32,3,District - Wayanad  03,Rural,0-4, KERALA, Wayanad,Male,In seeing,128
32,3,District - Wayanad  03,Rural,5-9, KERALA, Wayanad,Male,In seeing,127
32,3,District - Wayanad  03,Rural,10-19, KERALA, Wayanad,Male,In seeing,388
32,3,District - Wayanad  03,Rural,20-29, KERALA, Wayanad,Male,In seeing,448
32,3,District - Wayanad  03,Rural,30-39, KERALA, Wayanad,Male,In seeing,527
32,3,District - Wayanad  03,Rural,40-49, KERALA, Wayanad,Male,In seeing,582
32,3,District - Wayanad  03,Rural,50-59, KERALA, Wayanad,Male,In seeing,455
32,3,District - Wayanad  03,Rural,60-69, KERALA, Wayanad,Male,In seeing,432
