State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
31,1,District - Lakshadweep,Rural,0-4,Male,In seeing,14
31,1,District - Lakshadweep,Rural,5-9,Male,In seeing,17
31,1,District - Lakshadweep,Rural,10-19,Male,In seeing,31
31,1,District - Lakshadweep,Rural,20-29,Male,In seeing,28
31,1,District - Lakshadweep,Rural,30-39,Male,In seeing,19
31,1,District - Lakshadweep,Rural,40-49,Male,In seeing,29
31,1,District - Lakshadweep,Rural,50-59,Male,In seeing,20
31,1,District - Lakshadweep,Rural,60-69,Male,In seeing,10
31,1,District - Lakshadweep,Rural,70-79,Male,In seeing,10
31,1,District - Lakshadweep,Rural,80-89,Male,In seeing,2
31,1,District - Lakshadweep,Rural,90+,Male,In seeing,3
31,1,District - Lakshadweep,Rural,Age not stated,Male,In seeing,0
31,1,District - Lakshadweep,Urban,0-4,Male,In seeing,11
31,1,District - Lakshadweep,Urban,5-9,Male,In seeing,4
31,1,District - Lakshadweep,Urban,10-19,Male,In seeing,18
31,1,District - Lakshadweep,Urban,20-29,Male,In seeing,17
31,1,District - Lakshadweep,Urban,30-39,Male,In seeing,13
31,1,District - Lakshadweep,Urban,40-49,Male,In seeing,15
31,1,District - Lakshadweep,Urban,50-59,Male,In seeing,8
31,1,District - Lakshadweep,Urban,60-69,Male,In seeing,12
31,1,District - Lakshadweep,Urban,70-79,Male,In seeing,9
31,1,District - Lakshadweep,Urban,80-89,Male,In seeing,4
31,1,District - Lakshadweep,Urban,90+,Male,In seeing,0
31,1,District - Lakshadweep,Urban,Age not stated,Male,In seeing,1
31,1,District - Lakshadweep,Rural,0-4,Female,In seeing,11
31,1,District - Lakshadweep,Rural,5-9,Female,In seeing,17
31,1,District - Lakshadweep,Rural,10-19,Female,In seeing,38
31,1,District - Lakshadweep,Rural,20-29,Female,In seeing,23
31,1,District - Lakshadweep,Rural,30-39,Female,In seeing,25
31,1,District - Lakshadweep,Rural,40-49,Female,In seeing,23
31,1,District - Lakshadweep,Rural,50-59,Female,In seeing,12
31,1,District - Lakshadweep,Rural,60-69,Female,In seeing,22
31,1,District - Lakshadweep,Rural,70-79,Female,In seeing,11
31,1,District - Lakshadweep,Rural,80-89,Female,In seeing,3
31,1,District - Lakshadweep,Rural,90+,Female,In seeing,1
31,1,District - Lakshadweep,Rural,Age not stated,Female,In seeing,0
31,1,District - Lakshadweep,Urban,0-4,Female,In seeing,6
31,1,District - Lakshadweep,Urban,5-9,Female,In seeing,10
31,1,District - Lakshadweep,Urban,10-19,Female,In seeing,19
31,1,District - Lakshadweep,Urban,20-29,Female,In seeing,14
31,1,District - Lakshadweep,Urban,30-39,Female,In seeing,12
31,1,District - Lakshadweep,Urban,40-49,Female,In seeing,17
31,1,District - Lakshadweep,Urban,50-59,Female,In seeing,11
31,1,District - Lakshadweep,Urban,60-69,Female,In seeing,19
31,1,District - Lakshadweep,Urban,70-79,Female,In seeing,9
31,1,District - Lakshadweep,Urban,80-89,Female,In seeing,3
31,1,District - Lakshadweep,Urban,90+,Female,In seeing,2
31,1,District - Lakshadweep,Urban,Age not stated,Female,In seeing,0
31,1,District - Lakshadweep,Rural,0-4,Male,In speech,2
31,1,District - Lakshadweep,Rural,5-9,Male,In speech,17
31,1,District - Lakshadweep,Rural,10-19,Male,In speech,21
31,1,District - Lakshadweep,Rural,20-29,Male,In speech,15
31,1,District - Lakshadweep,Rural,30-39,Male,In speech,3
