State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
17,1,District - West Garo Hills,Rural,0-4,Male,In seeing,107
17,1,District - West Garo Hills,Rural,5-9,Male,In seeing,82
17,1,District - West Garo Hills,Rural,10-19,Male,In seeing,179
17,1,District - West Garo Hills,Rural,20-29,Male,In seeing,158
17,1,District - West Garo Hills,Rural,30-39,Male,In seeing,192
17,1,District - West Garo Hills,Rural,40-49,Male,In seeing,195
17,1,District - West Garo Hills,Rural,50-59,Male,In seeing,125
17,1,District - West Garo Hills,Rural,60-69,Male,In seeing,106
17,1,District - West Garo Hills,Rural,70-79,Male,In seeing,70
17,1,District - West Garo Hills,Rural,80-89,Male,In seeing,40
17,1,District - West Garo Hills,Rural,90+,Male,In seeing,8
17,1,District - West Garo Hills,Rural,Age not stated,Male,In seeing,3
17,1,District - West Garo Hills,Urban,0-4,Male,In seeing,6
17,1,District - West Garo Hills,Urban,5-9,Male,In seeing,8
17,1,District - West Garo Hills,Urban,10-19,Male,In seeing,22
17,1,District - West Garo Hills,Urban,20-29,Male,In seeing,28
17,1,District - West Garo Hills,Urban,30-39,Male,In seeing,50
17,1,District - West Garo Hills,Urban,40-49,Male,In seeing,55
17,1,District - West Garo Hills,Urban,50-59,Male,In seeing,34
17,1,District - West Garo Hills,Urban,60-69,Male,In seeing,18
17,1,District - West Garo Hills,Urban,70-79,Male,In seeing,12
17,1,District - West Garo Hills,Urban,80-89,Male,In seeing,1
17,1,District - West Garo Hills,Urban,90+,Male,In seeing,1
17,1,District - West Garo Hills,Urban,Age not stated,Male,In seeing,0
17,2,District - West Garo Hills,Rural,0-4,Male,In seeing,47
17,2,District - West Garo Hills,Rural,5-9,Male,In seeing,54
17,2,District - West Garo Hills,Rural,10-19,Male,In seeing,73
17,2,District - West Garo Hills,Rural,20-29,Male,In seeing,86
17,2,District - West Garo Hills,Rural,30-39,Male,In seeing,70
17,2,District - West Garo Hills,Rural,40-49,Male,In seeing,68
17,2,District - West Garo Hills,Rural,50-59,Male,In seeing,57
17,2,District - West Garo Hills,Rural,60-69,Male,In seeing,49
17,2,District - West Garo Hills,Rural,70-79,Male,In seeing,40
17,2,District - West Garo Hills,Rural,80-89,Male,In seeing,7
17,2,District - West Garo Hills,Rural,90+,Male,In seeing,3
17,2,District - West Garo Hills,Rural,Age not stated,Male,In seeing,1
17,2,District - West Garo Hills,Urban,0-4,Male,In seeing,2
17,2,District - West Garo Hills,Urban,5-9,Male,In seeing,4
17,2,District - West Garo Hills,Urban,10-19,Male,In seeing,16
17,2,District - West Garo Hills,Urban,20-29,Male,In seeing,15
17,2,District - West Garo Hills,Urban,30-39,Male,In seeing,20
17,2,District - West Garo Hills,Urban,40-49,Male,In seeing,11
17,2,District - West Garo Hills,Urban,50-59,Male,In seeing,4
17,2,District - West Garo Hills,Urban,60-69,Male,In seeing,7
17,2,District - West Garo Hills,Urban,70-79,Male,In seeing,0
17,2,District - West Garo Hills,Urban,80-89,Male,In seeing,0
17,2,District - West Garo Hills,Urban,90+,Male,In seeing,0
17,2,District - West Garo Hills,Urban,Age not stated,Male,In seeing,0
17,3,District - West Garo Hills,Rural,0-4,Male,In seeing,27
17,3,District - West Garo Hills,Rural,5-9,Male,In seeing,34
17,3,District - West Garo Hills,Rural,10-19,Male,In seeing,45
17,3,District - West Garo Hills,Rural,20-29,Male,In seeing,38
17,3,District - West Garo Hills,Rural,30-39,Male,In seeing,27
17,3,District - West Garo Hills,Rural,40-49,Male,In seeing,28
17,3,District - West Garo Hills,Rural,50-59,Male,In seeing,26
17,3,District - West Garo Hills,Rural,60-69,Male,In seeing,40
17,3,District - West Garo Hills,Rural,70-79,Male,In seeing,30
17,3,District - West Garo Hills,Rural,80-89,Male,In seeing,7
17,3,District - West Garo Hills,Rural,90+,Male,In seeing,1
17,3,District - West Garo Hills,Rural,Age not stated,Male,In seeing,1
17,3,District - West Garo Hills,Urban,0-4,Male,In seeing,4
17,3,District - West Garo Hills,Urban,5-9,Male,In seeing,1
17,3,District - West Garo Hills,Urban,10-19,Male,In seeing,5
17,3,District - West Garo Hills,Urban,20-29,Male,In seeing,9
17,3,District - West Garo Hills,Urban,30-39,Male,In seeing,5
17,3,District - West Garo Hills,Urban,40-49,Male,In seeing,3
17,3,District - West Garo Hills,Urban,50-59,Male,In seeing,2
