State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
21,1,District - Bargarh  *,Rural,0-4,Male,In seeing,598
21,1,District - Bargarh  *,Rural,5-9,Male,In seeing,749
21,1,District - Bargarh  *,Rural,10-19,Male,In seeing,1538
21,1,District - Bargarh  *,Rural,20-29,Male,In seeing,1406
21,1,District - Bargarh  *,Rural,30-39,Male,In seeing,1640
21,1,District - Bargarh  *,Rural,40-49,Male,In seeing,1463
21,1,District - Bargarh  *,Rural,50-59,Male,In seeing,1064
21,1,District - Bargarh  *,Rural,60-69,Male,In seeing,1232
21,1,District - Bargarh  *,Rural,70-79,Male,In seeing,764
21,1,District - Bargarh  *,Rural,80-89,Male,In seeing,305
21,1,District - Bargarh  *,Rural,90+,Male,In seeing,70
21,1,District - Bargarh  *,Rural,Age not stated,Male,In seeing,54
21,1,District - Bargarh  *,Urban,0-4,Male,In seeing,67
21,1,District - Bargarh  *,Urban,5-9,Male,In seeing,90
21,1,District - Bargarh  *,Urban,10-19,Male,In seeing,183
21,1,District - Bargarh  *,Urban,20-29,Male,In seeing,204
21,1,District - Bargarh  *,Urban,30-39,Male,In seeing,207
21,1,District - Bargarh  *,Urban,40-49,Male,In seeing,200
21,1,District - Bargarh  *,Urban,50-59,Male,In seeing,110
21,1,District - Bargarh  *,Urban,60-69,Male,In seeing,83
21,1,District - Bargarh  *,Urban,70-79,Male,In seeing,37
21,1,District - Bargarh  *,Urban,80-89,Male,In seeing,9
21,1,District - Bargarh  *,Urban,90+,Male,In seeing,1
21,1,District - Bargarh  *,Urban,Age not stated,Male,In seeing,6
21,2,District - Bargarh  *,Rural,0-4,Male,In seeing,190
21,2,District - Bargarh  *,Rural,5-9,Male,In seeing,246
21,2,District - Bargarh  *,Rural,10-19,Male,In seeing,539
21,2,District - Bargarh  *,Rural,20-29,Male,In seeing,377
21,2,District - Bargarh  *,Rural,30-39,Male,In seeing,310
21,2,District - Bargarh  *,Rural,40-49,Male,In seeing,283
21,2,District - Bargarh  *,Rural,50-59,Male,In seeing,222
21,2,District - Bargarh  *,Rural,60-69,Male,In seeing,299
21,2,District - Bargarh  *,Rural,70-79,Male,In seeing,251
21,2,District - Bargarh  *,Rural,80-89,Male,In seeing,97
21,2,District - Bargarh  *,Rural,90+,Male,In seeing,18
21,2,District - Bargarh  *,Rural,Age not stated,Male,In seeing,12
21,2,District - Bargarh  *,Urban,0-4,Male,In seeing,75
21,2,District - Bargarh  *,Urban,5-9,Male,In seeing,106
21,2,District - Bargarh  *,Urban,10-19,Male,In seeing,257
21,2,District - Bargarh  *,Urban,20-29,Male,In seeing,227
21,2,District - Bargarh  *,Urban,30-39,Male,In seeing,202
21,2,District - Bargarh  *,Urban,40-49,Male,In seeing,200
21,2,District - Bargarh  *,Urban,50-59,Male,In seeing,122
21,2,District - Bargarh  *,Urban,60-69,Male,In seeing,84
21,2,District - Bargarh  *,Urban,70-79,Male,In seeing,37
21,2,District - Bargarh  *,Urban,80-89,Male,In seeing,17
21,2,District - Bargarh  *,Urban,90+,Male,In seeing,2
21,2,District - Bargarh  *,Urban,Age not stated,Male,In seeing,9
21,3,District - Bargarh  *,Rural,0-4,Male,In seeing,288
21,3,District - Bargarh  *,Rural,5-9,Male,In seeing,396
21,3,District - Bargarh  *,Rural,10-19,Male,In seeing,737
21,3,District - Bargarh  *,Rural,20-29,Male,In seeing,672
21,3,District - Bargarh  *,Rural,30-39,Male,In seeing,816
21,3,District - Bargarh  *,Rural,40-49,Male,In seeing,782
21,3,District - Bargarh  *,Rural,50-59,Male,In seeing,521
21,3,District - Bargarh  *,Rural,60-69,Male,In seeing,704
21,3,District - Bargarh  *,Rural,70-79,Male,In seeing,483
21,3,District - Bargarh  *,Rural,80-89,Male,In seeing,148
21,3,District - Bargarh  *,Rural,90+,Male,In seeing,31
21,3,District - Bargarh  *,Rural,Age not stated,Male,In seeing,36
21,3,District - Bargarh  *,Urban,0-4,Male,In seeing,172
