State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
3,1,District - Gurdaspur,Rural,0-4,Male,In seeing,363
3,1,District - Gurdaspur,Rural,5-9,Male,In seeing,455
3,1,District - Gurdaspur,Rural,10-19,Male,In seeing,889
3,1,District - Gurdaspur,Rural,20-29,Male,In seeing,672
3,1,District - Gurdaspur,Rural,30-39,Male,In seeing,582
3,1,District - Gurdaspur,Rural,40-49,Male,In seeing,547
3,1,District - Gurdaspur,Rural,50-59,Male,In seeing,401
3,1,District - Gurdaspur,Rural,60-69,Male,In seeing,430
3,1,District - Gurdaspur,Rural,70-79,Male,In seeing,396
3,1,District - Gurdaspur,Rural,80-89,Male,In seeing,154
3,1,District - Gurdaspur,Rural,90+,Male,In seeing,69
3,1,District - Gurdaspur,Rural,Age not stated,Male,In seeing,52
3,1,District - Gurdaspur,Urban,0-4,Male,In seeing,123
3,1,District - Gurdaspur,Urban,5-9,Male,In seeing,133
3,1,District - Gurdaspur,Urban,10-19,Male,In seeing,254
3,1,District - Gurdaspur,Urban,20-29,Male,In seeing,230
3,1,District - Gurdaspur,Urban,30-39,Male,In seeing,196
3,1,District - Gurdaspur,Urban,40-49,Male,In seeing,147
3,1,District - Gurdaspur,Urban,50-59,Male,In seeing,137
3,1,District - Gurdaspur,Urban,60-69,Male,In seeing,109
3,1,District - Gurdaspur,Urban,70-79,Male,In seeing,74
3,1,District - Gurdaspur,Urban,80-89,Male,In seeing,28
3,1,District - Gurdaspur,Urban,90+,Male,In seeing,7
3,1,District - Gurdaspur,Urban,Age not stated,Male,In seeing,16
3,2,District - Gurdaspur,Rural,0-4,Male,In seeing,418
3,2,District - Gurdaspur,Rural,5-9,Male,In seeing,422
3,2,District - Gurdaspur,Rural,10-19,Male,In seeing,862
3,2,District - Gurdaspur,Rural,20-29,Male,In seeing,589
3,2,District - Gurdaspur,Rural,30-39,Male,In seeing,501
3,2,District - Gurdaspur,Rural,40-49,Male,In seeing,421
3,2,District - Gurdaspur,Rural,50-59,Male,In seeing,360
3,2,District - Gurdaspur,Rural,60-69,Male,In seeing,475
3,2,District - Gurdaspur,Rural,70-79,Male,In seeing,382
3,2,District - Gurdaspur,Rural,80-89,Male,In seeing,168
3,2,District - Gurdaspur,Rural,90+,Male,In seeing,61
3,2,District - Gurdaspur,Rural,Age not stated,Male,In seeing,26
3,2,District - Gurdaspur,Urban,0-4,Male,In seeing,304
3,2,District - Gurdaspur,Urban,5-9,Male,In seeing,303
3,2,District - Gurdaspur,Urban,10-19,Male,In seeing,605
3,2,District - Gurdaspur,Urban,20-29,Male,In seeing,511
3,2,District - Gurdaspur,Urban,30-39,Male,In seeing,375
3,2,District - Gurdaspur,Urban,40-49,Male,In seeing,314
3,2,District - Gurdaspur,Urban,50-59,Male,In seeing,217
3,2,District - Gurdaspur,Urban,60-69,Male,In seeing,219
3,2,District - Gurdaspur,Urban,70-79,Male,In seeing,187
3,2,District - Gurdaspur,Urban,80-89,Male,In seeing,69
3,2,District - Gurdaspur,Urban,90+,Male,In seeing,24
3,2,District - Gurdaspur,Urban,Age not stated,Male,In seeing,10
3,3,District - Gurdaspur,Rural,0-4,Male,In seeing,141
3,3,District - Gurdaspur,Rural,5-9,Male,In seeing,139
3,3,District - Gurdaspur,Rural,10-19,Male,In seeing,302
3,3,District - Gurdaspur,Rural,20-29,Male,In seeing,257
3,3,District - Gurdaspur,Rural,30-39,Male,In seeing,225
3,3,District - Gurdaspur,Rural,40-49,Male,In seeing,206
3,3,District - Gurdaspur,Rural,50-59,Male,In seeing,159
3,3,District - Gurdaspur,Rural,60-69,Male,In seeing,174
3,3,District - Gurdaspur,Rural,70-79,Male,In seeing,133
3,3,District - Gurdaspur,Rural,80-89,Male,In seeing,64
3,3,District - Gurdaspur,Rural,90+,Male,In seeing,21
3,3,District - Gurdaspur,Rural,Age not stated,Male,In seeing,10
3,3,District - Gurdaspur,Urban,0-4,Male,In seeing,69
3,3,District - Gurdaspur,Urban,5-9,Male,In seeing,87
3,3,District - Gurdaspur,Urban,10-19,Male,In seeing,203
3,3,District - Gurdaspur,Urban,20-29,Male,In seeing,170
3,3,District - Gurdaspur,Urban,30-39,Male,In seeing,144
3,3,District - Gurdaspur,Urban,40-49,Male,In seeing,129
3,3,District - Gurdaspur,Urban,50-59,Male,In seeing,71
3,3,District - Gurdaspur,Urban,60-69,Male,In seeing,54
3,3,District - Gurdaspur,Urban,70-79,Male,In seeing,35
3,3,District - Gurdaspur,Urban,80-89,Male,In seeing,12
3,3,District - Gurdaspur,Urban,90+,Male,In seeing,6
3,3,District - Gurdaspur,Urban,Age not stated,Male,In seeing,6
3,4,District - Gurdaspur,Rural,0-4,Male,In seeing,313
3,4,District - Gurdaspur,Rural,5-9,Male,In seeing,333
3,4,District - Gurdaspur,Rural,10-19,Male,In seeing,582
3,4,District - Gurdaspur,Rural,20-29,Male,In seeing,500
3,4,District - Gurdaspur,Rural,30-39,Male,In seeing,338
3,4,District - Gurdaspur,Rural,40-49,Male,In seeing,318
3,4,District - Gurdaspur,Rural,50-59,Male,In seeing,255
3,4,District - Gurdaspur,Rural,60-69,Male,In seeing,346
3,4,District - Gurdaspur,Rural,70-79,Male,In seeing,314
3,4,District - Gurdaspur,Rural,80-89,Male,In seeing,161
3,4,District - Gurdaspur,Rural,90+,Male,In seeing,39
3,4,District - Gurdaspur,Rural,Age not stated,Male,In seeing,13
3,4,District - Gurdaspur,Urban,0-4,Male,In seeing,217
3,4,District - Gurdaspur,Urban,5-9,Male,In seeing,223
3,4,District - Gurdaspur,Urban,10-19,Male,In seeing,436
3,4,District - Gurdaspur,Urban,20-29,Male,In seeing,418
3,4,District - Gurdaspur,Urban,30-39,Male,In seeing,308
3,4,District - Gurdaspur,Urban,40-49,Male,In seeing,245
3,4,District - Gurdaspur,Urban,50-59,Male,In seeing,171
3,4,District - Gurdaspur,Urban,60-69,Male,In seeing,154
3,4,District - Gurdaspur,Urban,70-79,Male,In seeing,113
3,4,District - Gurdaspur,Urban,80-89,Male,In seeing,36
3,4,District - Gurdaspur,Urban,90+,Male,In seeing,15
3,4,District - Gurdaspur,Urban,Age not stated,Male,In seeing,16
3,5,District - Gurdaspur,Rural,0-4,Male,In seeing,260
3,5,District - Gurdaspur,Rural,5-9,Male,In seeing,228
3,5,District - Gurdaspur,Rural,10-19,Male,In seeing,486
3,5,District - Gurdaspur,Rural,20-29,Male,In seeing,353
3,5,District - Gurdaspur,Rural,30-39,Male,In seeing,266
3,5,District - Gurdaspur,Rural,40-49,Male,In seeing,292
3,5,District - Gurdaspur,Rural,50-59,Male,In seeing,276
3,5,District - Gurdaspur,Rural,60-69,Male,In seeing,343
3,5,District - Gurdaspur,Rural,70-79,Male,In seeing,310
3,5,District - Gurdaspur,Rural,80-89,Male,In seeing,151
3,5,District - Gurdaspur,Rural,90+,Male,In seeing,52
3,5,District - Gurdaspur,Rural,Age not stated,Male,In seeing,24
3,5,District - Gurdaspur,Urban,0-4,Male,In seeing,60
3,5,District - Gurdaspur,Urban,5-9,Male,In seeing,62
3,5,District - Gurdaspur,Urban,10-19,Male,In seeing,133
3,5,District - Gurdaspur,Urban,20-29,Male,In seeing,96
3,5,District - Gurdaspur,Urban,30-39,Male,In seeing,78
3,5,District - Gurdaspur,Urban,40-49,Male,In seeing,83
3,5,District - Gurdaspur,Urban,50-59,Male,In seeing,66
3,5,District - Gurdaspur,Urban,60-69,Male,In seeing,51
3,5,District - Gurdaspur,Urban,70-79,Male,In seeing,36
3,5,District - Gurdaspur,Urban,80-89,Male,In seeing,14
3,5,District - Gurdaspur,Urban,90+,Male,In seeing,3
3,5,District - Gurdaspur,Urban,Age not stated,Male,In seeing,12
3,6,District - Gurdaspur,Rural,0-4,Male,In seeing,299
3,6,District - Gurdaspur,Rural,5-9,Male,In seeing,258
3,6,District - Gurdaspur,Rural,10-19,Male,In seeing,406
3,6,District - Gurdaspur,Rural,20-29,Male,In seeing,355
3,6,District - Gurdaspur,Rural,30-39,Male,In seeing,298
3,6,District - Gurdaspur,Rural,40-49,Male,In seeing,284
3,6,District - Gurdaspur,Rural,50-59,Male,In seeing,227
3,6,District - Gurdaspur,Rural,60-69,Male,In seeing,267
3,6,District - Gurdaspur,Rural,70-79,Male,In seeing,229
3,6,District - Gurdaspur,Rural,80-89,Male,In seeing,103
3,6,District - Gurdaspur,Rural,90+,Male,In seeing,48
3,6,District - Gurdaspur,Rural,Age not stated,Male,In seeing,5
3,6,District - Gurdaspur,Urban,0-4,Male,In seeing,58
3,6,District - Gurdaspur,Urban,5-9,Male,In seeing,36
3,6,District - Gurdaspur,Urban,10-19,Male,In seeing,71
3,6,District - Gurdaspur,Urban,20-29,Male,In seeing,57
3,6,District - Gurdaspur,Urban,30-39,Male,In seeing,62
3,6,District - Gurdaspur,Urban,40-49,Male,In seeing,40
3,6,District - Gurdaspur,Urban,50-59,Male,In seeing,25
3,6,District - Gurdaspur,Urban,60-69,Male,In seeing,35
3,6,District - Gurdaspur,Urban,70-79,Male,In seeing,23
3,6,District - Gurdaspur,Urban,80-89,Male,In seeing,11
3,6,District - Gurdaspur,Urban,90+,Male,In seeing,3
3,6,District - Gurdaspur,Urban,Age not stated,Male,In seeing,2
3,7,District - Gurdaspur,Rural,0-4,Male,In seeing,386
3,7,District - Gurdaspur,Rural,5-9,Male,In seeing,365
3,7,District - Gurdaspur,Rural,10-19,Male,In seeing,545
3,7,District - Gurdaspur,Rural,20-29,Male,In seeing,580
3,7,District - Gurdaspur,Rural,30-39,Male,In seeing,440
3,7,District - Gurdaspur,Rural,40-49,Male,In seeing,348
3,7,District - Gurdaspur,Rural,50-59,Male,In seeing,235
3,7,District - Gurdaspur,Rural,60-69,Male,In seeing,306
3,7,District - Gurdaspur,Rural,70-79,Male,In seeing,316
3,7,District - Gurdaspur,Rural,80-89,Male,In seeing,143
3,7,District - Gurdaspur,Rural,90+,Male,In seeing,43
3,7,District - Gurdaspur,Rural,Age not stated,Male,In seeing,13
3,7,District - Gurdaspur,Urban,0-4,Male,In seeing,148
3,7,District - Gurdaspur,Urban,5-9,Male,In seeing,108
3,7,District - Gurdaspur,Urban,10-19,Male,In seeing,256
3,7,District - Gurdaspur,Urban,20-29,Male,In seeing,221
3,7,District - Gurdaspur,Urban,30-39,Male,In seeing,200
3,7,District - Gurdaspur,Urban,40-49,Male,In seeing,162
3,7,District - Gurdaspur,Urban,50-59,Male,In seeing,93
3,7,District - Gurdaspur,Urban,60-69,Male,In seeing,75
3,7,District - Gurdaspur,Urban,70-79,Male,In seeing,46
3,7,District - Gurdaspur,Urban,80-89,Male,In seeing,18
3,7,District - Gurdaspur,Urban,90+,Male,In seeing,10
3,7,District - Gurdaspur,Urban,Age not stated,Male,In seeing,4
3,8,District - Gurdaspur,Rural,0-4,Male,In seeing,488
3,8,District - Gurdaspur,Rural,5-9,Male,In seeing,549
3,8,District - Gurdaspur,Rural,10-19,Male,In seeing,809
3,8,District - Gurdaspur,Rural,20-29,Male,In seeing,603
3,8,District - Gurdaspur,Rural,30-39,Male,In seeing,351
