State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
35,1,Rural,0-4, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,55
35,1,Rural,5-9, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,70
35,1,Rural,10-19, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,162
35,1,Rural,20-29, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,155
35,1,Rural,30-39, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,151
35,1,Rural,40-49, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,128
35,1,Rural,50-59, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,85
35,1,Rural,60-69, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,87
35,1,Rural,70-79, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,46
35,1,Rural,80-89, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,23
35,1,Rural,90+, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,7
35,1,Rural,Age not stated, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,6
35,1,Urban,0-4, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,26
35,1,Urban,5-9, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,32
35,1,Urban,10-19, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,99
35,1,Urban,20-29, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,140
35,1,Urban,30-39, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,102
35,1,Urban,40-49, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,108
35,1,Urban,50-59, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,54
35,1,Urban,60-69, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,17
35,1,Urban,70-79, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,10
35,1,Urban,80-89, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,2
35,1,Urban,90+, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,0
35,1,Urban,Age not stated, ANDAMAN & NICOBAR ISLANDS, Andamans,Male,In seeing,3
35,2,Rural,0-4, ANDAMAN & NICOBAR ISLANDS, Nicobars,Male,In seeing,27
