State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
12,1,Rural,0-4, ARUNACHAL PRADESH, Tawang,Male,In seeing,9
12,1,Rural,5-9, ARUNACHAL PRADESH, Tawang,Male,In seeing,15
12,1,Rural,10-19, ARUNACHAL PRADESH, Tawang,Male,In seeing,8
12,1,Rural,20-29, ARUNACHAL PRADESH, Tawang,Male,In seeing,72
12,1,Rural,30-39, ARUNACHAL PRADESH, Tawang,Male,In seeing,80
12,1,Rural,40-49, ARUNACHAL PRADESH, Tawang,Male,In seeing,79
12,1,Rural,50-59, ARUNACHAL PRADESH, Tawang,Male,In seeing,42
12,1,Rural,60-69, ARUNACHAL PRADESH, Tawang,Male,In seeing,52
12,1,Rural,70-79, ARUNACHAL PRADESH, Tawang,Male,In seeing,22
12,1,Rural,80-89, ARUNACHAL PRADESH, Tawang,Male,In seeing,19
12,1,Rural,90+, ARUNACHAL PRADESH, Tawang,Male,In seeing,1
12,1,Rural,Age not stated, ARUNACHAL PRADESH, Tawang,Male,In seeing,0
12,1,Urban,0-4, ARUNACHAL PRADESH, Tawang,Male,In seeing,1
12,1,Urban,5-9, ARUNACHAL PRADESH, Tawang,Male,In seeing,3
12,1,Urban,10-19, ARUNACHAL PRADESH, Tawang,Male,In seeing,3
12,1,Urban,20-29, ARUNACHAL PRADESH, Tawang,Male,In seeing,40
12,1,Urban,30-39, ARUNACHAL PRADESH, Tawang,Male,In seeing,54
12,1,Urban,40-49, ARUNACHAL PRADESH, Tawang,Male,In seeing,27
12,1,Urban,50-59, ARUNACHAL PRADESH, Tawang,Male,In seeing,13
12,1,Urban,60-69, ARUNACHAL PRADESH, Tawang,Male,In seeing,5
12,1,Urban,70-79, ARUNACHAL PRADESH, Tawang,Male,In seeing,1
12,1,Urban,80-89, ARUNACHAL PRADESH, Tawang,Male,In seeing,0
12,1,Urban,90+, ARUNACHAL PRADESH, Tawang,Male,In seeing,0
12,1,Urban,Age not stated, ARUNACHAL PRADESH, Tawang,Male,In seeing,0
12,2,Rural,0-4, ARUNACHAL PRADESH, West Kameng,Male,In seeing,44
12,2,Rural,5-9, ARUNACHAL PRADESH, West Kameng,Male,In seeing,34
12,2,Rural,10-19, ARUNACHAL PRADESH, West Kameng,Male,In seeing,70
12,2,Rural,20-29, ARUNACHAL PRADESH, West Kameng,Male,In seeing,270
12,2,Rural,30-39, ARUNACHAL PRADESH, West Kameng,Male,In seeing,354
12,2,Rural,40-49, ARUNACHAL PRADESH, West Kameng,Male,In seeing,290
12,2,Rural,50-59, ARUNACHAL PRADESH, West Kameng,Male,In seeing,172
12,2,Rural,60-69, ARUNACHAL PRADESH, West Kameng,Male,In seeing,78
12,2,Rural,70-79, ARUNACHAL PRADESH, West Kameng,Male,In seeing,26
12,2,Rural,80-89, ARUNACHAL PRADESH, West Kameng,Male,In seeing,14
12,2,Rural,90+, ARUNACHAL PRADESH, West Kameng,Male,In seeing,5
