State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
18,1,Rural,0-4, ASSAM, Kokrajhar,Male,In seeing,316
18,1,Rural,5-9, ASSAM, Kokrajhar,Male,In seeing,399
18,1,Rural,10-19, ASSAM, Kokrajhar,Male,In seeing,669
18,1,Rural,20-29, ASSAM, Kokrajhar,Male,In seeing,417
18,1,Rural,30-39, ASSAM, Kokrajhar,Male,In seeing,526
18,1,Rural,40-49, ASSAM, Kokrajhar,Male,In seeing,419
18,1,Rural,50-59, ASSAM, Kokrajhar,Male,In seeing,269
18,1,Rural,60-69, ASSAM, Kokrajhar,Male,In seeing,239
18,1,Rural,70-79, ASSAM, Kokrajhar,Male,In seeing,167
18,1,Rural,80-89, ASSAM, Kokrajhar,Male,In seeing,62
18,1,Rural,90+, ASSAM, Kokrajhar,Male,In seeing,28
18,1,Rural,Age not stated, ASSAM, Kokrajhar,Male,In seeing,5
18,1,Urban,0-4, ASSAM, Kokrajhar,Male,In seeing,6
18,1,Urban,5-9, ASSAM, Kokrajhar,Male,In seeing,16
18,1,Urban,10-19, ASSAM, Kokrajhar,Male,In seeing,44
18,1,Urban,20-29, ASSAM, Kokrajhar,Male,In seeing,25
18,1,Urban,30-39, ASSAM, Kokrajhar,Male,In seeing,49
18,1,Urban,40-49, ASSAM, Kokrajhar,Male,In seeing,54
18,1,Urban,50-59, ASSAM, Kokrajhar,Male,In seeing,39
18,1,Urban,60-69, ASSAM, Kokrajhar,Male,In seeing,25
18,1,Urban,70-79, ASSAM, Kokrajhar,Male,In seeing,15
18,1,Urban,80-89, ASSAM, Kokrajhar,Male,In seeing,6
18,1,Urban,90+, ASSAM, Kokrajhar,Male,In seeing,0
18,1,Urban,Age not stated, ASSAM, Kokrajhar,Male,In seeing,0
18,2,Rural,0-4, ASSAM, Dhubri,Male,In seeing,892
18,2,Rural,5-9, ASSAM, Dhubri,Male,In seeing,965
18,2,Rural,10-19, ASSAM, Dhubri,Male,In seeing,1553
18,2,Rural,20-29, ASSAM, Dhubri,Male,In seeing,1082
18,2,Rural,30-39, ASSAM, Dhubri,Male,In seeing,1112
18,2,Rural,40-49, ASSAM, Dhubri,Male,In seeing,866
18,2,Rural,50-59, ASSAM, Dhubri,Male,In seeing,584
18,2,Rural,60-69, ASSAM, Dhubri,Male,In seeing,472
18,2,Rural,70-79, ASSAM, Dhubri,Male,In seeing,378
18,2,Rural,80-89, ASSAM, Dhubri,Male,In seeing,138
18,2,Rural,90+, ASSAM, Dhubri,Male,In seeing,64
18,2,Rural,Age not stated, ASSAM, Dhubri,Male,In seeing,17
18,2,Urban,0-4, ASSAM, Dhubri,Male,In seeing,100
18,2,Urban,5-9, ASSAM, Dhubri,Male,In seeing,111
18,2,Urban,10-19, ASSAM, Dhubri,Male,In seeing,244
18,2,Urban,20-29, ASSAM, Dhubri,Male,In seeing,207
18,2,Urban,30-39, ASSAM, Dhubri,Male,In seeing,199
18,2,Urban,40-49, ASSAM, Dhubri,Male,In seeing,161
18,2,Urban,50-59, ASSAM, Dhubri,Male,In seeing,108
18,2,Urban,60-69, ASSAM, Dhubri,Male,In seeing,84
18,2,Urban,70-79, ASSAM, Dhubri,Male,In seeing,51
18,2,Urban,80-89, ASSAM, Dhubri,Male,In seeing,10
18,2,Urban,90+, ASSAM, Dhubri,Male,In seeing,0
18,2,Urban,Age not stated, ASSAM, Dhubri,Male,In seeing,0
18,3,Rural,0-4, ASSAM, Goalpara,Male,In seeing,381
18,3,Rural,5-9, ASSAM, Goalpara,Male,In seeing,519
18,3,Rural,10-19, ASSAM, Goalpara,Male,In seeing,751
18,3,Rural,20-29, ASSAM, Goalpara,Male,In seeing,472
18,3,Rural,30-39, ASSAM, Goalpara,Male,In seeing,509
18,3,Rural,40-49, ASSAM, Goalpara,Male,In seeing,424
18,3,Rural,50-59, ASSAM, Goalpara,Male,In seeing,278
18,3,Rural,60-69, ASSAM, Goalpara,Male,In seeing,321
18,3,Rural,70-79, ASSAM, Goalpara,Male,In seeing,200
18,3,Rural,80-89, ASSAM, Goalpara,Male,In seeing,64
18,3,Rural,90+, ASSAM, Goalpara,Male,In seeing,30
18,3,Rural,Age not stated, ASSAM, Goalpara,Male,In seeing,10
18,3,Urban,0-4, ASSAM, Goalpara,Male,In seeing,29
18,3,Urban,5-9, ASSAM, Goalpara,Male,In seeing,29
18,3,Urban,10-19, ASSAM, Goalpara,Male,In seeing,68
18,3,Urban,20-29, ASSAM, Goalpara,Male,In seeing,42
18,3,Urban,30-39, ASSAM, Goalpara,Male,In seeing,50
18,3,Urban,40-49, ASSAM, Goalpara,Male,In seeing,47
18,3,Urban,50-59, ASSAM, Goalpara,Male,In seeing,29
18,3,Urban,60-69, ASSAM, Goalpara,Male,In seeing,23
18,3,Urban,70-79, ASSAM, Goalpara,Male,In seeing,13
18,3,Urban,80-89, ASSAM, Goalpara,Male,In seeing,12
18,3,Urban,90+, ASSAM, Goalpara,Male,In seeing,0
18,3,Urban,Age not stated, ASSAM, Goalpara,Male,In seeing,1
18,4,Rural,0-4, ASSAM, Bongaigaon,Male,In seeing,601
18,4,Rural,5-9, ASSAM, Bongaigaon,Male,In seeing,643
18,4,Rural,10-19, ASSAM, Bongaigaon,Male,In seeing,1047
18,4,Rural,20-29, ASSAM, Bongaigaon,Male,In seeing,718
18,4,Rural,30-39, ASSAM, Bongaigaon,Male,In seeing,669
18,4,Rural,40-49, ASSAM, Bongaigaon,Male,In seeing,525
18,4,Rural,50-59, ASSAM, Bongaigaon,Male,In seeing,352
18,4,Rural,60-69, ASSAM, Bongaigaon,Male,In seeing,296
18,4,Rural,70-79, ASSAM, Bongaigaon,Male,In seeing,214
18,4,Rural,80-89, ASSAM, Bongaigaon,Male,In seeing,92
18,4,Rural,90+, ASSAM, Bongaigaon,Male,In seeing,32
18,4,Rural,Age not stated, ASSAM, Bongaigaon,Male,In seeing,10
18,4,Urban,0-4, ASSAM, Bongaigaon,Male,In seeing,51
18,4,Urban,5-9, ASSAM, Bongaigaon,Male,In seeing,76
18,4,Urban,10-19, ASSAM, Bongaigaon,Male,In seeing,126
18,4,Urban,20-29, ASSAM, Bongaigaon,Male,In seeing,135
18,4,Urban,30-39, ASSAM, Bongaigaon,Male,In seeing,155
18,4,Urban,40-49, ASSAM, Bongaigaon,Male,In seeing,141
18,4,Urban,50-59, ASSAM, Bongaigaon,Male,In seeing,78
18,4,Urban,60-69, ASSAM, Bongaigaon,Male,In seeing,51
18,4,Urban,70-79, ASSAM, Bongaigaon,Male,In seeing,22
18,4,Urban,80-89, ASSAM, Bongaigaon,Male,In seeing,6
18,4,Urban,90+, ASSAM, Bongaigaon,Male,In seeing,1
18,4,Urban,Age not stated, ASSAM, Bongaigaon,Male,In seeing,1
18,5,Rural,0-4, ASSAM, Barpeta,Male,In seeing,442
18,5,Rural,5-9, ASSAM, Barpeta,Male,In seeing,461
18,5,Rural,10-19, ASSAM, Barpeta,Male,In seeing,770
18,5,Rural,20-29, ASSAM, Barpeta,Male,In seeing,532
18,5,Rural,30-39, ASSAM, Barpeta,Male,In seeing,621
18,5,Rural,40-49, ASSAM, Barpeta,Male,In seeing,533
18,5,Rural,50-59, ASSAM, Barpeta,Male,In seeing,449
18,5,Rural,60-69, ASSAM, Barpeta,Male,In seeing,397
18,5,Rural,70-79, ASSAM, Barpeta,Male,In seeing,355
18,5,Rural,80-89, ASSAM, Barpeta,Male,In seeing,152
18,5,Rural,90+, ASSAM, Barpeta,Male,In seeing,58
18,5,Rural,Age not stated, ASSAM, Barpeta,Male,In seeing,20
18,5,Urban,0-4, ASSAM, Barpeta,Male,In seeing,16
18,5,Urban,5-9, ASSAM, Barpeta,Male,In seeing,36
18,5,Urban,10-19, ASSAM, Barpeta,Male,In seeing,72
18,5,Urban,20-29, ASSAM, Barpeta,Male,In seeing,72
18,5,Urban,30-39, ASSAM, Barpeta,Male,In seeing,93
18,5,Urban,40-49, ASSAM, Barpeta,Male,In seeing,110
18,5,Urban,50-59, ASSAM, Barpeta,Male,In seeing,72
18,5,Urban,60-69, ASSAM, Barpeta,Male,In seeing,45
18,5,Urban,70-79, ASSAM, Barpeta,Male,In seeing,33
18,5,Urban,80-89, ASSAM, Barpeta,Male,In seeing,11
18,5,Urban,90+, ASSAM, Barpeta,Male,In seeing,3
18,5,Urban,Age not stated, ASSAM, Barpeta,Male,In seeing,0
18,6,Rural,0-4, ASSAM, Kamrup,Male,In seeing,566
18,6,Rural,5-9, ASSAM, Kamrup,Male,In seeing,775
18,6,Rural,10-19, ASSAM, Kamrup,Male,In seeing,1434
18,6,Rural,20-29, ASSAM, Kamrup,Male,In seeing,1045
18,6,Rural,30-39, ASSAM, Kamrup,Male,In seeing,1185
18,6,Rural,40-49, ASSAM, Kamrup,Male,In seeing,1090
18,6,Rural,50-59, ASSAM, Kamrup,Male,In seeing,803
18,6,Rural,60-69, ASSAM, Kamrup,Male,In seeing,626
18,6,Rural,70-79, ASSAM, Kamrup,Male,In seeing,419
18,6,Rural,80-89, ASSAM, Kamrup,Male,In seeing,126
18,6,Rural,90+, ASSAM, Kamrup,Male,In seeing,44
18,6,Rural,Age not stated, ASSAM, Kamrup,Male,In seeing,17
18,6,Urban,0-4, ASSAM, Kamrup,Male,In seeing,284
18,6,Urban,5-9, ASSAM, Kamrup,Male,In seeing,371
18,6,Urban,10-19, ASSAM, Kamrup,Male,In seeing,861
18,6,Urban,20-29, ASSAM, Kamrup,Male,In seeing,1043
18,6,Urban,30-39, ASSAM, Kamrup,Male,In seeing,1133
18,6,Urban,40-49, ASSAM, Kamrup,Male,In seeing,864
18,6,Urban,50-59, ASSAM, Kamrup,Male,In seeing,522
18,6,Urban,60-69, ASSAM, Kamrup,Male,In seeing,322
18,6,Urban,70-79, ASSAM, Kamrup,Male,In seeing,131
18,6,Urban,80-89, ASSAM, Kamrup,Male,In seeing,37
18,6,Urban,90+, ASSAM, Kamrup,Male,In seeing,7
18,6,Urban,Age not stated, ASSAM, Kamrup,Male,In seeing,22
18,7,Rural,0-4, ASSAM, Nalbari,Male,In seeing,469
18,7,Rural,5-9, ASSAM, Nalbari,Male,In seeing,567
18,7,Rural,10-19, ASSAM, Nalbari,Male,In seeing,1135
18,7,Rural,20-29, ASSAM, Nalbari,Male,In seeing,846
18,7,Rural,30-39, ASSAM, Nalbari,Male,In seeing,879
18,7,Rural,40-49, ASSAM, Nalbari,Male,In seeing,677
18,7,Rural,50-59, ASSAM, Nalbari,Male,In seeing,511
18,7,Rural,60-69, ASSAM, Nalbari,Male,In seeing,438
18,7,Rural,70-79, ASSAM, Nalbari,Male,In seeing,298
18,7,Rural,80-89, ASSAM, Nalbari,Male,In seeing,102
18,7,Rural,90+, ASSAM, Nalbari,Male,In seeing,25
18,7,Rural,Age not stated, ASSAM, Nalbari,Male,In seeing,8
18,7,Urban,0-4, ASSAM, Nalbari,Male,In seeing,13
18,7,Urban,5-9, ASSAM, Nalbari,Male,In seeing,21
18,7,Urban,10-19, ASSAM, Nalbari,Male,In seeing,38
