State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
10,1,Rural,0-4, BIHAR, Pashchim Champaran,Male,In seeing,1171
10,1,Rural,5-9, BIHAR, Pashchim Champaran,Male,In seeing,1430
10,1,Rural,10-19, BIHAR, Pashchim Champaran,Male,In seeing,1992
10,1,Rural,20-29, BIHAR, Pashchim Champaran,Male,In seeing,1442
10,1,Rural,30-39, BIHAR, Pashchim Champaran,Male,In seeing,1459
10,1,Rural,40-49, BIHAR, Pashchim Champaran,Male,In seeing,1288
10,1,Rural,50-59, BIHAR, Pashchim Champaran,Male,In seeing,1047
10,1,Rural,60-69, BIHAR, Pashchim Champaran,Male,In seeing,1055
10,1,Rural,70-79, BIHAR, Pashchim Champaran,Male,In seeing,505
10,1,Rural,80-89, BIHAR, Pashchim Champaran,Male,In seeing,159
10,1,Rural,90+, BIHAR, Pashchim Champaran,Male,In seeing,28
10,1,Rural,Age not stated, BIHAR, Pashchim Champaran,Male,In seeing,21
10,1,Urban,0-4, BIHAR, Pashchim Champaran,Male,In seeing,198
10,1,Urban,5-9, BIHAR, Pashchim Champaran,Male,In seeing,234
10,1,Urban,10-19, BIHAR, Pashchim Champaran,Male,In seeing,438
10,1,Urban,20-29, BIHAR, Pashchim Champaran,Male,In seeing,284
10,1,Urban,30-39, BIHAR, Pashchim Champaran,Male,In seeing,292
10,1,Urban,40-49, BIHAR, Pashchim Champaran,Male,In seeing,257
10,1,Urban,50-59, BIHAR, Pashchim Champaran,Male,In seeing,184
10,1,Urban,60-69, BIHAR, Pashchim Champaran,Male,In seeing,146
10,1,Urban,70-79, BIHAR, Pashchim Champaran,Male,In seeing,73
10,1,Urban,80-89, BIHAR, Pashchim Champaran,Male,In seeing,20
10,1,Urban,90+, BIHAR, Pashchim Champaran,Male,In seeing,3
10,1,Urban,Age not stated, BIHAR, Pashchim Champaran,Male,In seeing,5
10,2,Rural,0-4, BIHAR, Purba Champaran,Male,In seeing,5078
10,2,Rural,5-9, BIHAR, Purba Champaran,Male,In seeing,6029
10,2,Rural,10-19, BIHAR, Purba Champaran,Male,In seeing,8975
10,2,Rural,20-29, BIHAR, Purba Champaran,Male,In seeing,5753
10,2,Rural,30-39, BIHAR, Purba Champaran,Male,In seeing,5697
10,2,Rural,40-49, BIHAR, Purba Champaran,Male,In seeing,4574
10,2,Rural,50-59, BIHAR, Purba Champaran,Male,In seeing,3197
10,2,Rural,60-69, BIHAR, Purba Champaran,Male,In seeing,2611
10,2,Rural,70-79, BIHAR, Purba Champaran,Male,In seeing,1104
10,2,Rural,80-89, BIHAR, Purba Champaran,Male,In seeing,325
10,2,Rural,90+, BIHAR, Purba Champaran,Male,In seeing,115
10,2,Rural,Age not stated, BIHAR, Purba Champaran,Male,In seeing,61
10,2,Urban,0-4, BIHAR, Purba Champaran,Male,In seeing,198
10,2,Urban,5-9, BIHAR, Purba Champaran,Male,In seeing,286
10,2,Urban,10-19, BIHAR, Purba Champaran,Male,In seeing,579
10,2,Urban,20-29, BIHAR, Purba Champaran,Male,In seeing,385
10,2,Urban,30-39, BIHAR, Purba Champaran,Male,In seeing,351
10,2,Urban,40-49, BIHAR, Purba Champaran,Male,In seeing,242
10,2,Urban,50-59, BIHAR, Purba Champaran,Male,In seeing,156
10,2,Urban,60-69, BIHAR, Purba Champaran,Male,In seeing,126
10,2,Urban,70-79, BIHAR, Purba Champaran,Male,In seeing,54
10,2,Urban,80-89, BIHAR, Purba Champaran,Male,In seeing,22
10,2,Urban,90+, BIHAR, Purba Champaran,Male,In seeing,9
10,2,Urban,Age not stated, BIHAR, Purba Champaran,Male,In seeing,9
10,3,Rural,0-4, BIHAR, Sheohar *,Male,In seeing,524
10,3,Rural,5-9, BIHAR, Sheohar *,Male,In seeing,595
10,3,Rural,10-19, BIHAR, Sheohar *,Male,In seeing,875
10,3,Rural,20-29, BIHAR, Sheohar *,Male,In seeing,575
10,3,Rural,30-39, BIHAR, Sheohar *,Male,In seeing,565
10,3,Rural,40-49, BIHAR, Sheohar *,Male,In seeing,415
10,3,Rural,50-59, BIHAR, Sheohar *,Male,In seeing,285
10,3,Rural,60-69, BIHAR, Sheohar *,Male,In seeing,258
10,3,Rural,70-79, BIHAR, Sheohar *,Male,In seeing,162
10,3,Rural,80-89, BIHAR, Sheohar *,Male,In seeing,40
10,3,Rural,90+, BIHAR, Sheohar *,Male,In seeing,17
10,3,Rural,Age not stated, BIHAR, Sheohar *,Male,In seeing,98
10,3,Urban,0-4, BIHAR, Sheohar *,Male,In seeing,9
10,3,Urban,5-9, BIHAR, Sheohar *,Male,In seeing,17
10,3,Urban,10-19, BIHAR, Sheohar *,Male,In seeing,26
10,3,Urban,20-29, BIHAR, Sheohar *,Male,In seeing,12
10,3,Urban,30-39, BIHAR, Sheohar *,Male,In seeing,9
10,3,Urban,40-49, BIHAR, Sheohar *,Male,In seeing,10
10,3,Urban,50-59, BIHAR, Sheohar *,Male,In seeing,7
10,3,Urban,60-69, BIHAR, Sheohar *,Male,In seeing,6
