State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
22,1,Rural,0-4, CHHATTISGARH, Koriya *,Male,In seeing,185
22,1,Rural,5-9, CHHATTISGARH, Koriya *,Male,In seeing,194
22,1,Rural,10-19, CHHATTISGARH, Koriya *,Male,In seeing,275
22,1,Rural,20-29, CHHATTISGARH, Koriya *,Male,In seeing,228
22,1,Rural,30-39, CHHATTISGARH, Koriya *,Male,In seeing,227
22,1,Rural,40-49, CHHATTISGARH, Koriya *,Male,In seeing,209
22,1,Rural,50-59, CHHATTISGARH, Koriya *,Male,In seeing,155
22,1,Rural,60-69, CHHATTISGARH, Koriya *,Male,In seeing,135
22,1,Rural,70-79, CHHATTISGARH, Koriya *,Male,In seeing,90
22,1,Rural,80-89, CHHATTISGARH, Koriya *,Male,In seeing,43
22,1,Rural,90+, CHHATTISGARH, Koriya *,Male,In seeing,18
22,1,Rural,Age not stated, CHHATTISGARH, Koriya *,Male,In seeing,10
22,1,Urban,0-4, CHHATTISGARH, Koriya *,Male,In seeing,38
22,1,Urban,5-9, CHHATTISGARH, Koriya *,Male,In seeing,64
22,1,Urban,10-19, CHHATTISGARH, Koriya *,Male,In seeing,142
22,1,Urban,20-29, CHHATTISGARH, Koriya *,Male,In seeing,81
22,1,Urban,30-39, CHHATTISGARH, Koriya *,Male,In seeing,84
22,1,Urban,40-49, CHHATTISGARH, Koriya *,Male,In seeing,86
22,1,Urban,50-59, CHHATTISGARH, Koriya *,Male,In seeing,64
22,1,Urban,60-69, CHHATTISGARH, Koriya *,Male,In seeing,46
22,1,Urban,70-79, CHHATTISGARH, Koriya *,Male,In seeing,24
22,1,Urban,80-89, CHHATTISGARH, Koriya *,Male,In seeing,5
22,1,Urban,90+, CHHATTISGARH, Koriya *,Male,In seeing,1
22,1,Urban,Age not stated, CHHATTISGARH, Koriya *,Male,In seeing,0
22,2,Rural,0-4, CHHATTISGARH, Surguja,Male,In seeing,871
22,2,Rural,5-9, CHHATTISGARH, Surguja,Male,In seeing,912
22,2,Rural,10-19, CHHATTISGARH, Surguja,Male,In seeing,1378
22,2,Rural,20-29, CHHATTISGARH, Surguja,Male,In seeing,868
22,2,Rural,30-39, CHHATTISGARH, Surguja,Male,In seeing,885
22,2,Rural,40-49, CHHATTISGARH, Surguja,Male,In seeing,765
22,2,Rural,50-59, CHHATTISGARH, Surguja,Male,In seeing,658
22,2,Rural,60-69, CHHATTISGARH, Surguja,Male,In seeing,712
22,2,Rural,70-79, CHHATTISGARH, Surguja,Male,In seeing,490
22,2,Rural,80-89, CHHATTISGARH, Surguja,Male,In seeing,216
22,2,Rural,90+, CHHATTISGARH, Surguja,Male,In seeing,65
22,2,Rural,Age not stated, CHHATTISGARH, Surguja,Male,In seeing,41
22,2,Urban,0-4, CHHATTISGARH, Surguja,Male,In seeing,65
22,2,Urban,5-9, CHHATTISGARH, Surguja,Male,In seeing,73
22,2,Urban,10-19, CHHATTISGARH, Surguja,Male,In seeing,163
22,2,Urban,20-29, CHHATTISGARH, Surguja,Male,In seeing,118
22,2,Urban,30-39, CHHATTISGARH, Surguja,Male,In seeing,102
22,2,Urban,40-49, CHHATTISGARH, Surguja,Male,In seeing,101
22,2,Urban,50-59, CHHATTISGARH, Surguja,Male,In seeing,53
22,2,Urban,60-69, CHHATTISGARH, Surguja,Male,In seeing,35
22,2,Urban,70-79, CHHATTISGARH, Surguja,Male,In seeing,14
22,2,Urban,80-89, CHHATTISGARH, Surguja,Male,In seeing,7
22,2,Urban,90+, CHHATTISGARH, Surguja,Male,In seeing,2
22,2,Urban,Age not stated, CHHATTISGARH, Surguja,Male,In seeing,1
22,3,Rural,0-4, CHHATTISGARH, Jashpur *,Male,In seeing,146
22,3,Rural,5-9, CHHATTISGARH, Jashpur *,Male,In seeing,192
22,3,Rural,10-19, CHHATTISGARH, Jashpur *,Male,In seeing,323
22,3,Rural,20-29, CHHATTISGARH, Jashpur *,Male,In seeing,219
22,3,Rural,30-39, CHHATTISGARH, Jashpur *,Male,In seeing,293
22,3,Rural,40-49, CHHATTISGARH, Jashpur *,Male,In seeing,246
22,3,Rural,50-59, CHHATTISGARH, Jashpur *,Male,In seeing,229
22,3,Rural,60-69, CHHATTISGARH, Jashpur *,Male,In seeing,235
22,3,Rural,70-79, CHHATTISGARH, Jashpur *,Male,In seeing,178
22,3,Rural,80-89, CHHATTISGARH, Jashpur *,Male,In seeing,56
22,3,Rural,90+, CHHATTISGARH, Jashpur *,Male,In seeing,9
22,3,Rural,Age not stated, CHHATTISGARH, Jashpur *,Male,In seeing,5
22,3,Urban,0-4, CHHATTISGARH, Jashpur *,Male,In seeing,10
22,3,Urban,5-9, CHHATTISGARH, Jashpur *,Male,In seeing,14
22,3,Urban,10-19, CHHATTISGARH, Jashpur *,Male,In seeing,28
22,3,Urban,20-29, CHHATTISGARH, Jashpur *,Male,In seeing,16
22,3,Urban,30-39, CHHATTISGARH, Jashpur *,Male,In seeing,13
22,3,Urban,40-49, CHHATTISGARH, Jashpur *,Male,In seeing,16
