State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
26,1,Rural,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,91
26,1,Rural,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,96
26,1,Rural,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,160
26,1,Rural,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,223
26,1,Rural,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,157
26,1,Rural,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,118
26,1,Rural,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,87
26,1,Rural,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,75
26,1,Rural,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,37
26,1,Rural,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,7
26,1,Rural,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,3
26,1,Rural,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,0
26,1,Urban,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,25
26,1,Urban,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,31
26,1,Urban,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,34
26,1,Urban,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,90
26,1,Urban,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,51
26,1,Urban,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,38
26,1,Urban,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,14
26,1,Urban,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,9
26,1,Urban,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,3
26,1,Urban,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,4
26,1,Urban,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,0
26,1,Urban,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In seeing,0
26,1,Rural,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,114
26,1,Rural,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,75
26,1,Rural,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,146
26,1,Rural,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,125
26,1,Rural,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,83
26,1,Rural,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,62
26,1,Rural,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,65
26,1,Rural,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,79
26,1,Rural,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,42
26,1,Rural,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,11
26,1,Rural,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,4
26,1,Rural,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,0
26,1,Urban,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,30
26,1,Urban,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,27
26,1,Urban,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,30
26,1,Urban,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,49
26,1,Urban,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,25
26,1,Urban,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,12
26,1,Urban,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,5
26,1,Urban,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,2
26,1,Urban,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,5
26,1,Urban,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,1
26,1,Urban,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,1
26,1,Urban,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In seeing,0
26,1,Rural,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,1
26,1,Rural,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,17
26,1,Rural,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,39
26,1,Rural,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,22
26,1,Rural,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,20
26,1,Rural,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,16
26,1,Rural,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,6
26,1,Rural,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,4
26,1,Rural,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,1
26,1,Rural,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Rural,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Rural,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Urban,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,2
26,1,Urban,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,2
26,1,Urban,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,8
26,1,Urban,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,15
26,1,Urban,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,8
26,1,Urban,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,2
26,1,Urban,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,2
26,1,Urban,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Urban,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,1
26,1,Urban,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Urban,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Urban,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In speech,0
26,1,Rural,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,4
26,1,Rural,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,16
26,1,Rural,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,28
26,1,Rural,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,24
26,1,Rural,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,11
26,1,Rural,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,9
26,1,Rural,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,5
26,1,Rural,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,3
26,1,Rural,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,3
26,1,Rural,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Rural,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Rural,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,2
26,1,Urban,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,9
26,1,Urban,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,5
26,1,Urban,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,5
26,1,Urban,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,3
26,1,Urban,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,2
26,1,Urban,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Urban,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Female,In speech,0
26,1,Rural,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,3
26,1,Rural,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,14
26,1,Rural,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,27
26,1,Rural,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,13
26,1,Rural,30-39, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,13
26,1,Rural,40-49, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,19
26,1,Rural,50-59, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,17
26,1,Rural,60-69, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,31
26,1,Rural,70-79, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,14
26,1,Rural,80-89, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,9
26,1,Rural,90+, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,1
26,1,Rural,Age not stated, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,0
26,1,Urban,0-4, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,1
26,1,Urban,5-9, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,1
26,1,Urban,10-19, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,1
26,1,Urban,20-29, DADRA & NAGAR HAVELI, Dadra & Nagar Haveli,Male,In hearing,2
