State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
25,1,Rural,0-4, DAMAN & DIU, Diu,Male,In seeing,31
25,1,Rural,5-9, DAMAN & DIU, Diu,Male,In seeing,28
25,1,Rural,10-19, DAMAN & DIU, Diu,Male,In seeing,41
25,1,Rural,20-29, DAMAN & DIU, Diu,Male,In seeing,34
25,1,Rural,30-39, DAMAN & DIU, Diu,Male,In seeing,38
25,1,Rural,40-49, DAMAN & DIU, Diu,Male,In seeing,21
25,1,Rural,50-59, DAMAN & DIU, Diu,Male,In seeing,18
25,1,Rural,60-69, DAMAN & DIU, Diu,Male,In seeing,10
25,1,Rural,70-79, DAMAN & DIU, Diu,Male,In seeing,4
25,1,Rural,80-89, DAMAN & DIU, Diu,Male,In seeing,2
25,1,Rural,90+, DAMAN & DIU, Diu,Male,In seeing,0
25,1,Rural,Age not stated, DAMAN & DIU, Diu,Male,In seeing,0
25,1,Urban,0-4, DAMAN & DIU, Diu,Male,In seeing,19
25,1,Urban,5-9, DAMAN & DIU, Diu,Male,In seeing,17
25,1,Urban,10-19, DAMAN & DIU, Diu,Male,In seeing,42
25,1,Urban,20-29, DAMAN & DIU, Diu,Male,In seeing,20
25,1,Urban,30-39, DAMAN & DIU, Diu,Male,In seeing,23
25,1,Urban,40-49, DAMAN & DIU, Diu,Male,In seeing,17
25,1,Urban,50-59, DAMAN & DIU, Diu,Male,In seeing,12
25,1,Urban,60-69, DAMAN & DIU, Diu,Male,In seeing,9
25,1,Urban,70-79, DAMAN & DIU, Diu,Male,In seeing,6
25,1,Urban,80-89, DAMAN & DIU, Diu,Male,In seeing,4
25,1,Urban,90+, DAMAN & DIU, Diu,Male,In seeing,0
25,1,Urban,Age not stated, DAMAN & DIU, Diu,Male,In seeing,0
25,2,Rural,0-4, DAMAN & DIU, Daman,Male,In seeing,20
25,2,Rural,5-9, DAMAN & DIU, Daman,Male,In seeing,22
25,2,Rural,10-19, DAMAN & DIU, Daman,Male,In seeing,76
25,2,Rural,20-29, DAMAN & DIU, Daman,Male,In seeing,214
25,2,Rural,30-39, DAMAN & DIU, Daman,Male,In seeing,87
25,2,Rural,40-49, DAMAN & DIU, Daman,Male,In seeing,42
25,2,Rural,50-59, DAMAN & DIU, Daman,Male,In seeing,15
25,2,Rural,60-69, DAMAN & DIU, Daman,Male,In seeing,15
25,2,Rural,70-79, DAMAN & DIU, Daman,Male,In seeing,10
25,2,Rural,80-89, DAMAN & DIU, Daman,Male,In seeing,2
25,2,Rural,90+, DAMAN & DIU, Daman,Male,In seeing,0
25,2,Rural,Age not stated, DAMAN & DIU, Daman,Male,In seeing,0
25,2,Urban,0-4, DAMAN & DIU, Daman,Male,In seeing,10
25,2,Urban,5-9, DAMAN & DIU, Daman,Male,In seeing,12
25,2,Urban,10-19, DAMAN & DIU, Daman,Male,In seeing,18
25,2,Urban,20-29, DAMAN & DIU, Daman,Male,In seeing,40
25,2,Urban,30-39, DAMAN & DIU, Daman,Male,In seeing,33
25,2,Urban,40-49, DAMAN & DIU, Daman,Male,In seeing,19
25,2,Urban,50-59, DAMAN & DIU, Daman,Male,In seeing,17
25,2,Urban,60-69, DAMAN & DIU, Daman,Male,In seeing,10
25,2,Urban,70-79, DAMAN & DIU, Daman,Male,In seeing,6
25,2,Urban,80-89, DAMAN & DIU, Daman,Male,In seeing,3
25,2,Urban,90+, DAMAN & DIU, Daman,Male,In seeing,2
25,2,Urban,Age not stated, DAMAN & DIU, Daman,Male,In seeing,0
25,1,Rural,0-4, DAMAN & DIU, Diu,Female,In seeing,25
25,1,Rural,5-9, DAMAN & DIU, Diu,Female,In seeing,22
25,1,Rural,10-19, DAMAN & DIU, Diu,Female,In seeing,33
25,1,Rural,20-29, DAMAN & DIU, Diu,Female,In seeing,38
25,1,Rural,30-39, DAMAN & DIU, Diu,Female,In seeing,23
25,1,Rural,40-49, DAMAN & DIU, Diu,Female,In seeing,19
25,1,Rural,50-59, DAMAN & DIU, Diu,Female,In seeing,15
25,1,Rural,60-69, DAMAN & DIU, Diu,Female,In seeing,15
25,1,Rural,70-79, DAMAN & DIU, Diu,Female,In seeing,6
25,1,Rural,80-89, DAMAN & DIU, Diu,Female,In seeing,1
25,1,Rural,90+, DAMAN & DIU, Diu,Female,In seeing,4
25,1,Rural,Age not stated, DAMAN & DIU, Diu,Female,In seeing,0
25,1,Urban,0-4, DAMAN & DIU, Diu,Female,In seeing,18
