State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
30,1,Rural,0-4, GOA, North Goa,Male,In seeing,40
30,1,Rural,5-9, GOA, North Goa,Male,In seeing,42
30,1,Rural,10-19, GOA, North Goa,Male,In seeing,96
30,1,Rural,20-29, GOA, North Goa,Male,In seeing,147
30,1,Rural,30-39, GOA, North Goa,Male,In seeing,129
30,1,Rural,40-49, GOA, North Goa,Male,In seeing,81
30,1,Rural,50-59, GOA, North Goa,Male,In seeing,86
30,1,Rural,60-69, GOA, North Goa,Male,In seeing,73
30,1,Rural,70-79, GOA, North Goa,Male,In seeing,40
30,1,Rural,80-89, GOA, North Goa,Male,In seeing,17
30,1,Rural,90+, GOA, North Goa,Male,In seeing,3
30,1,Rural,Age not stated, GOA, North Goa,Male,In seeing,0
30,1,Urban,0-4, GOA, North Goa,Male,In seeing,44
30,1,Urban,5-9, GOA, North Goa,Male,In seeing,34
30,1,Urban,10-19, GOA, North Goa,Male,In seeing,93
30,1,Urban,20-29, GOA, North Goa,Male,In seeing,91
30,1,Urban,30-39, GOA, North Goa,Male,In seeing,91
30,1,Urban,40-49, GOA, North Goa,Male,In seeing,69
30,1,Urban,50-59, GOA, North Goa,Male,In seeing,64
30,1,Urban,60-69, GOA, North Goa,Male,In seeing,53
30,1,Urban,70-79, GOA, North Goa,Male,In seeing,27
30,1,Urban,80-89, GOA, North Goa,Male,In seeing,12
30,1,Urban,90+, GOA, North Goa,Male,In seeing,2
30,1,Urban,Age not stated, GOA, North Goa,Male,In seeing,0
30,2,Rural,0-4, GOA, South Goa,Male,In seeing,24
30,2,Rural,5-9, GOA, South Goa,Male,In seeing,24
30,2,Rural,10-19, GOA, South Goa,Male,In seeing,57
30,2,Rural,20-29, GOA, South Goa,Male,In seeing,66
30,2,Rural,30-39, GOA, South Goa,Male,In seeing,50
30,2,Rural,40-49, GOA, South Goa,Male,In seeing,45
30,2,Rural,50-59, GOA, South Goa,Male,In seeing,52
30,2,Rural,60-69, GOA, South Goa,Male,In seeing,38
30,2,Rural,70-79, GOA, South Goa,Male,In seeing,24
30,2,Rural,80-89, GOA, South Goa,Male,In seeing,20
30,2,Rural,90+, GOA, South Goa,Male,In seeing,2
30,2,Rural,Age not stated, GOA, South Goa,Male,In seeing,1
30,2,Urban,0-4, GOA, South Goa,Male,In seeing,42
30,2,Urban,5-9, GOA, South Goa,Male,In seeing,35
30,2,Urban,10-19, GOA, South Goa,Male,In seeing,93
30,2,Urban,20-29, GOA, South Goa,Male,In seeing,110
30,2,Urban,30-39, GOA, South Goa,Male,In seeing,86
30,2,Urban,40-49, GOA, South Goa,Male,In seeing,65
30,2,Urban,50-59, GOA, South Goa,Male,In seeing,51
30,2,Urban,60-69, GOA, South Goa,Male,In seeing,53
30,2,Urban,70-79, GOA, South Goa,Male,In seeing,28
30,2,Urban,80-89, GOA, South Goa,Male,In seeing,11
30,2,Urban,90+, GOA, South Goa,Male,In seeing,5
30,2,Urban,Age not stated, GOA, South Goa,Male,In seeing,0
30,1,Rural,0-4, GOA, North Goa,Female,In seeing,37
30,1,Rural,5-9, GOA, North Goa,Female,In seeing,37
30,1,Rural,10-19, GOA, North Goa,Female,In seeing,94
30,1,Rural,20-29, GOA, North Goa,Female,In seeing,116
30,1,Rural,30-39, GOA, North Goa,Female,In seeing,101
30,1,Rural,40-49, GOA, North Goa,Female,In seeing,72
30,1,Rural,50-59, GOA, North Goa,Female,In seeing,71
30,1,Rural,60-69, GOA, North Goa,Female,In seeing,62
30,1,Rural,70-79, GOA, North Goa,Female,In seeing,45
30,1,Rural,80-89, GOA, North Goa,Female,In seeing,29
30,1,Rural,90+, GOA, North Goa,Female,In seeing,4
30,1,Rural,Age not stated, GOA, North Goa,Female,In seeing,1
30,1,Urban,0-4, GOA, North Goa,Female,In seeing,33
30,1,Urban,5-9, GOA, North Goa,Female,In seeing,18
30,1,Urban,10-19, GOA, North Goa,Female,In seeing,65
30,1,Urban,20-29, GOA, North Goa,Female,In seeing,83
30,1,Urban,30-39, GOA, North Goa,Female,In seeing,72
30,1,Urban,40-49, GOA, North Goa,Female,In seeing,65
30,1,Urban,50-59, GOA, North Goa,Female,In seeing,63
30,1,Urban,60-69, GOA, North Goa,Female,In seeing,51
30,1,Urban,70-79, GOA, North Goa,Female,In seeing,28
30,1,Urban,80-89, GOA, North Goa,Female,In seeing,12
