State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
24,1,Rural,0-4, GUJARAT, Kachchh,Male,In seeing,379
24,1,Rural,5-9, GUJARAT, Kachchh,Male,In seeing,490
24,1,Rural,10-19, GUJARAT, Kachchh,Male,In seeing,900
24,1,Rural,20-29, GUJARAT, Kachchh,Male,In seeing,803
24,1,Rural,30-39, GUJARAT, Kachchh,Male,In seeing,793
24,1,Rural,40-49, GUJARAT, Kachchh,Male,In seeing,705
24,1,Rural,50-59, GUJARAT, Kachchh,Male,In seeing,647
24,1,Rural,60-69, GUJARAT, Kachchh,Male,In seeing,853
24,1,Rural,70-79, GUJARAT, Kachchh,Male,In seeing,635
24,1,Rural,80-89, GUJARAT, Kachchh,Male,In seeing,274
24,1,Rural,90+, GUJARAT, Kachchh,Male,In seeing,68
24,1,Rural,Age not stated, GUJARAT, Kachchh,Male,In seeing,8
24,1,Urban,0-4, GUJARAT, Kachchh,Male,In seeing,165
24,1,Urban,5-9, GUJARAT, Kachchh,Male,In seeing,174
24,1,Urban,10-19, GUJARAT, Kachchh,Male,In seeing,383
24,1,Urban,20-29, GUJARAT, Kachchh,Male,In seeing,300
24,1,Urban,30-39, GUJARAT, Kachchh,Male,In seeing,246
24,1,Urban,40-49, GUJARAT, Kachchh,Male,In seeing,289
24,1,Urban,50-59, GUJARAT, Kachchh,Male,In seeing,216
24,1,Urban,60-69, GUJARAT, Kachchh,Male,In seeing,178
24,1,Urban,70-79, GUJARAT, Kachchh,Male,In seeing,113
24,1,Urban,80-89, GUJARAT, Kachchh,Male,In seeing,39
24,1,Urban,90+, GUJARAT, Kachchh,Male,In seeing,9
24,1,Urban,Age not stated, GUJARAT, Kachchh,Male,In seeing,5
24,2,Rural,0-4, GUJARAT, Banas Kantha,Male,In seeing,1387
24,2,Rural,5-9, GUJARAT, Banas Kantha,Male,In seeing,1346
24,2,Rural,10-19, GUJARAT, Banas Kantha,Male,In seeing,2412
24,2,Rural,20-29, GUJARAT, Banas Kantha,Male,In seeing,1775
24,2,Rural,30-39, GUJARAT, Banas Kantha,Male,In seeing,1725
24,2,Rural,40-49, GUJARAT, Banas Kantha,Male,In seeing,1436
24,2,Rural,50-59, GUJARAT, Banas Kantha,Male,In seeing,1206
24,2,Rural,60-69, GUJARAT, Banas Kantha,Male,In seeing,1107
24,2,Rural,70-79, GUJARAT, Banas Kantha,Male,In seeing,610
24,2,Rural,80-89, GUJARAT, Banas Kantha,Male,In seeing,216
24,2,Rural,90+, GUJARAT, Banas Kantha,Male,In seeing,63
24,2,Rural,Age not stated, GUJARAT, Banas Kantha,Male,In seeing,11
24,2,Urban,0-4, GUJARAT, Banas Kantha,Male,In seeing,89
24,2,Urban,5-9, GUJARAT, Banas Kantha,Male,In seeing,96
24,2,Urban,10-19, GUJARAT, Banas Kantha,Male,In seeing,206
24,2,Urban,20-29, GUJARAT, Banas Kantha,Male,In seeing,149
24,2,Urban,30-39, GUJARAT, Banas Kantha,Male,In seeing,157
24,2,Urban,40-49, GUJARAT, Banas Kantha,Male,In seeing,141
24,2,Urban,50-59, GUJARAT, Banas Kantha,Male,In seeing,88
24,2,Urban,60-69, GUJARAT, Banas Kantha,Male,In seeing,83
24,2,Urban,70-79, GUJARAT, Banas Kantha,Male,In seeing,43
24,2,Urban,80-89, GUJARAT, Banas Kantha,Male,In seeing,18
