State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
6,1,Rural,0-4, HARYANA, Panchkula *,Male,In seeing,121
6,1,Rural,5-9, HARYANA, Panchkula *,Male,In seeing,115
6,1,Rural,10-19, HARYANA, Panchkula *,Male,In seeing,220
6,1,Rural,20-29, HARYANA, Panchkula *,Male,In seeing,290
6,1,Rural,30-39, HARYANA, Panchkula *,Male,In seeing,253
6,1,Rural,40-49, HARYANA, Panchkula *,Male,In seeing,165
6,1,Rural,50-59, HARYANA, Panchkula *,Male,In seeing,100
6,1,Rural,60-69, HARYANA, Panchkula *,Male,In seeing,119
6,1,Rural,70-79, HARYANA, Panchkula *,Male,In seeing,89
6,1,Rural,80-89, HARYANA, Panchkula *,Male,In seeing,37
6,1,Rural,90+, HARYANA, Panchkula *,Male,In seeing,15
6,1,Rural,Age not stated, HARYANA, Panchkula *,Male,In seeing,8
6,1,Urban,0-4, HARYANA, Panchkula *,Male,In seeing,74
6,1,Urban,5-9, HARYANA, Panchkula *,Male,In seeing,91
6,1,Urban,10-19, HARYANA, Panchkula *,Male,In seeing,177
6,1,Urban,20-29, HARYANA, Panchkula *,Male,In seeing,210
6,1,Urban,30-39, HARYANA, Panchkula *,Male,In seeing,248
6,1,Urban,40-49, HARYANA, Panchkula *,Male,In seeing,171
6,1,Urban,50-59, HARYANA, Panchkula *,Male,In seeing,105
6,1,Urban,60-69, HARYANA, Panchkula *,Male,In seeing,77
6,1,Urban,70-79, HARYANA, Panchkula *,Male,In seeing,36
6,1,Urban,80-89, HARYANA, Panchkula *,Male,In seeing,11
6,1,Urban,90+, HARYANA, Panchkula *,Male,In seeing,3
6,1,Urban,Age not stated, HARYANA, Panchkula *,Male,In seeing,4
6,2,Rural,0-4, HARYANA, Ambala,Male,In seeing,280
6,2,Rural,5-9, HARYANA, Ambala,Male,In seeing,317
6,2,Rural,10-19, HARYANA, Ambala,Male,In seeing,532
6,2,Rural,20-29, HARYANA, Ambala,Male,In seeing,431
6,2,Rural,30-39, HARYANA, Ambala,Male,In seeing,370
6,2,Rural,40-49, HARYANA, Ambala,Male,In seeing,349
6,2,Rural,50-59, HARYANA, Ambala,Male,In seeing,207
6,2,Rural,60-69, HARYANA, Ambala,Male,In seeing,292
6,2,Rural,70-79, HARYANA, Ambala,Male,In seeing,233
6,2,Rural,80-89, HARYANA, Ambala,Male,In seeing,99
6,2,Rural,90+, HARYANA, Ambala,Male,In seeing,33
6,2,Rural,Age not stated, HARYANA, Ambala,Male,In seeing,9
6,2,Urban,0-4, HARYANA, Ambala,Male,In seeing,113
6,2,Urban,5-9, HARYANA, Ambala,Male,In seeing,105
6,2,Urban,10-19, HARYANA, Ambala,Male,In seeing,265
6,2,Urban,20-29, HARYANA, Ambala,Male,In seeing,285
6,2,Urban,30-39, HARYANA, Ambala,Male,In seeing,236
6,2,Urban,40-49, HARYANA, Ambala,Male,In seeing,198
6,2,Urban,50-59, HARYANA, Ambala,Male,In seeing,116
6,2,Urban,60-69, HARYANA, Ambala,Male,In seeing,105
6,2,Urban,70-79, HARYANA, Ambala,Male,In seeing,72
6,2,Urban,80-89, HARYANA, Ambala,Male,In seeing,21
6,2,Urban,90+, HARYANA, Ambala,Male,In seeing,10
6,2,Urban,Age not stated, HARYANA, Ambala,Male,In seeing,1
6,3,Rural,0-4, HARYANA, Yamunanagar,Male,In seeing,308
6,3,Rural,5-9, HARYANA, Yamunanagar,Male,In seeing,294
6,3,Rural,10-19, HARYANA, Yamunanagar,Male,In seeing,561
6,3,Rural,20-29, HARYANA, Yamunanagar,Male,In seeing,466
6,3,Rural,30-39, HARYANA, Yamunanagar,Male,In seeing,427
6,3,Rural,40-49, HARYANA, Yamunanagar,Male,In seeing,353
6,3,Rural,50-59, HARYANA, Yamunanagar,Male,In seeing,232
6,3,Rural,60-69, HARYANA, Yamunanagar,Male,In seeing,329
6,3,Rural,70-79, HARYANA, Yamunanagar,Male,In seeing,352
6,3,Rural,80-89, HARYANA, Yamunanagar,Male,In seeing,130
6,3,Rural,90+, HARYANA, Yamunanagar,Male,In seeing,47
6,3,Rural,Age not stated, HARYANA, Yamunanagar,Male,In seeing,5
6,3,Urban,0-4, HARYANA, Yamunanagar,Male,In seeing,147
6,3,Urban,5-9, HARYANA, Yamunanagar,Male,In seeing,187
6,3,Urban,10-19, HARYANA, Yamunanagar,Male,In seeing,370
6,3,Urban,20-29, HARYANA, Yamunanagar,Male,In seeing,309
6,3,Urban,30-39, HARYANA, Yamunanagar,Male,In seeing,266
6,3,Urban,40-49, HARYANA, Yamunanagar,Male,In seeing,291
6,3,Urban,50-59, HARYANA, Yamunanagar,Male,In seeing,165
6,3,Urban,60-69, HARYANA, Yamunanagar,Male,In seeing,149
6,3,Urban,70-79, HARYANA, Yamunanagar,Male,In seeing,102
6,3,Urban,80-89, HARYANA, Yamunanagar,Male,In seeing,28
6,3,Urban,90+, HARYANA, Yamunanagar,Male,In seeing,8
6,3,Urban,Age not stated, HARYANA, Yamunanagar,Male,In seeing,2
6,4,Rural,0-4, HARYANA, Kurukshetra,Male,In seeing,377
6,4,Rural,5-9, HARYANA, Kurukshetra,Male,In seeing,372
6,4,Rural,10-19, HARYANA, Kurukshetra,Male,In seeing,674
6,4,Rural,20-29, HARYANA, Kurukshetra,Male,In seeing,479
6,4,Rural,30-39, HARYANA, Kurukshetra,Male,In seeing,479
6,4,Rural,40-49, HARYANA, Kurukshetra,Male,In seeing,348
6,4,Rural,50-59, HARYANA, Kurukshetra,Male,In seeing,255
6,4,Rural,60-69, HARYANA, Kurukshetra,Male,In seeing,346
6,4,Rural,70-79, HARYANA, Kurukshetra,Male,In seeing,370
6,4,Rural,80-89, HARYANA, Kurukshetra,Male,In seeing,170
6,4,Rural,90+, HARYANA, Kurukshetra,Male,In seeing,56
6,4,Rural,Age not stated, HARYANA, Kurukshetra,Male,In seeing,10
6,4,Urban,0-4, HARYANA, Kurukshetra,Male,In seeing,73
6,4,Urban,5-9, HARYANA, Kurukshetra,Male,In seeing,93
6,4,Urban,10-19, HARYANA, Kurukshetra,Male,In seeing,190
6,4,Urban,20-29, HARYANA, Kurukshetra,Male,In seeing,169
6,4,Urban,30-39, HARYANA, Kurukshetra,Male,In seeing,137
6,4,Urban,40-49, HARYANA, Kurukshetra,Male,In seeing,124
6,4,Urban,50-59, HARYANA, Kurukshetra,Male,In seeing,77
6,4,Urban,60-69, HARYANA, Kurukshetra,Male,In seeing,68
6,4,Urban,70-79, HARYANA, Kurukshetra,Male,In seeing,50
6,4,Urban,80-89, HARYANA, Kurukshetra,Male,In seeing,16
6,4,Urban,90+, HARYANA, Kurukshetra,Male,In seeing,4
6,4,Urban,Age not stated, HARYANA, Kurukshetra,Male,In seeing,4
6,5,Rural,0-4, HARYANA, Kaithal,Male,In seeing,152
6,5,Rural,5-9, HARYANA, Kaithal,Male,In seeing,206
6,5,Rural,10-19, HARYANA, Kaithal,Male,In seeing,493
6,5,Rural,20-29, HARYANA, Kaithal,Male,In seeing,334
6,5,Rural,30-39, HARYANA, Kaithal,Male,In seeing,305
6,5,Rural,40-49, HARYANA, Kaithal,Male,In seeing,311
6,5,Rural,50-59, HARYANA, Kaithal,Male,In seeing,269
6,5,Rural,60-69, HARYANA, Kaithal,Male,In seeing,470
6,5,Rural,70-79, HARYANA, Kaithal,Male,In seeing,446
6,5,Rural,80-89, HARYANA, Kaithal,Male,In seeing,191
6,5,Rural,90+, HARYANA, Kaithal,Male,In seeing,42
6,5,Rural,Age not stated, HARYANA, Kaithal,Male,In seeing,8
6,5,Urban,0-4, HARYANA, Kaithal,Male,In seeing,32
6,5,Urban,5-9, HARYANA, Kaithal,Male,In seeing,49
6,5,Urban,10-19, HARYANA, Kaithal,Male,In seeing,103
6,5,Urban,20-29, HARYANA, Kaithal,Male,In seeing,73
6,5,Urban,30-39, HARYANA, Kaithal,Male,In seeing,75
6,5,Urban,40-49, HARYANA, Kaithal,Male,In seeing,81
6,5,Urban,50-59, HARYANA, Kaithal,Male,In seeing,59
6,5,Urban,60-69, HARYANA, Kaithal,Male,In seeing,55
6,5,Urban,70-79, HARYANA, Kaithal,Male,In seeing,55
6,5,Urban,80-89, HARYANA, Kaithal,Male,In seeing,28
6,5,Urban,90+, HARYANA, Kaithal,Male,In seeing,5
6,5,Urban,Age not stated, HARYANA, Kaithal,Male,In seeing,0
6,6,Rural,0-4, HARYANA, Karnal,Male,In seeing,290
6,6,Rural,5-9, HARYANA, Karnal,Male,In seeing,357
6,6,Rural,10-19, HARYANA, Karnal,Male,In seeing,659
6,6,Rural,20-29, HARYANA, Karnal,Male,In seeing,522
6,6,Rural,30-39, HARYANA, Karnal,Male,In seeing,489
6,6,Rural,40-49, HARYANA, Karnal,Male,In seeing,429
6,6,Rural,50-59, HARYANA, Karnal,Male,In seeing,334
6,6,Rural,60-69, HARYANA, Karnal,Male,In seeing,436
6,6,Rural,70-79, HARYANA, Karnal,Male,In seeing,445
6,6,Rural,80-89, HARYANA, Karnal,Male,In seeing,223
6,6,Rural,90+, HARYANA, Karnal,Male,In seeing,79
6,6,Rural,Age not stated, HARYANA, Karnal,Male,In seeing,12
6,6,Urban,0-4, HARYANA, Karnal,Male,In seeing,99
6,6,Urban,5-9, HARYANA, Karnal,Male,In seeing,142
6,6,Urban,10-19, HARYANA, Karnal,Male,In seeing,304
6,6,Urban,20-29, HARYANA, Karnal,Male,In seeing,246
6,6,Urban,30-39, HARYANA, Karnal,Male,In seeing,238
6,6,Urban,40-49, HARYANA, Karnal,Male,In seeing,258
6,6,Urban,50-59, HARYANA, Karnal,Male,In seeing,156
6,6,Urban,60-69, HARYANA, Karnal,Male,In seeing,105
6,6,Urban,70-79, HARYANA, Karnal,Male,In seeing,79
6,6,Urban,80-89, HARYANA, Karnal,Male,In seeing,30
6,6,Urban,90+, HARYANA, Karnal,Male,In seeing,7
6,6,Urban,Age not stated, HARYANA, Karnal,Male,In seeing,2
6,7,Rural,0-4, HARYANA, Panipat,Male,In seeing,224
6,7,Rural,5-9, HARYANA, Panipat,Male,In seeing,274
6,7,Rural,10-19, HARYANA, Panipat,Male,In seeing,503
6,7,Rural,20-29, HARYANA, Panipat,Male,In seeing,370
6,7,Rural,30-39, HARYANA, Panipat,Male,In seeing,334
6,7,Rural,40-49, HARYANA, Panipat,Male,In seeing,265
6,7,Rural,50-59, HARYANA, Panipat,Male,In seeing,178
6,7,Rural,60-69, HARYANA, Panipat,Male,In seeing,270
6,7,Rural,70-79, HARYANA, Panipat,Male,In seeing,225
6,7,Rural,80-89, HARYANA, Panipat,Male,In seeing,66
6,7,Rural,90+, HARYANA, Panipat,Male,In seeing,28
6,7,Rural,Age not stated, HARYANA, Panipat,Male,In seeing,7
6,7,Urban,0-4, HARYANA, Panipat,Male,In seeing,133
6,7,Urban,5-9, HARYANA, Panipat,Male,In seeing,190
6,7,Urban,10-19, HARYANA, Panipat,Male,In seeing,330
6,7,Urban,20-29, HARYANA, Panipat,Male,In seeing,328
6,7,Urban,30-39, HARYANA, Panipat,Male,In seeing,265
6,7,Urban,40-49, HARYANA, Panipat,Male,In seeing,207
6,7,Urban,50-59, HARYANA, Panipat,Male,In seeing,144
6,7,Urban,60-69, HARYANA, Panipat,Male,In seeing,120
6,7,Urban,70-79, HARYANA, Panipat,Male,In seeing,79
6,7,Urban,80-89, HARYANA, Panipat,Male,In seeing,27
6,7,Urban,90+, HARYANA, Panipat,Male,In seeing,6
6,7,Urban,Age not stated, HARYANA, Panipat,Male,In seeing,0
6,8,Rural,0-4, HARYANA, Sonipat,Male,In seeing,627
6,8,Rural,5-9, HARYANA, Sonipat,Male,In seeing,642
6,8,Rural,10-19, HARYANA, Sonipat,Male,In seeing,1198
