State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
29,1,Rural,0-4, KARNATAKA, Belgaum,Male,In seeing,386
29,1,Rural,5-9, KARNATAKA, Belgaum,Male,In seeing,525
29,1,Rural,10-19, KARNATAKA, Belgaum,Male,In seeing,1013
29,1,Rural,20-29, KARNATAKA, Belgaum,Male,In seeing,633
29,1,Rural,30-39, KARNATAKA, Belgaum,Male,In seeing,682
29,1,Rural,40-49, KARNATAKA, Belgaum,Male,In seeing,701
29,1,Rural,50-59, KARNATAKA, Belgaum,Male,In seeing,659
29,1,Rural,60-69, KARNATAKA, Belgaum,Male,In seeing,884
29,1,Rural,70-79, KARNATAKA, Belgaum,Male,In seeing,739
29,1,Rural,80-89, KARNATAKA, Belgaum,Male,In seeing,351
29,1,Rural,90+, KARNATAKA, Belgaum,Male,In seeing,104
29,1,Rural,Age not stated, KARNATAKA, Belgaum,Male,In seeing,13
29,1,Urban,0-4, KARNATAKA, Belgaum,Male,In seeing,166
29,1,Urban,5-9, KARNATAKA, Belgaum,Male,In seeing,218
29,1,Urban,10-19, KARNATAKA, Belgaum,Male,In seeing,501
29,1,Urban,20-29, KARNATAKA, Belgaum,Male,In seeing,345
29,1,Urban,30-39, KARNATAKA, Belgaum,Male,In seeing,303
29,1,Urban,40-49, KARNATAKA, Belgaum,Male,In seeing,345
29,1,Urban,50-59, KARNATAKA, Belgaum,Male,In seeing,227
29,1,Urban,60-69, KARNATAKA, Belgaum,Male,In seeing,158
29,1,Urban,70-79, KARNATAKA, Belgaum,Male,In seeing,106
29,1,Urban,80-89, KARNATAKA, Belgaum,Male,In seeing,45
29,1,Urban,90+, KARNATAKA, Belgaum,Male,In seeing,9
29,1,Urban,Age not stated, KARNATAKA, Belgaum,Male,In seeing,17
29,2,Rural,0-4, KARNATAKA, Bagalkot *,Male,In seeing,446
29,2,Rural,5-9, KARNATAKA, Bagalkot *,Male,In seeing,478
29,2,Rural,10-19, KARNATAKA, Bagalkot *,Male,In seeing,942
29,2,Rural,20-29, KARNATAKA, Bagalkot *,Male,In seeing,640
29,2,Rural,30-39, KARNATAKA, Bagalkot *,Male,In seeing,611
29,2,Rural,40-49, KARNATAKA, Bagalkot *,Male,In seeing,520
29,2,Rural,50-59, KARNATAKA, Bagalkot *,Male,In seeing,364
29,2,Rural,60-69, KARNATAKA, Bagalkot *,Male,In seeing,430
29,2,Rural,70-79, KARNATAKA, Bagalkot *,Male,In seeing,278
29,2,Rural,80-89, KARNATAKA, Bagalkot *,Male,In seeing,117
29,2,Rural,90+, KARNATAKA, Bagalkot *,Male,In seeing,23
29,2,Rural,Age not stated, KARNATAKA, Bagalkot *,Male,In seeing,8
29,2,Urban,0-4, KARNATAKA, Bagalkot *,Male,In seeing,117
29,2,Urban,5-9, KARNATAKA, Bagalkot *,Male,In seeing,138
29,2,Urban,10-19, KARNATAKA, Bagalkot *,Male,In seeing,350
29,2,Urban,20-29, KARNATAKA, Bagalkot *,Male,In seeing,234
29,2,Urban,30-39, KARNATAKA, Bagalkot *,Male,In seeing,244
29,2,Urban,40-49, KARNATAKA, Bagalkot *,Male,In seeing,208
29,2,Urban,50-59, KARNATAKA, Bagalkot *,Male,In seeing,126
29,2,Urban,60-69, KARNATAKA, Bagalkot *,Male,In seeing,93
29,2,Urban,70-79, KARNATAKA, Bagalkot *,Male,In seeing,54
29,2,Urban,80-89, KARNATAKA, Bagalkot *,Male,In seeing,23
29,2,Urban,90+, KARNATAKA, Bagalkot *,Male,In seeing,7
29,2,Urban,Age not stated, KARNATAKA, Bagalkot *,Male,In seeing,2
29,3,Rural,0-4, KARNATAKA, Bijapur,Male,In seeing,578
29,3,Rural,5-9, KARNATAKA, Bijapur,Male,In seeing,636
29,3,Rural,10-19, KARNATAKA, Bijapur,Male,In seeing,1222
29,3,Rural,20-29, KARNATAKA, Bijapur,Male,In seeing,999
29,3,Rural,30-39, KARNATAKA, Bijapur,Male,In seeing,1535
29,3,Rural,40-49, KARNATAKA, Bijapur,Male,In seeing,1716
29,3,Rural,50-59, KARNATAKA, Bijapur,Male,In seeing,1248
29,3,Rural,60-69, KARNATAKA, Bijapur,Male,In seeing,1108
29,3,Rural,70-79, KARNATAKA, Bijapur,Male,In seeing,604
29,3,Rural,80-89, KARNATAKA, Bijapur,Male,In seeing,220
29,3,Rural,90+, KARNATAKA, Bijapur,Male,In seeing,54
29,3,Rural,Age not stated, KARNATAKA, Bijapur,Male,In seeing,15
29,3,Urban,0-4, KARNATAKA, Bijapur,Male,In seeing,117
29,3,Urban,5-9, KARNATAKA, Bijapur,Male,In seeing,112
29,3,Urban,10-19, KARNATAKA, Bijapur,Male,In seeing,231
29,3,Urban,20-29, KARNATAKA, Bijapur,Male,In seeing,226
29,3,Urban,30-39, KARNATAKA, Bijapur,Male,In seeing,202
29,3,Urban,40-49, KARNATAKA, Bijapur,Male,In seeing,195
29,3,Urban,50-59, KARNATAKA, Bijapur,Male,In seeing,148
29,3,Urban,60-69, KARNATAKA, Bijapur,Male,In seeing,118
29,3,Urban,70-79, KARNATAKA, Bijapur,Male,In seeing,83
29,3,Urban,80-89, KARNATAKA, Bijapur,Male,In seeing,26
29,3,Urban,90+, KARNATAKA, Bijapur,Male,In seeing,13
29,3,Urban,Age not stated, KARNATAKA, Bijapur,Male,In seeing,2
29,4,Rural,0-4, KARNATAKA, Gulbarga,Male,In seeing,525
29,4,Rural,5-9, KARNATAKA, Gulbarga,Male,In seeing,822
29,4,Rural,10-19, KARNATAKA, Gulbarga,Male,In seeing,1353
29,4,Rural,20-29, KARNATAKA, Gulbarga,Male,In seeing,835
29,4,Rural,30-39, KARNATAKA, Gulbarga,Male,In seeing,974
29,4,Rural,40-49, KARNATAKA, Gulbarga,Male,In seeing,1111
29,4,Rural,50-59, KARNATAKA, Gulbarga,Male,In seeing,1050
29,4,Rural,60-69, KARNATAKA, Gulbarga,Male,In seeing,1156
29,4,Rural,70-79, KARNATAKA, Gulbarga,Male,In seeing,800
29,4,Rural,80-89, KARNATAKA, Gulbarga,Male,In seeing,294
29,4,Rural,90+, KARNATAKA, Gulbarga,Male,In seeing,84
29,4,Rural,Age not stated, KARNATAKA, Gulbarga,Male,In seeing,21
29,4,Urban,0-4, KARNATAKA, Gulbarga,Male,In seeing,257
29,4,Urban,5-9, KARNATAKA, Gulbarga,Male,In seeing,372
29,4,Urban,10-19, KARNATAKA, Gulbarga,Male,In seeing,696
29,4,Urban,20-29, KARNATAKA, Gulbarga,Male,In seeing,838
29,4,Urban,30-39, KARNATAKA, Gulbarga,Male,In seeing,1395
29,4,Urban,40-49, KARNATAKA, Gulbarga,Male,In seeing,1478
29,4,Urban,50-59, KARNATAKA, Gulbarga,Male,In seeing,924
29,4,Urban,60-69, KARNATAKA, Gulbarga,Male,In seeing,582
29,4,Urban,70-79, KARNATAKA, Gulbarga,Male,In seeing,243
29,4,Urban,80-89, KARNATAKA, Gulbarga,Male,In seeing,74
29,4,Urban,90+, KARNATAKA, Gulbarga,Male,In seeing,32
29,4,Urban,Age not stated, KARNATAKA, Gulbarga,Male,In seeing,10
29,5,Rural,0-4, KARNATAKA, Bidar,Male,In seeing,379
29,5,Rural,5-9, KARNATAKA, Bidar,Male,In seeing,607
29,5,Rural,10-19, KARNATAKA, Bidar,Male,In seeing,1101
29,5,Rural,20-29, KARNATAKA, Bidar,Male,In seeing,628
29,5,Rural,30-39, KARNATAKA, Bidar,Male,In seeing,622
29,5,Rural,40-49, KARNATAKA, Bidar,Male,In seeing,586
29,5,Rural,50-59, KARNATAKA, Bidar,Male,In seeing,573
29,5,Rural,60-69, KARNATAKA, Bidar,Male,In seeing,543
29,5,Rural,70-79, KARNATAKA, Bidar,Male,In seeing,372
29,5,Rural,80-89, KARNATAKA, Bidar,Male,In seeing,209
29,5,Rural,90+, KARNATAKA, Bidar,Male,In seeing,66
29,5,Rural,Age not stated, KARNATAKA, Bidar,Male,In seeing,11
29,5,Urban,0-4, KARNATAKA, Bidar,Male,In seeing,93
29,5,Urban,5-9, KARNATAKA, Bidar,Male,In seeing,123
29,5,Urban,10-19, KARNATAKA, Bidar,Male,In seeing,280
29,5,Urban,20-29, KARNATAKA, Bidar,Male,In seeing,171
29,5,Urban,30-39, KARNATAKA, Bidar,Male,In seeing,150
29,5,Urban,40-49, KARNATAKA, Bidar,Male,In seeing,123
29,5,Urban,50-59, KARNATAKA, Bidar,Male,In seeing,93
29,5,Urban,60-69, KARNATAKA, Bidar,Male,In seeing,63
29,5,Urban,70-79, KARNATAKA, Bidar,Male,In seeing,39
29,5,Urban,80-89, KARNATAKA, Bidar,Male,In seeing,15
29,5,Urban,90+, KARNATAKA, Bidar,Male,In seeing,6
29,5,Urban,Age not stated, KARNATAKA, Bidar,Male,In seeing,0
29,6,Rural,0-4, KARNATAKA, Raichur,Male,In seeing,250
29,6,Rural,5-9, KARNATAKA, Raichur,Male,In seeing,356
29,6,Rural,10-19, KARNATAKA, Raichur,Male,In seeing,646
29,6,Rural,20-29, KARNATAKA, Raichur,Male,In seeing,357
29,6,Rural,30-39, KARNATAKA, Raichur,Male,In seeing,400
29,6,Rural,40-49, KARNATAKA, Raichur,Male,In seeing,371
29,6,Rural,50-59, KARNATAKA, Raichur,Male,In seeing,310
29,6,Rural,60-69, KARNATAKA, Raichur,Male,In seeing,336
29,6,Rural,70-79, KARNATAKA, Raichur,Male,In seeing,243
29,6,Rural,80-89, KARNATAKA, Raichur,Male,In seeing,74
29,6,Rural,90+, KARNATAKA, Raichur,Male,In seeing,14
29,6,Rural,Age not stated, KARNATAKA, Raichur,Male,In seeing,6
29,6,Urban,0-4, KARNATAKA, Raichur,Male,In seeing,217
29,6,Urban,5-9, KARNATAKA, Raichur,Male,In seeing,257
29,6,Urban,10-19, KARNATAKA, Raichur,Male,In seeing,512
29,6,Urban,20-29, KARNATAKA, Raichur,Male,In seeing,356
29,6,Urban,30-39, KARNATAKA, Raichur,Male,In seeing,333
29,6,Urban,40-49, KARNATAKA, Raichur,Male,In seeing,307
29,6,Urban,50-59, KARNATAKA, Raichur,Male,In seeing,167
29,6,Urban,60-69, KARNATAKA, Raichur,Male,In seeing,105
29,6,Urban,70-79, KARNATAKA, Raichur,Male,In seeing,54
29,6,Urban,80-89, KARNATAKA, Raichur,Male,In seeing,15
29,6,Urban,90+, KARNATAKA, Raichur,Male,In seeing,4
29,6,Urban,Age not stated, KARNATAKA, Raichur,Male,In seeing,3
29,7,Rural,0-4, KARNATAKA, Koppal *,Male,In seeing,318
29,7,Rural,5-9, KARNATAKA, Koppal *,Male,In seeing,370
29,7,Rural,10-19, KARNATAKA, Koppal *,Male,In seeing,534
29,7,Rural,20-29, KARNATAKA, Koppal *,Male,In seeing,400
29,7,Rural,30-39, KARNATAKA, Koppal *,Male,In seeing,470
29,7,Rural,40-49, KARNATAKA, Koppal *,Male,In seeing,473
29,7,Rural,50-59, KARNATAKA, Koppal *,Male,In seeing,361
29,7,Rural,60-69, KARNATAKA, Koppal *,Male,In seeing,316
29,7,Rural,70-79, KARNATAKA, Koppal *,Male,In seeing,200
29,7,Rural,80-89, KARNATAKA, Koppal *,Male,In seeing,84
29,7,Rural,90+, KARNATAKA, Koppal *,Male,In seeing,10
29,7,Rural,Age not stated, KARNATAKA, Koppal *,Male,In seeing,9
