State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
31,1,Rural,0-4, LAKSHADWEEP, Lakshadweep,Male,In seeing,14
31,1,Rural,5-9, LAKSHADWEEP, Lakshadweep,Male,In seeing,17
31,1,Rural,10-19, LAKSHADWEEP, Lakshadweep,Male,In seeing,31
31,1,Rural,20-29, LAKSHADWEEP, Lakshadweep,Male,In seeing,28
31,1,Rural,30-39, LAKSHADWEEP, Lakshadweep,Male,In seeing,19
31,1,Rural,40-49, LAKSHADWEEP, Lakshadweep,Male,In seeing,29
31,1,Rural,50-59, LAKSHADWEEP, Lakshadweep,Male,In seeing,20
31,1,Rural,60-69, LAKSHADWEEP, Lakshadweep,Male,In seeing,10
31,1,Rural,70-79, LAKSHADWEEP, Lakshadweep,Male,In seeing,10
31,1,Rural,80-89, LAKSHADWEEP, Lakshadweep,Male,In seeing,2
31,1,Rural,90+, LAKSHADWEEP, Lakshadweep,Male,In seeing,3
31,1,Rural,Age not stated, LAKSHADWEEP, Lakshadweep,Male,In seeing,0
31,1,Urban,0-4, LAKSHADWEEP, Lakshadweep,Male,In seeing,11
31,1,Urban,5-9, LAKSHADWEEP, Lakshadweep,Male,In seeing,4
31,1,Urban,10-19, LAKSHADWEEP, Lakshadweep,Male,In seeing,18
31,1,Urban,20-29, LAKSHADWEEP, Lakshadweep,Male,In seeing,17
31,1,Urban,30-39, LAKSHADWEEP, Lakshadweep,Male,In seeing,13
31,1,Urban,40-49, LAKSHADWEEP, Lakshadweep,Male,In seeing,15
31,1,Urban,50-59, LAKSHADWEEP, Lakshadweep,Male,In seeing,8
31,1,Urban,60-69, LAKSHADWEEP, Lakshadweep,Male,In seeing,12
31,1,Urban,70-79, LAKSHADWEEP, Lakshadweep,Male,In seeing,9
31,1,Urban,80-89, LAKSHADWEEP, Lakshadweep,Male,In seeing,4
31,1,Urban,90+, LAKSHADWEEP, Lakshadweep,Male,In seeing,0
31,1,Urban,Age not stated, LAKSHADWEEP, Lakshadweep,Male,In seeing,1
31,1,Rural,0-4, LAKSHADWEEP, Lakshadweep,Female,In seeing,11
31,1,Rural,5-9, LAKSHADWEEP, Lakshadweep,Female,In seeing,17
31,1,Rural,10-19, LAKSHADWEEP, Lakshadweep,Female,In seeing,38
31,1,Rural,20-29, LAKSHADWEEP, Lakshadweep,Female,In seeing,23
31,1,Rural,30-39, LAKSHADWEEP, Lakshadweep,Female,In seeing,25
31,1,Rural,40-49, LAKSHADWEEP, Lakshadweep,Female,In seeing,23
31,1,Rural,50-59, LAKSHADWEEP, Lakshadweep,Female,In seeing,12
31,1,Rural,60-69, LAKSHADWEEP, Lakshadweep,Female,In seeing,22
31,1,Rural,70-79, LAKSHADWEEP, Lakshadweep,Female,In seeing,11
31,1,Rural,80-89, LAKSHADWEEP, Lakshadweep,Female,In seeing,3
31,1,Rural,90+, LAKSHADWEEP, Lakshadweep,Female,In seeing,1
31,1,Rural,Age not stated, LAKSHADWEEP, Lakshadweep,Female,In seeing,0
31,1,Urban,0-4, LAKSHADWEEP, Lakshadweep,Female,In seeing,6
31,1,Urban,5-9, LAKSHADWEEP, Lakshadweep,Female,In seeing,10
31,1,Urban,10-19, LAKSHADWEEP, Lakshadweep,Female,In seeing,19
31,1,Urban,20-29, LAKSHADWEEP, Lakshadweep,Female,In seeing,14
31,1,Urban,30-39, LAKSHADWEEP, Lakshadweep,Female,In seeing,12
31,1,Urban,40-49, LAKSHADWEEP, Lakshadweep,Female,In seeing,17
31,1,Urban,50-59, LAKSHADWEEP, Lakshadweep,Female,In seeing,11
31,1,Urban,60-69, LAKSHADWEEP, Lakshadweep,Female,In seeing,19
31,1,Urban,70-79, LAKSHADWEEP, Lakshadweep,Female,In seeing,9
31,1,Urban,80-89, LAKSHADWEEP, Lakshadweep,Female,In seeing,3
31,1,Urban,90+, LAKSHADWEEP, Lakshadweep,Female,In seeing,2
31,1,Urban,Age not stated, LAKSHADWEEP, Lakshadweep,Female,In seeing,0
31,1,Rural,0-4, LAKSHADWEEP, Lakshadweep,Male,In speech,2
31,1,Rural,5-9, LAKSHADWEEP, Lakshadweep,Male,In speech,17
31,1,Rural,10-19, LAKSHADWEEP, Lakshadweep,Male,In speech,21
31,1,Rural,20-29, LAKSHADWEEP, Lakshadweep,Male,In speech,15
31,1,Rural,30-39, LAKSHADWEEP, Lakshadweep,Male,In speech,3
31,1,Rural,40-49, LAKSHADWEEP, Lakshadweep,Male,In speech,5
31,1,Rural,50-59, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,60-69, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,70-79, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,80-89, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,90+, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,Age not stated, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Urban,0-4, LAKSHADWEEP, Lakshadweep,Male,In speech,4
31,1,Urban,5-9, LAKSHADWEEP, Lakshadweep,Male,In speech,11
31,1,Urban,10-19, LAKSHADWEEP, Lakshadweep,Male,In speech,16
31,1,Urban,20-29, LAKSHADWEEP, Lakshadweep,Male,In speech,17
31,1,Urban,30-39, LAKSHADWEEP, Lakshadweep,Male,In speech,7
31,1,Urban,40-49, LAKSHADWEEP, Lakshadweep,Male,In speech,4
31,1,Urban,50-59, LAKSHADWEEP, Lakshadweep,Male,In speech,3
31,1,Urban,60-69, LAKSHADWEEP, Lakshadweep,Male,In speech,2
31,1,Urban,70-79, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Urban,80-89, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Urban,90+, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Urban,Age not stated, LAKSHADWEEP, Lakshadweep,Male,In speech,0
31,1,Rural,0-4, LAKSHADWEEP, Lakshadweep,Female,In speech,1
31,1,Rural,5-9, LAKSHADWEEP, Lakshadweep,Female,In speech,8
31,1,Rural,10-19, LAKSHADWEEP, Lakshadweep,Female,In speech,15
31,1,Rural,20-29, LAKSHADWEEP, Lakshadweep,Female,In speech,7
31,1,Rural,30-39, LAKSHADWEEP, Lakshadweep,Female,In speech,7
31,1,Rural,40-49, LAKSHADWEEP, Lakshadweep,Female,In speech,2
31,1,Rural,50-59, LAKSHADWEEP, Lakshadweep,Female,In speech,2
31,1,Rural,60-69, LAKSHADWEEP, Lakshadweep,Female,In speech,0
31,1,Rural,70-79, LAKSHADWEEP, Lakshadweep,Female,In speech,0
31,1,Rural,80-89, LAKSHADWEEP, Lakshadweep,Female,In speech,0
