State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
23,1,Rural,0-4, MADHYA PRADESH, Sheopur *,Male,In seeing,306
23,1,Rural,5-9, MADHYA PRADESH, Sheopur *,Male,In seeing,349
23,1,Rural,10-19, MADHYA PRADESH, Sheopur *,Male,In seeing,582
23,1,Rural,20-29, MADHYA PRADESH, Sheopur *,Male,In seeing,518
23,1,Rural,30-39, MADHYA PRADESH, Sheopur *,Male,In seeing,533
23,1,Rural,40-49, MADHYA PRADESH, Sheopur *,Male,In seeing,401
23,1,Rural,50-59, MADHYA PRADESH, Sheopur *,Male,In seeing,327
23,1,Rural,60-69, MADHYA PRADESH, Sheopur *,Male,In seeing,318
23,1,Rural,70-79, MADHYA PRADESH, Sheopur *,Male,In seeing,198
23,1,Rural,80-89, MADHYA PRADESH, Sheopur *,Male,In seeing,62
23,1,Rural,90+, MADHYA PRADESH, Sheopur *,Male,In seeing,18
23,1,Rural,Age not stated, MADHYA PRADESH, Sheopur *,Male,In seeing,25
23,1,Urban,0-4, MADHYA PRADESH, Sheopur *,Male,In seeing,61
23,1,Urban,5-9, MADHYA PRADESH, Sheopur *,Male,In seeing,75
23,1,Urban,10-19, MADHYA PRADESH, Sheopur *,Male,In seeing,165
23,1,Urban,20-29, MADHYA PRADESH, Sheopur *,Male,In seeing,116
23,1,Urban,30-39, MADHYA PRADESH, Sheopur *,Male,In seeing,128
23,1,Urban,40-49, MADHYA PRADESH, Sheopur *,Male,In seeing,97
23,1,Urban,50-59, MADHYA PRADESH, Sheopur *,Male,In seeing,64
23,1,Urban,60-69, MADHYA PRADESH, Sheopur *,Male,In seeing,57
23,1,Urban,70-79, MADHYA PRADESH, Sheopur *,Male,In seeing,36
23,1,Urban,80-89, MADHYA PRADESH, Sheopur *,Male,In seeing,11
23,1,Urban,90+, MADHYA PRADESH, Sheopur *,Male,In seeing,1
23,1,Urban,Age not stated, MADHYA PRADESH, Sheopur *,Male,In seeing,3
23,2,Rural,0-4, MADHYA PRADESH, Morena,Male,In seeing,868
23,2,Rural,5-9, MADHYA PRADESH, Morena,Male,In seeing,1010
23,2,Rural,10-19, MADHYA PRADESH, Morena,Male,In seeing,1858
23,2,Rural,20-29, MADHYA PRADESH, Morena,Male,In seeing,1370
23,2,Rural,30-39, MADHYA PRADESH, Morena,Male,In seeing,1227
23,2,Rural,40-49, MADHYA PRADESH, Morena,Male,In seeing,1029
23,2,Rural,50-59, MADHYA PRADESH, Morena,Male,In seeing,883
23,2,Rural,60-69, MADHYA PRADESH, Morena,Male,In seeing,773
23,2,Rural,70-79, MADHYA PRADESH, Morena,Male,In seeing,535
23,2,Rural,80-89, MADHYA PRADESH, Morena,Male,In seeing,178
23,2,Rural,90+, MADHYA PRADESH, Morena,Male,In seeing,45
23,2,Rural,Age not stated, MADHYA PRADESH, Morena,Male,In seeing,29
23,2,Urban,0-4, MADHYA PRADESH, Morena,Male,In seeing,127
23,2,Urban,5-9, MADHYA PRADESH, Morena,Male,In seeing,165
23,2,Urban,10-19, MADHYA PRADESH, Morena,Male,In seeing,354
23,2,Urban,20-29, MADHYA PRADESH, Morena,Male,In seeing,231
23,2,Urban,30-39, MADHYA PRADESH, Morena,Male,In seeing,229
23,2,Urban,40-49, MADHYA PRADESH, Morena,Male,In seeing,232
23,2,Urban,50-59, MADHYA PRADESH, Morena,Male,In seeing,125
23,2,Urban,60-69, MADHYA PRADESH, Morena,Male,In seeing,105
23,2,Urban,70-79, MADHYA PRADESH, Morena,Male,In seeing,62
23,2,Urban,80-89, MADHYA PRADESH, Morena,Male,In seeing,22
23,2,Urban,90+, MADHYA PRADESH, Morena,Male,In seeing,3
23,2,Urban,Age not stated, MADHYA PRADESH, Morena,Male,In seeing,4
23,3,Rural,0-4, MADHYA PRADESH, Bhind,Male,In seeing,496
23,3,Rural,5-9, MADHYA PRADESH, Bhind,Male,In seeing,594
