State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
27,1,Rural,0-4, MAHARASHTRA,Nandurbar ,Male,In seeing,680
27,1,Rural,5-9, MAHARASHTRA,Nandurbar ,Male,In seeing,683
27,1,Rural,10-19, MAHARASHTRA,Nandurbar ,Male,In seeing,1236
27,1,Rural,20-29, MAHARASHTRA,Nandurbar ,Male,In seeing,825
27,1,Rural,30-39, MAHARASHTRA,Nandurbar ,Male,In seeing,964
27,1,Rural,40-49, MAHARASHTRA,Nandurbar ,Male,In seeing,727
27,1,Rural,50-59, MAHARASHTRA,Nandurbar ,Male,In seeing,455
27,1,Rural,60-69, MAHARASHTRA,Nandurbar ,Male,In seeing,443
27,1,Rural,70-79, MAHARASHTRA,Nandurbar ,Male,In seeing,228
27,1,Rural,80-89, MAHARASHTRA,Nandurbar ,Male,In seeing,60
27,1,Rural,90+, MAHARASHTRA,Nandurbar ,Male,In seeing,17
27,1,Rural,Age not stated, MAHARASHTRA,Nandurbar ,Male,In seeing,7
27,1,Urban,0-4, MAHARASHTRA,Nandurbar ,Male,In seeing,61
27,1,Urban,5-9, MAHARASHTRA,Nandurbar ,Male,In seeing,66
27,1,Urban,10-19, MAHARASHTRA,Nandurbar ,Male,In seeing,132
27,1,Urban,20-29, MAHARASHTRA,Nandurbar ,Male,In seeing,120
27,1,Urban,30-39, MAHARASHTRA,Nandurbar ,Male,In seeing,123
27,1,Urban,40-49, MAHARASHTRA,Nandurbar ,Male,In seeing,95
27,1,Urban,50-59, MAHARASHTRA,Nandurbar ,Male,In seeing,65
27,1,Urban,60-69, MAHARASHTRA,Nandurbar ,Male,In seeing,45
27,1,Urban,70-79, MAHARASHTRA,Nandurbar ,Male,In seeing,25
27,1,Urban,80-89, MAHARASHTRA,Nandurbar ,Male,In seeing,3
27,1,Urban,90+, MAHARASHTRA,Nandurbar ,Male,In seeing,1
27,1,Urban,Age not stated, MAHARASHTRA,Nandurbar ,Male,In seeing,0
27,2,Rural,0-4, MAHARASHTRA,Dhule ,Male,In seeing,307
27,2,Rural,5-9, MAHARASHTRA,Dhule ,Male,In seeing,346
27,2,Rural,10-19, MAHARASHTRA,Dhule ,Male,In seeing,737
27,2,Rural,20-29, MAHARASHTRA,Dhule ,Male,In seeing,496
27,2,Rural,30-39, MAHARASHTRA,Dhule ,Male,In seeing,523
27,2,Rural,40-49, MAHARASHTRA,Dhule ,Male,In seeing,500
27,2,Rural,50-59, MAHARASHTRA,Dhule ,Male,In seeing,343
27,2,Rural,60-69, MAHARASHTRA,Dhule ,Male,In seeing,429
27,2,Rural,70-79, MAHARASHTRA,Dhule ,Male,In seeing,323
27,2,Rural,80-89, MAHARASHTRA,Dhule ,Male,In seeing,64
27,2,Rural,90+, MAHARASHTRA,Dhule ,Male,In seeing,27
27,2,Rural,Age not stated, MAHARASHTRA,Dhule ,Male,In seeing,5
27,2,Urban,0-4, MAHARASHTRA,Dhule ,Male,In seeing,71
