State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
14,1,Rural,0-4, MANIPUR, Senapati,Male,In seeing,34
14,1,Rural,5-9, MANIPUR, Senapati,Male,In seeing,46
14,1,Rural,10-19, MANIPUR, Senapati,Male,In seeing,79
14,1,Rural,20-29, MANIPUR, Senapati,Male,In seeing,78
14,1,Rural,30-39, MANIPUR, Senapati,Male,In seeing,54
14,1,Rural,40-49, MANIPUR, Senapati,Male,In seeing,44
14,1,Rural,50-59, MANIPUR, Senapati,Male,In seeing,32
14,1,Rural,60-69, MANIPUR, Senapati,Male,In seeing,33
14,1,Rural,70-79, MANIPUR, Senapati,Male,In seeing,17
14,1,Rural,80-89, MANIPUR, Senapati,Male,In seeing,4
14,1,Rural,90+, MANIPUR, Senapati,Male,In seeing,0
14,1,Rural,Age not stated, MANIPUR, Senapati,Male,In seeing,2
14,1,Urban,0-4, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,5-9, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,10-19, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,20-29, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,30-39, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,40-49, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,50-59, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,60-69, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,70-79, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,80-89, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,90+, MANIPUR, Senapati,Male,In seeing,0
14,1,Urban,Age not stated, MANIPUR, Senapati,Male,In seeing,0
14,2,Rural,0-4, MANIPUR, Tamenglong,Male,In seeing,16
14,2,Rural,5-9, MANIPUR, Tamenglong,Male,In seeing,21
14,2,Rural,10-19, MANIPUR, Tamenglong,Male,In seeing,64
14,2,Rural,20-29, MANIPUR, Tamenglong,Male,In seeing,61
14,2,Rural,30-39, MANIPUR, Tamenglong,Male,In seeing,44
14,2,Rural,40-49, MANIPUR, Tamenglong,Male,In seeing,29
14,2,Rural,50-59, MANIPUR, Tamenglong,Male,In seeing,23
14,2,Rural,60-69, MANIPUR, Tamenglong,Male,In seeing,10
14,2,Rural,70-79, MANIPUR, Tamenglong,Male,In seeing,18
14,2,Rural,80-89, MANIPUR, Tamenglong,Male,In seeing,14
14,2,Rural,90+, MANIPUR, Tamenglong,Male,In seeing,4
14,2,Rural,Age not stated, MANIPUR, Tamenglong,Male,In seeing,6
14,2,Urban,0-4, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,5-9, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,10-19, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,20-29, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,30-39, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,40-49, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,50-59, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,60-69, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,70-79, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,80-89, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,90+, MANIPUR, Tamenglong,Male,In seeing,0
14,2,Urban,Age not stated, MANIPUR, Tamenglong,Male,In seeing,0
14,3,Rural,0-4, MANIPUR, Churachandpur,Male,In seeing,53
14,3,Rural,5-9, MANIPUR, Churachandpur,Male,In seeing,73
14,3,Rural,10-19, MANIPUR, Churachandpur,Male,In seeing,145
14,3,Rural,20-29, MANIPUR, Churachandpur,Male,In seeing,97
14,3,Rural,30-39, MANIPUR, Churachandpur,Male,In seeing,107
14,3,Rural,40-49, MANIPUR, Churachandpur,Male,In seeing,73
14,3,Rural,50-59, MANIPUR, Churachandpur,Male,In seeing,58
14,3,Rural,60-69, MANIPUR, Churachandpur,Male,In seeing,53
14,3,Rural,70-79, MANIPUR, Churachandpur,Male,In seeing,29
14,3,Rural,80-89, MANIPUR, Churachandpur,Male,In seeing,8
14,3,Rural,90+, MANIPUR, Churachandpur,Male,In seeing,4
14,3,Rural,Age not stated, MANIPUR, Churachandpur,Male,In seeing,2
14,3,Urban,0-4, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,5-9, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,10-19, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,20-29, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,30-39, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,40-49, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,50-59, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,60-69, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,70-79, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,80-89, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,90+, MANIPUR, Churachandpur,Male,In seeing,0
14,3,Urban,Age not stated, MANIPUR, Churachandpur,Male,In seeing,0
14,4,Rural,0-4, MANIPUR, Bishnupur,Male,In seeing,30
14,4,Rural,5-9, MANIPUR, Bishnupur,Male,In seeing,44
14,4,Rural,10-19, MANIPUR, Bishnupur,Male,In seeing,74
14,4,Rural,20-29, MANIPUR, Bishnupur,Male,In seeing,62
14,4,Rural,30-39, MANIPUR, Bishnupur,Male,In seeing,53
14,4,Rural,40-49, MANIPUR, Bishnupur,Male,In seeing,83
14,4,Rural,50-59, MANIPUR, Bishnupur,Male,In seeing,68
14,4,Rural,60-69, MANIPUR, Bishnupur,Male,In seeing,64
14,4,Rural,70-79, MANIPUR, Bishnupur,Male,In seeing,44
14,4,Rural,80-89, MANIPUR, Bishnupur,Male,In seeing,23
14,4,Rural,90+, MANIPUR, Bishnupur,Male,In seeing,4
14,4,Rural,Age not stated, MANIPUR, Bishnupur,Male,In seeing,2
14,4,Urban,0-4, MANIPUR, Bishnupur,Male,In seeing,12
14,4,Urban,5-9, MANIPUR, Bishnupur,Male,In seeing,10
14,4,Urban,10-19, MANIPUR, Bishnupur,Male,In seeing,35
14,4,Urban,20-29, MANIPUR, Bishnupur,Male,In seeing,22
14,4,Urban,30-39, MANIPUR, Bishnupur,Male,In seeing,27
14,4,Urban,40-49, MANIPUR, Bishnupur,Male,In seeing,30
14,4,Urban,50-59, MANIPUR, Bishnupur,Male,In seeing,24
14,4,Urban,60-69, MANIPUR, Bishnupur,Male,In seeing,27
14,4,Urban,70-79, MANIPUR, Bishnupur,Male,In seeing,39
14,4,Urban,80-89, MANIPUR, Bishnupur,Male,In seeing,10
14,4,Urban,90+, MANIPUR, Bishnupur,Male,In seeing,4
14,4,Urban,Age not stated, MANIPUR, Bishnupur,Male,In seeing,5
14,5,Rural,0-4, MANIPUR, Thoubal,Male,In seeing,39
14,5,Rural,5-9, MANIPUR, Thoubal,Male,In seeing,47
14,5,Rural,10-19, MANIPUR, Thoubal,Male,In seeing,76
14,5,Rural,20-29, MANIPUR, Thoubal,Male,In seeing,67
14,5,Rural,30-39, MANIPUR, Thoubal,Male,In seeing,87
14,5,Rural,40-49, MANIPUR, Thoubal,Male,In seeing,70
14,5,Rural,50-59, MANIPUR, Thoubal,Male,In seeing,59
14,5,Rural,60-69, MANIPUR, Thoubal,Male,In seeing,78
14,5,Rural,70-79, MANIPUR, Thoubal,Male,In seeing,68
14,5,Rural,80-89, MANIPUR, Thoubal,Male,In seeing,25
14,5,Rural,90+, MANIPUR, Thoubal,Male,In seeing,5
14,5,Rural,Age not stated, MANIPUR, Thoubal,Male,In seeing,2
14,5,Urban,0-4, MANIPUR, Thoubal,Male,In seeing,27
14,5,Urban,5-9, MANIPUR, Thoubal,Male,In seeing,24
14,5,Urban,10-19, MANIPUR, Thoubal,Male,In seeing,43
14,5,Urban,20-29, MANIPUR, Thoubal,Male,In seeing,45
14,5,Urban,30-39, MANIPUR, Thoubal,Male,In seeing,62
14,5,Urban,40-49, MANIPUR, Thoubal,Male,In seeing,48
14,5,Urban,50-59, MANIPUR, Thoubal,Male,In seeing,37
14,5,Urban,60-69, MANIPUR, Thoubal,Male,In seeing,34
14,5,Urban,70-79, MANIPUR, Thoubal,Male,In seeing,20
14,5,Urban,80-89, MANIPUR, Thoubal,Male,In seeing,8
14,5,Urban,90+, MANIPUR, Thoubal,Male,In seeing,3
14,5,Urban,Age not stated, MANIPUR, Thoubal,Male,In seeing,0
14,6,Rural,0-4, MANIPUR, Imphal West,Male,In seeing,43
14,6,Rural,5-9, MANIPUR, Imphal West,Male,In seeing,38
14,6,Rural,10-19, MANIPUR, Imphal West,Male,In seeing,91
14,6,Rural,20-29, MANIPUR, Imphal West,Male,In seeing,86
14,6,Rural,30-39, MANIPUR, Imphal West,Male,In seeing,101
14,6,Rural,40-49, MANIPUR, Imphal West,Male,In seeing,88
14,6,Rural,50-59, MANIPUR, Imphal West,Male,In seeing,59
14,6,Rural,60-69, MANIPUR, Imphal West,Male,In seeing,52
14,6,Rural,70-79, MANIPUR, Imphal West,Male,In seeing,32
14,6,Rural,80-89, MANIPUR, Imphal West,Male,In seeing,14
14,6,Rural,90+, MANIPUR, Imphal West,Male,In seeing,3
14,6,Rural,Age not stated, MANIPUR, Imphal West,Male,In seeing,0
14,6,Urban,0-4, MANIPUR, Imphal West,Male,In seeing,37
14,6,Urban,5-9, MANIPUR, Imphal West,Male,In seeing,26
