State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
17,1,Rural,0-4, MEGHALAYA, West Garo Hills,Male,In seeing,107
17,1,Rural,5-9, MEGHALAYA, West Garo Hills,Male,In seeing,82
17,1,Rural,10-19, MEGHALAYA, West Garo Hills,Male,In seeing,179
17,1,Rural,20-29, MEGHALAYA, West Garo Hills,Male,In seeing,158
17,1,Rural,30-39, MEGHALAYA, West Garo Hills,Male,In seeing,192
17,1,Rural,40-49, MEGHALAYA, West Garo Hills,Male,In seeing,195
17,1,Rural,50-59, MEGHALAYA, West Garo Hills,Male,In seeing,125
17,1,Rural,60-69, MEGHALAYA, West Garo Hills,Male,In seeing,106
17,1,Rural,70-79, MEGHALAYA, West Garo Hills,Male,In seeing,70
17,1,Rural,80-89, MEGHALAYA, West Garo Hills,Male,In seeing,40
17,1,Rural,90+, MEGHALAYA, West Garo Hills,Male,In seeing,8
17,1,Rural,Age not stated, MEGHALAYA, West Garo Hills,Male,In seeing,3
17,1,Urban,0-4, MEGHALAYA, West Garo Hills,Male,In seeing,6
17,1,Urban,5-9, MEGHALAYA, West Garo Hills,Male,In seeing,8
17,1,Urban,10-19, MEGHALAYA, West Garo Hills,Male,In seeing,22
17,1,Urban,20-29, MEGHALAYA, West Garo Hills,Male,In seeing,28
17,1,Urban,30-39, MEGHALAYA, West Garo Hills,Male,In seeing,50
17,1,Urban,40-49, MEGHALAYA, West Garo Hills,Male,In seeing,55
17,1,Urban,50-59, MEGHALAYA, West Garo Hills,Male,In seeing,34
17,1,Urban,60-69, MEGHALAYA, West Garo Hills,Male,In seeing,18
17,1,Urban,70-79, MEGHALAYA, West Garo Hills,Male,In seeing,12
17,1,Urban,80-89, MEGHALAYA, West Garo Hills,Male,In seeing,1
17,1,Urban,90+, MEGHALAYA, West Garo Hills,Male,In seeing,1
17,1,Urban,Age not stated, MEGHALAYA, West Garo Hills,Male,In seeing,0
17,2,Rural,0-4, MEGHALAYA, East Garo Hills,Male,In seeing,47
17,2,Rural,5-9, MEGHALAYA, East Garo Hills,Male,In seeing,54
17,2,Rural,10-19, MEGHALAYA, East Garo Hills,Male,In seeing,73
17,2,Rural,20-29, MEGHALAYA, East Garo Hills,Male,In seeing,86
17,2,Rural,30-39, MEGHALAYA, East Garo Hills,Male,In seeing,70
17,2,Rural,40-49, MEGHALAYA, East Garo Hills,Male,In seeing,68
17,2,Rural,50-59, MEGHALAYA, East Garo Hills,Male,In seeing,57
17,2,Rural,60-69, MEGHALAYA, East Garo Hills,Male,In seeing,49
17,2,Rural,70-79, MEGHALAYA, East Garo Hills,Male,In seeing,40
17,2,Rural,80-89, MEGHALAYA, East Garo Hills,Male,In seeing,7
