State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
15,1,Rural,0-4, MIZORAM, Mamit *,Male,In seeing,10
15,1,Rural,5-9, MIZORAM, Mamit *,Male,In seeing,14
15,1,Rural,10-19, MIZORAM, Mamit *,Male,In seeing,26
15,1,Rural,20-29, MIZORAM, Mamit *,Male,In seeing,23
15,1,Rural,30-39, MIZORAM, Mamit *,Male,In seeing,13
15,1,Rural,40-49, MIZORAM, Mamit *,Male,In seeing,12
15,1,Rural,50-59, MIZORAM, Mamit *,Male,In seeing,6
15,1,Rural,60-69, MIZORAM, Mamit *,Male,In seeing,9
15,1,Rural,70-79, MIZORAM, Mamit *,Male,In seeing,7
15,1,Rural,80-89, MIZORAM, Mamit *,Male,In seeing,1
15,1,Rural,90+, MIZORAM, Mamit *,Male,In seeing,0
15,1,Rural,Age not stated, MIZORAM, Mamit *,Male,In seeing,0
15,1,Urban,0-4, MIZORAM, Mamit *,Male,In seeing,4
15,1,Urban,5-9, MIZORAM, Mamit *,Male,In seeing,3
15,1,Urban,10-19, MIZORAM, Mamit *,Male,In seeing,6
15,1,Urban,20-29, MIZORAM, Mamit *,Male,In seeing,5
15,1,Urban,30-39, MIZORAM, Mamit *,Male,In seeing,7
15,1,Urban,40-49, MIZORAM, Mamit *,Male,In seeing,8
15,1,Urban,50-59, MIZORAM, Mamit *,Male,In seeing,3
15,1,Urban,60-69, MIZORAM, Mamit *,Male,In seeing,1
15,1,Urban,70-79, MIZORAM, Mamit *,Male,In seeing,0
15,1,Urban,80-89, MIZORAM, Mamit *,Male,In seeing,2
15,1,Urban,90+, MIZORAM, Mamit *,Male,In seeing,0
15,1,Urban,Age not stated, MIZORAM, Mamit *,Male,In seeing,0
15,2,Rural,0-4, MIZORAM, Kolasib *,Male,In seeing,15
15,2,Rural,5-9, MIZORAM, Kolasib *,Male,In seeing,11
15,2,Rural,10-19, MIZORAM, Kolasib *,Male,In seeing,20
15,2,Rural,20-29, MIZORAM, Kolasib *,Male,In seeing,30
15,2,Rural,30-39, MIZORAM, Kolasib *,Male,In seeing,13
15,2,Rural,40-49, MIZORAM, Kolasib *,Male,In seeing,17
15,2,Rural,50-59, MIZORAM, Kolasib *,Male,In seeing,8
15,2,Rural,60-69, MIZORAM, Kolasib *,Male,In seeing,6
15,2,Rural,70-79, MIZORAM, Kolasib *,Male,In seeing,6
15,2,Rural,80-89, MIZORAM, Kolasib *,Male,In seeing,1
15,2,Rural,90+, MIZORAM, Kolasib *,Male,In seeing,1
15,2,Rural,Age not stated, MIZORAM, Kolasib *,Male,In seeing,0
15,2,Urban,0-4, MIZORAM, Kolasib *,Male,In seeing,13
15,2,Urban,5-9, MIZORAM, Kolasib *,Male,In seeing,11
15,2,Urban,10-19, MIZORAM, Kolasib *,Male,In seeing,47
15,2,Urban,20-29, MIZORAM, Kolasib *,Male,In seeing,41
15,2,Urban,30-39, MIZORAM, Kolasib *,Male,In seeing,24
15,2,Urban,40-49, MIZORAM, Kolasib *,Male,In seeing,24
15,2,Urban,50-59, MIZORAM, Kolasib *,Male,In seeing,12
15,2,Urban,60-69, MIZORAM, Kolasib *,Male,In seeing,11
15,2,Urban,70-79, MIZORAM, Kolasib *,Male,In seeing,7
15,2,Urban,80-89, MIZORAM, Kolasib *,Male,In seeing,1
