State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
13,1,Rural,0-4, NAGALAND, Mon,Male,In seeing,30
13,1,Rural,5-9, NAGALAND, Mon,Male,In seeing,52
13,1,Rural,10-19, NAGALAND, Mon,Male,In seeing,92
13,1,Rural,20-29, NAGALAND, Mon,Male,In seeing,87
13,1,Rural,30-39, NAGALAND, Mon,Male,In seeing,72
13,1,Rural,40-49, NAGALAND, Mon,Male,In seeing,58
13,1,Rural,50-59, NAGALAND, Mon,Male,In seeing,49
13,1,Rural,60-69, NAGALAND, Mon,Male,In seeing,73
13,1,Rural,70-79, NAGALAND, Mon,Male,In seeing,56
13,1,Rural,80-89, NAGALAND, Mon,Male,In seeing,56
13,1,Rural,90+, NAGALAND, Mon,Male,In seeing,20
13,1,Rural,Age not stated, NAGALAND, Mon,Male,In seeing,3
13,1,Urban,0-4, NAGALAND, Mon,Male,In seeing,2
13,1,Urban,5-9, NAGALAND, Mon,Male,In seeing,8
13,1,Urban,10-19, NAGALAND, Mon,Male,In seeing,12
13,1,Urban,20-29, NAGALAND, Mon,Male,In seeing,10
13,1,Urban,30-39, NAGALAND, Mon,Male,In seeing,13
13,1,Urban,40-49, NAGALAND, Mon,Male,In seeing,6
13,1,Urban,50-59, NAGALAND, Mon,Male,In seeing,5
13,1,Urban,60-69, NAGALAND, Mon,Male,In seeing,1
13,1,Urban,70-79, NAGALAND, Mon,Male,In seeing,0
13,1,Urban,80-89, NAGALAND, Mon,Male,In seeing,0
13,1,Urban,90+, NAGALAND, Mon,Male,In seeing,0
13,1,Urban,Age not stated, NAGALAND, Mon,Male,In seeing,0
13,2,Rural,0-4, NAGALAND, Tuensang,Male,In seeing,62
13,2,Rural,5-9, NAGALAND, Tuensang,Male,In seeing,117
13,2,Rural,10-19, NAGALAND, Tuensang,Male,In seeing,237
13,2,Rural,20-29, NAGALAND, Tuensang,Male,In seeing,179
13,2,Rural,30-39, NAGALAND, Tuensang,Male,In seeing,145
13,2,Rural,40-49, NAGALAND, Tuensang,Male,In seeing,135
13,2,Rural,50-59, NAGALAND, Tuensang,Male,In seeing,101
13,2,Rural,60-69, NAGALAND, Tuensang,Male,In seeing,90
13,2,Rural,70-79, NAGALAND, Tuensang,Male,In seeing,81
13,2,Rural,80-89, NAGALAND, Tuensang,Male,In seeing,52
13,2,Rural,90+, NAGALAND, Tuensang,Male,In seeing,27
13,2,Rural,Age not stated, NAGALAND, Tuensang,Male,In seeing,5
13,2,Urban,0-4, NAGALAND, Tuensang,Male,In seeing,2
13,2,Urban,5-9, NAGALAND, Tuensang,Male,In seeing,5
13,2,Urban,10-19, NAGALAND, Tuensang,Male,In seeing,11
