State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
21,1,Rural,0-4, ORISSA, Bargarh  *,Male,In seeing,598
21,1,Rural,5-9, ORISSA, Bargarh  *,Male,In seeing,749
21,1,Rural,10-19, ORISSA, Bargarh  *,Male,In seeing,1538
21,1,Rural,20-29, ORISSA, Bargarh  *,Male,In seeing,1406
21,1,Rural,30-39, ORISSA, Bargarh  *,Male,In seeing,1640
21,1,Rural,40-49, ORISSA, Bargarh  *,Male,In seeing,1463
21,1,Rural,50-59, ORISSA, Bargarh  *,Male,In seeing,1064
21,1,Rural,60-69, ORISSA, Bargarh  *,Male,In seeing,1232
21,1,Rural,70-79, ORISSA, Bargarh  *,Male,In seeing,764
21,1,Rural,80-89, ORISSA, Bargarh  *,Male,In seeing,305
21,1,Rural,90+, ORISSA, Bargarh  *,Male,In seeing,70
21,1,Rural,Age not stated, ORISSA, Bargarh  *,Male,In seeing,54
21,1,Urban,0-4, ORISSA, Bargarh  *,Male,In seeing,67
21,1,Urban,5-9, ORISSA, Bargarh  *,Male,In seeing,90
21,1,Urban,10-19, ORISSA, Bargarh  *,Male,In seeing,183
21,1,Urban,20-29, ORISSA, Bargarh  *,Male,In seeing,204
21,1,Urban,30-39, ORISSA, Bargarh  *,Male,In seeing,207
21,1,Urban,40-49, ORISSA, Bargarh  *,Male,In seeing,200
21,1,Urban,50-59, ORISSA, Bargarh  *,Male,In seeing,110
21,1,Urban,60-69, ORISSA, Bargarh  *,Male,In seeing,83
21,1,Urban,70-79, ORISSA, Bargarh  *,Male,In seeing,37
21,1,Urban,80-89, ORISSA, Bargarh  *,Male,In seeing,9
21,1,Urban,90+, ORISSA, Bargarh  *,Male,In seeing,1
21,1,Urban,Age not stated, ORISSA, Bargarh  *,Male,In seeing,6
21,2,Rural,0-4, ORISSA, Jharsuguda  *,Male,In seeing,190
21,2,Rural,5-9, ORISSA, Jharsuguda  *,Male,In seeing,246
21,2,Rural,10-19, ORISSA, Jharsuguda  *,Male,In seeing,539
21,2,Rural,20-29, ORISSA, Jharsuguda  *,Male,In seeing,377
21,2,Rural,30-39, ORISSA, Jharsuguda  *,Male,In seeing,310
21,2,Rural,40-49, ORISSA, Jharsuguda  *,Male,In seeing,283
21,2,Rural,50-59, ORISSA, Jharsuguda  *,Male,In seeing,222
21,2,Rural,60-69, ORISSA, Jharsuguda  *,Male,In seeing,299
21,2,Rural,70-79, ORISSA, Jharsuguda  *,Male,In seeing,251
21,2,Rural,80-89, ORISSA, Jharsuguda  *,Male,In seeing,97
21,2,Rural,90+, ORISSA, Jharsuguda  *,Male,In seeing,18
21,2,Rural,Age not stated, ORISSA, Jharsuguda  *,Male,In seeing,12
21,2,Urban,0-4, ORISSA, Jharsuguda  *,Male,In seeing,75
21,2,Urban,5-9, ORISSA, Jharsuguda  *,Male,In seeing,106
21,2,Urban,10-19, ORISSA, Jharsuguda  *,Male,In seeing,257
21,2,Urban,20-29, ORISSA, Jharsuguda  *,Male,In seeing,227
21,2,Urban,30-39, ORISSA, Jharsuguda  *,Male,In seeing,202
21,2,Urban,40-49, ORISSA, Jharsuguda  *,Male,In seeing,200
21,2,Urban,50-59, ORISSA, Jharsuguda  *,Male,In seeing,122
21,2,Urban,60-69, ORISSA, Jharsuguda  *,Male,In seeing,84
21,2,Urban,70-79, ORISSA, Jharsuguda  *,Male,In seeing,37
21,2,Urban,80-89, ORISSA, Jharsuguda  *,Male,In seeing,17
21,2,Urban,90+, ORISSA, Jharsuguda  *,Male,In seeing,2
21,2,Urban,Age not stated, ORISSA, Jharsuguda  *,Male,In seeing,9
21,3,Rural,0-4, ORISSA, Sambalpur,Male,In seeing,288
21,3,Rural,5-9, ORISSA, Sambalpur,Male,In seeing,396
21,3,Rural,10-19, ORISSA, Sambalpur,Male,In seeing,737
21,3,Rural,20-29, ORISSA, Sambalpur,Male,In seeing,672
21,3,Rural,30-39, ORISSA, Sambalpur,Male,In seeing,816
21,3,Rural,40-49, ORISSA, Sambalpur,Male,In seeing,782
21,3,Rural,50-59, ORISSA, Sambalpur,Male,In seeing,521
21,3,Rural,60-69, ORISSA, Sambalpur,Male,In seeing,704
21,3,Rural,70-79, ORISSA, Sambalpur,Male,In seeing,483
21,3,Rural,80-89, ORISSA, Sambalpur,Male,In seeing,148
21,3,Rural,90+, ORISSA, Sambalpur,Male,In seeing,31
21,3,Rural,Age not stated, ORISSA, Sambalpur,Male,In seeing,36
21,3,Urban,0-4, ORISSA, Sambalpur,Male,In seeing,172
21,3,Urban,5-9, ORISSA, Sambalpur,Male,In seeing,190
21,3,Urban,10-19, ORISSA, Sambalpur,Male,In seeing,430
21,3,Urban,20-29, ORISSA, Sambalpur,Male,In seeing,411
21,3,Urban,30-39, ORISSA, Sambalpur,Male,In seeing,364
21,3,Urban,40-49, ORISSA, Sambalpur,Male,In seeing,296
21,3,Urban,50-59, ORISSA, Sambalpur,Male,In seeing,158
21,3,Urban,60-69, ORISSA, Sambalpur,Male,In seeing,122
21,3,Urban,70-79, ORISSA, Sambalpur,Male,In seeing,70
21,3,Urban,80-89, ORISSA, Sambalpur,Male,In seeing,8
21,3,Urban,90+, ORISSA, Sambalpur,Male,In seeing,12
21,3,Urban,Age not stated, ORISSA, Sambalpur,Male,In seeing,8
21,4,Rural,0-4, ORISSA, Debagarh  *,Male,In seeing,204
21,4,Rural,5-9, ORISSA, Debagarh  *,Male,In seeing,280
21,4,Rural,10-19, ORISSA, Debagarh  *,Male,In seeing,424
21,4,Rural,20-29, ORISSA, Debagarh  *,Male,In seeing,372
21,4,Rural,30-39, ORISSA, Debagarh  *,Male,In seeing,547
21,4,Rural,40-49, ORISSA, Debagarh  *,Male,In seeing,479
21,4,Rural,50-59, ORISSA, Debagarh  *,Male,In seeing,273
21,4,Rural,60-69, ORISSA, Debagarh  *,Male,In seeing,316
21,4,Rural,70-79, ORISSA, Debagarh  *,Male,In seeing,176
21,4,Rural,80-89, ORISSA, Debagarh  *,Male,In seeing,61
21,4,Rural,90+, ORISSA, Debagarh  *,Male,In seeing,15
21,4,Rural,Age not stated, ORISSA, Debagarh  *,Male,In seeing,13
21,4,Urban,0-4, ORISSA, Debagarh  *,Male,In seeing,4
21,4,Urban,5-9, ORISSA, Debagarh  *,Male,In seeing,10
21,4,Urban,10-19, ORISSA, Debagarh  *,Male,In seeing,17
21,4,Urban,20-29, ORISSA, Debagarh  *,Male,In seeing,22
21,4,Urban,30-39, ORISSA, Debagarh  *,Male,In seeing,17
21,4,Urban,40-49, ORISSA, Debagarh  *,Male,In seeing,23
21,4,Urban,50-59, ORISSA, Debagarh  *,Male,In seeing,12
21,4,Urban,60-69, ORISSA, Debagarh  *,Male,In seeing,12
21,4,Urban,70-79, ORISSA, Debagarh  *,Male,In seeing,8
21,4,Urban,80-89, ORISSA, Debagarh  *,Male,In seeing,5
21,4,Urban,90+, ORISSA, Debagarh  *,Male,In seeing,2
21,4,Urban,Age not stated, ORISSA, Debagarh  *,Male,In seeing,0
21,5,Rural,0-4, ORISSA, Sundargarh,Male,In seeing,421
21,5,Rural,5-9, ORISSA, Sundargarh,Male,In seeing,511
21,5,Rural,10-19, ORISSA, Sundargarh,Male,In seeing,920
21,5,Rural,20-29, ORISSA, Sundargarh,Male,In seeing,753
21,5,Rural,30-39, ORISSA, Sundargarh,Male,In seeing,765
21,5,Rural,40-49, ORISSA, Sundargarh,Male,In seeing,741
21,5,Rural,50-59, ORISSA, Sundargarh,Male,In seeing,544
21,5,Rural,60-69, ORISSA, Sundargarh,Male,In seeing,730
21,5,Rural,70-79, ORISSA, Sundargarh,Male,In seeing,503
21,5,Rural,80-89, ORISSA, Sundargarh,Male,In seeing,181
21,5,Rural,90+, ORISSA, Sundargarh,Male,In seeing,46
21,5,Rural,Age not stated, ORISSA, Sundargarh,Male,In seeing,23
21,5,Urban,0-4, ORISSA, Sundargarh,Male,In seeing,256
21,5,Urban,5-9, ORISSA, Sundargarh,Male,In seeing,357
21,5,Urban,10-19, ORISSA, Sundargarh,Male,In seeing,752
21,5,Urban,20-29, ORISSA, Sundargarh,Male,In seeing,738
21,5,Urban,30-39, ORISSA, Sundargarh,Male,In seeing,709
21,5,Urban,40-49, ORISSA, Sundargarh,Male,In seeing,566
21,5,Urban,50-59, ORISSA, Sundargarh,Male,In seeing,313
21,5,Urban,60-69, ORISSA, Sundargarh,Male,In seeing,226
21,5,Urban,70-79, ORISSA, Sundargarh,Male,In seeing,95
21,5,Urban,80-89, ORISSA, Sundargarh,Male,In seeing,37
21,5,Urban,90+, ORISSA, Sundargarh,Male,In seeing,12
21,5,Urban,Age not stated, ORISSA, Sundargarh,Male,In seeing,28
21,6,Rural,0-4, ORISSA, Kendujhar,Male,In seeing,470
21,6,Rural,5-9, ORISSA, Kendujhar,Male,In seeing,639
21,6,Rural,10-19, ORISSA, Kendujhar,Male,In seeing,1000
21,6,Rural,20-29, ORISSA, Kendujhar,Male,In seeing,831
21,6,Rural,30-39, ORISSA, Kendujhar,Male,In seeing,1056
21,6,Rural,40-49, ORISSA, Kendujhar,Male,In seeing,850
21,6,Rural,50-59, ORISSA, Kendujhar,Male,In seeing,695
21,6,Rural,60-69, ORISSA, Kendujhar,Male,In seeing,729
21,6,Rural,70-79, ORISSA, Kendujhar,Male,In seeing,532
21,6,Rural,80-89, ORISSA, Kendujhar,Male,In seeing,166
21,6,Rural,90+, ORISSA, Kendujhar,Male,In seeing,38
21,6,Rural,Age not stated, ORISSA, Kendujhar,Male,In seeing,25
21,6,Urban,0-4, ORISSA, Kendujhar,Male,In seeing,171
21,6,Urban,5-9, ORISSA, Kendujhar,Male,In seeing,203
21,6,Urban,10-19, ORISSA, Kendujhar,Male,In seeing,421
21,6,Urban,20-29, ORISSA, Kendujhar,Male,In seeing,239
21,6,Urban,30-39, ORISSA, Kendujhar,Male,In seeing,106
21,6,Urban,40-49, ORISSA, Kendujhar,Male,In seeing,87
21,6,Urban,50-59, ORISSA, Kendujhar,Male,In seeing,60
21,6,Urban,60-69, ORISSA, Kendujhar,Male,In seeing,47
21,6,Urban,70-79, ORISSA, Kendujhar,Male,In seeing,28
21,6,Urban,80-89, ORISSA, Kendujhar,Male,In seeing,8
21,6,Urban,90+, ORISSA, Kendujhar,Male,In seeing,5
21,6,Urban,Age not stated, ORISSA, Kendujhar,Male,In seeing,3
21,7,Rural,0-4, ORISSA, Mayurbhanj,Male,In seeing,1062
21,7,Rural,5-9, ORISSA, Mayurbhanj,Male,In seeing,1521
21,7,Rural,10-19, ORISSA, Mayurbhanj,Male,In seeing,2257
21,7,Rural,20-29, ORISSA, Mayurbhanj,Male,In seeing,1409
21,7,Rural,30-39, ORISSA, Mayurbhanj,Male,In seeing,1359
21,7,Rural,40-49, ORISSA, Mayurbhanj,Male,In seeing,1177
21,7,Rural,50-59, ORISSA, Mayurbhanj,Male,In seeing,975
21,7,Rural,60-69, ORISSA, Mayurbhanj,Male,In seeing,1116
21,7,Rural,70-79, ORISSA, Mayurbhanj,Male,In seeing,735
21,7,Rural,80-89, ORISSA, Mayurbhanj,Male,In seeing,269
21,7,Rural,90+, ORISSA, Mayurbhanj,Male,In seeing,63
21,7,Rural,Age not stated, ORISSA, Mayurbhanj,Male,In seeing,26
21,7,Urban,0-4, ORISSA, Mayurbhanj,Male,In seeing,50
21,7,Urban,5-9, ORISSA, Mayurbhanj,Male,In seeing,103
21,7,Urban,10-19, ORISSA, Mayurbhanj,Male,In seeing,213
21,7,Urban,20-29, ORISSA, Mayurbhanj,Male,In seeing,134
21,7,Urban,30-39, ORISSA, Mayurbhanj,Male,In seeing,126
21,7,Urban,40-49, ORISSA, Mayurbhanj,Male,In seeing,78
21,7,Urban,50-59, ORISSA, Mayurbhanj,Male,In seeing,65
21,7,Urban,60-69, ORISSA, Mayurbhanj,Male,In seeing,47
21,7,Urban,70-79, ORISSA, Mayurbhanj,Male,In seeing,27
21,7,Urban,80-89, ORISSA, Mayurbhanj,Male,In seeing,14
21,7,Urban,90+, ORISSA, Mayurbhanj,Male,In seeing,2
21,7,Urban,Age not stated, ORISSA, Mayurbhanj,Male,In seeing,0
21,8,Rural,0-4, ORISSA, Baleshwar,Male,In seeing,597
21,8,Rural,5-9, ORISSA, Baleshwar,Male,In seeing,827
21,8,Rural,10-19, ORISSA, Baleshwar,Male,In seeing,1578
21,8,Rural,20-29, ORISSA, Baleshwar,Male,In seeing,1378
