State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
3,1,Rural,0-4, PUNJAB, Gurdaspur,Male,In seeing,363
3,1,Rural,5-9, PUNJAB, Gurdaspur,Male,In seeing,455
3,1,Rural,10-19, PUNJAB, Gurdaspur,Male,In seeing,889
3,1,Rural,20-29, PUNJAB, Gurdaspur,Male,In seeing,672
3,1,Rural,30-39, PUNJAB, Gurdaspur,Male,In seeing,582
3,1,Rural,40-49, PUNJAB, Gurdaspur,Male,In seeing,547
3,1,Rural,50-59, PUNJAB, Gurdaspur,Male,In seeing,401
3,1,Rural,60-69, PUNJAB, Gurdaspur,Male,In seeing,430
3,1,Rural,70-79, PUNJAB, Gurdaspur,Male,In seeing,396
3,1,Rural,80-89, PUNJAB, Gurdaspur,Male,In seeing,154
3,1,Rural,90+, PUNJAB, Gurdaspur,Male,In seeing,69
3,1,Rural,Age not stated, PUNJAB, Gurdaspur,Male,In seeing,52
3,1,Urban,0-4, PUNJAB, Gurdaspur,Male,In seeing,123
3,1,Urban,5-9, PUNJAB, Gurdaspur,Male,In seeing,133
3,1,Urban,10-19, PUNJAB, Gurdaspur,Male,In seeing,254
3,1,Urban,20-29, PUNJAB, Gurdaspur,Male,In seeing,230
3,1,Urban,30-39, PUNJAB, Gurdaspur,Male,In seeing,196
3,1,Urban,40-49, PUNJAB, Gurdaspur,Male,In seeing,147
3,1,Urban,50-59, PUNJAB, Gurdaspur,Male,In seeing,137
3,1,Urban,60-69, PUNJAB, Gurdaspur,Male,In seeing,109
3,1,Urban,70-79, PUNJAB, Gurdaspur,Male,In seeing,74
3,1,Urban,80-89, PUNJAB, Gurdaspur,Male,In seeing,28
3,1,Urban,90+, PUNJAB, Gurdaspur,Male,In seeing,7
3,1,Urban,Age not stated, PUNJAB, Gurdaspur,Male,In seeing,16
3,2,Rural,0-4, PUNJAB, Amritsar,Male,In seeing,418
3,2,Rural,5-9, PUNJAB, Amritsar,Male,In seeing,422
3,2,Rural,10-19, PUNJAB, Amritsar,Male,In seeing,862
3,2,Rural,20-29, PUNJAB, Amritsar,Male,In seeing,589
3,2,Rural,30-39, PUNJAB, Amritsar,Male,In seeing,501
3,2,Rural,40-49, PUNJAB, Amritsar,Male,In seeing,421
3,2,Rural,50-59, PUNJAB, Amritsar,Male,In seeing,360
3,2,Rural,60-69, PUNJAB, Amritsar,Male,In seeing,475
3,2,Rural,70-79, PUNJAB, Amritsar,Male,In seeing,382
3,2,Rural,80-89, PUNJAB, Amritsar,Male,In seeing,168
3,2,Rural,90+, PUNJAB, Amritsar,Male,In seeing,61
3,2,Rural,Age not stated, PUNJAB, Amritsar,Male,In seeing,26
3,2,Urban,0-4, PUNJAB, Amritsar,Male,In seeing,304
3,2,Urban,5-9, PUNJAB, Amritsar,Male,In seeing,303
3,2,Urban,10-19, PUNJAB, Amritsar,Male,In seeing,605
3,2,Urban,20-29, PUNJAB, Amritsar,Male,In seeing,511
3,2,Urban,30-39, PUNJAB, Amritsar,Male,In seeing,375
3,2,Urban,40-49, PUNJAB, Amritsar,Male,In seeing,314
3,2,Urban,50-59, PUNJAB, Amritsar,Male,In seeing,217
3,2,Urban,60-69, PUNJAB, Amritsar,Male,In seeing,219
3,2,Urban,70-79, PUNJAB, Amritsar,Male,In seeing,187
3,2,Urban,80-89, PUNJAB, Amritsar,Male,In seeing,69
3,2,Urban,90+, PUNJAB, Amritsar,Male,In seeing,24
3,2,Urban,Age not stated, PUNJAB, Amritsar,Male,In seeing,10
3,3,Rural,0-4, PUNJAB, Kapurthala,Male,In seeing,141
3,3,Rural,5-9, PUNJAB, Kapurthala,Male,In seeing,139
3,3,Rural,10-19, PUNJAB, Kapurthala,Male,In seeing,302
3,3,Rural,20-29, PUNJAB, Kapurthala,Male,In seeing,257
3,3,Rural,30-39, PUNJAB, Kapurthala,Male,In seeing,225
3,3,Rural,40-49, PUNJAB, Kapurthala,Male,In seeing,206
3,3,Rural,50-59, PUNJAB, Kapurthala,Male,In seeing,159
3,3,Rural,60-69, PUNJAB, Kapurthala,Male,In seeing,174
3,3,Rural,70-79, PUNJAB, Kapurthala,Male,In seeing,133
3,3,Rural,80-89, PUNJAB, Kapurthala,Male,In seeing,64
3,3,Rural,90+, PUNJAB, Kapurthala,Male,In seeing,21
3,3,Rural,Age not stated, PUNJAB, Kapurthala,Male,In seeing,10
3,3,Urban,0-4, PUNJAB, Kapurthala,Male,In seeing,69
3,3,Urban,5-9, PUNJAB, Kapurthala,Male,In seeing,87
3,3,Urban,10-19, PUNJAB, Kapurthala,Male,In seeing,203
3,3,Urban,20-29, PUNJAB, Kapurthala,Male,In seeing,170
3,3,Urban,30-39, PUNJAB, Kapurthala,Male,In seeing,144
3,3,Urban,40-49, PUNJAB, Kapurthala,Male,In seeing,129
3,3,Urban,50-59, PUNJAB, Kapurthala,Male,In seeing,71
3,3,Urban,60-69, PUNJAB, Kapurthala,Male,In seeing,54
3,3,Urban,70-79, PUNJAB, Kapurthala,Male,In seeing,35
3,3,Urban,80-89, PUNJAB, Kapurthala,Male,In seeing,12
3,3,Urban,90+, PUNJAB, Kapurthala,Male,In seeing,6
3,3,Urban,Age not stated, PUNJAB, Kapurthala,Male,In seeing,6
3,4,Rural,0-4, PUNJAB, Jalandhar,Male,In seeing,313
3,4,Rural,5-9, PUNJAB, Jalandhar,Male,In seeing,333
3,4,Rural,10-19, PUNJAB, Jalandhar,Male,In seeing,582
3,4,Rural,20-29, PUNJAB, Jalandhar,Male,In seeing,500
3,4,Rural,30-39, PUNJAB, Jalandhar,Male,In seeing,338
3,4,Rural,40-49, PUNJAB, Jalandhar,Male,In seeing,318
3,4,Rural,50-59, PUNJAB, Jalandhar,Male,In seeing,255
3,4,Rural,60-69, PUNJAB, Jalandhar,Male,In seeing,346
3,4,Rural,70-79, PUNJAB, Jalandhar,Male,In seeing,314
3,4,Rural,80-89, PUNJAB, Jalandhar,Male,In seeing,161
3,4,Rural,90+, PUNJAB, Jalandhar,Male,In seeing,39
3,4,Rural,Age not stated, PUNJAB, Jalandhar,Male,In seeing,13
3,4,Urban,0-4, PUNJAB, Jalandhar,Male,In seeing,217
3,4,Urban,5-9, PUNJAB, Jalandhar,Male,In seeing,223
3,4,Urban,10-19, PUNJAB, Jalandhar,Male,In seeing,436
3,4,Urban,20-29, PUNJAB, Jalandhar,Male,In seeing,418
3,4,Urban,30-39, PUNJAB, Jalandhar,Male,In seeing,308
3,4,Urban,40-49, PUNJAB, Jalandhar,Male,In seeing,245
3,4,Urban,50-59, PUNJAB, Jalandhar,Male,In seeing,171
3,4,Urban,60-69, PUNJAB, Jalandhar,Male,In seeing,154
3,4,Urban,70-79, PUNJAB, Jalandhar,Male,In seeing,113
3,4,Urban,80-89, PUNJAB, Jalandhar,Male,In seeing,36
3,4,Urban,90+, PUNJAB, Jalandhar,Male,In seeing,15
3,4,Urban,Age not stated, PUNJAB, Jalandhar,Male,In seeing,16
3,5,Rural,0-4, PUNJAB, Hoshiarpur,Male,In seeing,260
3,5,Rural,5-9, PUNJAB, Hoshiarpur,Male,In seeing,228
3,5,Rural,10-19, PUNJAB, Hoshiarpur,Male,In seeing,486
3,5,Rural,20-29, PUNJAB, Hoshiarpur,Male,In seeing,353
3,5,Rural,30-39, PUNJAB, Hoshiarpur,Male,In seeing,266
3,5,Rural,40-49, PUNJAB, Hoshiarpur,Male,In seeing,292
3,5,Rural,50-59, PUNJAB, Hoshiarpur,Male,In seeing,276
3,5,Rural,60-69, PUNJAB, Hoshiarpur,Male,In seeing,343
3,5,Rural,70-79, PUNJAB, Hoshiarpur,Male,In seeing,310
3,5,Rural,80-89, PUNJAB, Hoshiarpur,Male,In seeing,151
3,5,Rural,90+, PUNJAB, Hoshiarpur,Male,In seeing,52
3,5,Rural,Age not stated, PUNJAB, Hoshiarpur,Male,In seeing,24
3,5,Urban,0-4, PUNJAB, Hoshiarpur,Male,In seeing,60
3,5,Urban,5-9, PUNJAB, Hoshiarpur,Male,In seeing,62
3,5,Urban,10-19, PUNJAB, Hoshiarpur,Male,In seeing,133
3,5,Urban,20-29, PUNJAB, Hoshiarpur,Male,In seeing,96
3,5,Urban,30-39, PUNJAB, Hoshiarpur,Male,In seeing,78
3,5,Urban,40-49, PUNJAB, Hoshiarpur,Male,In seeing,83
3,5,Urban,50-59, PUNJAB, Hoshiarpur,Male,In seeing,66
3,5,Urban,60-69, PUNJAB, Hoshiarpur,Male,In seeing,51
3,5,Urban,70-79, PUNJAB, Hoshiarpur,Male,In seeing,36
3,5,Urban,80-89, PUNJAB, Hoshiarpur,Male,In seeing,14
3,5,Urban,90+, PUNJAB, Hoshiarpur,Male,In seeing,3
3,5,Urban,Age not stated, PUNJAB, Hoshiarpur,Male,In seeing,12
3,6,Rural,0-4, PUNJAB, Nawanshahr *,Male,In seeing,299
3,6,Rural,5-9, PUNJAB, Nawanshahr *,Male,In seeing,258
3,6,Rural,10-19, PUNJAB, Nawanshahr *,Male,In seeing,406
3,6,Rural,20-29, PUNJAB, Nawanshahr *,Male,In seeing,355
3,6,Rural,30-39, PUNJAB, Nawanshahr *,Male,In seeing,298
3,6,Rural,40-49, PUNJAB, Nawanshahr *,Male,In seeing,284
3,6,Rural,50-59, PUNJAB, Nawanshahr *,Male,In seeing,227
3,6,Rural,60-69, PUNJAB, Nawanshahr *,Male,In seeing,267
3,6,Rural,70-79, PUNJAB, Nawanshahr *,Male,In seeing,229
3,6,Rural,80-89, PUNJAB, Nawanshahr *,Male,In seeing,103
3,6,Rural,90+, PUNJAB, Nawanshahr *,Male,In seeing,48
3,6,Rural,Age not stated, PUNJAB, Nawanshahr *,Male,In seeing,5
3,6,Urban,0-4, PUNJAB, Nawanshahr *,Male,In seeing,58
3,6,Urban,5-9, PUNJAB, Nawanshahr *,Male,In seeing,36
3,6,Urban,10-19, PUNJAB, Nawanshahr *,Male,In seeing,71
3,6,Urban,20-29, PUNJAB, Nawanshahr *,Male,In seeing,57
3,6,Urban,30-39, PUNJAB, Nawanshahr *,Male,In seeing,62
3,6,Urban,40-49, PUNJAB, Nawanshahr *,Male,In seeing,40
3,6,Urban,50-59, PUNJAB, Nawanshahr *,Male,In seeing,25
