State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
8,1,Rural,0-4, RAJASTHAN, Ganganagar,Male,In seeing,447
8,1,Rural,5-9, RAJASTHAN, Ganganagar,Male,In seeing,552
8,1,Rural,10-19, RAJASTHAN, Ganganagar,Male,In seeing,869
8,1,Rural,20-29, RAJASTHAN, Ganganagar,Male,In seeing,891
8,1,Rural,30-39, RAJASTHAN, Ganganagar,Male,In seeing,966
8,1,Rural,40-49, RAJASTHAN, Ganganagar,Male,In seeing,831
8,1,Rural,50-59, RAJASTHAN, Ganganagar,Male,In seeing,624
8,1,Rural,60-69, RAJASTHAN, Ganganagar,Male,In seeing,714
8,1,Rural,70-79, RAJASTHAN, Ganganagar,Male,In seeing,601
8,1,Rural,80-89, RAJASTHAN, Ganganagar,Male,In seeing,258
8,1,Rural,90+, RAJASTHAN, Ganganagar,Male,In seeing,93
8,1,Rural,Age not stated, RAJASTHAN, Ganganagar,Male,In seeing,15
8,1,Urban,0-4, RAJASTHAN, Ganganagar,Male,In seeing,241
8,1,Urban,5-9, RAJASTHAN, Ganganagar,Male,In seeing,306
8,1,Urban,10-19, RAJASTHAN, Ganganagar,Male,In seeing,526
8,1,Urban,20-29, RAJASTHAN, Ganganagar,Male,In seeing,399
8,1,Urban,30-39, RAJASTHAN, Ganganagar,Male,In seeing,394
8,1,Urban,40-49, RAJASTHAN, Ganganagar,Male,In seeing,274
8,1,Urban,50-59, RAJASTHAN, Ganganagar,Male,In seeing,175
8,1,Urban,60-69, RAJASTHAN, Ganganagar,Male,In seeing,162
8,1,Urban,70-79, RAJASTHAN, Ganganagar,Male,In seeing,82
8,1,Urban,80-89, RAJASTHAN, Ganganagar,Male,In seeing,31
8,1,Urban,90+, RAJASTHAN, Ganganagar,Male,In seeing,8
8,1,Urban,Age not stated, RAJASTHAN, Ganganagar,Male,In seeing,2
8,2,Rural,0-4, RAJASTHAN, Hanumangarh *,Male,In seeing,341
8,2,Rural,5-9, RAJASTHAN, Hanumangarh *,Male,In seeing,395
8,2,Rural,10-19, RAJASTHAN, Hanumangarh *,Male,In seeing,631
8,2,Rural,20-29, RAJASTHAN, Hanumangarh *,Male,In seeing,508
8,2,Rural,30-39, RAJASTHAN, Hanumangarh *,Male,In seeing,502
8,2,Rural,40-49, RAJASTHAN, Hanumangarh *,Male,In seeing,474
