State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
11,1,Rural,0-4, SIKKIM,North ,Male,In seeing,32
11,1,Rural,5-9, SIKKIM,North ,Male,In seeing,46
11,1,Rural,10-19, SIKKIM,North ,Male,In seeing,83
11,1,Rural,20-29, SIKKIM,North ,Male,In seeing,98
11,1,Rural,30-39, SIKKIM,North ,Male,In seeing,88
11,1,Rural,40-49, SIKKIM,North ,Male,In seeing,63
11,1,Rural,50-59, SIKKIM,North ,Male,In seeing,39
11,1,Rural,60-69, SIKKIM,North ,Male,In seeing,27
11,1,Rural,70-79, SIKKIM,North ,Male,In seeing,19
11,1,Rural,80-89, SIKKIM,North ,Male,In seeing,5
11,1,Rural,90+, SIKKIM,North ,Male,In seeing,1
11,1,Rural,Age not stated, SIKKIM,North ,Male,In seeing,18
11,1,Urban,0-4, SIKKIM,North ,Male,In seeing,0
11,1,Urban,5-9, SIKKIM,North ,Male,In seeing,1
11,1,Urban,10-19, SIKKIM,North ,Male,In seeing,1
11,1,Urban,20-29, SIKKIM,North ,Male,In seeing,1
11,1,Urban,30-39, SIKKIM,North ,Male,In seeing,4
11,1,Urban,40-49, SIKKIM,North ,Male,In seeing,1
11,1,Urban,50-59, SIKKIM,North ,Male,In seeing,2
11,1,Urban,60-69, SIKKIM,North ,Male,In seeing,0
11,1,Urban,70-79, SIKKIM,North ,Male,In seeing,0
11,1,Urban,80-89, SIKKIM,North ,Male,In seeing,0
11,1,Urban,90+, SIKKIM,North ,Male,In seeing,0
11,1,Urban,Age not stated, SIKKIM,North ,Male,In seeing,0
11,2,Rural,0-4, SIKKIM,West ,Male,In seeing,111
11,2,Rural,5-9, SIKKIM,West ,Male,In seeing,151
11,2,Rural,10-19, SIKKIM,West ,Male,In seeing,276
11,2,Rural,20-29, SIKKIM,West ,Male,In seeing,193
11,2,Rural,30-39, SIKKIM,West ,Male,In seeing,164
11,2,Rural,40-49, SIKKIM,West ,Male,In seeing,124
11,2,Rural,50-59, SIKKIM,West ,Male,In seeing,109
11,2,Rural,60-69, SIKKIM,West ,Male,In seeing,98
11,2,Rural,70-79, SIKKIM,West ,Male,In seeing,55
11,2,Rural,80-89, SIKKIM,West ,Male,In seeing,26
11,2,Rural,90+, SIKKIM,West ,Male,In seeing,5
11,2,Rural,Age not stated, SIKKIM,West ,Male,In seeing,4
11,2,Urban,0-4, SIKKIM,West ,Male,In seeing,0
11,2,Urban,5-9, SIKKIM,West ,Male,In seeing,7
11,2,Urban,10-19, SIKKIM,West ,Male,In seeing,11
11,2,Urban,20-29, SIKKIM,West ,Male,In seeing,15
11,2,Urban,30-39, SIKKIM,West ,Male,In seeing,7
11,2,Urban,40-49, SIKKIM,West ,Male,In seeing,6
11,2,Urban,50-59, SIKKIM,West ,Male,In seeing,3
11,2,Urban,60-69, SIKKIM,West ,Male,In seeing,1
11,2,Urban,70-79, SIKKIM,West ,Male,In seeing,1
11,2,Urban,80-89, SIKKIM,West ,Male,In seeing,1
11,2,Urban,90+, SIKKIM,West ,Male,In seeing,0
11,2,Urban,Age not stated, SIKKIM,West ,Male,In seeing,0
11,3,Rural,0-4, SIKKIM,South ,Male,In seeing,107
11,3,Rural,5-9, SIKKIM,South ,Male,In seeing,134
11,3,Rural,10-19, SIKKIM,South ,Male,In seeing,295
11,3,Rural,20-29, SIKKIM,South ,Male,In seeing,196
11,3,Rural,30-39, SIKKIM,South ,Male,In seeing,184
11,3,Rural,40-49, SIKKIM,South ,Male,In seeing,159
11,3,Rural,50-59, SIKKIM,South ,Male,In seeing,150
11,3,Rural,60-69, SIKKIM,South ,Male,In seeing,141
11,3,Rural,70-79, SIKKIM,South ,Male,In seeing,94
11,3,Rural,80-89, SIKKIM,South ,Male,In seeing,30
11,3,Rural,90+, SIKKIM,South ,Male,In seeing,7
11,3,Rural,Age not stated, SIKKIM,South ,Male,In seeing,2
11,3,Urban,0-4, SIKKIM,South ,Male,In seeing,2
11,3,Urban,5-9, SIKKIM,South ,Male,In seeing,3
11,3,Urban,10-19, SIKKIM,South ,Male,In seeing,7
11,3,Urban,20-29, SIKKIM,South ,Male,In seeing,8
11,3,Urban,30-39, SIKKIM,South ,Male,In seeing,7
11,3,Urban,40-49, SIKKIM,South ,Male,In seeing,10
11,3,Urban,50-59, SIKKIM,South ,Male,In seeing,3
11,3,Urban,60-69, SIKKIM,South ,Male,In seeing,2
11,3,Urban,70-79, SIKKIM,South ,Male,In seeing,3
11,3,Urban,80-89, SIKKIM,South ,Male,In seeing,0
11,3,Urban,90+, SIKKIM,South ,Male,In seeing,0
11,3,Urban,Age not stated, SIKKIM,South ,Male,In seeing,0
11,4,Rural,0-4, SIKKIM,East ,Male,In seeing,105
11,4,Rural,5-9, SIKKIM,East ,Male,In seeing,164
11,4,Rural,10-19, SIKKIM,East ,Male,In seeing,349
11,4,Rural,20-29, SIKKIM,East ,Male,In seeing,371
11,4,Rural,30-39, SIKKIM,East ,Male,In seeing,327
11,4,Rural,40-49, SIKKIM,East ,Male,In seeing,233
11,4,Rural,50-59, SIKKIM,East ,Male,In seeing,181
11,4,Rural,60-69, SIKKIM,East ,Male,In seeing,111
11,4,Rural,70-79, SIKKIM,East ,Male,In seeing,93
11,4,Rural,80-89, SIKKIM,East ,Male,In seeing,39
11,4,Rural,90+, SIKKIM,East ,Male,In seeing,10
11,4,Rural,Age not stated, SIKKIM,East ,Male,In seeing,2
11,4,Urban,0-4, SIKKIM,East ,Male,In seeing,34
11,4,Urban,5-9, SIKKIM,East ,Male,In seeing,48
11,4,Urban,10-19, SIKKIM,East ,Male,In seeing,116
11,4,Urban,20-29, SIKKIM,East ,Male,In seeing,146
11,4,Urban,30-39, SIKKIM,East ,Male,In seeing,123
11,4,Urban,40-49, SIKKIM,East ,Male,In seeing,122
11,4,Urban,50-59, SIKKIM,East ,Male,In seeing,48
11,4,Urban,60-69, SIKKIM,East ,Male,In seeing,20
11,4,Urban,70-79, SIKKIM,East ,Male,In seeing,12
11,4,Urban,80-89, SIKKIM,East ,Male,In seeing,3
11,4,Urban,90+, SIKKIM,East ,Male,In seeing,2
11,4,Urban,Age not stated, SIKKIM,East ,Male,In seeing,0
11,1,Rural,0-4, SIKKIM,North ,Female,In seeing,32
11,1,Rural,5-9, SIKKIM,North ,Female,In seeing,40
11,1,Rural,10-19, SIKKIM,North ,Female,In seeing,82
11,1,Rural,20-29, SIKKIM,North ,Female,In seeing,58
11,1,Rural,30-39, SIKKIM,North ,Female,In seeing,36
11,1,Rural,40-49, SIKKIM,North ,Female,In seeing,34
11,1,Rural,50-59, SIKKIM,North ,Female,In seeing,21
11,1,Rural,60-69, SIKKIM,North ,Female,In seeing,23
11,1,Rural,70-79, SIKKIM,North ,Female,In seeing,12
11,1,Rural,80-89, SIKKIM,North ,Female,In seeing,6
11,1,Rural,90+, SIKKIM,North ,Female,In seeing,1
11,1,Rural,Age not stated, SIKKIM,North ,Female,In seeing,16
11,1,Urban,0-4, SIKKIM,North ,Female,In seeing,1
11,1,Urban,5-9, SIKKIM,North ,Female,In seeing,0
11,1,Urban,10-19, SIKKIM,North ,Female,In seeing,2
11,1,Urban,20-29, SIKKIM,North ,Female,In seeing,2
11,1,Urban,30-39, SIKKIM,North ,Female,In seeing,1
11,1,Urban,40-49, SIKKIM,North ,Female,In seeing,0
11,1,Urban,50-59, SIKKIM,North ,Female,In seeing,0
11,1,Urban,60-69, SIKKIM,North ,Female,In seeing,0
11,1,Urban,70-79, SIKKIM,North ,Female,In seeing,0
11,1,Urban,80-89, SIKKIM,North ,Female,In seeing,0
11,1,Urban,90+, SIKKIM,North ,Female,In seeing,0
11,1,Urban,Age not stated, SIKKIM,North ,Female,In seeing,0
11,2,Rural,0-4, SIKKIM,West ,Female,In seeing,101
11,2,Rural,5-9, SIKKIM,West ,Female,In seeing,122
11,2,Rural,10-19, SIKKIM,West ,Female,In seeing,226
11,2,Rural,20-29, SIKKIM,West ,Female,In seeing,136
11,2,Rural,30-39, SIKKIM,West ,Female,In seeing,107
11,2,Rural,40-49, SIKKIM,West ,Female,In seeing,99
11,2,Rural,50-59, SIKKIM,West ,Female,In seeing,80
11,2,Rural,60-69, SIKKIM,West ,Female,In seeing,83
11,2,Rural,70-79, SIKKIM,West ,Female,In seeing,53
11,2,Rural,80-89, SIKKIM,West ,Female,In seeing,24
11,2,Rural,90+, SIKKIM,West ,Female,In seeing,1
11,2,Rural,Age not stated, SIKKIM,West ,Female,In seeing,4
11,2,Urban,0-4, SIKKIM,West ,Female,In seeing,2
11,2,Urban,5-9, SIKKIM,West ,Female,In seeing,2
11,2,Urban,10-19, SIKKIM,West ,Female,In seeing,11
11,2,Urban,20-29, SIKKIM,West ,Female,In seeing,4
11,2,Urban,30-39, SIKKIM,West ,Female,In seeing,7
11,2,Urban,40-49, SIKKIM,West ,Female,In seeing,1
11,2,Urban,50-59, SIKKIM,West ,Female,In seeing,0
11,2,Urban,60-69, SIKKIM,West ,Female,In seeing,2
11,2,Urban,70-79, SIKKIM,West ,Female,In seeing,2
11,2,Urban,80-89, SIKKIM,West ,Female,In seeing,0
11,2,Urban,90+, SIKKIM,West ,Female,In seeing,0
11,2,Urban,Age not stated, SIKKIM,West ,Female,In seeing,0
11,3,Rural,0-4, SIKKIM,South ,Female,In seeing,90
11,3,Rural,5-9, SIKKIM,South ,Female,In seeing,153
11,3,Rural,10-19, SIKKIM,South ,Female,In seeing,251
11,3,Rural,20-29, SIKKIM,South ,Female,In seeing,178
11,3,Rural,30-39, SIKKIM,South ,Female,In seeing,140
