State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
33,1,Rural,0-4, TAMIL NADU, Thiruvallur,Male,In seeing,521
33,1,Rural,5-9, TAMIL NADU, Thiruvallur,Male,In seeing,600
33,1,Rural,10-19, TAMIL NADU, Thiruvallur,Male,In seeing,1230
33,1,Rural,20-29, TAMIL NADU, Thiruvallur,Male,In seeing,1318
33,1,Rural,30-39, TAMIL NADU, Thiruvallur,Male,In seeing,1446
33,1,Rural,40-49, TAMIL NADU, Thiruvallur,Male,In seeing,1286
33,1,Rural,50-59, TAMIL NADU, Thiruvallur,Male,In seeing,1003
33,1,Rural,60-69, TAMIL NADU, Thiruvallur,Male,In seeing,897
33,1,Rural,70-79, TAMIL NADU, Thiruvallur,Male,In seeing,519
33,1,Rural,80-89, TAMIL NADU, Thiruvallur,Male,In seeing,185
33,1,Rural,90+, TAMIL NADU, Thiruvallur,Male,In seeing,47
33,1,Rural,Age not stated, TAMIL NADU, Thiruvallur,Male,In seeing,20
33,1,Urban,0-4, TAMIL NADU, Thiruvallur,Male,In seeing,496
33,1,Urban,5-9, TAMIL NADU, Thiruvallur,Male,In seeing,582
33,1,Urban,10-19, TAMIL NADU, Thiruvallur,Male,In seeing,1498
33,1,Urban,20-29, TAMIL NADU, Thiruvallur,Male,In seeing,1738
33,1,Urban,30-39, TAMIL NADU, Thiruvallur,Male,In seeing,2082
33,1,Urban,40-49, TAMIL NADU, Thiruvallur,Male,In seeing,1763
33,1,Urban,50-59, TAMIL NADU, Thiruvallur,Male,In seeing,1184
33,1,Urban,60-69, TAMIL NADU, Thiruvallur,Male,In seeing,754
33,1,Urban,70-79, TAMIL NADU, Thiruvallur,Male,In seeing,323
33,1,Urban,80-89, TAMIL NADU, Thiruvallur,Male,In seeing,106
33,1,Urban,90+, TAMIL NADU, Thiruvallur,Male,In seeing,21
33,1,Urban,Age not stated, TAMIL NADU, Thiruvallur,Male,In seeing,67
33,2,Rural,0-4, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,5-9, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,10-19, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,20-29, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,30-39, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,40-49, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,50-59, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,60-69, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,70-79, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,80-89, TAMIL NADU, Chennai,Male,In seeing,0
33,2,Rural,90+, TAMIL NADU, Chennai,Male,In seeing,0
