State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
16,1,Rural,0-4, TRIPURA, West Tripura,Male,In seeing,226
16,1,Rural,5-9, TRIPURA, West Tripura,Male,In seeing,358
16,1,Rural,10-19, TRIPURA, West Tripura,Male,In seeing,737
16,1,Rural,20-29, TRIPURA, West Tripura,Male,In seeing,630
16,1,Rural,30-39, TRIPURA, West Tripura,Male,In seeing,843
16,1,Rural,40-49, TRIPURA, West Tripura,Male,In seeing,639
16,1,Rural,50-59, TRIPURA, West Tripura,Male,In seeing,429
16,1,Rural,60-69, TRIPURA, West Tripura,Male,In seeing,414
16,1,Rural,70-79, TRIPURA, West Tripura,Male,In seeing,362
16,1,Rural,80-89, TRIPURA, West Tripura,Male,In seeing,210
16,1,Rural,90+, TRIPURA, West Tripura,Male,In seeing,77
16,1,Rural,Age not stated, TRIPURA, West Tripura,Male,In seeing,21
16,1,Urban,0-4, TRIPURA, West Tripura,Male,In seeing,55
16,1,Urban,5-9, TRIPURA, West Tripura,Male,In seeing,103
16,1,Urban,10-19, TRIPURA, West Tripura,Male,In seeing,309
16,1,Urban,20-29, TRIPURA, West Tripura,Male,In seeing,213
16,1,Urban,30-39, TRIPURA, West Tripura,Male,In seeing,365
16,1,Urban,40-49, TRIPURA, West Tripura,Male,In seeing,337
16,1,Urban,50-59, TRIPURA, West Tripura,Male,In seeing,230
16,1,Urban,60-69, TRIPURA, West Tripura,Male,In seeing,171
16,1,Urban,70-79, TRIPURA, West Tripura,Male,In seeing,108
16,1,Urban,80-89, TRIPURA, West Tripura,Male,In seeing,47
16,1,Urban,90+, TRIPURA, West Tripura,Male,In seeing,9
16,1,Urban,Age not stated, TRIPURA, West Tripura,Male,In seeing,3
16,2,Rural,0-4, TRIPURA, South Tripura,Male,In seeing,164
16,2,Rural,5-9, TRIPURA, South Tripura,Male,In seeing,198
16,2,Rural,10-19, TRIPURA, South Tripura,Male,In seeing,474
16,2,Rural,20-29, TRIPURA, South Tripura,Male,In seeing,417
16,2,Rural,30-39, TRIPURA, South Tripura,Male,In seeing,540
16,2,Rural,40-49, TRIPURA, South Tripura,Male,In seeing,429
16,2,Rural,50-59, TRIPURA, South Tripura,Male,In seeing,309
16,2,Rural,60-69, TRIPURA, South Tripura,Male,In seeing,285
16,2,Rural,70-79, TRIPURA, South Tripura,Male,In seeing,243
16,2,Rural,80-89, TRIPURA, South Tripura,Male,In seeing,151
16,2,Rural,90+, TRIPURA, South Tripura,Male,In seeing,38
16,2,Rural,Age not stated, TRIPURA, South Tripura,Male,In seeing,6
16,2,Urban,0-4, TRIPURA, South Tripura,Male,In seeing,7
16,2,Urban,5-9, TRIPURA, South Tripura,Male,In seeing,12
16,2,Urban,10-19, TRIPURA, South Tripura,Male,In seeing,35
16,2,Urban,20-29, TRIPURA, South Tripura,Male,In seeing,42
16,2,Urban,30-39, TRIPURA, South Tripura,Male,In seeing,40
16,2,Urban,40-49, TRIPURA, South Tripura,Male,In seeing,44
16,2,Urban,50-59, TRIPURA, South Tripura,Male,In seeing,26
16,2,Urban,60-69, TRIPURA, South Tripura,Male,In seeing,15
16,2,Urban,70-79, TRIPURA, South Tripura,Male,In seeing,21
16,2,Urban,80-89, TRIPURA, South Tripura,Male,In seeing,8
16,2,Urban,90+, TRIPURA, South Tripura,Male,In seeing,4
16,2,Urban,Age not stated, TRIPURA, South Tripura,Male,In seeing,0
16,3,Rural,0-4, TRIPURA, Dhalai  *,Male,In seeing,103
16,3,Rural,5-9, TRIPURA, Dhalai  *,Male,In seeing,111
16,3,Rural,10-19, TRIPURA, Dhalai  *,Male,In seeing,202
16,3,Rural,20-29, TRIPURA, Dhalai  *,Male,In seeing,181
16,3,Rural,30-39, TRIPURA, Dhalai  *,Male,In seeing,239
16,3,Rural,40-49, TRIPURA, Dhalai  *,Male,In seeing,216
16,3,Rural,50-59, TRIPURA, Dhalai  *,Male,In seeing,131
16,3,Rural,60-69, TRIPURA, Dhalai  *,Male,In seeing,116
16,3,Rural,70-79, TRIPURA, Dhalai  *,Male,In seeing,85
16,3,Rural,80-89, TRIPURA, Dhalai  *,Male,In seeing,43
16,3,Rural,90+, TRIPURA, Dhalai  *,Male,In seeing,14
16,3,Rural,Age not stated, TRIPURA, Dhalai  *,Male,In seeing,4
16,3,Urban,0-4, TRIPURA, Dhalai  *,Male,In seeing,6
16,3,Urban,5-9, TRIPURA, Dhalai  *,Male,In seeing,5
16,3,Urban,10-19, TRIPURA, Dhalai  *,Male,In seeing,14
16,3,Urban,20-29, TRIPURA, Dhalai  *,Male,In seeing,15
16,3,Urban,30-39, TRIPURA, Dhalai  *,Male,In seeing,22
16,3,Urban,40-49, TRIPURA, Dhalai  *,Male,In seeing,28
16,3,Urban,50-59, TRIPURA, Dhalai  *,Male,In seeing,16
16,3,Urban,60-69, TRIPURA, Dhalai  *,Male,In seeing,12
16,3,Urban,70-79, TRIPURA, Dhalai  *,Male,In seeing,6
16,3,Urban,80-89, TRIPURA, Dhalai  *,Male,In seeing,4
16,3,Urban,90+, TRIPURA, Dhalai  *,Male,In seeing,1
16,3,Urban,Age not stated, TRIPURA, Dhalai  *,Male,In seeing,2
16,4,Rural,0-4, TRIPURA, North Tripura,Male,In seeing,170
16,4,Rural,5-9, TRIPURA, North Tripura,Male,In seeing,223
16,4,Rural,10-19, TRIPURA, North Tripura,Male,In seeing,420
16,4,Rural,20-29, TRIPURA, North Tripura,Male,In seeing,395
16,4,Rural,30-39, TRIPURA, North Tripura,Male,In seeing,510
16,4,Rural,40-49, TRIPURA, North Tripura,Male,In seeing,470
16,4,Rural,50-59, TRIPURA, North Tripura,Male,In seeing,311
16,4,Rural,60-69, TRIPURA, North Tripura,Male,In seeing,301
16,4,Rural,70-79, TRIPURA, North Tripura,Male,In seeing,237
16,4,Rural,80-89, TRIPURA, North Tripura,Male,In seeing,98
16,4,Rural,90+, TRIPURA, North Tripura,Male,In seeing,34
16,4,Rural,Age not stated, TRIPURA, North Tripura,Male,In seeing,10
16,4,Urban,0-4, TRIPURA, North Tripura,Male,In seeing,19
16,4,Urban,5-9, TRIPURA, North Tripura,Male,In seeing,21
16,4,Urban,10-19, TRIPURA, North Tripura,Male,In seeing,60
16,4,Urban,20-29, TRIPURA, North Tripura,Male,In seeing,54
16,4,Urban,30-39, TRIPURA, North Tripura,Male,In seeing,92
16,4,Urban,40-49, TRIPURA, North Tripura,Male,In seeing,87
16,4,Urban,50-59, TRIPURA, North Tripura,Male,In seeing,61
16,4,Urban,60-69, TRIPURA, North Tripura,Male,In seeing,41
