State Code,District Code,Total/ Rural/ Urban,Age-group,State,City,Gender,Type,Rate
9,1,Rural,0-4, UTTAR PRADESH, Saharanpur,Male,In seeing,1267
9,1,Rural,5-9, UTTAR PRADESH, Saharanpur,Male,In seeing,1548
9,1,Rural,10-19, UTTAR PRADESH, Saharanpur,Male,In seeing,2482
9,1,Rural,20-29, UTTAR PRADESH, Saharanpur,Male,In seeing,1600
9,1,Rural,30-39, UTTAR PRADESH, Saharanpur,Male,In seeing,1577
9,1,Rural,40-49, UTTAR PRADESH, Saharanpur,Male,In seeing,1212
9,1,Rural,50-59, UTTAR PRADESH, Saharanpur,Male,In seeing,968
9,1,Rural,60-69, UTTAR PRADESH, Saharanpur,Male,In seeing,964
9,1,Rural,70-79, UTTAR PRADESH, Saharanpur,Male,In seeing,719
9,1,Rural,80-89, UTTAR PRADESH, Saharanpur,Male,In seeing,297
9,1,Rural,90+, UTTAR PRADESH, Saharanpur,Male,In seeing,116
9,1,Rural,Age not stated, UTTAR PRADESH, Saharanpur,Male,In seeing,68
9,1,Urban,0-4, UTTAR PRADESH, Saharanpur,Male,In seeing,188
9,1,Urban,5-9, UTTAR PRADESH, Saharanpur,Male,In seeing,223
9,1,Urban,10-19, UTTAR PRADESH, Saharanpur,Male,In seeing,529
9,1,Urban,20-29, UTTAR PRADESH, Saharanpur,Male,In seeing,381
9,1,Urban,30-39, UTTAR PRADESH, Saharanpur,Male,In seeing,344
9,1,Urban,40-49, UTTAR PRADESH, Saharanpur,Male,In seeing,336
9,1,Urban,50-59, UTTAR PRADESH, Saharanpur,Male,In seeing,269
9,1,Urban,60-69, UTTAR PRADESH, Saharanpur,Male,In seeing,216
9,1,Urban,70-79, UTTAR PRADESH, Saharanpur,Male,In seeing,130
9,1,Urban,80-89, UTTAR PRADESH, Saharanpur,Male,In seeing,51
9,1,Urban,90+, UTTAR PRADESH, Saharanpur,Male,In seeing,21
9,1,Urban,Age not stated, UTTAR PRADESH, Saharanpur,Male,In seeing,21
9,2,Rural,0-4, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1051
9,2,Rural,5-9, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1190
9,2,Rural,10-19, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,2119
9,2,Rural,20-29, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1375
9,2,Rural,30-39, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1227
9,2,Rural,40-49, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1180
9,2,Rural,50-59, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1002
9,2,Rural,60-69, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,1173
9,2,Rural,70-79, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,893
9,2,Rural,80-89, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,421
9,2,Rural,90+, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,120
9,2,Rural,Age not stated, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,63
9,2,Urban,0-4, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,334
9,2,Urban,5-9, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,414
9,2,Urban,10-19, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,808
9,2,Urban,20-29, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,473
9,2,Urban,30-39, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,438
9,2,Urban,40-49, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,427
9,2,Urban,50-59, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,330
9,2,Urban,60-69, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,322
9,2,Urban,70-79, UTTAR PRADESH, Muzaffarnagar,Male,In seeing,236
