State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
5,1,Rural,0-4, UTTARANCHAL, Uttarkashi,Male,In seeing,71
5,1,Rural,5-9, UTTARANCHAL, Uttarkashi,Male,In seeing,101
5,1,Rural,10-19, UTTARANCHAL, Uttarkashi,Male,In seeing,212
5,1,Rural,20-29, UTTARANCHAL, Uttarkashi,Male,In seeing,164
5,1,Rural,30-39, UTTARANCHAL, Uttarkashi,Male,In seeing,158
5,1,Rural,40-49, UTTARANCHAL, Uttarkashi,Male,In seeing,167
5,1,Rural,50-59, UTTARANCHAL, Uttarkashi,Male,In seeing,164
5,1,Rural,60-69, UTTARANCHAL, Uttarkashi,Male,In seeing,217
5,1,Rural,70-79, UTTARANCHAL, Uttarkashi,Male,In seeing,134
5,1,Rural,80-89, UTTARANCHAL, Uttarkashi,Male,In seeing,52
5,1,Rural,90+, UTTARANCHAL, Uttarkashi,Male,In seeing,7
5,1,Rural,Age not stated, UTTARANCHAL, Uttarkashi,Male,In seeing,5
5,1,Urban,0-4, UTTARANCHAL, Uttarkashi,Male,In seeing,6
5,1,Urban,5-9, UTTARANCHAL, Uttarkashi,Male,In seeing,17
5,1,Urban,10-19, UTTARANCHAL, Uttarkashi,Male,In seeing,17
5,1,Urban,20-29, UTTARANCHAL, Uttarkashi,Male,In seeing,18
5,1,Urban,30-39, UTTARANCHAL, Uttarkashi,Male,In seeing,11
5,1,Urban,40-49, UTTARANCHAL, Uttarkashi,Male,In seeing,12
5,1,Urban,50-59, UTTARANCHAL, Uttarkashi,Male,In seeing,10
5,1,Urban,60-69, UTTARANCHAL, Uttarkashi,Male,In seeing,3
5,1,Urban,70-79, UTTARANCHAL, Uttarkashi,Male,In seeing,7
5,1,Urban,80-89, UTTARANCHAL, Uttarkashi,Male,In seeing,1
5,1,Urban,90+, UTTARANCHAL, Uttarkashi,Male,In seeing,0
5,1,Urban,Age not stated, UTTARANCHAL, Uttarkashi,Male,In seeing,0
5,2,Rural,0-4, UTTARANCHAL, Chamoli,Male,In seeing,113
5,2,Rural,5-9, UTTARANCHAL, Chamoli,Male,In seeing,152
5,2,Rural,10-19, UTTARANCHAL, Chamoli,Male,In seeing,311
5,2,Rural,20-29, UTTARANCHAL, Chamoli,Male,In seeing,235
5,2,Rural,30-39, UTTARANCHAL, Chamoli,Male,In seeing,220
5,2,Rural,40-49, UTTARANCHAL, Chamoli,Male,In seeing,228
5,2,Rural,50-59, UTTARANCHAL, Chamoli,Male,In seeing,207
5,2,Rural,60-69, UTTARANCHAL, Chamoli,Male,In seeing,245
