Table Name (1),State Code (2),Distt.Code (3),Area Name  (4),Total/Rural/Urban (5),Age-group (6),In seeing Persons Males (11),In Hearing Persons Males (14),In Hearing Persons Females (15),In Speech Males (17),In Speech Females (18),In Movement Males (20),In Movement  Females (21)
C4920,28,1,District-Adilabad,Rural,0-4,116,187,156,36,28,159,101
C4920,28,1,District-Adilabad,Rural,5-9,236,309,245,278,186,335,210
C4920,28,1,District-Adilabad,Rural,10-19,627,684,608,510,452,914,653
C4920,28,1,District-Adilabad,Rural,20-29,476,512,555,450,386,1280,809
C4920,28,1,District-Adilabad,Rural,30-39,506,502,501,394,275,1316,681
C4920,28,1,District-Adilabad,Rural,40-49,513,493,472,306,225,1137,606
C4920,28,1,District-Adilabad,Rural,50-59,591,357,352,208,154,935,654
C4920,28,1,District-Adilabad,Rural,60-69,1098,435,545,153,144,1112,803
C4920,28,1,District-Adilabad,Rural,70-79,776,277,291,49,47,577,470
C4920,28,1,District-Adilabad,Rural,80-89,245,87,111,19,17,138,172
C4920,28,1,District-Adilabad,Rural,90+,47,18,34,5,6,33,42
C4920,28,1,District-Adilabad,Rural,Age Not Stated,129,90,59,59,46,145,78
C4920,28,1,District-Adilabad,Urban,0-4,42,64,56,9,9,42,25
C4920,28,1,District-Adilabad,Urban,5-9,64,91,78,85,68,84,45
C4920,28,1,District-Adilabad,Urban,10-19,180,194,186,222,191,296,206
C4920,28,1,District-Adilabad,Urban,20-29,172,249,214,204,204,512,293
C4920,28,1,District-Adilabad,Urban,30-39,188,180,181,169,170,457,246
C4920,28,1,District-Adilabad,Urban,40-49,152,174,151,189,114,476,168
C4920,28,1,District-Adilabad,Urban,50-59,152,134,102,98,68,379,161
C4920,28,1,District-Adilabad,Urban,60-69,163,94,115,47,39,314,220
C4920,28,1,District-Adilabad,Urban,70-79,80,42,59,11,18,154,95
C4920,28,1,District-Adilabad,Urban,80-89,25,20,30,7,5,44,44
C4920,28,1,District-Adilabad,Urban,90+,4,5,10,0,1,6,24
C4920,28,1,District-Adilabad,Urban,Age Not Stated,50,24,27,33,35,83,39
C4920,28,2,District-Nizamabad,Rural,0-4,98,115,82,29,34,108,78
C4920,28,2,District-Nizamabad,Rural,5-9,150,176,147,256,237,257,176
C4920,28,2,District-Nizamabad,Rural,10-19,430,487,363,675,557,824,547
C4920,28,2,District-Nizamabad,Rural,20-29,362,357,359,548,536,1297,832
C4920,28,2,District-Nizamabad,Rural,30-39,370,437,408,534,471,1404,761
C4920,28,2,District-Nizamabad,Rural,40-49,472,400,334,434,389,1269,657
C4920,28,2,District-Nizamabad,Rural,50-59,434,331,363,287,238,1111,747
C4920,28,2,District-Nizamabad,Rural,60-69,827,453,527,235,195,1319,1021
C4920,28,2,District-Nizamabad,Rural,70-79,508,272,351,97,95,711,615
C4920,28,2,District-Nizamabad,Rural,80-89,168,88,134,35,16,192,244
C4920,28,2,District-Nizamabad,Rural,90+,29,22,34,8,12,28,64
C4920,28,2,District-Nizamabad,Rural,Age Not Stated,59,35,40,62,37,93,78
C4920,28,2,District-Nizamabad,Urban,0-4,31,38,33,6,12,26,22
C4920,28,2,District-Nizamabad,Urban,5-9,47,56,56,67,69,60,48
C4920,28,2,District-Nizamabad,Urban,10-19,124,189,107,162,151,171,112
C4920,28,2,District-Nizamabad,Urban,20-29,100,151,115,165,159,283,194
C4920,28,2,District-Nizamabad,Urban,30-39,114,125,123,182,144,293,173
C4920,28,2,District-Nizamabad,Urban,40-49,98,118,84,157,93,269,101
C4920,28,2,District-Nizamabad,Urban,50-59,85,66,63,75,70,204,114
C4920,28,2,District-Nizamabad,Urban,60-69,81,60,66,53,41,200,149
C4920,28,2,District-Nizamabad,Urban,70-79,64,40,43,23,13,92,86
C4920,28,2,District-Nizamabad,Urban,80-89,6,10,20,3,5,23,25
C4920,28,2,District-Nizamabad,Urban,90+,5,3,9,1,1,2,9
C4920,28,2,District-Nizamabad,Urban,Age Not Stated,13,6,5,7,8,13,7
C4920,28,3,District-Karimnagar,Rural,0-4,186,142,135,52,41,142,89
C4920,28,3,District-Karimnagar,Rural,5-9,279,187,164,325,261,310,179
C4920,28,3,District-Karimnagar,Rural,10-19,843,662,663,896,815,1035,737
C4920,28,3,District-Karimnagar,Rural,20-29,711,637,647,922,801,1769,1114
C4920,28,3,District-Karimnagar,Rural,30-39,756,705,713,974,713,1878,1115
C4920,28,3,District-Karimnagar,Rural,40-49,861,654,675,920,590,1948,1054
C4920,28,3,District-Karimnagar,Rural,50-59,797,612,681,553,465,1925,1265
C4920,28,3,District-Karimnagar,Rural,60-69,1381,894,1159,465,455,2682,2086
C4920,28,3,District-Karimnagar,Rural,70-79,1186,707,768,292,186,1892,1337
C4920,28,3,District-Karimnagar,Rural,80-89,414,278,340,58,70,574,524
C4920,28,3,District-Karimnagar,Rural,90+,67,41,55,15,13,81,105
C4920,28,3,District-Karimnagar,Rural,Age Not Stated,185,87,93,121,85,319,192
C4920,28,3,District-Karimnagar,Urban,0-4,83,80,76,13,12,35,23
C4920,28,3,District-Karimnagar,Urban,5-9,109,108,91,103,87,75,60
C4920,28,3,District-Karimnagar,Urban,10-19,288,289,276,260,258,263,191
C4920,28,3,District-Karimnagar,Urban,20-29,359,297,299,291,275,478,321
C4920,28,3,District-Karimnagar,Urban,30-39,325,309,265,315,218,460,228
C4920,28,3,District-Karimnagar,Urban,40-49,313,237,231,270,183,465,205
C4920,28,3,District-Karimnagar,Urban,50-59,231,203,162,190,110,395,199
C4920,28,3,District-Karimnagar,Urban,60-69,230,156,171,125,81,436,237
C4920,28,3,District-Karimnagar,Urban,70-79,125,80,110,40,37,178,126
C4920,28,3,District-Karimnagar,Urban,80-89,35,32,63,17,17,46,67
C4920,28,3,District-Karimnagar,Urban,90+,9,3,4,1,5,9,16
C4920,28,3,District-Karimnagar,Urban,Age Not Stated,17,10,16,25,12,21,17
C4920,28,4,District-Medak,Rural,0-4,81,97,96,38,23,163,126
C4920,28,4,District-Medak,Rural,5-9,209,186,142,331,242,343,233
C4920,28,4,District-Medak,Rural,10-19,446,437,360,590,464,1125,788
C4920,28,4,District-Medak,Rural,20-29,432,446,416,403,322,1781,1098
C4920,28,4,District-Medak,Rural,30-39,480,357,351,268,232,1628,813
C4920,28,4,District-Medak,Rural,40-49,545,359,279,209,161,1420,668
C4920,28,4,District-Medak,Rural,50-59,565,314,335,144,143,1312,789
C4920,28,4,District-Medak,Rural,60-69,1062,493,529,130,106,1634,1087
C4920,28,4,District-Medak,Rural,70-79,864,330,289,53,42,866,616
C4920,28,4,District-Medak,Rural,80-89,295,113,157,14,14,237,233
C4920,28,4,District-Medak,Rural,90+,44,25,36,4,2,35,61
C4920,28,4,District-Medak,Rural,Age Not Stated,9,8,7,2,4,17,14
C4920,28,4,District-Medak,Urban,0-4,11,59,66,6,6,39,27
C4920,28,4,District-Medak,Urban,5-9,32,77,60,73,58,65,40
C4920,28,4,District-Medak,Urban,10-19,113,156,153,146,112,223,137
C4920,28,4,District-Medak,Urban,20-29,139,166,205,143,118,443,242
C4920,28,4,District-Medak,Urban,30-39,106,154,119,94,79,423,207
C4920,28,4,District-Medak,Urban,40-49,100,90,107,59,41,397,144
C4920,28,4,District-Medak,Urban,50-59,102,80,76,47,31,286,124
C4920,28,4,District-Medak,Urban,60-69,111,66,75,30,26,285,144
C4920,28,4,District-Medak,Urban,70-79,73,41,46,14,3,105,95
C4920,28,4,District-Medak,Urban,80-89,30,10,18,2,1,35,41
C4920,28,4,District-Medak,Urban,90+,9,3,7,1,1,7,5
C4920,28,4,District-Medak,Urban,Age Not Stated,5,6,5,5,4,3,4
C4920,28,5,District-Hyderabad,Rural,0-4,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,5-9,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,10-19,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,20-29,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,30-39,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,40-49,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,50-59,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,60-69,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,70-79,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,80-89,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,90+,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Rural,Age Not Stated,0,0,0,0,0,0,0
C4920,28,5,District-Hyderabad,Urban,0-4,1889,1621,1447,88,86,155,108
C4920,28,5,District-Hyderabad,Urban,5-9,2178,1868,1643,645,548,188,169
C4920,28,5,District-Hyderabad,Urban,10-19,4759,4064,3622,1390,1229,569,454
C4920,28,5,District-Hyderabad,Urban,20-29,4519,3984,4130,1617,1540,938,711
C4920,28,5,District-Hyderabad,Urban,30-39,3682,3477,3101,1768,1320,962,577
C4920,28,5,District-Hyderabad,Urban,40-49,2996,2533,2144,1589,1023,827,428
C4920,28,5,District-Hyderabad,Urban,50-59,1939,1639,1368,1056,640,788,358
C4920,28,5,District-Hyderabad,Urban,60-69,1284,1011,909,610,385,591,341
C4920,28,5,District-Hyderabad,Urban,70-79,559,512,441,260,158,284,229
C4920,28,5,District-Hyderabad,Urban,80-89,165,199,195,76,65,81,85
C4920,28,5,District-Hyderabad,Urban,90+,73,77,88,28,22,15,29
C4920,28,5,District-Hyderabad,Urban,Age Not Stated,559,557,571,180,101,110,59
C4920,28,6,District-Rangareddy,Rural,0-4,269,199,168,42,17,115,90
C4920,28,6,District-Rangareddy,Rural,5-9,328,254,262,250,215,207,143
C4920,28,6,District-Rangareddy,Rural,10-19,820,642,636,503,428,732,468
C4920,28,6,District-Rangareddy,Rural,20-29,734,541,526,467,394,1448,761
C4920,28,6,District-Rangareddy,Rural,30-39,741,526,484,445,280,1228,546
C4920,28,6,District-Rangareddy,Rural,40-49,671,437,359,326,222,1160,479
C4920,28,6,District-Rangareddy,Rural,50-59,614,358,317,208,135,935,574
C4920,28,6,District-Rangareddy,Rural,60-69,898,394,455,206,158,1168,818
C4920,28,6,District-Rangareddy,Rural,70-79,607,272,243,73,61,560,440
C4920,28,6,District-Rangareddy,Rural,80-89,196,93,107,11,14,151,163
C4920,28,6,District-Rangareddy,Rural,90+,50,27,33,6,1,49,32
C4920,28,6,District-Rangareddy,Rural,Age Not Stated,132,54,39,30,27,127,106
C4920,28,6,District-Rangareddy,Urban,0-4,717,1061,1005,82,64,130,105
C4920,28,6,District-Rangareddy,Urban,5-9,740,1126,1032,476,424,220,153
C4920,28,6,District-Rangareddy,Urban,10-19,1612,2445,2284,958,937,609,469
C4920,28,6,District-Rangareddy,Urban,20-29,1888,2945,3215,1216,1136,1290,912
C4920,28,6,District-Rangareddy,Urban,30-39,1930,2731,2342,1460,967,1290,631
C4920,28,6,District-Rangareddy,Urban,40-49,1547,1809,1475,1127,614,1220,512
C4920,28,6,District-Rangareddy,Urban,50-59,1026,1196,980,667,401,1067,475
C4920,28,6,District-Rangareddy,Urban,60-69,788,757,630,444,221,796,414
C4920,28,6,District-Rangareddy,Urban,70-79,301,322,260,134,84,332,211
C4920,28,6,District-Rangareddy,Urban,80-89,99,137,127,38,35,88,104
C4920,28,6,District-Rangareddy,Urban,90+,45,58,63,24,13,14,28
C4920,28,6,District-Rangareddy,Urban,Age Not Stated,265,666,612,138,112,167,102
C4920,28,7,District-Mahbubnagar,Rural,0-4,162,298,267,63,66,300,210
C4920,28,7,District-Mahbubnagar,Rural,5-9,291,464,400,533,397,615,403
C4920,28,7,District-Mahbubnagar,Rural,10-19,710,1104,1007,984,756,1796,1355
C4920,28,7,District-Mahbubnagar,Rural,20-29,695,924,906,597,538,2821,1740
C4920,28,7,District-Mahbubnagar,Rural,30-39,736,831,945,525,404,2506,1398
C4920,28,7,District-Mahbubnagar,Rural,40-49,854,829,817,375,293,2110,1066
C4920,28,7,District-Mahbubnagar,Rural,50-59,998,686,777,220,201,1907,1222
