Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,1,District-Pashchim Champaran,Rural,0-4,958,911,815,89,59,320,242,102,81
C4920,10,1,District-Pashchim Champaran,Rural,5-9,1309,1341,1255,439,363,511,347,220,135
C4920,10,1,District-Pashchim Champaran,Rural,10-19,1945,2082,1660,739,511,1508,778,499,289
C4920,10,1,District-Pashchim Champaran,Rural,20-29,1169,1362,1077,442,303,1161,451,322,165
C4920,10,1,District-Pashchim Champaran,Rural,30-39,1157,1238,1050,452,303,889,404,289,160
C4920,10,1,District-Pashchim Champaran,Rural,40-49,1055,1020,804,348,236,731,282,212,111
C4920,10,1,District-Pashchim Champaran,Rural,50-59,758,715,575,239,162,594,309,126,90
C4920,10,1,District-Pashchim Champaran,Rural,60-69,902,693,596,183,125,728,391,93,67
C4920,10,1,District-Pashchim Champaran,Rural,70-79,407,304,187,55,47,374,173,30,28
C4920,10,1,District-Pashchim Champaran,Rural,80-89,75,81,59,10,10,81,51,4,7
C4920,10,1,District-Pashchim Champaran,Rural,90+,25,18,24,2,4,24,15,8,0
C4920,10,1,District-Pashchim Champaran,Rural,Age Not Stated,11,28,20,1,1,1,3,3,2
C4920,10,1,District-Pashchim Champaran,Urban,0-4,43,63,47,7,5,27,19,3,5
C4920,10,1,District-Pashchim Champaran,Urban,5-9,62,76,78,42,38,47,34,15,13
C4920,10,1,District-Pashchim Champaran,Urban,10-19,122,164,152,89,54,158,95,56,35
C4920,10,1,District-Pashchim Champaran,Urban,20-29,77,216,109,62,29,145,57,55,24
C4920,10,1,District-Pashchim Champaran,Urban,30-39,68,152,62,30,34,109,47,43,25
C4920,10,1,District-Pashchim Champaran,Urban,40-49,51,122,60,40,23,99,47,42,6
C4920,10,1,District-Pashchim Champaran,Urban,50-59,51,75,58,26,13,92,58,16,9
