Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,20,1,District-Garhwa ,Rural,0-4,71,123,126,20,13,98,77,49,19
C4920,20,1,District-Garhwa ,Rural,5-9,133,188,163,136,103,188,148,123,107
C4920,20,1,District-Garhwa ,Rural,10-19,314,388,301,299,208,794,488,416,265
C4920,20,1,District-Garhwa ,Rural,20-29,170,230,182,145,85,724,368,284,165
C4920,20,1,District-Garhwa ,Rural,30-39,189,234,209,127,74,533,260,260,170
C4920,20,1,District-Garhwa ,Rural,40-49,169,173,156,81,58,432,227,203,112
C4920,20,1,District-Garhwa ,Rural,50-59,152,142,116,44,32,390,290,109,64
C4920,20,1,District-Garhwa ,Rural,60-69,284,203,210,39,44,736,574,94,77
C4920,20,1,District-Garhwa ,Rural,70-79,252,134,126,25,19,511,332,31,18
C4920,20,1,District-Garhwa ,Rural,80-89,93,50,53,6,6,178,149,4,6
C4920,20,1,District-Garhwa ,Rural,90+,28,26,9,2,2,41,41,3,1
C4920,20,1,District-Garhwa ,Rural,Age Not Stated,1,0,0,1,0,1,0,0,0
C4920,20,1,District-Garhwa ,Urban,0-4,3,3,5,0,1,2,5,1,1
C4920,20,1,District-Garhwa ,Urban,5-9,8,7,3,12,8,8,4,1,7
C4920,20,1,District-Garhwa ,Urban,10-19,12,19,5,10,9,33,25,20,15
C4920,20,1,District-Garhwa ,Urban,20-29,8,16,9,7,6,48,24,22,11
C4920,20,1,District-Garhwa ,Urban,30-39,12,9,12,4,3,29,13,19,7
C4920,20,1,District-Garhwa ,Urban,40-49,11,10,5,1,2,32,11,16,7
C4920,20,1,District-Garhwa ,Urban,50-59,6,5,7,3,5,20,6,8,2
C4920,20,1,District-Garhwa ,Urban,60-69,10,5,9,2,0,24,22,5,4
C4920,20,1,District-Garhwa ,Urban,70-79,5,2,1,0,0,17,9,1,1
C4920,20,1,District-Garhwa ,Urban,80-89,2,1,1,0,1,6,6,1,0
C4920,20,1,District-Garhwa ,Urban,90+,1,1,0,0,0,0,1,0,0
C4920,20,1,District-Garhwa ,Urban,Age Not Stated,0,0,0,0,0,0,1,0,0
C4920,20,2,District-Chatra,Rural,0-4,38,137,126,11,17,83,56,27,13
C4920,20,2,District-Chatra,Rural,5-9,66,179,177,96,58,138,101,89,74
C4920,20,2,District-Chatra,Rural,10-19,190,371,322,171,115,414,284,233,180
C4920,20,2,District-Chatra,Rural,20-29,98,214,203,102,74,430,222,164,101
C4920,20,2,District-Chatra,Rural,30-39,115,194,185,89,58,271,163,137,70
C4920,20,2,District-Chatra,Rural,40-49,95,193,188,55,43,258,122,108,66
C4920,20,2,District-Chatra,Rural,50-59,123,180,151,33,20,213,140,66,32
C4920,20,2,District-Chatra,Rural,60-69,232,212,196,34,23,364,268,35,39
C4920,20,2,District-Chatra,Rural,70-79,167,117,120,14,11,229,175,11,6
C4920,20,2,District-Chatra,Rural,80-89,51,47,35,8,2,84,57,3,3
C4920,20,2,District-Chatra,Rural,90+,15,13,12,0,0,16,16,1,0
C4920,20,2,District-Chatra,Rural,Age Not Stated,4,1,1,2,3,0,0,0,0
C4920,20,2,District-Chatra,Urban,0-4,1,0,4,2,1,6,3,1,1
C4920,20,2,District-Chatra,Urban,5-9,3,6,4,11,8,6,5,7,8
C4920,20,2,District-Chatra,Urban,10-19,10,7,10,20,11,43,20,17,14
C4920,20,2,District-Chatra,Urban,20-29,6,6,5,8,6,28,28,18,14
C4920,20,2,District-Chatra,Urban,30-39,6,9,5,6,8,33,17,19,7
C4920,20,2,District-Chatra,Urban,40-49,2,8,3,7,5,21,22,12,7
C4920,20,2,District-Chatra,Urban,50-59,7,10,10,3,0,29,20,11,2
C4920,20,2,District-Chatra,Urban,60-69,6,9,5,0,0,33,21,4,3
C4920,20,2,District-Chatra,Urban,70-79,5,3,3,2,2,13,18,2,0
C4920,20,2,District-Chatra,Urban,80-89,1,0,2,0,0,5,3,1,0
C4920,20,2,District-Chatra,Urban,90+,1,0,1,0,0,1,3,0,1
C4920,20,2,District-Chatra,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,20,3,District-Kodarma,Rural,0-4,32,70,96,12,10,45,19,11,13
C4920,20,3,District-Kodarma,Rural,5-9,43,102,110,71,45,71,52,42,26
C4920,20,3,District-Kodarma,Rural,10-19,83,202,159,103,71,271,120,117,85
C4920,20,3,District-Kodarma,Rural,20-29,56,90,113,59,42,269,98,93,74
C4920,20,3,District-Kodarma,Rural,30-39,62,120,107,43,29,196,88,101,49
C4920,20,3,District-Kodarma,Rural,40-49,65,102,89,29,28,146,66,59,34
C4920,20,3,District-Kodarma,Rural,50-59,53,67,91,16,20,132,76,44,37
C4920,20,3,District-Kodarma,Rural,60-69,66,87,77,17,10,131,78,22,20
C4920,20,3,District-Kodarma,Rural,70-79,43,51,58,6,2,86,71,5,5
C4920,20,3,District-Kodarma,Rural,80-89,20,18,13,2,0,20,28,3,2
C4920,20,3,District-Kodarma,Rural,90+,5,7,4,0,0,4,9,1,0
C4920,20,3,District-Kodarma,Rural,Age Not Stated,0,1,1,0,0,0,0,0,0
C4920,20,3,District-Kodarma,Urban,0-4,7,7,11,2,3,8,6,3,0
C4920,20,3,District-Kodarma,Urban,5-9,6,13,23,17,16,18,14,12,4
C4920,20,3,District-Kodarma,Urban,10-19,15,27,24,20,22,58,28,40,25
C4920,20,3,District-Kodarma,Urban,20-29,19,24,26,11,11,58,28,29,10
C4920,20,3,District-Kodarma,Urban,30-39,13,33,28,16,11,47,19,34,11
C4920,20,3,District-Kodarma,Urban,40-49,13,19,12,8,5,45,27,16,9
C4920,20,3,District-Kodarma,Urban,50-59,16,13,15,5,4,50,19,1,8
C4920,20,3,District-Kodarma,Urban,60-69,16,21,21,2,6,51,29,6,3
C4920,20,3,District-Kodarma,Urban,70-79,9,12,10,1,1,31,23,4,1
C4920,20,3,District-Kodarma,Urban,80-89,8,5,0,3,2,9,8,1,2
C4920,20,3,District-Kodarma,Urban,90+,0,2,1,0,0,1,2,0,0
C4920,20,3,District-Kodarma,Urban,Age Not Stated,0,0,0,0,1,0,0,0,0
C4920,20,4,District-Giridih,Rural,0-4,194,602,555,45,34,195,125,52,53
C4920,20,4,District-Giridih,Rural,5-9,292,661,653,305,214,294,232,158,115
C4920,20,4,District-Giridih,Rural,10-19,571,1260,1023,527,394,946,583,472,392
C4920,20,4,District-Giridih,Rural,20-29,376,951,780,285,218,892,415,402,253
