Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,35,1,District-Nicobars,Rural,0-4,1,0,0,0,0,0,2,0,0
C4920,35,1,District-Nicobars,Rural,5-9,0,1,0,3,2,6,2,0,0
C4920,35,1,District-Nicobars,Rural,10-19,4,2,3,6,9,8,2,2,8
C4920,35,1,District-Nicobars,Rural,20-29,10,5,2,4,3,10,10,6,8
C4920,35,1,District-Nicobars,Rural,30-39,10,5,6,3,2,13,6,6,7
C4920,35,1,District-Nicobars,Rural,40-49,7,6,5,0,1,23,11,6,4
C4920,35,1,District-Nicobars,Rural,50-59,9,9,6,3,2,18,8,6,7
C4920,35,1,District-Nicobars,Rural,60-69,7,10,9,0,0,18,11,2,2
C4920,35,1,District-Nicobars,Rural,70-79,6,10,10,0,0,13,4,0,0
C4920,35,1,District-Nicobars,Rural,80-89,3,0,4,1,0,8,2,0,1
C4920,35,1,District-Nicobars,Rural,90+,0,2,1,0,0,0,0,0,2
C4920,35,1,District-Nicobars,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,0-4,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,5-9,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,10-19,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,20-29,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,30-39,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,40-49,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,50-59,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,60-69,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,70-79,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,80-89,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,90+,0,0,0,0,0,0,0,0,0
C4920,35,1,District-Nicobars,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Rural,0-4,3,4,2,5,2,11,4,2,2
C4920,35,2,District-North  & Middle Andaman,Rural,5-9,4,7,4,11,12,17,13,6,6
C4920,35,2,District-North  & Middle Andaman,Rural,10-19,27,11,14,29,20,35,21,25,15
C4920,35,2,District-North  & Middle Andaman,Rural,20-29,27,16,9,31,19,59,25,24,23
C4920,35,2,District-North  & Middle Andaman,Rural,30-39,33,19,13,7,8,69,30,18,15
C4920,35,2,District-North  & Middle Andaman,Rural,40-49,58,16,23,9,3,56,30,12,15
C4920,35,2,District-North  & Middle Andaman,Rural,50-59,42,27,21,5,3,48,29,8,18
C4920,35,2,District-North  & Middle Andaman,Rural,60-69,60,40,34,6,5,52,39,4,9
C4920,35,2,District-North  & Middle Andaman,Rural,70-79,63,30,16,3,2,47,22,4,4
C4920,35,2,District-North  & Middle Andaman,Rural,80-89,16,14,9,0,0,10,9,1,2
C4920,35,2,District-North  & Middle Andaman,Rural,90+,5,5,7,1,1,1,6,0,0
C4920,35,2,District-North  & Middle Andaman,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,0-4,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,5-9,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,10-19,0,0,0,0,0,1,1,1,0
C4920,35,2,District-North  & Middle Andaman,Urban,20-29,1,0,0,0,0,2,1,2,1
C4920,35,2,District-North  & Middle Andaman,Urban,30-39,0,0,0,0,0,1,1,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,40-49,0,0,0,0,0,0,3,1,0
C4920,35,2,District-North  & Middle Andaman,Urban,50-59,0,1,0,0,0,2,0,1,0
C4920,35,2,District-North  & Middle Andaman,Urban,60-69,2,0,0,0,0,0,1,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,70-79,0,2,0,0,0,2,0,1,0
C4920,35,2,District-North  & Middle Andaman,Urban,80-89,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,90+,0,0,0,0,0,0,0,0,0
C4920,35,2,District-North  & Middle Andaman,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,35,3,District-South Andaman,Rural,0-4,2,8,7,1,2,5,5,4,0
C4920,35,3,District-South Andaman,Rural,5-9,3,12,7,11,3,8,2,4,4
C4920,35,3,District-South Andaman,Rural,10-19,13,18,28,19,15,17,12,16,30
C4920,35,3,District-South Andaman,Rural,20-29,13,44,40,22,9,33,21,26,27
C4920,35,3,District-South Andaman,Rural,30-39,15,34,35,15,9,49,32,13,11
C4920,35,3,District-South Andaman,Rural,40-49,19,23,17,9,6,46,25,9,9
C4920,35,3,District-South Andaman,Rural,50-59,20,31,13,6,3,36,10,5,8
C4920,35,3,District-South Andaman,Rural,60-69,14,26,9,2,3,31,10,4,2
C4920,35,3,District-South Andaman,Rural,70-79,7,21,7,3,2,18,7,1,0
C4920,35,3,District-South Andaman,Rural,80-89,8,8,6,0,0,9,6,0,0
C4920,35,3,District-South Andaman,Rural,90+,2,0,3,1,0,2,2,0,0
C4920,35,3,District-South Andaman,Rural,Age Not Stated,0,0,0,0,0,0,1,0,0
C4920,35,3,District-South Andaman,Urban,0-4,2,5,15,2,1,4,3,4,1
C4920,35,3,District-South Andaman,Urban,5-9,4,12,11,10,6,9,5,7,4
C4920,35,3,District-South Andaman,Urban,10-19,9,29,32,21,15,26,15,22,21
C4920,35,3,District-South Andaman,Urban,20-29,16,33,27,25,20,42,33,22,27
C4920,35,3,District-South Andaman,Urban,30-39,15,35,38,18,13,48,20,20,13
C4920,35,3,District-South Andaman,Urban,40-49,9,30,28,10,7,48,19,15,10
C4920,35,3,District-South Andaman,Urban,50-59,13,28,11,6,2,42,14,8,11
C4920,35,3,District-South Andaman,Urban,60-69,6,17,13,5,4,20,5,3,7
C4920,35,3,District-South Andaman,Urban,70-79,8,5,7,2,1,17,4,1,0
C4920,35,3,District-South Andaman,Urban,80-89,2,3,3,1,0,3,3,1,1
C4920,35,3,District-South Andaman,Urban,90+,0,0,0,0,0,0,3,0,0
C4920,35,3,District-South Andaman,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
