Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,18,1,District-Kokrajhar,Rural,0-4,29,89,91,6,8,32,26,14,13
C4920,18,1,District-Kokrajhar,Rural,5-9,29,121,102,60,64,34,39,26,19
C4920,18,1,District-Kokrajhar,Rural,10-19,103,220,193,149,116,146,98,121,107
C4920,18,1,District-Kokrajhar,Rural,20-29,67,203,175,93,82,145,84,117,69
C4920,18,1,District-Kokrajhar,Rural,30-39,65,203,163,72,57,111,63,102,81
C4920,18,1,District-Kokrajhar,Rural,40-49,71,389,141,48,42,128,65,88,54
C4920,18,1,District-Kokrajhar,Rural,50-59,51,150,108,45,25,118,61,58,36
C4920,18,1,District-Kokrajhar,Rural,60-69,67,126,118,19,17,105,54,29,22
C4920,18,1,District-Kokrajhar,Rural,70-79,58,107,81,10,3,62,69,12,9
C4920,18,1,District-Kokrajhar,Rural,80-89,24,43,42,2,3,20,26,3,5
C4920,18,1,District-Kokrajhar,Rural,90+,8,9,8,2,0,12,11,0,1
C4920,18,1,District-Kokrajhar,Rural,Age Not Stated,0,2,4,0,0,0,1,0,1
C4920,18,1,District-Kokrajhar,Urban,0-4,12,4,7,1,0,2,0,4,2
C4920,18,1,District-Kokrajhar,Urban,5-9,9,9,9,2,3,5,0,2,1
C4920,18,1,District-Kokrajhar,Urban,10-19,27,22,17,3,2,10,1,15,18
C4920,18,1,District-Kokrajhar,Urban,20-29,32,16,29,4,4,9,8,14,10
C4920,18,1,District-Kokrajhar,Urban,30-39,36,21,19,9,4,3,4,12,13
C4920,18,1,District-Kokrajhar,Urban,40-49,36,17,10,1,5,13,2,10,7
C4920,18,1,District-Kokrajhar,Urban,50-59,12,8,7,2,2,9,3,5,6
C4920,18,1,District-Kokrajhar,Urban,60-69,6,10,9,2,1,6,5,3,6
C4920,18,1,District-Kokrajhar,Urban,70-79,7,4,7,0,0,3,4,2,3
C4920,18,1,District-Kokrajhar,Urban,80-89,5,1,2,0,1,2,5,0,1
C4920,18,1,District-Kokrajhar,Urban,90+,0,2,2,0,0,1,0,1,1
C4920,18,1,District-Kokrajhar,Urban,Age Not Stated,0,3,4,0,0,0,0,0,3
C4920,18,2,District-Dhubri,Rural,0-4,292,144,162,19,15,119,72,47,48
C4920,18,2,District-Dhubri,Rural,5-9,359,217,209,175,143,158,103,97,73
C4920,18,2,District-Dhubri,Rural,10-19,665,383,341,271,211,367,230,242,201
C4920,18,2,District-Dhubri,Rural,20-29,522,298,293,191,165,347,208,290,209
C4920,18,2,District-Dhubri,Rural,30-39,393,283,235,154,138,328,163,260,219
C4920,18,2,District-Dhubri,Rural,40-49,307,264,245,102,77,280,157,246,195
C4920,18,2,District-Dhubri,Rural,50-59,314,228,229,70,51,332,198,147,144
C4920,18,2,District-Dhubri,Rural,60-69,261,236,317,49,50,318,337,128,120
C4920,18,2,District-Dhubri,Rural,70-79,257,186,267,22,39,258,381,76,101
