Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,22,1,District-Koriya,Rural,0-4,28,35,34,8,6,60,53,6,5
C4920,22,1,District-Koriya,Rural,5-9,49,49,47,52,37,121,65,39,34
C4920,22,1,District-Koriya,Rural,10-19,106,120,92,80,64,227,159,120,111
C4920,22,1,District-Koriya,Rural,20-29,122,96,75,53,42,320,204,108,102
C4920,22,1,District-Koriya,Rural,30-39,110,121,75,42,34,261,140,125,95
C4920,22,1,District-Koriya,Rural,40-49,118,112,79,34,35,249,156,96,72
C4920,22,1,District-Koriya,Rural,50-59,148,102,88,20,17,273,184,52,35
C4920,22,1,District-Koriya,Rural,60-69,208,142,141,17,11,318,311,27,12
C4920,22,1,District-Koriya,Rural,70-79,121,117,106,4,4,191,200,6,6
C4920,22,1,District-Koriya,Rural,80-89,38,40,30,0,1,73,75,3,3
C4920,22,1,District-Koriya,Rural,90+,17,13,18,1,0,22,26,2,2
C4920,22,1,District-Koriya,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,22,1,District-Koriya,Urban,0-4,1,17,9,0,0,10,5,4,1
C4920,22,1,District-Koriya,Urban,5-9,19,17,19,13,7,27,15,11,7
C4920,22,1,District-Koriya,Urban,10-19,77,41,26,28,38,80,50,38,39
C4920,22,1,District-Koriya,Urban,20-29,42,37,30,32,16,140,88,61,38
C4920,22,1,District-Koriya,Urban,30-39,15,24,49,15,11,82,37,40,23
C4920,22,1,District-Koriya,Urban,40-49,27,35,27,15,9,77,42,26,19
C4920,22,1,District-Koriya,Urban,50-59,20,34,27,11,3,80,32,18,14
C4920,22,1,District-Koriya,Urban,60-69,32,29,38,5,5,48,45,7,6
C4920,22,1,District-Koriya,Urban,70-79,22,29,24,4,3,39,32,4,1
C4920,22,1,District-Koriya,Urban,80-89,10,8,11,1,0,14,10,1,1
C4920,22,1,District-Koriya,Urban,90+,0,4,3,0,1,7,2,0,0
C4920,22,1,District-Koriya,Urban,Age Not Stated,0,0,2,0,0,1,0,0,0
C4920,22,2,District-Surguja,Rural,0-4,166,132,106,36,25,279,167,43,40
C4920,22,2,District-Surguja,Rural,5-9,253,250,196,193,174,445,272,185,137
C4920,22,2,District-Surguja,Rural,10-19,492,495,402,327,283,1087,784,547,516
C4920,22,2,District-Surguja,Rural,20-29,352,404,337,257,182,1216,755,481,413
C4920,22,2,District-Surguja,Rural,30-39,323,360,315,176,166,1021,593,470,371
C4920,22,2,District-Surguja,Rural,40-49,357,434,310,138,110,942,646,359,305
C4920,22,2,District-Surguja,Rural,50-59,383,432,303,85,81,927,692,182,149
C4920,22,2,District-Surguja,Rural,60-69,664,638,564,77,74,1182,1153,112,109
C4920,22,2,District-Surguja,Rural,70-79,484,428,390,27,19,832,808,35,38
C4920,22,2,District-Surguja,Rural,80-89,189,177,130,5,10,330,327,11,10
C4920,22,2,District-Surguja,Rural,90+,56,56,29,7,1,103,105,7,4
C4920,22,2,District-Surguja,Rural,Age Not Stated,1,6,4,1,0,4,3,1,0
