Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,26,1,District-Dadra & Nagar Haveli,Rural,0-4,7,6,15,9,2,4,7,2,3,1
C4920,26,1,District-Dadra & Nagar Haveli,Rural,5-9,5,7,13,14,10,5,11,6,9,8
C4920,26,1,District-Dadra & Nagar Haveli,Rural,10-19,21,15,39,18,17,14,40,17,34,29
C4920,26,1,District-Dadra & Nagar Haveli,Rural,20-29,31,19,36,24,12,11,45,27,21,24
C4920,26,1,District-Dadra & Nagar Haveli,Rural,30-39,16,9,30,13,14,7,42,20,19,8
C4920,26,1,District-Dadra & Nagar Haveli,Rural,40-49,21,15,19,20,6,6,34,24,17,8
C4920,26,1,District-Dadra & Nagar Haveli,Rural,50-59,13,8,16,19,4,1,26,15,6,3
C4920,26,1,District-Dadra & Nagar Haveli,Rural,60-69,11,23,25,21,3,1,27,15,7,4
C4920,26,1,District-Dadra & Nagar Haveli,Rural,70-79,7,19,20,24,0,1,9,17,0,1
C4920,26,1,District-Dadra & Nagar Haveli,Rural,80-89,4,2,4,7,0,1,2,2,0,0
C4920,26,1,District-Dadra & Nagar Haveli,Rural,90+,0,1,0,1,0,0,0,0,1,0
C4920,26,1,District-Dadra & Nagar Haveli,Rural,Age Not Stated,0,0,3,3,0,0,0,0,0,0
C4920,26,1,District-Dadra & Nagar Haveli,Urban,0-4,6,6,21,16,1,0,11,2,3,1
C4920,26,1,District-Dadra & Nagar Haveli,Urban,5-9,11,9,10,12,11,3,12,8,9,1
C4920,26,1,District-Dadra & Nagar Haveli,Urban,10-19,8,16,30,18,11,10,27,11,13,14
C4920,26,1,District-Dadra & Nagar Haveli,Urban,20-29,21,16,44,32,15,12,34,27,5,8
C4920,26,1,District-Dadra & Nagar Haveli,Urban,30-39,16,7,38,20,5,4,41,20,8,9
C4920,26,1,District-Dadra & Nagar Haveli,Urban,40-49,16,5,22,12,4,3,23,13,6,7
C4920,26,1,District-Dadra & Nagar Haveli,Urban,50-59,5,5,5,7,0,2,23,6,0,4
C4920,26,1,District-Dadra & Nagar Haveli,Urban,60-69,7,4,9,6,0,1,19,9,1,0
C4920,26,1,District-Dadra & Nagar Haveli,Urban,70-79,4,3,2,11,0,0,5,0,3,0
C4920,26,1,District-Dadra & Nagar Haveli,Urban,80-89,2,0,2,4,0,0,2,1,0,0
C4920,26,1,District-Dadra & Nagar Haveli,Urban,90+,2,0,1,0,0,0,0,0,0,0
C4920,26,1,District-Dadra & Nagar Haveli,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0,0
