Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,25,1,District-Diu,Rural,0-4,1,1,0,0,0,1,2,0,2
C4920,25,1,District-Diu,Rural,5-9,3,0,0,1,1,0,4,3,0
C4920,25,1,District-Diu,Rural,10-19,8,2,3,4,4,15,2,9,6
C4920,25,1,District-Diu,Rural,20-29,6,1,2,4,4,13,11,8,3
C4920,25,1,District-Diu,Rural,30-39,1,1,2,3,3,27,19,5,6
C4920,25,1,District-Diu,Rural,40-49,9,0,1,1,0,15,6,3,3
C4920,25,1,District-Diu,Rural,50-59,3,1,1,2,0,5,5,2,2
C4920,25,1,District-Diu,Rural,60-69,4,1,4,0,0,10,7,1,1
C4920,25,1,District-Diu,Rural,70-79,2,3,5,0,0,11,11,0,0
C4920,25,1,District-Diu,Rural,80-89,0,0,4,0,0,2,4,0,0
C4920,25,1,District-Diu,Rural,90+,0,0,0,0,0,0,1,0,0
C4920,25,1,District-Diu,Rural,Age Not Stated,0,0,0,0,0,0,1,0,0
C4920,25,1,District-Diu,Urban,0-4,0,0,0,0,0,0,0,0,0
C4920,25,1,District-Diu,Urban,5-9,1,0,1,0,0,2,0,1,0
C4920,25,1,District-Diu,Urban,10-19,1,1,2,3,0,7,2,9,4
C4920,25,1,District-Diu,Urban,20-29,2,3,0,5,0,7,5,4,3
C4920,25,1,District-Diu,Urban,30-39,3,4,1,2,0,15,7,4,5
C4920,25,1,District-Diu,Urban,40-49,4,3,0,2,0,7,7,7,5
C4920,25,1,District-Diu,Urban,50-59,0,3,0,1,1,8,6,2,4
C4920,25,1,District-Diu,Urban,60-69,1,0,3,1,1,9,11,2,2
C4920,25,1,District-Diu,Urban,70-79,2,2,5,0,1,2,10,0,2
C4920,25,1,District-Diu,Urban,80-89,0,5,6,0,0,0,4,0,0
C4920,25,1,District-Diu,Urban,90+,0,0,3,0,0,0,0,0,0
C4920,25,1,District-Diu,Urban,Age Not Stated,0,0,0,0,0,1,0,0,0
C4920,25,2,District-Daman,Rural,0-4,1,0,1,0,0,0,1,0,1
C4920,25,2,District-Daman,Rural,5-9,1,1,0,3,0,1,0,1,1
C4920,25,2,District-Daman,Rural,10-19,2,6,4,1,3,5,8,7,2
C4920,25,2,District-Daman,Rural,20-29,4,3,4,5,3,6,8,4,6
C4920,25,2,District-Daman,Rural,30-39,9,2,1,3,2,17,4,6,5
C4920,25,2,District-Daman,Rural,40-49,20,5,4,3,1,3,4,4,2
C4920,25,2,District-Daman,Rural,50-59,9,5,2,2,0,8,5,4,2
C4920,25,2,District-Daman,Rural,60-69,7,1,2,0,1,5,1,0,1
C4920,25,2,District-Daman,Rural,70-79,1,2,3,1,1,0,4,0,0
C4920,25,2,District-Daman,Rural,80-89,2,0,0,0,0,1,1,0,0
C4920,25,2,District-Daman,Rural,90+,1,1,1,0,0,0,0,0,0
C4920,25,2,District-Daman,Rural,Age Not Stated,1,0,0,0,0,0,0,0,0
C4920,25,2,District-Daman,Urban,0-4,4,3,11,0,1,3,4,1,1
C4920,25,2,District-Daman,Urban,5-9,7,6,5,2,2,2,3,8,3
C4920,25,2,District-Daman,Urban,10-19,16,21,7,20,5,18,8,12,8
C4920,25,2,District-Daman,Urban,20-29,24,32,15,19,5,42,18,12,7
C4920,25,2,District-Daman,Urban,30-39,21,15,15,9,3,36,16,18,12
C4920,25,2,District-Daman,Urban,40-49,12,9,3,5,1,23,11,9,6
C4920,25,2,District-Daman,Urban,50-59,10,5,4,0,2,15,6,4,3
C4920,25,2,District-Daman,Urban,60-69,13,6,7,1,1,13,13,2,1
C4920,25,2,District-Daman,Urban,70-79,5,4,7,0,0,9,8,0,3
C4920,25,2,District-Daman,Urban,80-89,1,0,10,0,0,2,4,0,1
C4920,25,2,District-Daman,Urban,90+,0,0,2,0,0,1,1,0,0
C4920,25,2,District-Daman,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
