Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,24,1,District-Kachchh,Rural,0-4,50,40,34,6,17,90,71,47,15
C4920,24,1,District-Kachchh,Rural,5-9,115,61,55,133,57,179,132,181,136
C4920,24,1,District-Kachchh,Rural,10-19,274,151,119,186,114,476,322,491,312
C4920,24,1,District-Kachchh,Rural,20-29,210,145,91,114,63,950,548,334,214
C4920,24,1,District-Kachchh,Rural,30-39,196,135,88,93,73,851,512,333,223
C4920,24,1,District-Kachchh,Rural,40-49,237,140,140,74,39,591,317,224,184
C4920,24,1,District-Kachchh,Rural,50-59,335,197,183,52,27,423,246,143,124
C4920,24,1,District-Kachchh,Rural,60-69,399,250,323,20,17,365,234,70,76
C4920,24,1,District-Kachchh,Rural,70-79,303,266,339,19,11,184,212,31,49
C4920,24,1,District-Kachchh,Rural,80-89,160,106,243,5,3,58,120,6,17
C4920,24,1,District-Kachchh,Rural,90+,48,32,78,1,2,25,60,2,6
C4920,24,1,District-Kachchh,Rural,Age Not Stated,1,1,2,4,0,1,1,1,1
C4920,24,1,District-Kachchh,Urban,0-4,48,73,53,6,3,27,20,20,7
C4920,24,1,District-Kachchh,Urban,5-9,54,91,66,38,26,62,41,58,28
C4920,24,1,District-Kachchh,Urban,10-19,141,178,186,74,53,198,141,216,139
C4920,24,1,District-Kachchh,Urban,20-29,136,230,163,62,48,269,217,164,111
C4920,24,1,District-Kachchh,Urban,30-39,132,212,160,58,45,322,220,169,97
C4920,24,1,District-Kachchh,Urban,40-49,135,189,117,30,25,256,162,113,62
C4920,24,1,District-Kachchh,Urban,50-59,164,131,102,32,22,224,123,67,53
C4920,24,1,District-Kachchh,Urban,60-69,150,94,117,14,15,156,126,34,26
C4920,24,1,District-Kachchh,Urban,70-79,97,87,113,5,6,76,102,13,13
C4920,24,1,District-Kachchh,Urban,80-89,25,33,57,4,4,34,41,5,4
C4920,24,1,District-Kachchh,Urban,90+,3,10,24,3,1,5,16,0,1
C4920,24,1,District-Kachchh,Urban,Age Not Stated,8,9,10,1,0,5,7,5,0
C4920,24,2,District-Banas Kantha,Rural,0-4,126,108,102,27,20,192,115,49,23
C4920,24,2,District-Banas Kantha,Rural,5-9,291,193,175,260,155,432,271,298,158
C4920,24,2,District-Banas Kantha,Rural,10-19,598,423,283,438,181,1220,758,754,414
C4920,24,2,District-Banas Kantha,Rural,20-29,376,267,180,221,94,1571,755,430,241
C4920,24,2,District-Banas Kantha,Rural,30-39,388,284,181,138,77,1639,819,472,286
C4920,24,2,District-Banas Kantha,Rural,40-49,403,301,189,92,42,1003,499,351,255
C4920,24,2,District-Banas Kantha,Rural,50-59,423,268,220,55,34,655,372,156,134
C4920,24,2,District-Banas Kantha,Rural,60-69,520,297,329,48,19,459,309,95,79
C4920,24,2,District-Banas Kantha,Rural,70-79,366,214,291,23,11,206,198,29,47
C4920,24,2,District-Banas Kantha,Rural,80-89,131,96,134,1,5,60,84,4,10
C4920,24,2,District-Banas Kantha,Rural,90+,37,29,42,1,2,9,23,0,5
C4920,24,2,District-Banas Kantha,Rural,Age Not Stated,6,10,3,2,0,4,0,1,2
C4920,24,2,District-Banas Kantha,Urban,0-4,28,53,42,4,2,10,12,12,7
C4920,24,2,District-Banas Kantha,Urban,5-9,48,81,83,34,17,44,25,36,28
C4920,24,2,District-Banas Kantha,Urban,10-19,108,153,135,68,33,158,91,106,64
C4920,24,2,District-Banas Kantha,Urban,20-29,77,115,95,47,27,223,167,114,62
C4920,24,2,District-Banas Kantha,Urban,30-39,74,102,81,29,21,261,176,109,60
C4920,24,2,District-Banas Kantha,Urban,40-49,75,86,66,24,24,185,90,84,53
C4920,24,2,District-Banas Kantha,Urban,50-59,67,51,35,19,6,111,64,45,42
C4920,24,2,District-Banas Kantha,Urban,60-69,78,70,70,8,4,94,69,18,21
C4920,24,2,District-Banas Kantha,Urban,70-79,47,32,51,1,4,46,45,5,5
C4920,24,2,District-Banas Kantha,Urban,80-89,15,11,25,1,4,9,19,3,2
C4920,24,2,District-Banas Kantha,Urban,90+,2,7,7,0,0,4,7,2,1
C4920,24,2,District-Banas Kantha,Urban,Age Not Stated,1,5,3,0,0,2,1,0,0
C4920,24,3,District-Patan  ,Rural,0-4,47,68,47,9,12,68,46,26,24
C4920,24,3,District-Patan  ,Rural,5-9,115,95,71,99,48,168,94,145,108
C4920,24,3,District-Patan  ,Rural,10-19,388,236,187,177,87,454,314,371,208
C4920,24,3,District-Patan  ,Rural,20-29,222,172,110,78,57,780,450,253,133
C4920,24,3,District-Patan  ,Rural,30-39,185,163,110,63,40,844,470,248,144
C4920,24,3,District-Patan  ,Rural,40-49,240,163,124,61,54,503,288,169,121
C4920,24,3,District-Patan  ,Rural,50-59,306,165,173,39,28,407,230,77,74
C4920,24,3,District-Patan  ,Rural,60-69,330,247,317,25,16,292,252,31,39
C4920,24,3,District-Patan  ,Rural,70-79,250,245,290,12,9,178,207,17,15
C4920,24,3,District-Patan  ,Rural,80-89,108,90,123,5,3,55,96,2,7
C4920,24,3,District-Patan  ,Rural,90+,21,20,31,1,1,15,25,1,3
C4920,24,3,District-Patan  ,Rural,Age Not Stated,14,18,5,1,0,8,6,2,3
C4920,24,3,District-Patan  ,Urban,0-4,17,12,10,2,1,11,7,2,5
