Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,6,1,District-Panchkula,Rural,0-4,22,23,28,6,3,8,7,12,2
C4920,6,1,District-Panchkula,Rural,5-9,18,29,22,26,16,18,22,27,20
C4920,6,1,District-Panchkula,Rural,10-19,59,71,56,36,23,72,38,84,65
C4920,6,1,District-Panchkula,Rural,20-29,34,66,60,30,22,126,68,66,44
C4920,6,1,District-Panchkula,Rural,30-39,30,60,38,19,23,181,74,69,40
C4920,6,1,District-Panchkula,Rural,40-49,49,48,52,10,10,130,53,55,31
C4920,6,1,District-Panchkula,Rural,50-59,47,31,33,9,9,81,42,24,15
C4920,6,1,District-Panchkula,Rural,60-69,47,44,39,10,8,84,57,14,19
C4920,6,1,District-Panchkula,Rural,70-79,53,35,40,2,1,64,39,7,6
C4920,6,1,District-Panchkula,Rural,80-89,29,24,24,0,2,21,17,5,3
C4920,6,1,District-Panchkula,Rural,90+,7,15,8,1,2,11,7,1,1
C4920,6,1,District-Panchkula,Rural,Age Not Stated,1,0,1,0,0,0,1,1,0
C4920,6,1,District-Panchkula,Urban,0-4,22,57,43,1,4,10,9,5,8
C4920,6,1,District-Panchkula,Urban,5-9,34,73,56,14,12,19,16,20,13
C4920,6,1,District-Panchkula,Urban,10-19,63,135,121,30,14,65,33,75,52
C4920,6,1,District-Panchkula,Urban,20-29,71,140,134,22,13,96,72,63,37
C4920,6,1,District-Panchkula,Urban,30-39,60,142,126,24,17,102,71,62,42
C4920,6,1,District-Panchkula,Urban,40-49,81,117,93,17,7,133,46,40,33
C4920,6,1,District-Panchkula,Urban,50-59,58,69,73,15,12,86,78,27,21
C4920,6,1,District-Panchkula,Urban,60-69,63,66,74,9,8,68,75,17,11
C4920,6,1,District-Panchkula,Urban,70-79,56,55,52,3,2,48,63,10,7
C4920,6,1,District-Panchkula,Urban,80-89,18,26,27,2,0,25,31,0,1
C4920,6,1,District-Panchkula,Urban,90+,2,13,11,0,0,5,4,3,0
C4920,6,1,District-Panchkula,Urban,Age Not Stated,4,1,2,0,0,1,1,1,0
C4920,6,2,District-Ambala,Rural,0-4,44,74,60,5,6,19,20,11,6
C4920,6,2,District-Ambala,Rural,5-9,44,104,74,38,22,57,18,67,33
C4920,6,2,District-Ambala,Rural,10-19,113,193,183,77,44,123,85,188,131
C4920,6,2,District-Ambala,Rural,20-29,109,190,189,48,32,341,205,176,95
C4920,6,2,District-Ambala,Rural,30-39,105,153,156,43,30,374,216,168,104
C4920,6,2,District-Ambala,Rural,40-49,104,159,137,33,21,247,103,118,90
C4920,6,2,District-Ambala,Rural,50-59,105,97,103,30,12,188,95,83,32
C4920,6,2,District-Ambala,Rural,60-69,158,121,119,15,11,212,159,61,44
C4920,6,2,District-Ambala,Rural,70-79,135,118,96,9,9,139,130,13,14
C4920,6,2,District-Ambala,Rural,80-89,66,63,69,1,4,56,68,9,5
C4920,6,2,District-Ambala,Rural,90+,20,19,21,1,1,16,25,2,2
C4920,6,2,District-Ambala,Rural,Age Not Stated,0,0,1,0,0,2,1,1,0
C4920,6,2,District-Ambala,Urban,0-4,18,77,63,1,3,14,10,13,8
C4920,6,2,District-Ambala,Urban,5-9,26,90,81,25,17,24,21,23,22
C4920,6,2,District-Ambala,Urban,10-19,51,218,166,50,25,93,48,104,70
C4920,6,2,District-Ambala,Urban,20-29,76,287,246,39,32,189,113,127,96
C4920,6,2,District-Ambala,Urban,30-39,73,190,179,38,24,193,137,140,64
C4920,6,2,District-Ambala,Urban,40-49,81,174,178,36,17,150,105,113,70
C4920,6,2,District-Ambala,Urban,50-59,123,139,128,26,16,132,94,67,42
C4920,6,2,District-Ambala,Urban,60-69,140,113,122,18,9,147,124,51,25
C4920,6,2,District-Ambala,Urban,70-79,86,74,87,10,5,101,115,14,8
C4920,6,2,District-Ambala,Urban,80-89,34,47,54,3,2,47,61,7,5
C4920,6,2,District-Ambala,Urban,90+,7,13,17,1,1,12,21,0,2
C4920,6,2,District-Ambala,Urban,Age Not Stated,0,3,3,0,0,0,0,0,1
