Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,2,1,District-Chamba,Rural,0-4,14,32,30,5,4,15,14,8,8
C4920,2,1,District-Chamba,Rural,5-9,32,40,52,30,41,41,25,27,21
C4920,2,1,District-Chamba,Rural,10-19,71,94,76,62,57,133,58,106,85
C4920,2,1,District-Chamba,Rural,20-29,77,97,89,55,37,144,76,92,61
C4920,2,1,District-Chamba,Rural,30-39,70,85,67,44,29,169,84,88,45
C4920,2,1,District-Chamba,Rural,40-49,63,87,71,16,21,171,83,57,39
C4920,2,1,District-Chamba,Rural,50-59,106,90,90,19,11,153,73,39,29
C4920,2,1,District-Chamba,Rural,60-69,149,149,155,26,14,117,114,14,25
C4920,2,1,District-Chamba,Rural,70-79,130,131,154,9,12,70,78,7,9
C4920,2,1,District-Chamba,Rural,80-89,95,86,75,3,4,36,39,4,2
C4920,2,1,District-Chamba,Rural,90+,23,26,33,1,0,16,11,1,1
C4920,2,1,District-Chamba,Rural,Age Not Stated,0,0,0,0,0,0,0,0,2
C4920,2,1,District-Chamba,Urban,0-4,1,0,0,0,0,0,0,0,0
C4920,2,1,District-Chamba,Urban,5-9,2,1,0,1,1,2,1,2,1
C4920,2,1,District-Chamba,Urban,10-19,8,3,4,8,2,2,0,6,2
C4920,2,1,District-Chamba,Urban,20-29,6,7,3,6,2,8,1,3,5
C4920,2,1,District-Chamba,Urban,30-39,2,5,5,0,3,2,3,5,0
C4920,2,1,District-Chamba,Urban,40-49,3,6,1,4,3,14,4,3,2
C4920,2,1,District-Chamba,Urban,50-59,2,4,2,3,1,9,4,4,1
C4920,2,1,District-Chamba,Urban,60-69,5,8,5,0,1,2,4,4,0
C4920,2,1,District-Chamba,Urban,70-79,6,6,7,0,0,3,7,3,1
C4920,2,1,District-Chamba,Urban,80-89,1,6,8,0,0,1,2,0,0
C4920,2,1,District-Chamba,Urban,90+,0,2,3,0,0,0,2,0,0
C4920,2,1,District-Chamba,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,2,2,District-Kangra,Rural,0-4,81,99,77,12,13,47,35,25,16
C4920,2,2,District-Kangra,Rural,5-9,99,92,96,119,72,129,44,117,68
C4920,2,2,District-Kangra,Rural,10-19,257,268,197,236,122,275,158,351,253
C4920,2,2,District-Kangra,Rural,20-29,212,268,255,168,129,416,230,440,275
C4920,2,2,District-Kangra,Rural,30-39,204,320,250,140,116,716,401,425,207
C4920,2,2,District-Kangra,Rural,40-49,231,312,247,117,91,699,306,300,195
C4920,2,2,District-Kangra,Rural,50-59,303,255,272,107,56,631,310,199,131
C4920,2,2,District-Kangra,Rural,60-69,338,404,340,98,42,588,396,121,92
C4920,2,2,District-Kangra,Rural,70-79,379,412,428,52,38,396,351,53,52
C4920,2,2,District-Kangra,Rural,80-89,219,273,276,19,23,215,261,15,23
C4920,2,2,District-Kangra,Rural,90+,70,84,104,5,4,89,78,7,13
C4920,2,2,District-Kangra,Rural,Age Not Stated,3,5,9,2,3,2,9,3,3
C4920,2,2,District-Kangra,Urban,0-4,5,10,12,1,0,2,2,4,0
C4920,2,2,District-Kangra,Urban,5-9,0,22,18,8,1,2,1,8,2
C4920,2,2,District-Kangra,Urban,10-19,9,27,29,7,7,18,5,15,9
C4920,2,2,District-Kangra,Urban,20-29,11,80,28,22,11,25,15,25,14
C4920,2,2,District-Kangra,Urban,30-39,13,63,33,12,7,23,12,20,18
C4920,2,2,District-Kangra,Urban,40-49,21,44,15,10,5,32,15,17,10
C4920,2,2,District-Kangra,Urban,50-59,23,23,13,8,5,25,14,10,4
C4920,2,2,District-Kangra,Urban,60-69,20,10,12,4,2,27,17,9,5
C4920,2,2,District-Kangra,Urban,70-79,21,15,17,10,1,16,26,4,3
C4920,2,2,District-Kangra,Urban,80-89,17,17,9,5,1,9,7,3,0
C4920,2,2,District-Kangra,Urban,90+,3,5,5,0,0,1,1,0,1
C4920,2,2,District-Kangra,Urban,Age Not Stated,0,0,0,0,0,0,0,0,1
C4920,2,3,District-Lahul & Spiti,Rural,0-4,3,1,2,0,0,1,1,0,0
C4920,2,3,District-Lahul & Spiti,Rural,5-9,4,2,2,2,0,2,2,4,2
C4920,2,3,District-Lahul & Spiti,Rural,10-19,11,2,6,1,1,9,3,6,6
C4920,2,3,District-Lahul & Spiti,Rural,20-29,8,11,5,2,6,10,5,4,1
C4920,2,3,District-Lahul & Spiti,Rural,30-39,13,8,11,0,3,14,9,3,3
C4920,2,3,District-Lahul & Spiti,Rural,40-49,16,16,6,2,4,9,12,2,3
