Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,1,District-Kupwara,Rural,0-4,223,378,341,17,12,105,72,47,49
C4920,1,1,District-Kupwara,Rural,5-9,296,387,359,130,77,169,145,90,70
C4920,1,1,District-Kupwara,Rural,10-19,514,621,582,219,144,425,343,222,174
C4920,1,1,District-Kupwara,Rural,20-29,294,450,286,111,81,350,255,232,108
C4920,1,1,District-Kupwara,Rural,30-39,246,343,272,89,63,372,218,193,93
C4920,1,1,District-Kupwara,Rural,40-49,182,270,208,76,51,324,207,145,84
C4920,1,1,District-Kupwara,Rural,50-59,247,242,190,36,23,322,201,84,54
C4920,1,1,District-Kupwara,Rural,60-69,330,273,231,29,26,340,236,67,45
C4920,1,1,District-Kupwara,Rural,70-79,258,226,150,16,18,244,163,30,27
C4920,1,1,District-Kupwara,Rural,80-89,133,99,78,5,2,83,74,12,9
C4920,1,1,District-Kupwara,Rural,90+,46,39,17,0,0,49,30,3,4
C4920,1,1,District-Kupwara,Rural,Age Not Stated,2,13,6,1,1,4,2,1,1
C4920,1,1,District-Kupwara,Urban,0-4,15,56,48,8,6,24,16,6,5
C4920,1,1,District-Kupwara,Urban,5-9,17,51,44,20,22,18,18,9,6
C4920,1,1,District-Kupwara,Urban,10-19,43,97,75,47,27,47,35,28,25
C4920,1,1,District-Kupwara,Urban,20-29,21,143,27,16,18,36,19,13,14
C4920,1,1,District-Kupwara,Urban,30-39,26,109,32,21,11,52,18,21,4
C4920,1,1,District-Kupwara,Urban,40-49,32,87,38,15,9,42,16,20,7
C4920,1,1,District-Kupwara,Urban,50-59,15,24,30,11,4,27,16,10,5
C4920,1,1,District-Kupwara,Urban,60-69,20,32,37,2,2,35,33,7,0
C4920,1,1,District-Kupwara,Urban,70-79,19,35,18,1,5,24,14,2,2
C4920,1,1,District-Kupwara,Urban,80-89,2,6,6,0,1,7,8,0,0
C4920,1,1,District-Kupwara,Urban,90+,3,8,2,0,0,3,3,1,1
C4920,1,1,District-Kupwara,Urban,Age Not Stated,1,0,0,0,0,0,0,0,0
C4920,1,2,District-Badgam,Rural,0-4,112,179,157,7,10,62,31,54,35
C4920,1,2,District-Badgam,Rural,5-9,116,211,138,85,49,93,81,99,68
C4920,1,2,District-Badgam,Rural,10-19,260,340,255,164,110,280,230,227,205
C4920,1,2,District-Badgam,Rural,20-29,171,200,147,84,53,296,175,201,140
C4920,1,2,District-Badgam,Rural,30-39,169,186,134,72,43,250,164,171,106
C4920,1,2,District-Badgam,Rural,40-49,186,176,169,72,42,262,159,138,144
C4920,1,2,District-Badgam,Rural,50-59,147,179,159,37,29,264,212,95,83
C4920,1,2,District-Badgam,Rural,60-69,217,206,179,25,17,303,225,69,55
C4920,1,2,District-Badgam,Rural,70-79,162,172,145,12,9,213,177,28,40
C4920,1,2,District-Badgam,Rural,80-89,86,61,56,3,4,69,51,6,13
C4920,1,2,District-Badgam,Rural,90+,25,15,18,2,3,22,17,1,3
C4920,1,2,District-Badgam,Rural,Age Not Stated,2,1,1,0,2,1,3,0,1
C4920,1,2,District-Badgam,Urban,0-4,9,38,39,1,0,1,4,6,5
C4920,1,2,District-Badgam,Urban,5-9,18,37,34,4,7,4,4,19,7
C4920,1,2,District-Badgam,Urban,10-19,28,81,40,12,9,24,18,38,29
C4920,1,2,District-Badgam,Urban,20-29,25,265,36,6,4,19,15,50,51
C4920,1,2,District-Badgam,Urban,30-39,17,221,50,8,8,25,7,58,64
C4920,1,2,District-Badgam,Urban,40-49,19,109,36,14,7,21,28,60,48
C4920,1,2,District-Badgam,Urban,50-59,21,30,40,7,3,12,24,18,11
C4920,1,2,District-Badgam,Urban,60-69,29,24,45,6,4,37,30,15,15
C4920,1,2,District-Badgam,Urban,70-79,22,19,38,2,2,36,20,10,16
