Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,29,1,District-Belgaum,Rural,0-4,263,273,265,251,52,40,325,222,112,144
C4920,29,1,District-Belgaum,Rural,5-9,359,308,358,341,404,329,635,393,370,283
C4920,29,1,District-Belgaum,Rural,10-19,989,764,815,702,922,701,2051,1286,1102,934
C4920,29,1,District-Belgaum,Rural,20-29,744,576,765,571,565,524,2870,1771,818,790
C4920,29,1,District-Belgaum,Rural,30-39,640,527,632,572,400,402,2216,1193,514,582
C4920,29,1,District-Belgaum,Rural,40-49,607,490,656,510,342,269,1855,860,472,430
C4920,29,1,District-Belgaum,Rural,50-59,529,524,466,416,198,186,1473,685,246,201
C4920,29,1,District-Belgaum,Rural,60-69,714,906,585,487,146,121,1316,787,152,141
C4920,29,1,District-Belgaum,Rural,70-79,545,685,391,373,69,46,654,398,49,48
C4920,29,1,District-Belgaum,Rural,80-89,231,334,142,174,14,13,165,170,8,22
C4920,29,1,District-Belgaum,Rural,90+,50,97,35,41,2,6,29,52,1,11
C4920,29,1,District-Belgaum,Rural,Age Not Stated,3,2,2,1,1,1,6,2,1,2
C4920,29,1,District-Belgaum,Urban,0-4,80,62,66,56,10,17,44,38,22,13
C4920,29,1,District-Belgaum,Urban,5-9,85,78,96,76,96,75,107,67,87,54
C4920,29,1,District-Belgaum,Urban,10-19,234,195,232,184,184,178,395,230,299,222
C4920,29,1,District-Belgaum,Urban,20-29,251,208,214,182,143,152,641,462,270,207
C4920,29,1,District-Belgaum,Urban,30-39,205,190,238,206,136,107,537,351,191,198
C4920,29,1,District-Belgaum,Urban,40-49,232,215,234,160,89,101,492,237,163,120
C4920,29,1,District-Belgaum,Urban,50-59,224,171,164,128,77,47,436,175,103,77
C4920,29,1,District-Belgaum,Urban,60-69,200,188,129,114,45,40,345,178,51,48
C4920,29,1,District-Belgaum,Urban,70-79,112,125,93,106,28,20,149,91,13,17
C4920,29,1,District-Belgaum,Urban,80-89,44,64,39,34,2,4,40,39,8,5
C4920,29,1,District-Belgaum,Urban,90+,6,19,3,4,1,0,9,12,1,4
C4920,29,1,District-Belgaum,Urban,Age Not Stated,1,0,1,0,0,0,0,0,0,1
C4920,29,2,District-Bagalkot ,Rural,0-4,77,81,95,82,24,29,146,104,57,45
C4920,29,2,District-Bagalkot ,Rural,5-9,157,116,180,147,238,163,262,184,173,123
C4920,29,2,District-Bagalkot ,Rural,10-19,387,292,475,340,410,313,925,650,455,365
C4920,29,2,District-Bagalkot ,Rural,20-29,261,178,358,277,226,220,1282,859,242,259
C4920,29,2,District-Bagalkot ,Rural,30-39,242,183,276,282,177,139,872,447,173,178
C4920,29,2,District-Bagalkot ,Rural,40-49,214,221,267,249,119,102,606,264,119,117
