Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,32,1,District-Kasaragod,Rural,0-4,22,60,61,16,12,59,37,13,15
C4920,32,1,District-Kasaragod,Rural,5-9,55,85,71,76,60,88,50,65,47
C4920,32,1,District-Kasaragod,Rural,10-19,194,181,187,158,125,189,133,241,191
C4920,32,1,District-Kasaragod,Rural,20-29,119,174,168,139,141,285,174,343,245
C4920,32,1,District-Kasaragod,Rural,30-39,116,184,189,114,110,383,228,301,267
C4920,32,1,District-Kasaragod,Rural,40-49,193,192,174,88,101,462,230,264,222
C4920,32,1,District-Kasaragod,Rural,50-59,228,195,175,76,60,458,220,192,149
C4920,32,1,District-Kasaragod,Rural,60-69,214,144,157,50,27,393,212,77,88
C4920,32,1,District-Kasaragod,Rural,70-79,173,113,131,21,22,179,122,37,41
C4920,32,1,District-Kasaragod,Rural,80-89,75,78,102,8,8,54,86,7,11
C4920,32,1,District-Kasaragod,Rural,90+,15,18,20,0,0,10,16,2,5
C4920,32,1,District-Kasaragod,Rural,Age Not Stated,0,0,2,0,0,4,0,3,0
C4920,32,1,District-Kasaragod,Urban,0-4,31,34,26,4,1,30,13,12,8
C4920,32,1,District-Kasaragod,Urban,5-9,35,32,26,33,24,49,30,38,42
C4920,32,1,District-Kasaragod,Urban,10-19,108,99,67,69,39,79,63,175,121
C4920,32,1,District-Kasaragod,Urban,20-29,91,80,87,61,67,157,103,211,160
C4920,32,1,District-Kasaragod,Urban,30-39,79,79,91,40,57,234,153,186,144
C4920,32,1,District-Kasaragod,Urban,40-49,68,65,75,49,47,254,138,123,102
C4920,32,1,District-Kasaragod,Urban,50-59,97,72,88,33,27,229,126,93,65
C4920,32,1,District-Kasaragod,Urban,60-69,117,65,89,29,31,217,139,59,56
C4920,32,1,District-Kasaragod,Urban,70-79,83,43,87,14,16,106,100,18,27
C4920,32,1,District-Kasaragod,Urban,80-89,30,26,43,2,2,40,50,5,8
C4920,32,1,District-Kasaragod,Urban,90+,4,8,5,0,0,8,9,3,2
C4920,32,1,District-Kasaragod,Urban,Age Not Stated,2,2,0,0,0,3,0,10,0
C4920,32,2,District-Kannur,Rural,0-4,19,59,70,8,7,47,24,14,7
C4920,32,2,District-Kannur,Rural,5-9,56,68,70,56,31,54,37,54,34
C4920,32,2,District-Kannur,Rural,10-19,163,226,169,114,74,151,118,232,174
C4920,32,2,District-Kannur,Rural,20-29,116,194,214,94,82,254,167,303,268
C4920,32,2,District-Kannur,Rural,30-39,111,204,220,88,103,381,263,421,333
C4920,32,2,District-Kannur,Rural,40-49,202,214,239,97,65,478,258,369,329
C4920,32,2,District-Kannur,Rural,50-59,226,228,202,75,47,485,259,251,235
C4920,32,2,District-Kannur,Rural,60-69,277,198,221,58,29,404,227,146,154
C4920,32,2,District-Kannur,Rural,70-79,207,171,262,15,17,191,200,61,96
C4920,32,2,District-Kannur,Rural,80-89,122,145,191,7,9,98,106,16,29
C4920,32,2,District-Kannur,Rural,90+,22,34,51,1,3,19,30,3,4
C4920,32,2,District-Kannur,Rural,Age Not Stated,0,1,1,0,1,3,3,2,10
C4920,32,2,District-Kannur,Urban,0-4,43,120,113,10,18,68,47,20,21
C4920,32,2,District-Kannur,Urban,5-9,88,128,117,103,73,102,85,98,60
C4920,32,2,District-Kannur,Urban,10-19,261,328,309,183,136,269,177,391,309
C4920,32,2,District-Kannur,Urban,20-29,200,331,356,171,167,343,220,536,400
C4920,32,2,District-Kannur,Urban,30-39,204,312,339,143,161,559,412,628,513
C4920,32,2,District-Kannur,Urban,40-49,298,330,384,145,142,629,479,573,460
C4920,32,2,District-Kannur,Urban,50-59,404,318,343,125,113,731,442,342,314
C4920,32,2,District-Kannur,Urban,60-69,435,277,346,91,90,619,419,161,238
C4920,32,2,District-Kannur,Urban,70-79,295,289,434,50,61,370,375,57,143
C4920,32,2,District-Kannur,Urban,80-89,137,162,259,12,15,121,196,12,58
C4920,32,2,District-Kannur,Urban,90+,19,23,56,2,3,11,34,4,8
C4920,32,2,District-Kannur,Urban,Age Not Stated,9,4,6,4,3,4,3,6,3
C4920,32,3,District-Wayanad,Rural,0-4,14,38,45,10,5,52,32,18,9
C4920,32,3,District-Wayanad,Rural,5-9,54,64,72,69,40,58,51,61,31
C4920,32,3,District-Wayanad,Rural,10-19,176,195,154,114,89,147,107,230,138
C4920,32,3,District-Wayanad,Rural,20-29,119,134,131,91,90,245,154,253,233
C4920,32,3,District-Wayanad,Rural,30-39,152,154,179,82,92,368,258,279,303
C4920,32,3,District-Wayanad,Rural,40-49,268,172,204,85,71,459,268,270,256
C4920,32,3,District-Wayanad,Rural,50-59,335,170,169,73,44,463,237,184,203
C4920,32,3,District-Wayanad,Rural,60-69,379,192,190,39,34,383,220,92,143
C4920,32,3,District-Wayanad,Rural,70-79,248,136,206,21,18,177,152,25,62
C4920,32,3,District-Wayanad,Rural,80-89,123,110,127,2,10,69,87,8,32
C4920,32,3,District-Wayanad,Rural,90+,11,16,38,0,2,15,13,3,3
C4920,32,3,District-Wayanad,Rural,Age Not Stated,0,2,0,1,0,0,3,2,0
C4920,32,3,District-Wayanad,Urban,0-4,1,0,0,2,0,1,3,0,1
C4920,32,3,District-Wayanad,Urban,5-9,0,4,1,1,2,4,4,1,2
C4920,32,3,District-Wayanad,Urban,10-19,9,9,4,5,3,5,5,11,9
C4920,32,3,District-Wayanad,Urban,20-29,5,8,5,5,2,8,9,9,10
C4920,32,3,District-Wayanad,Urban,30-39,4,5,6,3,3,19,13,15,12
C4920,32,3,District-Wayanad,Urban,40-49,9,5,9,1,2,17,16,11,4
C4920,32,3,District-Wayanad,Urban,50-59,13,4,3,3,3,25,8,5,14
C4920,32,3,District-Wayanad,Urban,60-69,14,1,8,3,0,22,12,1,5
C4920,32,3,District-Wayanad,Urban,70-79,8,3,7,0,0,9,10,1,1
C4920,32,3,District-Wayanad,Urban,80-89,1,3,4,0,0,6,2,0,0
C4920,32,3,District-Wayanad,Urban,90+,0,0,0,0,0,0,0,0,0
C4920,32,3,District-Wayanad,Urban,Age Not Stated,0,1,0,0,0,1,0,0,0
C4920,32,4,District-Kozhikode,Rural,0-4,26,54,62,17,5,36,33,11,19
C4920,32,4,District-Kozhikode,Rural,5-9,67,75,88,90,57,84,49,78,47
C4920,32,4,District-Kozhikode,Rural,10-19,243,231,191,167,97,167,104,306,223
C4920,32,4,District-Kozhikode,Rural,20-29,169,185,219,114,103,317,179,454,339
C4920,32,4,District-Kozhikode,Rural,30-39,183,168,207,114,105,541,321,503,437
C4920,32,4,District-Kozhikode,Rural,40-49,392,201,267,131,99,679,375,405,463
C4920,32,4,District-Kozhikode,Rural,50-59,572,230,249,90,73,698,437,328,305
C4920,32,4,District-Kozhikode,Rural,60-69,574,237,311,56,49,616,383,168,226
C4920,32,4,District-Kozhikode,Rural,70-79,418,242,294,42,27,391,377,77,112
C4920,32,4,District-Kozhikode,Rural,80-89,236,125,237,14,21,150,161,30,49
C4920,32,4,District-Kozhikode,Rural,90+,44,59,50,2,1,33,47,7,9
C4920,32,4,District-Kozhikode,Rural,Age Not Stated,3,0,0,0,0,2,3,2,2
C4920,32,4,District-Kozhikode,Urban,0-4,53,120,113,25,24,90,57,29,15
C4920,32,4,District-Kozhikode,Urban,5-9,146,190,172,152,106,115,88,132,88
C4920,32,4,District-Kozhikode,Urban,10-19,516,574,458,272,199,311,196,622,372
C4920,32,4,District-Kozhikode,Urban,20-29,263,353,336,235,210,494,328,825,602
C4920,32,4,District-Kozhikode,Urban,30-39,290,302,397,217,237,899,635,1048,845
C4920,32,4,District-Kozhikode,Urban,40-49,594,360,443,242,217,1241,748,1054,911
C4920,32,4,District-Kozhikode,Urban,50-59,797,347,449,174,144,1281,758,687,641
C4920,32,4,District-Kozhikode,Urban,60-69,891,373,508,157,136,1281,833,312,440
C4920,32,4,District-Kozhikode,Urban,70-79,642,389,488,62,82,665,707,141,230
C4920,32,4,District-Kozhikode,Urban,80-89,280,233,333,25,31,256,345,34,99
C4920,32,4,District-Kozhikode,Urban,90+,51,41,54,0,1,38,82,8,16
C4920,32,4,District-Kozhikode,Urban,Age Not Stated,4,2,3,2,4,6,3,7,6
C4920,32,5,District-Malappuram,Rural,0-4,66,110,103,17,21,147,88,43,40
C4920,32,5,District-Malappuram,Rural,5-9,134,154,112,158,88,182,102,195,117
C4920,32,5,District-Malappuram,Rural,10-19,385,335,267,296,157,435,259,843,597
C4920,32,5,District-Malappuram,Rural,20-29,307,314,343,232,192,765,492,1048,809
C4920,32,5,District-Malappuram,Rural,30-39,252,245,313,171,146,906,543,985,839
C4920,32,5,District-Malappuram,Rural,40-49,397,264,339,139,108,977,575,775,733
C4920,32,5,District-Malappuram,Rural,50-59,519,248,293,108,85,875,462,506,537
C4920,32,5,District-Malappuram,Rural,60-69,612,251,349,76,67,815,522,296,399
C4920,32,5,District-Malappuram,Rural,70-79,404,234,382,30,24,374,346,96,178
C4920,32,5,District-Malappuram,Rural,80-89,145,128,189,12,15,156,188,28,76
C4920,32,5,District-Malappuram,Rural,90+,23,33,45,3,2,18,58,3,5
C4920,32,5,District-Malappuram,Rural,Age Not Stated,5,4,2,1,1,2,0,158,170
C4920,32,5,District-Malappuram,Urban,0-4,54,107,133,19,11,71,73,37,32
