Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,31,1,District-Lakshadweep,Rural,0-4,0,1,1,0,0,1,2,0,0
C4920,31,1,District-Lakshadweep,Rural,5-9,0,2,2,1,0,1,3,1,0
C4920,31,1,District-Lakshadweep,Rural,10-19,4,5,3,0,1,2,3,4,6
C4920,31,1,District-Lakshadweep,Rural,20-29,7,2,6,0,1,4,1,5,7
C4920,31,1,District-Lakshadweep,Rural,30-39,1,4,3,1,1,9,6,7,7
C4920,31,1,District-Lakshadweep,Rural,40-49,5,3,1,2,0,3,3,4,9
C4920,31,1,District-Lakshadweep,Rural,50-59,12,2,3,1,0,3,4,2,6
C4920,31,1,District-Lakshadweep,Rural,60-69,8,1,3,1,0,11,11,2,3
C4920,31,1,District-Lakshadweep,Rural,70-79,5,0,2,1,0,6,2,0,0
C4920,31,1,District-Lakshadweep,Rural,80-89,3,2,1,0,0,4,0,0,0
C4920,31,1,District-Lakshadweep,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,31,1,District-Lakshadweep,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,31,1,District-Lakshadweep,Urban,0-4,2,3,3,1,1,4,4,1,0
C4920,31,1,District-Lakshadweep,Urban,5-9,6,1,7,3,0,6,4,9,3
C4920,31,1,District-Lakshadweep,Urban,10-19,24,14,16,7,5,10,10,14,10
C4920,31,1,District-Lakshadweep,Urban,20-29,14,18,18,12,7,26,12,19,7
C4920,31,1,District-Lakshadweep,Urban,30-39,7,12,11,9,3,39,24,17,11
C4920,31,1,District-Lakshadweep,Urban,40-49,13,13,13,5,2,24,13,8,16
C4920,31,1,District-Lakshadweep,Urban,50-59,12,7,7,1,2,25,16,12,8
C4920,31,1,District-Lakshadweep,Urban,60-69,15,8,8,3,2,18,17,3,5
C4920,31,1,District-Lakshadweep,Urban,70-79,7,5,6,0,0,9,7,1,1
C4920,31,1,District-Lakshadweep,Urban,80-89,4,2,4,0,0,4,7,0,0
C4920,31,1,District-Lakshadweep,Urban,90+,0,0,1,0,0,1,2,0,0
C4920,31,1,District-Lakshadweep,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
